TIME,X,Y,Z
0.0,0.31,-0.275,9.814
0.003969313,0.348,-0.275,9.967
0.007938467,0.348,-0.314,10.005
0.011907928,0.348,-0.314,10.005
0.01587639,0.348,-0.275,9.967
0.019844852,0.348,-0.275,9.928
0.023813004,0.31,-0.275,10.005
0.02778224,0.31,-0.314,10.005
0.031751547,0.348,-0.314,9.967
0.035721164,0.31,-0.314,9.967
0.03969078,0.348,-0.314,9.967
0.04366009,0.348,-0.314,10.005
0.047628857,0.31,-0.314,9.967
0.05159779,0.348,-0.314,9.928
0.05556702,0.348,-0.314,10.005
0.05953656,0.31,-0.314,9.967
0.06350602,0.271,-0.275,9.967
0.06747479,0.271,-0.314,9.928
0.07144349,0.348,-0.314,9.967
0.07541233,0.31,-0.314,10.005
0.07938134,0.31,-0.314,10.005
0.083350256,0.348,-0.314,10.005
0.08731972,0.31,-0.314,9.967
0.091289334,0.31,-0.314,10.005
0.09525857,0.31,-0.314,9.967
0.09922714,0.348,-0.314,10.005
0.10319659,0.31,-0.314,9.928
0.10716544,0.348,-0.314,9.967
0.11113466,0.348,-0.314,10.005
0.11510366,0.31,-0.275,10.005
0.11907305,0.348,-0.275,9.928
0.12304219,0.31,-0.275,9.967
0.12701151,0.348,-0.237,9.967
0.13098097,0.348,-0.314,9.928
0.13495027,0.348,-0.275,9.967
0.13891865,0.31,-0.275,9.967
0.14288743,0.348,-0.314,10.005
0.14685583,0.31,-0.275,9.967
0.15082459,0.348,-0.275,10.005
0.15479374,0.31,-0.275,10.005
0.15876243,0.348,-0.314,10.005
0.16273127,0.386,-0.314,10.043
0.16670068,0.348,-0.314,9.967
0.17066966,0.31,-0.275,9.967
0.17463928,0.348,-0.275,9.967
0.17860912,0.348,-0.275,9.967
0.18257898,0.348,-0.275,9.928
0.18654889,0.348,-0.275,9.928
0.1905179,0.348,-0.314,9.967
0.19448704,0.348,-0.314,10.043
0.19845597,0.271,-0.275,9.928
0.20242497,0.348,-0.275,9.967
0.20639366,0.31,-0.314,9.967
0.21036273,0.31,-0.275,10.005
0.21433227,0.348,-0.314,10.005
0.218301,0.31,-0.275,10.005
0.22227067,0.348,-0.314,9.967
0.2262393,0.348,-0.314,10.005
0.23020853,0.31,-0.275,10.043
0.2341779,0.348,-0.314,9.967
0.23814683,0.31,-0.314,9.967
0.24211553,0.31,-0.314,9.928
0.24608421,0.348,-0.314,9.928
0.2500529,0.348,-0.275,9.967
0.25402114,0.348,-0.275,9.967
0.25798967,0.348,-0.275,10.005
0.26195836,0.348,-0.314,9.967
0.265927,0.31,-0.314,10.005
0.26989612,0.31,-0.275,10.005
0.27386484,0.31,-0.314,10.005
0.27783406,0.348,-0.275,10.005
0.28180346,0.31,-0.275,10.005
0.28577337,0.31,-0.314,10.005
0.28974268,0.348,-0.275,10.005
0.2937115,0.348,-0.314,9.967
0.2976816,0.348,-0.314,9.967
0.30165163,0.31,-0.314,10.005
0.30562177,0.31,-0.275,10.005
0.30959162,0.31,-0.275,9.967
0.3135606,0.31,-0.314,9.928
0.3175302,0.271,-0.314,10.005
0.32150006,0.31,-0.314,10.005
0.32546875,0.348,-0.275,10.005
0.32943738,0.348,-0.275,10.005
0.33340606,0.31,-0.275,10.043
0.33737537,0.348,-0.275,9.89
0.34134346,0.31,-0.314,9.928
0.34531158,0.31,-0.314,9.928
0.3492806,0.31,-0.275,9.928
0.3532493,0.31,-0.275,9.967
0.35721782,0.386,-0.275,10.043
0.36118674,0.348,-0.275,10.082
0.36515555,0.348,-0.314,9.967
0.36912417,0.348,-0.352,9.89
0.37309355,0.31,-0.352,9.852
0.37706193,0.31,-0.314,9.89
0.38103038,0.31,-0.314,9.967
0.3849994,0.31,-0.275,10.082
0.3889689,0.348,-0.275,9.967
0.392938,0.348,-0.275,10.082
0.3969074,0.348,-0.314,10.043
0.40087655,0.31,-0.314,10.043
0.4048458,0.348,-0.275,9.967
0.4088152,0.386,-0.314,10.043
0.41278443,0.348,-0.314,9.967
0.4167528,0.31,-0.275,9.967
0.4207215,0.348,-0.314,10.043
0.42469114,0.348,-0.314,9.928
0.4286596,0.31,-0.237,10.043
0.43262854,0.348,-0.275,9.967
0.43659836,0.31,-0.275,9.928
0.44056752,0.348,-0.275,10.043
0.44453663,0.348,-0.314,9.967
0.44850585,0.31,-0.314,9.967
0.45247447,0.31,-0.275,10.043
0.45644325,0.348,-0.275,10.005
0.46041164,0.31,-0.352,9.89
0.46438047,0.31,-0.314,10.005
0.46834987,0.348,-0.275,10.043
0.47231895,0.348,-0.314,9.89
0.47628787,0.271,-0.314,9.928
0.4802564,0.31,-0.314,10.005
0.4842258,0.348,-0.314,10.082
0.48819458,0.348,-0.314,10.005
0.4921635,0.31,-0.314,9.89
0.49613208,0.271,-0.275,9.89
0.5001009,0.31,-0.275,10.005
0.50406986,0.31,-0.275,10.005
0.5080388,0.348,-0.275,10.043
0.5120071,0.348,-0.275,10.005
0.5159755,0.31,-0.275,9.967
0.5199445,0.31,-0.314,9.89
0.52391356,0.31,-0.314,10.005
0.52788377,0.31,-0.314,9.928
0.53185284,0.348,-0.314,9.967
0.5358215,0.31,-0.314,10.005
0.5397902,0.31,-0.314,9.967
0.5437592,0.31,-0.314,10.043
0.54772747,0.348,-0.314,9.967
0.551696,0.31,-0.314,9.967
0.55566454,0.348,-0.314,10.043
0.55963296,0.348,-0.314,9.967
0.56360227,0.31,-0.275,9.89
0.5675708,0.31,-0.275,10.005
0.57153964,0.348,-0.275,9.928
0.575509,0.31,-0.314,9.89
0.5794776,0.348,-0.314,9.967
0.5834462,0.348,-0.275,10.005
0.58741474,0.271,-0.275,9.928
0.5913835,0.271,-0.314,10.005
0.5953525,0.31,-0.314,10.005
0.599321,0.271,-0.275,9.928
0.6032897,0.348,-0.275,9.967
0.6072585,0.31,-0.275,9.967
0.61122763,0.348,-0.275,9.928
0.6151962,0.348,-0.275,9.967
0.61916476,0.31,-0.314,10.005
0.6231334,0.31,-0.275,10.005
0.6271021,0.31,-0.314,9.967
0.63107073,0.348,-0.314,10.005
0.6350396,0.31,-0.314,10.005
0.6390095,0.31,-0.275,10.005
0.642979,0.31,-0.275,10.005
0.64694875,0.31,-0.275,10.005
0.65091777,0.31,-0.275,9.967
0.65488726,0.31,-0.314,9.967
0.6588564,0.348,-0.314,9.967
0.6628248,0.348,-0.275,10.005
0.66679394,0.348,-0.314,9.967
0.67076313,0.31,-0.314,9.967
0.6747319,0.31,-0.314,10.005
0.67870057,0.348,-0.275,10.005
0.68266934,0.31,-0.275,10.005
0.6866388,0.31,-0.314,10.005
0.69060755,0.31,-0.275,9.967
0.6945766,0.31,-0.314,10.005
0.6985458,0.31,-0.314,9.967
0.70251495,0.31,-0.314,10.005
0.7064849,0.31,-0.314,10.005
0.71045476,0.31,-0.314,9.928
0.7144248,0.31,-0.275,10.005
0.718394,0.31,-0.314,9.967
0.7223638,0.31,-0.314,9.967
0.7263331,0.271,-0.314,9.967
0.73030216,0.348,-0.275,9.967
0.73427093,0.31,-0.314,9.967
0.7382396,0.31,-0.275,10.005
0.7422079,0.31,-0.314,10.005
0.74617624,0.31,-0.314,9.967
0.75014484,0.31,-0.275,9.967
0.75411445,0.31,-0.275,9.967
0.75808406,0.31,-0.275,9.967
0.76205236,0.271,-0.275,10.005
0.7660207,0.31,-0.275,9.967
0.769989,0.31,-0.314,9.967
0.7739579,0.348,-0.314,9.928
0.7779268,0.348,-0.275,9.967
0.78189546,0.31,-0.275,10.005
0.7858646,0.31,-0.275,9.967
0.7898339,0.31,-0.314,9.967
0.79380316,0.348,-0.275,9.967
0.7977724,0.348,-0.314,9.928
0.80174065,0.31,-0.275,10.005
0.80570906,0.31,-0.275,10.005
0.8096774,0.31,-0.314,9.967
0.813646,0.271,-0.314,9.928
0.81761444,0.31,-0.314,9.967
0.8215828,0.348,-0.275,9.967
0.82555115,0.31,-0.275,9.928
0.82951957,0.271,-0.314,9.967
0.83348846,0.31,-0.352,10.005
0.8374574,0.31,-0.275,9.967
0.84142643,0.31,-0.275,9.967
0.8453955,0.31,-0.314,10.005
0.84936434,0.271,-0.314,9.967
0.85333323,0.31,-0.275,10.005
0.8573019,0.31,-0.314,10.005
0.861271,0.31,-0.275,10.005
0.86524016,0.31,-0.314,9.967
0.86920947,0.31,-0.275,9.967
0.87317795,0.31,-0.314,9.967
0.87714607,0.31,-0.275,10.005
0.8811145,0.31,-0.275,9.967
0.8850831,0.31,-0.275,9.967
0.8890517,0.31,-0.314,10.005
0.89301974,0.348,-0.314,10.005
0.8969875,0.31,-0.275,9.928
0.90095633,0.348,-0.275,10.005
0.9049251,0.348,-0.275,9.967
0.9088941,0.31,-0.314,9.967
0.9128628,0.31,-0.275,10.005
0.9168309,0.31,-0.237,9.967
0.9207989,0.271,-0.275,9.967
0.9247675,0.348,-0.275,10.005
0.92873615,0.31,-0.314,9.967
0.93270516,0.271,-0.275,10.005
0.9366742,0.348,-0.314,10.005
0.9406427,0.348,-0.314,10.005
0.94461215,0.31,-0.314,9.967
0.94858044,0.31,-0.314,10.005
