TIME,X,Y,Z
0.0,0.042,-0.352,9.699
0.003960616,0.042,-0.39,9.89
0.007920763,0.08,-0.39,10.005
0.011880916,0.118,-0.39,9.928
0.015841147,0.08,-0.428,9.928
0.01980113,0.08,-0.39,9.928
0.023761438,0.042,-0.39,9.928
0.027721517,0.042,-0.39,9.928
0.031680945,0.042,-0.428,9.967
0.03564025,0.042,-0.428,9.89
0.039600097,0.042,-0.428,9.967
0.043559704,0.003,-0.39,9.967
0.047519933,0.042,-0.428,9.967
0.051479857,0.042,-0.39,9.928
0.05543994,0.08,-0.39,9.967
0.05939971,0.08,-0.39,9.967
0.063359864,0.118,-0.428,9.928
0.06731994,0.08,-0.39,9.967
0.07128002,0.042,-0.39,9.967
0.075240165,0.042,-0.39,9.928
0.079200104,0.042,-0.39,9.928
0.0831601,0.042,-0.428,9.967
0.087119795,0.042,-0.39,9.928
0.09107954,0.042,-0.428,9.967
0.09503947,0.042,-0.39,9.967
0.0989987,0.042,-0.39,9.967
0.10295909,0.042,-0.39,9.928
0.10691977,0.042,-0.39,9.89
0.11088039,0.08,-0.39,9.967
0.11484069,0.08,-0.39,9.928
0.118801,0.08,-0.39,9.967
0.122760385,0.042,-0.39,10.005
0.12672098,0.042,-0.39,9.928
0.1306806,0.042,-0.39,9.928
0.13464022,0.08,-0.39,9.967
0.1385999,0.003,-0.39,9.967
0.14255944,0.08,-0.352,9.89
0.14651921,0.042,-0.428,9.967
0.1504796,0.042,-0.428,9.967
0.15444015,0.08,-0.39,9.928
0.15840052,0.08,-0.39,9.967
0.1623609,0.08,-0.39,10.005
0.16632067,0.042,-0.39,9.967
0.17028059,0.042,-0.39,9.928
0.17424047,0.08,-0.39,9.928
0.17820002,0.042,-0.39,9.928
0.18216024,0.042,-0.428,9.967
0.18612073,0.08,-0.428,9.928
0.19008096,0.042,-0.39,9.967
0.19404134,0.042,-0.428,10.005
0.19800228,0.042,-0.428,9.967
0.2019625,0.042,-0.428,9.89
0.20592228,0.042,-0.428,9.967
0.20988268,0.042,-0.352,9.967
0.21384236,0.042,-0.39,9.928
0.21780221,0.08,-0.428,9.928
0.22176279,0.042,-0.39,9.967
0.22572286,0.042,-0.428,9.967
0.2296827,0.08,-0.39,9.967
0.23364234,0.042,-0.39,9.967
0.23760173,0.042,-0.428,9.967
0.24156179,0.042,-0.39,9.967
