TIME,X,Y,Z
0.0,-0.187,-0.045,9.699
0.003929769,-0.149,-0.045,9.814
0.007858923,-0.187,-0.045,9.852
0.011788846,-0.187,-0.045,9.852
0.015717845,-0.149,-0.045,9.852
0.01964762,-0.187,-0.007,9.89
0.023577468,-0.187,-0.007,9.814
0.027507544,-0.187,-0.045,9.89
0.031437173,-0.149,-0.045,9.814
0.03536648,-0.187,-0.045,9.852
0.03929548,-0.187,-0.045,9.89
0.043224405,-0.187,-0.045,9.852
0.04715325,-0.149,-0.045,9.852
0.051082402,-0.187,-0.045,9.852
0.055011615,-0.187,-0.045,9.89
0.058940925,-0.187,-0.007,9.928
0.06287015,-0.187,-0.007,9.852
0.06679969,-0.149,-0.045,9.89
0.070729315,-0.149,-0.045,9.89
0.07465908,-0.187,-0.045,9.852
0.07858833,-0.187,-0.045,9.89
0.08251825,-0.149,-0.007,9.89
0.086448245,-0.187,-0.045,9.852
0.0903777,-0.187,-0.045,9.89
0.09430779,-0.149,-0.045,9.814
0.098237164,-0.187,-0.045,9.852
0.10216632,-0.187,-0.045,9.852
0.1060954,-0.149,-0.045,9.852
0.1100244,-0.187,-0.007,9.852
0.11395433,-0.149,-0.007,9.852
0.11788326,-0.187,-0.045,9.852
0.12181248,-0.187,-0.045,9.89
0.1257428,-0.187,-0.045,9.852
0.12967217,-0.187,-0.045,9.928
0.13360126,-0.187,-0.045,9.852
0.13753103,-0.187,-0.007,9.89
0.14146025,-0.149,-0.045,9.814
0.1453897,-0.187,-0.045,9.852
0.14931865,-0.187,-0.045,9.89
0.15324734,-0.187,-0.007,9.852
0.1571765,-0.187,-0.007,9.89
0.16110627,-0.149,-0.007,9.89
0.16503526,-0.187,-0.007,9.814
0.16896504,-0.149,-0.045,9.852
0.17289518,-0.187,-0.045,9.852
0.17682496,-0.187,-0.007,9.852
0.18075588,-0.149,-0.045,9.89
0.18468642,-0.187,-0.045,9.852
0.18861572,-0.187,-0.007,9.89
0.19254534,-0.187,-0.045,9.928
0.19647421,-0.187,-0.045,9.852
0.2004033,-0.149,-0.045,9.89
0.20433237,-0.149,-0.084,9.89
0.20826244,-0.225,-0.045,9.89
0.2121916,-0.187,-0.045,9.814
0.21612138,-0.149,-0.045,9.852
0.2200514,-0.149,-0.007,9.852
0.22398116,-0.149,-0.045,9.814
0.2279097,-0.149,-0.007,9.814
0.23184115,-0.149,-0.045,9.814
0.23577045,-0.149,-0.045,9.89
0.23970084,-0.187,-0.045,9.89
0.24363057,-0.187,-0.045,9.852
0.24756011,-0.187,-0.045,9.852
0.25149027,-0.187,-0.045,9.775
0.2554208,-0.187,-0.045,9.852
0.25935018,-0.225,-0.045,9.852
0.26328087,-0.187,-0.007,9.852
0.26721072,-0.149,-0.045,9.89
0.2711414,-0.187,-0.045,9.89
0.27507132,-0.187,-0.045,9.89
0.27900118,-0.187,-0.007,9.852
0.28293064,-0.187,-0.045,9.852
0.28686112,-0.149,-0.007,9.852
0.2907905,-0.187,-0.045,9.852
0.29471973,-0.187,-0.045,9.852
0.29864833,-0.187,-0.045,9.852
0.30257875,-0.187,-0.007,9.89
0.3065073,-0.149,-0.045,9.852
0.3104364,-0.187,-0.007,9.852
0.3143649,-0.187,-0.045,9.89
0.3182938,-0.187,-0.045,9.852
0.3222239,-0.187,-0.045,9.852
0.3261532,-0.149,-0.007,9.852
0.33008343,-0.187,-0.045,9.852
0.33401328,-0.187,-0.007,9.814
0.33794332,-0.149,-0.045,9.814
0.34187302,-0.187,-0.007,9.852
0.34580278,-0.187,-0.045,9.89
0.34973243,-0.187,-0.045,9.852
0.35366172,-0.187,-0.045,9.852
0.35759076,-0.187,-0.045,9.852
0.3615202,-0.187,-0.045,9.814
0.3654488,-0.187,-0.045,9.852
0.36937812,-0.149,-0.045,9.89
0.37330744,-0.187,-0.045,9.852
0.37723666,-0.187,-0.045,9.852
0.38116628,-0.187,-0.045,9.852
0.38509533,-0.187,-0.007,9.852
0.38902542,-0.149,-0.045,9.852
0.39295495,-0.149,-0.007,9.89
0.39688367,-0.187,-0.045,9.852
0.40081322,-0.149,-0.045,9.814
0.40474236,-0.149,-0.084,9.852
