TIME,X,Y,Z
0.0,0.003,-0.543,9.775
0.003968286,0.003,-0.582,10.005
0.007936671,0.003,-0.543,9.967
0.011904979,0.042,-0.582,9.967
0.015874127,0.042,-0.582,9.928
0.019843047,0.042,-0.582,9.967
0.02381151,0.042,-0.582,9.928
0.027779888,0.042,-0.62,9.967
0.03174858,0.042,-0.582,10.005
0.03571712,0.042,-0.582,9.967
0.03968542,0.003,-0.582,9.967
0.043654036,0.003,-0.62,9.967
0.04762288,0.003,-0.582,9.967
0.05159196,0.003,-0.582,9.928
0.055560116,0.003,-0.582,9.967
0.059528656,0.003,-0.543,9.928
0.063497126,0.003,-0.582,9.967
0.06746536,0.003,-0.582,9.967
0.07143428,0.003,-0.543,9.928
0.075403154,0.003,-0.582,9.967
0.07937215,0.003,-0.582,9.967
0.08334053,0.003,-0.582,9.967
0.087308615,0.003,-0.582,9.967
0.09127738,0.042,-0.582,9.967
0.095246464,0.042,-0.582,10.005
0.09921508,0.042,-0.543,9.967
0.10318308,0.042,-0.582,9.928
0.107151695,0.042,-0.582,9.967
0.11111971,0.003,-0.582,9.967
0.11508825,0.042,-0.582,9.967
0.11905625,0.003,-0.582,10.005
0.123024344,0.003,-0.582,9.967
0.12699273,0.003,-0.582,9.967
0.13096073,0.042,-0.582,9.967
0.13492925,0.042,-0.543,9.967
0.13889755,0.003,-0.582,9.967
0.14286625,0.003,-0.582,9.928
0.1468351,0.003,-0.582,9.928
0.15080395,0.003,-0.582,9.967
0.15477297,0.003,-0.582,9.967
0.15874217,0.003,-0.582,9.928
0.16271073,0.003,-0.543,9.928
0.16667971,0.003,-0.543,10.005
0.17064936,0.003,-0.582,9.967
0.17461844,0.003,-0.582,9.928
0.17858703,0.003,-0.543,9.967
0.18255542,0.042,-0.582,9.967
0.18652403,0.003,-0.582,9.967
0.19049272,0.003,-0.62,9.967
0.19446144,0.042,-0.582,10.005
0.19842997,0.003,-0.582,9.967
0.20239897,0.003,-0.582,9.967
0.20636797,0.003,-0.582,9.967
0.21033728,0.003,-0.543,9.928
0.21430591,0.003,-0.543,9.967
0.21827488,0.003,-0.582,10.005
0.22224389,0.003,-0.582,10.043
0.22621359,0.003,-0.543,10.005
0.23018274,0.042,-0.543,9.928
0.23415235,0.003,-0.582,9.928
0.23812158,0.042,-0.543,9.967
0.2420906,0.042,-0.582,10.005
0.24605936,0.003,-0.582,9.967
0.25002876,0.003,-0.543,9.967
0.25399783,0.003,-0.543,9.928
0.257967,0.042,-0.543,9.967
0.26193646,0.003,-0.582,9.928
0.26590496,0.003,-0.582,9.967
0.26987353,0.003,-0.582,9.967
0.27384242,0.042,-0.582,9.967
0.27781153,0.003,-0.582,9.928
0.2817803,0.003,-0.62,10.005
0.28574923,0.042,-0.62,9.967
0.2897175,0.003,-0.582,9.928
0.29368573,0.042,-0.582,10.005
0.2976546,0.042,-0.582,9.967
0.30162364,0.003,-0.582,9.967
0.30559257,0.003,-0.582,9.967
0.3095615,0.003,-0.582,9.967
0.3135299,-0.034,-0.543,9.967
0.31749824,0.003,-0.543,9.928
0.32146707,0.003,-0.582,9.928
0.32543552,0.042,-0.582,9.967
0.32940382,0.003,-0.582,9.967
0.33337182,0.003,-0.543,9.967
0.33734012,0.003,-0.543,9.967
0.34130874,0.003,-0.582,9.967
0.3452772,0.042,-0.582,9.967
0.34924605,0.003,-0.543,10.005
0.3532147,0.042,-0.543,10.005
0.35718337,0.003,-0.582,9.967
0.36115202,0.042,-0.543,9.928
0.3651212,0.003,-0.582,9.967
0.36909035,0.003,-0.582,9.967
0.37305933,0.003,-0.582,9.967
0.37702772,0.003,-0.543,9.928
0.38099656,0.003,-0.582,9.967
0.38496512,0.042,-0.582,9.967
0.38893473,0.003,-0.582,9.967
0.39290392,0.003,-0.582,9.967
0.396873,0.003,-0.582,9.967
0.40084177,0.003,-0.582,9.967
0.40481037,0.003,-0.582,9.928
0.40877885,0.003,-0.62,9.928
0.41274717,0.003,-0.582,9.928
0.41671586,0.042,-0.582,9.967
0.4206854,0.042,-0.62,9.967
0.42465433,0.003,-0.62,9.967
0.42862272,0.003,-0.543,10.005
0.4325913,0.042,-0.543,9.967
0.4365593,0.042,-0.543,9.967
0.440529,0.042,-0.582,10.005
0.444498,0.003,-0.543,9.967
0.4484677,0.042,-0.62,9.967
0.45243654,0.003,-0.543,9.967
0.456405,0.042,-0.582,9.967
0.4603734,0.042,-0.582,9.928
0.46434194,0.003,-0.62,9.967
0.46831033,0.042,-0.582,9.967
0.47227916,0.042,-0.582,9.967
0.47624755,0.003,-0.582,9.967
