TIME,X,Y,Z
0.0,0.157,-0.39,9.354
0.003964154,0.118,-0.428,10.005
0.007928786,0.157,-0.428,9.967
0.011893863,0.157,-0.39,9.967
0.015858479,0.118,-0.428,9.928
0.019822532,0.118,-0.428,9.928
0.023786532,0.118,-0.428,9.967
0.027750764,0.118,-0.428,9.967
0.03171475,0.118,-0.428,9.89
0.035679206,0.118,-0.428,9.89
0.0396429,0.157,-0.428,9.967
0.043606974,0.118,-0.467,9.967
0.047571052,0.157,-0.467,9.967
0.051534437,0.157,-0.428,9.928
0.055497915,0.118,-0.428,9.967
0.05946153,0.118,-0.428,9.928
0.06342546,0.157,-0.39,10.005
0.06738931,0.157,-0.428,9.928
0.071353,0.157,-0.428,9.928
0.07531708,0.157,-0.467,9.967
0.07928139,0.118,-0.467,9.928
0.08324493,0.157,-0.467,10.005
0.087208696,0.195,-0.467,9.928
0.091172636,0.195,-0.428,10.005
0.09513587,0.157,-0.467,9.967
0.0990994,0.195,-0.428,9.967
0.10306285,0.157,-0.428,9.928
0.1070267,0.157,-0.428,9.928
0.1109904,0.157,-0.467,9.928
0.1149539,0.118,-0.428,9.928
0.11891666,0.118,-0.428,9.928
0.12288051,0.118,-0.428,9.967
0.12684429,0.118,-0.467,9.928
0.13080774,0.157,-0.467,9.967
0.13477129,0.157,-0.428,9.928
0.13873525,0.118,-0.39,9.928
0.14269924,0.157,-0.428,9.928
0.14666355,0.157,-0.428,9.928
0.15062802,0.118,-0.428,9.928
0.15459193,0.157,-0.467,9.967
0.15855563,0.118,-0.428,9.928
0.16251993,0.118,-0.428,9.967
0.16648348,0.118,-0.467,9.928
0.17044725,0.118,-0.428,9.928
0.17441094,0.157,-0.467,9.967
0.17837448,0.157,-0.428,9.928
0.18233863,0.118,-0.39,9.967
0.18630272,0.157,-0.39,9.967
0.19026619,0.118,-0.428,9.928
0.19423027,0.157,-0.39,9.928
0.19819474,0.157,-0.428,9.89
0.20215927,0.157,-0.428,9.928
0.20612288,0.157,-0.428,9.928
0.21008657,0.157,-0.428,9.967
0.21405028,0.157,-0.428,9.928
0.2180141,0.157,-0.428,9.928
0.22197784,0.157,-0.428,9.967
0.22594123,0.157,-0.428,9.967
0.22990453,0.157,-0.428,9.967
0.23386823,0.157,-0.428,9.967
0.23783162,0.157,-0.428,9.928
0.24179515,0.157,-0.39,9.967
0.24575868,0.157,-0.428,9.967
0.24972239,0.157,-0.39,9.928
0.253686,0.118,-0.39,9.967
0.25764975,0.157,-0.39,9.967
0.26161322,0.118,-0.428,9.928
0.26557666,0.118,-0.467,9.967
0.26954073,0.118,-0.428,9.967
0.27350408,0.157,-0.428,9.967
0.2774672,0.118,-0.428,9.967
0.2814307,0.118,-0.428,9.928
0.28539398,0.157,-0.428,9.928
0.28935754,0.118,-0.428,9.852
0.29332078,0.157,-0.428,9.967
0.29728514,0.118,-0.428,9.967
0.30124924,0.118,-0.467,9.928
0.30521277,0.157,-0.428,9.967
0.3091763,0.118,-0.428,9.89
0.31313962,0.118,-0.467,9.928
0.31710315,0.118,-0.428,9.967
0.32106724,0.157,-0.428,9.967
0.32503152,0.157,-0.428,9.928
0.32899573,0.157,-0.428,9.967
0.33295944,0.157,-0.428,9.967
0.3369233,0.157,-0.428,9.928
0.34088722,0.157,-0.428,9.928
0.34485102,0.118,-0.39,9.928
0.3488148,0.157,-0.428,9.928
0.35277918,0.157,-0.428,9.967
0.35674295,0.157,-0.428,9.967
0.36070755,0.157,-0.428,9.967
0.3646707,0.157,-0.428,9.928
0.36863407,0.157,-0.467,10.005
0.3725984,0.157,-0.428,9.928
0.37656224,0.157,-0.467,9.967
0.38052619,0.118,-0.428,9.967
0.38449025,0.118,-0.428,9.967
0.38845384,0.157,-0.428,9.928
0.3924178,0.118,-0.428,9.967
0.3963814,0.118,-0.428,9.967
0.4003451,0.118,-0.467,9.967
0.40430832,0.157,-0.428,9.967
0.408272,0.157,-0.467,9.967
0.41223633,0.118,-0.467,9.928
0.41619977,0.157,-0.428,9.967
0.4201636,0.118,-0.428,9.967
0.42412806,0.157,-0.428,9.967
0.42809254,0.157,-0.428,9.928
0.43205655,0.157,-0.428,9.928
0.43602023,0.157,-0.428,9.89
0.43998393,0.157,-0.39,9.967
0.44394785,0.157,-0.428,9.928
0.44791156,0.157,-0.467,9.928
0.45187572,0.118,-0.428,9.928
0.45584047,0.157,-0.428,9.967
0.4598048,0.157,-0.467,9.928
0.46376893,0.157,-0.428,9.928
0.46773294,0.157,-0.428,9.928
0.47169656,0.118,-0.428,9.89
0.47566023,0.157,-0.428,9.928
0.47962415,0.118,-0.467,9.967
0.4835883,0.118,-0.428,9.967
0.48755217,0.157,-0.428,9.928
0.4915158,0.157,-0.428,9.967
0.49547976,0.157,-0.428,9.967
0.499443,0.157,-0.467,9.967
0.5034064,0.157,-0.467,9.928
0.5073702,0.157,-0.467,9.967
0.5113344,0.157,-0.39,9.928
0.5152983,0.118,-0.428,9.967
0.5192625,0.118,-0.428,9.967
0.52322626,0.157,-0.428,9.967
0.52718973,0.157,-0.428,9.967
0.5311534,0.118,-0.467,9.967
0.5351174,0.157,-0.467,9.967
0.53908056,0.157,-0.39,9.967
0.5430448,0.157,-0.467,9.967
0.5470089,0.118,-0.467,9.928
0.5509727,0.118,-0.428,9.928
0.55493706,0.157,-0.467,9.967
0.5589022,0.157,-0.428,9.928
0.5628668,0.118,-0.428,9.967
0.5668307,0.118,-0.428,9.967
0.57079464,0.157,-0.428,9.89
0.57475865,0.118,-0.467,9.928
0.57872325,0.195,-0.39,9.928
0.5826878,0.157,-0.428,9.967
0.5866516,0.118,-0.467,9.89
0.5906155,0.118,-0.428,9.928
0.59457976,0.157,-0.428,9.89
0.5985438,0.157,-0.467,9.928
0.6025078,0.157,-0.467,9.928
0.60647255,0.157,-0.428,9.89
0.6104362,0.157,-0.428,9.967
0.6144003,0.157,-0.428,9.967
0.61836433,0.118,-0.428,9.967
0.6223293,0.157,-0.428,10.005
0.62629384,0.157,-0.467,9.967
0.6302577,0.118,-0.467,9.928
0.634222,0.118,-0.428,9.928
0.6381868,0.157,-0.467,9.967
0.6421512,0.157,-0.467,10.005
0.6461152,0.157,-0.428,9.967
0.65007937,0.118,-0.428,10.005
0.65404326,0.157,-0.428,9.967
0.6580081,0.157,-0.428,9.89
0.6619732,0.118,-0.467,9.89
0.66593784,0.157,-0.467,9.967
0.6699025,0.157,-0.467,9.928
0.6738666,0.118,-0.467,9.928
0.6778316,0.157,-0.39,10.005
0.6817964,0.157,-0.428,9.928
0.6857609,0.118,-0.467,9.928
0.68972546,0.157,-0.428,9.967
0.6936896,0.118,-0.428,9.967
0.69765383,0.118,-0.467,9.928
0.7016176,0.118,-0.428,9.928
0.7055816,0.157,-0.428,9.967
0.70954615,0.157,-0.428,9.967
0.7135108,0.157,-0.428,9.928
0.71747524,0.157,-0.467,9.928
0.7214398,0.157,-0.428,9.967
0.72540426,0.157,-0.428,9.967
0.72936815,0.157,-0.467,9.89
0.7333324,0.195,-0.467,9.967
0.7372969,0.118,-0.428,9.928
0.74126136,0.118,-0.428,9.967
0.7452258,0.118,-0.428,9.928
0.74919033,0.118,-0.428,9.928
0.75315505,0.157,-0.428,9.928
0.7571199,0.157,-0.428,9.967
0.76108444,0.157,-0.428,9.967
0.76504964,0.118,-0.467,9.928
0.7690153,0.118,-0.428,9.967
0.77298015,0.157,-0.428,9.928
0.77694464,0.157,-0.39,9.967
0.7809092,0.157,-0.467,9.967
