TIME,X,Y,Z
0.0,0.042,-0.314,9.852
0.003953462,0.042,-0.314,9.928
0.007906762,0.042,-0.275,9.89
0.011859839,0.08,-0.314,9.928
0.015812378,0.042,-0.314,9.89
0.01976515,0.042,-0.314,9.89
0.023718229,0.042,-0.314,9.928
0.027670763,0.003,-0.314,9.928
0.031623643,0.042,-0.314,9.928
0.035576258,0.042,-0.314,9.928
0.039529487,0.042,-0.352,9.928
0.0434829,-0.034,-0.314,9.89
0.047436286,-0.034,-0.314,9.928
0.05138967,0.003,-0.314,9.89
0.055342153,0.003,-0.352,9.928
0.059294384,-0.034,-0.314,9.928
0.06324723,0.003,-0.314,9.928
0.06720032,0.003,-0.352,9.89
0.0711534,0.003,-0.314,9.928
0.07510671,0.042,-0.314,9.89
0.07905973,0.042,-0.314,9.89
0.08301288,0.003,-0.275,9.928
0.08696611,0.042,-0.314,9.928
0.09091952,0.042,-0.314,9.928
0.09487336,0.08,-0.314,9.928
0.09882644,0.042,-0.314,9.928
0.10277937,0.042,-0.314,9.89
0.106732376,0.003,-0.314,9.928
0.11068545,0.003,-0.314,9.89
0.11463892,0.003,-0.39,9.928
0.11859223,0.003,-0.352,9.928
0.122545615,0.003,-0.352,9.89
0.12649871,0.003,-0.314,9.928
0.13045149,0.003,-0.352,9.928
0.1344055,0.042,-0.314,9.89
0.13835949,0.003,-0.314,9.928
0.1423138,0.042,-0.314,9.89
0.14626795,0.042,-0.352,9.928
0.15022165,0.042,-0.314,9.928
0.15417449,0.042,-0.314,9.89
0.15812765,0.003,-0.314,9.928
0.1620815,0.042,-0.314,9.89
0.16603532,0.003,-0.314,9.967
0.16998933,0.003,-0.314,9.928
0.17394267,0.003,-0.352,9.89
0.17789574,0.042,-0.352,9.89
0.18184859,0.003,-0.314,9.928
0.1858013,0.003,-0.314,9.89
0.18975398,0.042,-0.352,9.928
0.19370738,0.042,-0.352,9.89
0.1976607,0.003,-0.314,9.928
0.2016137,0.003,-0.314,9.89
0.20556654,0.042,-0.314,9.89
0.20951955,0.042,-0.314,9.928
0.21347255,0.003,-0.352,9.89
0.21742594,0.042,-0.314,9.928
0.22137915,0.042,-0.314,9.89
0.22533232,0.042,-0.314,9.89
0.22928485,0.042,-0.275,9.852
0.2332376,0.042,-0.314,9.967
0.23719092,0.003,-0.352,9.89
0.24114423,0.042,-0.314,9.89
0.24509643,0.003,-0.314,9.967
0.24904922,0.003,-0.352,9.928
0.25300252,0.003,-0.314,9.89
0.25695622,0.003,-0.314,9.928
0.26090944,0.003,-0.275,9.928
0.2648625,0.003,-0.314,9.928
0.26881588,0.003,-0.314,9.928
0.27276897,0.042,-0.275,9.852
0.2767215,0.003,-0.314,9.928
0.2806741,0.003,-0.352,9.89
0.28462663,0.003,-0.314,9.89
0.28857926,0.003,-0.352,9.89
0.2925318,0.042,-0.314,9.928
0.29648462,0.003,-0.352,9.928
0.3004374,0.042,-0.314,9.967
0.30438998,0.003,-0.314,9.928
0.30834264,0.003,-0.352,9.89
0.31229562,0.003,-0.314,9.852
0.31624877,0.042,-0.314,9.852
0.3202023,0.042,-0.352,9.928
0.3241555,0.003,-0.314,9.89
0.32810855,0.003,-0.275,9.928
0.33206186,0.003,-0.314,9.89
0.3360147,0.042,-0.352,9.89
0.3399675,0.003,-0.352,9.967
0.34392056,0.042,-0.314,9.928
0.34787348,0.003,-0.314,9.89
0.35182616,0.003,-0.314,9.852
0.3557791,0.042,-0.314,9.89
0.3597317,0.042,-0.314,9.928
0.3636847,0.003,-0.352,9.89
0.36763772,0.003,-0.314,9.967
0.3715905,0.003,-0.314,9.89
0.37554327,0.042,-0.314,9.852
0.3794958,0.003,-0.314,9.89
0.3834492,0.003,-0.314,9.928
0.38740185,0.042,-0.352,9.928
0.39135402,0.003,-0.314,9.89
0.39530694,0.003,-0.314,9.89
0.39925972,0.003,-0.314,9.89
0.4032121,0.042,-0.352,9.852
0.40716502,0.042,-0.314,9.928
0.41111746,0.003,-0.314,9.928
0.41506994,0.003,-0.352,9.928
0.4190228,0.042,-0.352,9.928
0.42297632,0.042,-0.352,9.89
0.4269298,0.042,-0.314,9.852
0.43088326,0.042,-0.314,9.928
0.43483686,0.042,-0.275,9.928
0.43879104,0.08,-0.314,9.928
0.44274473,0.08,-0.352,9.89
0.44669822,0.08,-0.314,9.89
0.45065242,0.042,-0.314,9.928
0.45460626,0.003,-0.314,9.89
0.45855975,0.003,-0.314,9.89
0.4625134,-0.034,-0.39,9.928
0.46646696,-0.034,-0.352,9.89
0.47042006,-0.034,-0.352,9.89
0.4743733,-0.034,-0.352,9.89
0.47832692,-0.034,-0.314,9.928
0.48228037,-0.034,-0.352,9.928
0.48623368,0.042,-0.314,9.928
0.49018663,0.042,-0.314,9.89
0.49413955,0.042,-0.314,9.928
0.49809277,0.08,-0.314,9.967
0.502046,0.118,-0.275,9.89
0.5059992,0.118,-0.314,9.89
0.50995237,0.118,-0.275,9.928
0.5139054,0.08,-0.314,9.928
0.5178588,0.042,-0.314,9.928
0.5218125,0.003,-0.314,9.89
0.52576566,-0.034,-0.352,9.928
0.5297186,-0.034,-0.314,9.89
0.53367186,-0.072,-0.39,9.89
0.53762484,-0.034,-0.314,9.928
0.54157823,-0.034,-0.352,9.928
0.54553187,0.003,-0.314,9.928
0.54948556,0.042,-0.314,9.89
0.553439,0.118,-0.275,9.928
0.5573926,0.118,-0.314,9.928
0.5613465,0.08,-0.275,9.89
0.5653005,0.08,-0.314,9.89
0.56925434,0.08,-0.275,9.89
0.5732078,0.08,-0.314,9.928
0.5771618,0.003,-0.314,9.89
0.5811156,0.003,-0.39,9.928
0.58506966,0.003,-0.352,9.89
0.5890231,-0.034,-0.352,9.89
0.5929763,-0.072,-0.352,9.928
0.5969289,-0.034,-0.314,9.928
0.6008823,-0.034,-0.352,9.928
0.6048355,0.003,-0.352,9.89
0.608789,0.003,-0.352,9.89
0.6127422,0.003,-0.314,9.852
0.6166952,0.042,-0.314,9.89
0.62064856,0.08,-0.352,9.928
0.6246017,0.118,-0.314,9.89
0.6285549,0.08,-0.314,9.89
0.6325075,0.042,-0.275,9.89
0.63646036,0.042,-0.352,9.89
0.6404134,0.042,-0.352,9.89
0.6443671,0.042,-0.314,9.89
0.6483211,0.042,-0.314,9.928
0.6522744,0.003,-0.314,9.89
0.656228,-0.034,-0.352,9.89
0.6601824,-0.034,-0.352,9.89
0.6641354,-0.034,-0.352,9.928
0.6680886,-0.034,-0.352,9.967
0.67204183,-0.034,-0.352,9.814
0.6759949,0.042,-0.352,9.928
0.6799479,0.042,-0.314,9.89
0.6839013,0.042,-0.314,9.928
0.68785465,0.042,-0.314,9.89
0.6918083,0.08,-0.314,9.89
0.6957617,0.08,-0.314,9.928
0.69971496,0.042,-0.314,9.928
0.7036686,0.042,-0.314,9.928
0.70762193,0.042,-0.314,9.928
0.711575,0.042,-0.314,9.928
0.7155284,0.042,-0.314,9.89
0.7194816,0.042,-0.314,9.89
0.7234348,0.003,-0.352,9.89
0.727388,0.003,-0.352,9.928
0.7313414,0.003,-0.352,9.928
0.735295,-0.034,-0.39,9.89
0.7392485,0.003,-0.352,9.928
0.7432024,0.042,-0.314,9.89
0.7471561,0.042,-0.314,9.89
0.75110984,0.042,-0.352,9.89
0.7550639,0.042,-0.314,9.852
0.75901777,0.08,-0.314,9.928
0.76297224,0.042,-0.314,9.967
0.7669266,0.042,-0.275,9.89
0.7708808,0.003,-0.314,9.928
0.7748357,-0.034,-0.314,9.852
0.7787898,-0.034,-0.314,9.967
0.7827438,0.003,-0.314,9.852
0.78669834,0.003,-0.275,9.967
0.79065263,0.003,-0.352,9.89
0.7946063,0.042,-0.314,9.89
0.79856014,0.042,-0.314,9.89
0.80251354,0.08,-0.275,9.852
0.80646694,0.042,-0.314,9.89
0.8104206,0.042,-0.314,9.89
0.8143743,0.042,-0.314,9.928
0.81832796,0.042,-0.314,9.89
0.8222816,0.042,-0.314,9.928
0.82623506,0.003,-0.314,9.89
0.83018863,-0.034,-0.352,9.928
0.8341423,0.003,-0.314,9.89
0.83809596,0.003,-0.314,9.89
0.8420495,0.003,-0.352,9.928
0.84600306,0.003,-0.314,9.967
0.8499569,0.042,-0.314,9.928
0.85391086,0.042,-0.275,9.928
0.8578644,0.003,-0.314,9.928
0.8618179,0.042,-0.314,9.928
0.8657715,0.042,-0.275,9.928
0.8697248,0.042,-0.314,9.852
0.87367827,0.042,-0.314,9.89
0.8776317,0.042,-0.352,9.89
0.88158506,0.042,-0.314,9.928
0.8855383,0.003,-0.314,9.89
0.8894914,0.003,-0.314,9.89
0.8934447,0.003,-0.314,9.89
0.897398,0.003,-0.314,9.89
0.90135133,0.003,-0.314,9.928
0.9053052,0.003,-0.314,9.89
0.90925854,0.003,-0.275,9.89
0.91321176,0.003,-0.275,9.89
0.91716486,0.042,-0.352,9.928
0.9211182,0.003,-0.275,9.928
0.92507166,0.042,-0.314,9.89
0.9290251,0.042,-0.314,9.928
0.93297845,0.003,-0.314,9.89
0.9369319,0.003,-0.352,9.928
0.9408849,0.042,-0.314,9.89
0.944838,0.042,-0.314,9.89
0.9487914,0.042,-0.314,9.89
0.9527444,0.003,-0.314,9.852
