TIME,X,Y,Z
0.0,-0.114089966,0.06452942,9.8090515
0.002471924,-0.138031,0.03340149,9.888046
0.005004883,-0.09492493,0.0070648193,9.794678
0.007507324,-0.063812256,0.0549469,9.785095
0.010009766,-0.106903076,0.04536438,9.80426
0.012542725,-0.09492493,0.03100586,9.878479
0.015045166,-0.1212616,0.02381897,9.825806
0.017547607,-0.10450745,0.03819275,9.830597
0.020050049,-0.080566406,0.06930542,9.811432
0.02255249,-0.111694336,0.06930542,9.787491
0.025085447,-0.0925293,0.05973816,9.84256
0.027587892,-0.106903076,0.05973816,9.864105
0.030090332,-0.0925293,0.06930542,9.832993
0.032592773,-0.109298706,0.04296875,9.825806
0.035095215,-0.13323975,0.05973816,9.787491
0.037597656,-0.106903076,0.06690979,9.775528
0.040130615,-0.07098389,0.09086609,9.816223
0.042633057,-0.09971619,0.06452942,9.8688965
0.045135494,-0.14759827,0.04296875,9.797073
0.04763794,-0.109298706,0.02381897,9.773132
0.0501709,-0.063812256,0.07170105,9.818619
0.05267334,-0.085357666,0.05734253,9.828201
0.05517578,-0.07817078,0.05015564,9.864105
0.057678223,-0.111694336,0.04776001,9.825806
0.060211185,-0.10450745,0.06690979,9.821014
0.06271362,-0.109298706,0.04776001,9.794678
0.065216064,-0.11886597,0.04536438,9.8138275
0.067718506,-0.0925293,0.04776001,9.785095
0.07022095,-0.10450745,0.05255127,9.806656
0.07272339,-0.12365723,0.05973816,9.799469
0.075256355,-0.16197205,0.07888794,9.797073
0.07775879,-0.0925293,0.06690979,9.806656
0.08026123,-0.11886597,0.06690979,9.832993
0.08276367,-0.111694336,0.01902771,9.835388
0.08526611,-0.0925293,0.011856079,9.840164
0.08779907,-0.12365723,0.04057312,9.787491
0.09030151,-0.142807,0.07170105,9.758774
0.092803955,-0.1212616,0.06213379,9.876083
0.0953064,-0.12365723,0.0549469,9.914383
0.09780884,-0.13084412,0.01663208,9.828201
0.10031128,-0.13323975,0.0836792,9.789886
0.10284424,-0.114089966,0.06213379,9.8138275
0.1053772,-0.085357666,0.05015564,9.801865
0.10787964,-0.10450745,0.08607483,9.811432
0.11038208,-0.09492493,0.08128357,9.876083
0.11288452,-0.1212616,0.06213379,9.840164
0.11538696,-0.16436768,0.06690979,9.785095
0.117889404,-0.042251587,0.0549469,9.818619
0.120391846,-0.09971619,0.03100586,9.821014
0.122924805,-0.14759827,0.06930542,9.80426
0.12545776,-0.106903076,0.09324646,9.852142
0.1279602,-0.12365723,0.05255127,9.82341
0.13043213,-0.07817078,0.07888794,9.837769
0.13293457,-0.056625366,0.09324646,9.830597
0.13546753,-0.13084412,0.09564209,9.849747
0.13796997,-0.09492493,0.07888794,9.876083
0.14050293,-0.1212616,0.09564209,9.828201
0.14300537,-0.14042664,0.06452942,9.806656
0.14550781,-0.106903076,0.05255127,9.816223
0.14801025,-0.080566406,0.05015564,9.799469
0.1505127,-0.138031,0.07170105,9.8138275
0.15301514,-0.12605286,0.09086609,9.856934
0.15551758,-0.090148926,0.03340149,9.840164
0.15805054,-0.106903076,0.009460449,9.859329
