TIME,X,Y,Z
0.0,-0.07337952,0.03340149,9.720459
0.002502442,-0.12844849,0.07649231,9.821014
0.005004883,-0.12844849,0.06213379,9.837769
0.007537842,-0.085357666,0.05255127,9.849747
0.010040283,-0.11647034,0.05015564,9.8138275
0.012542725,-0.085357666,0.0549469,9.818619
0.015045166,-0.0925293,0.09324646,9.821014
0.017578123,-0.09732056,0.03579712,9.8688965
0.020080568,-0.06858826,0.06452942,9.818619
0.022583008,-0.049438477,0.06690979,9.818619
0.025085447,-0.109298706,0.08847046,9.864105
0.027618408,-0.09732056,0.05973816,9.866501
0.03012085,-0.07098389,0.10522461,9.878479
0.03265381,-0.044647217,0.09324646,9.847351
0.035156246,-0.13563538,0.02381897,9.785095
0.03765869,-0.082962036,0.06452942,9.84256
0.040161133,-0.07817078,0.10762024,9.8090515
0.042663574,-0.085357666,0.07888794,9.866501
0.045166016,-0.090148926,0.07409668,9.900024
0.047698975,-0.106903076,0.09086609,9.82341
0.050201416,-0.13323975,0.06690979,9.854538
0.052734375,-0.111694336,0.07409668,9.830597
0.055236816,-0.042251587,0.07409668,9.818619
0.057739258,-0.106903076,0.06690979,9.873688
0.0602417,-0.14042664,0.08128357,9.844955
0.06274414,-0.07098389,0.05973816,9.825806
0.0652771,-0.106903076,0.07170105,9.840164
0.06777954,-0.09732056,0.04776001,9.787491
0.07031249,-0.10450745,0.07409668,9.835388
0.07281494,-0.114089966,0.04296875,9.888046
0.07531738,-0.111694336,0.07409668,9.835388
0.077819824,-0.085357666,0.07170105,9.749191
0.080322266,-0.109298706,0.06213379,9.82341
0.082855225,-0.11886597,0.05255127,9.844955
0.085357666,-0.07817078,0.03100586,9.873688
0.087860115,-0.07817078,0.05973816,9.84256
0.09039307,-0.09732056,0.06452942,9.830597
0.0928955,-0.106903076,0.09324646,9.837769
0.09542847,-0.11886597,0.07649231,9.84256
0.097930916,-0.09492493,0.04536438,9.892838
0.10043335,-0.07577515,0.04057312,9.837769
0.10293579,-0.087753296,0.07409668,9.801865
0.10543823,-0.111694336,0.06213379,9.818619
0.107940674,-0.10450745,0.1171875,9.797073
