TIME,X,Y,Z
0.0,-0.059020996,0.10043335,9.703705
0.002471924,-0.087753296,0.08128357,9.8688965
0.005004883,-0.085357666,0.0836792,9.856934
0.007537842,-0.07817078,0.03340149,9.859329
0.010040284,-0.10450745,0.07409668,9.797073
0.012512207,-0.09732056,0.07649231,9.8090515
0.015014649,-0.0925293,0.06690979,9.840164
0.017547607,-0.059020996,0.04536438,9.864105
0.020050049,-0.09971619,0.07170105,9.880875
0.022583008,-0.114089966,0.05734253,9.777924
0.02508545,-0.07098389,0.04776001,9.785095
0.027587892,-0.087753296,0.04776001,9.828201
0.030090332,-0.114089966,0.06930542,9.854538
0.032592773,-0.07337952,0.05015564,9.782715
0.035095215,-0.111694336,0.02142334,9.818619
0.037628178,-0.109298706,0.03579712,9.88327
0.040130615,-0.09732056,0.07888794,9.782715
0.042663574,-0.10211182,0.02861023,9.785095
0.045166016,-0.07577515,0.03579712,9.821014
0.047668457,-0.09732056,0.06690979,9.837769
0.0501709,-0.1212616,0.07649231,9.801865
0.05267334,-0.10450745,0.06213379,9.82341
0.055175785,-0.109298706,0.05973816,9.8138275
0.05770874,-0.109298706,0.03819275,9.885666
0.060211185,-0.0925293,0.09324646,9.849747
0.06271362,-0.09971619,0.06452942,9.785095
0.065216064,-0.109298706,0.04057312,9.799469
0.06774902,-0.11886597,0.04296875,9.84256
0.070251465,-0.0925293,0.06690979,9.840164
0.072753906,-0.13084412,0.06213379,9.854538
0.075256355,-0.090148926,0.06930542,9.830597
0.07778931,-0.0925293,0.06930542,9.821014
0.08029174,-0.085357666,0.03100586,9.835388
0.08279419,-0.1212616,0.05015564,9.768341
0.08529663,-0.09732056,0.0836792,9.890442
0.08782959,-0.080566406,0.10043335,9.888046
0.09033203,-0.056625366,0.04057312,9.797073
0.09283447,-0.087753296,0.05255127,9.806656
0.095336914,-0.0925293,0.06452942,9.88327
0.09786987,-0.082962036,0.08128357,9.82341
0.100372314,-0.13323975,0.03100586,9.837769
0.10290527,-0.10211182,0.03579712,9.82341
0.105407715,-0.09492493,0.05734253,9.832993
0.10791016,-0.07817078,0.05973816,9.840164
0.1104126,-0.09971619,0.0836792,9.792282
0.11291504,-0.111694336,0.05255127,9.859329
0.115448,-0.085357666,0.07170105,9.8688965
0.11795044,-0.11886597,0.06452942,9.88327
0.12045288,-0.09971619,0.05734253,9.825806
0.12295532,-0.0925293,0.04057312,9.789886
0.12545776,-0.106903076,0.0549469,9.797073
0.1279602,-0.11886597,0.06213379,9.8688965
0.13049316,-0.1212616,0.07409668,9.8090515
0.1329956,-0.09732056,0.09564209,9.797073
0.13552856,-0.080566406,0.05255127,9.811432
0.138031,-0.090148926,0.10282898,9.811432
0.14053345,-0.13563538,0.07888794,9.880875
0.14303589,-0.1212616,0.06930542,9.859329
0.14553833,-0.12365723,0.09324646,9.866501
0.14804077,-0.1212616,0.04536438,9.811432
0.15057373,-0.07817078,0.05734253,9.785095
0.15307617,-0.054229736,0.05255127,9.811432
0.15557861,-0.07098389,0.05734253,9.82341
0.15808105,-0.09492493,0.0549469,9.797073
0.16061401,-0.087753296,0.05015564,9.792282
0.16311646,-0.11886597,0.04296875,9.828201
0.1656189,-0.09732056,0.04536438,9.856934
0.16812134,-0.09971619,0.07649231,9.830597
0.17062378,-0.1212616,0.05015564,9.832993
0.17312622,-0.080566406,0.03819275,9.856934
0.17565918,-0.090148926,0.07170105,9.830597
0.17816162,-0.13323975,0.02142334,9.840164
0.18066406,-0.109298706,0.02861023,9.856934
0.18319702,-0.12844849,0.06690979,9.8090515
0.18569946,-0.07337952,0.06452942,9.852142
0.1882019,-0.0925293,0.07409668,9.837769
0.19070435,-0.087753296,0.04296875,9.80426
0.19320679,-0.09732056,0.0070648193,9.856934
0.19573975,-0.082962036,0.04296875,9.895233
0.19824219,-0.12365723,0.05734253,9.844955
0.20074463,-0.106903076,0.06930542,9.835388
0.20324707,-0.106903076,0.04296875,9.787491
0.2057495,-0.07098389,0.04536438,9.792282
0.20828247,-0.07817078,0.05255127,9.86171
0.21078491,-0.109298706,0.06690979,9.859329
0.21328735,-0.114089966,0.05255127,9.785095
0.21582033,-0.0925293,0.02861023,9.816223
0.21832275,-0.07577515,0.03819275,9.801865
0.2208252,-0.07098389,0.05015564,9.844955
0.22332764,-0.09492493,0.04057312,9.832993
0.2258606,-0.1212616,0.03579712,9.86171
0.22836304,-0.11647034,0.03579712,9.849747
0.23086548,-0.09732056,0.04776001,9.782715
0.23336792,-0.090148926,0.0836792,9.797073
0.23590088,-0.059020996,0.04776001,9.792282
0.23840334,-0.063812256,0.06690979,9.86171
0.24090576,-0.12844849,0.03579712,9.811432
0.2434082,-0.082962036,0.02861023,9.816223
0.24591064,-0.111694336,0.05255127,9.816223
0.2484436,-0.11647034,0.05255127,9.86171
0.25094604,-0.07817078,0.05015564,9.80426
0.2534485,-0.039855957,0.05734253,9.765945
0.25598145,-0.07817078,0.03579712,9.8138275
0.2584839,-0.12844849,0.06213379,9.856934
0.26098633,-0.09732056,0.08128357,9.761154
0.26348877,-0.12844849,0.06930542,9.849747
0.2659912,-0.085357666,0.07888794,9.832993
0.26852417,-0.07337952,0.05734253,9.811432
