TIME,X,Y,Z
0.0,-0.06858826,0.0262146,9.787491
0.002502442,-0.07817078,0.0549469,9.787491
0.005004883,-0.085357666,0.03579712,9.789886
0.007507325,-0.09732056,0.03579712,9.72525
0.010009766,-0.085357666,0.0262146,9.80426
0.012512207,-0.082962036,0.011856079,9.832993
0.015045166,-0.047042847,0.01902771,9.880875
0.017547607,-0.07337952,0.04536438,9.852142
0.020050049,-0.09732056,0.0262146,9.777924
0.022552492,-0.09492493,0.01902771,9.801865
0.025054932,-0.082962036,0.03100586,9.885666
0.027557371,-0.039855957,0.08607483,9.88327
0.030090332,-0.044647217,0.04296875,9.849747
0.032592773,-0.049438477,0.03579712,9.811432
0.035095215,-0.080566406,0.0262146,9.794678
0.037597656,-0.07817078,0.0046691895,9.86171
0.040100098,-0.056625366,0.01902771,9.866501
0.042633057,-0.07577515,0.03579712,9.801865
0.045135494,-0.07337952,0.0549469,9.854538
0.04763794,-0.061416626,0.014251709,9.797073
0.05014038,-0.080566406,0.009460449,9.789886
0.052642822,-0.051834106,0.009460449,9.830597
0.055145264,-0.06619263,0.03819275,9.852142
0.057647705,-0.082962036,0.04776001,9.840164
0.060180664,-0.06619263,0.04776001,9.768341
0.062683105,-0.056625366,0.03579712,9.7444
0.06518555,-0.080566406,0.04057312,9.794678
0.06768799,-0.07098389,0.02142334,9.885666
0.07022095,-0.09732056,0.0046691895,9.873688
0.07272339,-0.056625366,0.02861023,9.80426
0.07522583,-0.059020996,0.04057312,9.794678
0.07772827,-0.06619263,0.03100586,9.780319
0.08023071,-0.082962036,0.02142334,9.835388
0.08276367,-0.054229736,0.01902771,9.849747
0.08526611,-0.059020996,0.02861023,9.835388
0.087768555,-0.07577515,0.04057312,9.8138275
0.09027099,-0.09492493,0.05015564,9.777924
0.09277344,-0.082962036,0.0549469,9.818619
0.0953064,-0.080566406,0.014251709,9.818619
0.09780884,-0.027893066,0.03340149,9.816223
0.10031128,-0.061416626,0.009460449,9.8090515
0.10281372,-0.09732056,0.04296875,9.816223
0.10531616,-0.087753296,0.07170105,9.727646
0.10784912,-0.042251587,0.04296875,9.811432
0.11035156,-0.080566406,0.03340149,9.82341
0.11288452,-0.07337952,0.03340149,9.773132
0.11538696,-0.063812256,0.04296875,9.8090515
0.117889404,-0.11647034,0.01902771,9.787491
0.120391846,-0.090148926,0.04296875,9.797073
0.12289429,-0.020706177,0.014251709,9.792282
0.12539673,-0.087753296,0.05015564,9.801865
0.12789917,-0.06858826,0.02861023,9.818619
0.13040161,-0.063812256,0.04776001,9.8090515
0.13293457,-0.09732056,0.04776001,9.756378
0.13543701,-0.10450745,0.011856079,9.90242
0.13793945,-0.047042847,0.02142334,9.844955
0.1404419,-0.059020996,0.0070648193,9.785095
0.14297485,-0.07337952,0.0262146,9.80426
0.1454773,-0.082962036,0.04776001,9.768341
0.14794922,-0.07817078,0.05734253,9.8090515
0.15045166,-0.0925293,0.03100586,9.8090515
0.15298462,-0.090148926,0.05734253,9.799469
0.15548706,-0.054229736,0.04057312,9.797073
0.1579895,-0.044647217,0.03100586,9.773132
0.16049194,-0.054229736,0.03819275,9.775528
0.16299438,-0.07337952,0.03579712,9.86171
0.16549683,-0.06619263,0.06452942,9.789886
0.16802979,-0.044647217,0.05973816,9.787491
0.17053223,-0.042251587,0.0262146,9.789886
0.17303467,-0.07337952,0.0549469,9.780319
0.17553711,-0.09732056,0.03819275,9.8138275
0.17807007,-0.025497437,-0.0025177002,9.876083
0.18057251,-0.030288696,0.01902771,9.82341
0.18307495,-0.09492493,0.06690979,9.830597
0.1855774,-0.10211182,0.03819275,9.797073
0.18807983,-0.090148926,0.011856079,9.787491
0.19058228,-0.07098389,0.009460449,9.828201
0.19308472,-0.054229736,0.03340149,9.816223
0.19558716,-0.09971619,0.01902771,9.821014
0.19812012,-0.06858826,0.05255127,9.777924
0.20062256,-0.082962036,0.09803772,9.794678
0.20312499,-0.06858826,0.0262146,9.8090515
0.20562744,-0.06858826,0.01902771,9.82341
0.20812988,-0.080566406,-0.012084961,9.818619
0.21066284,-0.114089966,0.01902771,9.785095
0.21316528,-0.09971619,0.009460449,9.737213
0.21566772,-0.025497437,-0.0025177002,9.770737
0.21817017,-0.07098389,0.03819275,9.830597
0.2206726,-0.07098389,0.02381897,9.816223
0.22320557,-0.082962036,0.03579712,9.818619
0.225708,-0.039855957,0.04057312,9.80426
0.22821045,-0.051834106,0.0262146,9.799469
0.23071289,-0.09971619,0.07170105,9.825806
0.23321533,-0.063812256,0.03579712,9.837769
0.23571777,-0.082962036,0.011856079,9.84256
0.23825073,-0.0925293,0.08847046,9.8138275
0.24075317,-0.056625366,0.06690979,9.775528
0.24325562,-0.06619263,0.0070648193,9.811432
0.24575806,-0.061416626,0.01663208,9.847351
0.2482605,-0.082962036,0.02861023,9.849747
0.25079346,-0.06619263,0.011856079,9.830597
0.2532959,-0.111694336,0.01663208,9.777924
0.25579834,-0.1212616,0.03100586,9.749191
0.25830078,-0.07577515,0.03100586,9.859329
0.26083374,-0.059020996,0.04776001,9.835388
0.26333618,-0.039855957,0.01663208,9.794678
0.26583862,-0.049438477,0.03340149,9.82341
0.26834106,-0.080566406,0.05015564,9.787491
0.27087402,-0.087753296,0.02142334,9.825806
0.2733765,-0.039855957,0.02381897,9.86171
0.2758789,-0.063812256,0.04536438,9.785095
0.27838135,-0.07337952,0.03579712,9.816223
0.2808838,-0.085357666,0.03819275,9.825806
0.28338623,-0.061416626,0.04536438,9.787491
0.28588867,-0.030288696,0.03100586,9.904816
0.28842163,-0.06858826,0.014251709,9.859329
0.29089355,-0.080566406,0.02381897,9.832993
0.2934265,-0.051834106,0.011856079,9.80426
0.29592896,-0.07098389,0.06690979,9.720459
0.2984314,-0.049438477,0.05015564,9.782715
0.30093384,-0.080566406,0.03579712,9.830597
0.3034668,-0.039855957,0.07649231,9.856934
0.30596924,-0.07817078,0.04776001,9.80426
0.30847168,-0.1212616,0.08847046,9.792282
0.31100464,-0.09492493,0.05015564,9.806656
0.31350708,-0.025497437,0.02381897,9.82341
0.315979,-0.07337952,0.009460449,9.864105
0.31851196,-0.087753296,0.02381897,9.837769
0.3210144,-0.07337952,0.0549469,9.821014
0.32351685,-0.07817078,0.05734253,9.785095
0.3260193,-0.06619263,0.05015564,9.811432
0.32852173,-0.07337952,0.0022735596,9.86171
0.3310547,-0.059020996,0.014251709,9.835388
0.33355713,-0.09971619,0.02381897,9.856934
0.33605957,-0.09732056,0.05015564,9.816223
0.338562,-0.07577515,0.04057312,9.76355
0.34106445,-0.06858826,0.05015564,9.837769
0.3435669,-0.018310547,0.04057312,9.885666
0.34609985,-0.063812256,-0.00970459,9.86171
0.3486023,-0.082962036,0.011856079,9.782715
0.35110474,-0.09732056,0.0070648193,9.732437
0.35360718,-0.0925293,0.014251709,9.775528
0.35614014,-0.049438477,0.04536438,9.832993
0.35864258,-0.061416626,0.04776001,9.811432
0.36114502,-0.035079956,0.0022735596,9.82341
0.36364746,-0.042251587,0.0022735596,9.727646
0.3661499,-0.082962036,0.0046691895,9.768341
0.36865234,-0.042251587,0.04776001,9.873688
0.3711853,-0.06858826,0.03579712,9.832993
0.37368774,-0.090148926,0.02861023,9.818619
0.3761902,-0.027893066,0.04776001,9.777924
0.37869263,-0.09732056,0.06213379,9.749191
0.38119507,-0.085357666,0.014251709,9.768341
0.3836975,-0.047042847,0.05973816,9.773132
0.38623047,-0.087753296,0.04057312,9.821014
0.3887329,-0.059020996,0.04057312,9.801865
0.39123535,-0.07337952,0.0070648193,9.765945
0.3937378,-0.07817078,-0.00730896,9.758774
0.39627075,-0.06858826,0.01663208,9.8688965
0.3987732,-0.07337952,0.02861023,9.76355
0.40127563,-0.0925293,0.03579712,9.825806
0.40377808,-0.0925293,0.0262146,9.818619
0.40628052,-0.10450745,0.04776001,9.773132
0.40875244,-0.090148926,0.03340149,9.86171
0.4112854,-0.047042847,0.0070648193,9.873688
0.41381836,-0.06858826,0.01663208,9.849747
0.4163208,-0.07577515,0.03579712,9.854538
0.41882324,-0.06619263,0.03100586,9.794678
0.42132568,-0.063812256,0.04776001,9.828201
0.42382812,-0.085357666,0.0836792,9.8138275
0.42633057,-0.049438477,0.011856079,9.82341
0.42886353,-0.039855957,0.009460449,9.76355
0.43136597,-0.111694336,0.06213379,9.80426
0.4338684,-0.114089966,0.04776001,9.811432
0.43637085,-0.054229736,0.014251709,9.811432
0.4388733,-0.051834106,-0.00491333,9.856934
0.44137573,-0.085357666,0.014251709,9.8090515
0.44387817,-0.07098389,0.06213379,9.828201
0.44641113,-0.082962036,0.04296875,9.801865
0.44891357,-0.047042847,-0.0025177002,9.765945
0.451416,-0.07337952,-0.0025177002,9.856934
0.45391846,-0.051834106,0.0262146,9.888046
0.4564209,-0.087753296,0.0046691895,9.797073
0.45892334,-0.080566406,0.04296875,9.821014
0.4614563,-0.06858826,-0.00730896,9.785095
0.46395874,-0.035079956,0.0262146,9.80426
0.46646118,-0.07577515,0.06213379,9.828201
0.46899414,-0.042251587,0.02142334,9.785095
0.47149658,-0.063812256,0.04057312,9.8138275
0.47399905,-0.0925293,0.01902771,9.799469
0.47650146,-0.106903076,0.02142334,9.816223
0.4790039,-0.061416626,0.014251709,9.840164
0.48150635,-0.037475586,0.06213379,9.8138275
0.4840393,-0.09971619,0.08607483,9.80426
0.48654175,-0.106903076,0.009460449,9.785095
0.4890442,-0.09732056,0.04296875,9.667786
0.49154663,-0.06858826,0.03579712,9.806656
0.4940796,-0.07098389,0.0549469,9.847351
0.496582,-0.07098389,0.02381897,9.801865
0.49908447,-0.037475586,0.03100586,9.8138275
0.5015869,-0.106903076,0.05255127,9.765945
0.50408936,-0.13323975,0.04536438,9.746796
0.5065918,-0.061416626,0.02861023,9.840164
0.50909424,-0.061416626,0.03819275,9.80426
0.5115967,-0.059020996,0.05734253,9.873688
0.51412964,-0.07577515,0.04057312,9.818619
0.5166321,-0.082962036,0.02142334,9.76355
0.5191345,-0.063812256,0.014251709,9.811432
0.52163696,-0.080566406,0.05734253,9.84256
0.5241394,-0.042251587,0.01902771,9.821014
0.52664185,-0.07098389,-0.0025177002,9.832993
0.5291748,-0.12365723,0.02142334,9.8090515
0.53167725,-0.109298706,0.0549469,9.770737
0.5341797,-0.07817078,0.04776001,9.816223
0.5366821,-0.037475586,0.03340149,9.832993
0.5392151,-0.080566406,0.02142334,9.8688965
0.5417175,-0.051834106,0.04536438,9.799469
0.54422,-0.07577515,0.03819275,9.782715
0.5467224,-0.037475586,0.01902771,9.86171
0.54922485,-0.11886597,0.03579712,9.82341
0.5517273,-0.10450745,0.0070648193,9.799469
0.5542602,-0.07337952,0.04296875,9.799469
0.5567627,-0.07817078,0.04776001,9.785095
0.55926514,-0.090148926,0.01663208,9.777924
0.5617676,-0.056625366,0.01902771,9.854538
0.56427,-0.10211182,-0.0025177002,9.840164
0.56674194,-0.059020996,0.05015564,9.811432
0.5692749,-0.09971619,0.0836792,9.782715
0.57180786,-0.080566406,0.014251709,9.749191
0.57431024,-0.061416626,0.04536438,9.799469
0.57681274,-0.06619263,0.009460449,9.859329
0.5793457,-0.07817078,0.0046691895,9.782715
0.58184814,-0.07098389,0.07649231,9.873688
0.5843506,-0.11647034,0.05734253,9.76355
0.58688354,-0.087753296,0.02861023,9.837769
0.589386,-0.025497437,0.04057312,9.909607
0.5918579,-0.061416626,0.01663208,9.7300415
0.59439087,-0.11647034,0.03579712,9.718063
