TIME,X,Y,Z
0.0,-0.12844849,0.05255127,9.777924
0.002502442,-0.09971619,0.0262146,9.818619
0.005004883,-0.13323975,0.03100586,9.8090515
0.007507325,-0.13323975,0.01902771,9.880875
0.010009766,-0.106903076,-0.00970459,9.849747
0.012542725,-0.138031,0.02142334,9.806656
0.015045166,-0.14759827,0.06690979,9.811432
0.017547607,-0.109298706,0.02142334,9.811432
0.020050049,-0.09492493,0.0262146,9.8688965
0.022583008,-0.109298706,0.06213379,9.854538
0.02508545,-0.09492493,0.03100586,9.82341
0.027587892,-0.106903076,0.0262146,9.816223
0.030090332,-0.14520264,0.01902771,9.8138275
0.03262329,-0.106903076,0.0549469,9.86171
0.035125732,-0.10211182,0.04536438,9.832993
0.037628178,-0.106903076,0.04536438,9.84256
0.040130615,-0.14042664,0.05255127,9.828201
0.042663574,-0.082962036,0.011856079,9.830597
0.045166016,-0.15238953,0.06213379,9.844955
0.047668457,-0.09971619,0.04536438,9.801865
0.050201416,-0.14042664,0.07170105,9.799469
0.05267334,-0.114089966,0.05255127,9.794678
0.0552063,-0.106903076,0.03579712,9.856934
0.057739258,-0.13563538,0.03340149,9.88327
0.0602417,-0.111694336,0.04296875,9.8090515
0.06274414,-0.12844849,0.05015564,9.852142
0.06524658,-0.11647034,0.05255127,9.859329
0.06777954,-0.087753296,0.02861023,9.847351
0.07028198,-0.0925293,0.03819275,9.859329
0.072784424,-0.12365723,0.04296875,9.816223
0.075286865,-0.082962036,0.05255127,9.84256
0.077819824,-0.1212616,0.04776001,9.916779
0.080322266,-0.1212616,0.04776001,9.797073
0.08282471,-0.10211182,0.0549469,9.837769
0.08532715,-0.106903076,0.02381897,9.844955
0.087860115,-0.106903076,0.03579712,9.806656
0.09036255,-0.11886597,0.05255127,9.775528
0.09286499,-0.12365723,0.03579712,9.847351
0.09536743,-0.106903076,0.04296875,9.840164
0.09790039,-0.114089966,0.07649231,9.773132
0.10040283,-0.1667633,0.08607483,9.82341
0.10293579,-0.11886597,0.07409668,9.816223
0.10543823,-0.12365723,0.06213379,9.825806
0.107940674,-0.111694336,0.05973816,9.852142
0.11044312,-0.142807,0.014251709,9.837769
0.112976074,-0.11647034,0.04296875,9.90242
0.115478516,-0.11647034,0.02142334,9.84256
0.11798096,-0.111694336,0.03340149,9.828201
0.1204834,-0.09971619,0.05015564,9.80426
0.12298584,-0.106903076,0.06690979,9.816223
0.1255188,-0.080566406,0.05734253,9.818619
0.12802124,-0.0925293,0.03100586,9.852142
0.13052368,-0.13323975,0.0046691895,9.844955
0.13302612,-0.14520264,0.07649231,9.852142
0.13555908,-0.09732056,0.10522461,9.828201
0.13806152,-0.063812256,0.08607483,9.830597
0.14056396,-0.09732056,0.10282898,9.854538
0.1430664,-0.085357666,0.04536438,9.835388
0.14559937,-0.10211182,0.05734253,9.871292
0.1481018,-0.114089966,0.04776001,9.835388
0.15063477,-0.12365723,0.07888794,9.849747
0.15313722,-0.11647034,0.03340149,9.837769
0.15563965,-0.12365723,0.03100586,9.8090515
0.15814209,-0.12844849,0.03340149,9.82341
0.16064453,-0.142807,0.02142334,9.82341
0.16317749,-0.111694336,0.05734253,9.840164
0.16567993,-0.09971619,0.011856079,9.835388
0.16818237,-0.109298706,0.03100586,9.86171
0.17068481,-0.13563538,0.01663208,9.859329
0.17318727,-0.106903076,0.04296875,9.844955
0.17572021,-0.10211182,0.05734253,9.876083
0.17822266,-0.142807,0.03579712,9.797073
0.18075562,-0.14759827,0.02861023,9.801865
0.18325806,-0.11886597,0.03340149,9.864105
0.185791,-0.09971619,0.07409668,9.835388
0.18829346,-0.09971619,0.05734253,9.816223
0.1907959,-0.09971619,0.02142334,9.854538
0.19329834,-0.15478516,0.03100586,9.84256
0.19580078,-0.13084412,0.05015564,9.832993
0.19830322,-0.15238953,0.05015564,9.825806
0.20080566,-0.114089966,0.05734253,9.859329
0.20333862,-0.07098389,0.03340149,9.832993
0.20584108,-0.087753296,0.06930542,9.811432
0.2083435,-0.080566406,0.08128357,9.82341
0.21084595,-0.12365723,0.04536438,9.825806
0.2133789,-0.12605286,0.04776001,9.830597
0.21591187,-0.12365723,0.10043335,9.816223
0.2184143,-0.09971619,0.07649231,9.837769
0.22088623,-0.16197205,0.06690979,9.866501
0.22341919,-0.106903076,0.04776001,9.789886
0.22592163,-0.087753296,0.03819275,9.775528
0.22842409,-0.106903076,0.04296875,9.794678
0.23092651,-0.11647034,0.07170105,9.8138275
0.23345947,-0.15718079,0.03819275,9.88327
0.23596191,-0.114089966,0.04057312,9.835388
0.23849487,-0.09971619,0.03819275,9.835388
0.24099731,-0.11647034,0.0549469,9.818619
0.24349976,-0.1212616,0.07170105,9.849747
0.2460022,-0.1212616,0.06930542,9.837769
0.24850464,-0.12365723,0.04057312,9.840164
0.2510376,-0.109298706,0.07649231,9.830597
0.25354004,-0.1499939,0.07170105,9.794678
0.25604248,-0.12365723,0.0262146,9.828201
0.25857544,-0.09492493,0.0262146,9.828201
0.26107788,-0.09732056,0.02142334,9.852142
0.26358032,-0.11886597,0.07409668,9.801865
0.26608276,-0.12844849,0.04536438,9.854538
0.2685852,-0.109298706,0.07170105,9.818619
0.27111816,-0.09971619,0.04536438,9.878479
0.2736206,-0.109298706,0.02381897,9.86171
0.27612305,-0.111694336,0.01902771,9.818619
0.278656,-0.13563538,0.07170105,9.856934
0.28115848,-0.1499939,0.03819275,9.888046
0.2836609,-0.085357666,0.04536438,9.811432
0.28616333,-0.13323975,0.07170105,9.840164
0.28866577,-0.18830872,0.05015564,9.828201
0.29119873,-0.15478516,0.03340149,9.787491
0.29367065,-0.12844849,0.03819275,9.837769
0.2962036,-0.114089966,0.07888794,9.844955
0.29873657,-0.114089966,0.06452942,9.844955
0.301239,-0.10450745,0.03819275,9.821014
0.30377197,-0.10211182,0.05015564,9.8090515
0.3062744,-0.080566406,0.0549469,9.847351
0.30877686,-0.087753296,0.05255127,9.832993
0.3112793,-0.10211182,0.08847046,9.830597
0.31378174,-0.082962036,0.08128357,9.866501
0.3163147,-0.10450745,0.07170105,9.82341
0.31878662,-0.11886597,0.05734253,9.852142
0.32131958,-0.12365723,0.04776001,9.811432
0.32382202,-0.11647034,0.009460449,9.799469
0.32635498,-0.12844849,0.05973816,9.816223
0.32885742,-0.11647034,0.03340149,9.811432
0.33135986,-0.12844849,0.03819275,9.852142
0.3338623,-0.109298706,0.06452942,9.832993
0.33639526,-0.09971619,0.009460449,9.801865
0.3388977,-0.13323975,0.02142334,9.799469
0.34136963,-0.1667633,0.04057312,9.832993
0.3439026,-0.138031,0.02861023,9.830597
0.34640503,-0.14759827,0.04057312,9.832993
