TIME,X,Y,Z
0.0,-0.1715393,0.1124115,9.785095
0.002502442,-0.1499939,0.13874817,9.914383
0.005004883,-0.11647034,0.13156128,9.864105
0.007507325,-0.1715393,0.11480713,9.871292
0.010009766,-0.16197205,0.13635254,9.880875
0.012542725,-0.20506287,0.10762024,9.835388
0.015045166,-0.18112183,0.10282898,9.866501
0.017547607,-0.16436768,0.12677002,9.878479
0.020050049,-0.1667633,0.12916565,9.837769
0.022583008,-0.14759827,0.09564209,9.849747
0.02508545,-0.16914368,0.13395691,9.866501
0.027618408,-0.17393494,0.09324646,9.878479
0.03012085,-0.16197205,0.08128357,9.854538
0.03262329,-0.15238953,0.12437439,9.878479
0.035125732,-0.13084412,0.15310669,9.86171
0.037628178,-0.17633057,0.11958313,9.897629
0.040130615,-0.13563538,0.1411438,9.873688
0.042663574,-0.15718079,0.15550232,9.852142
0.045166016,-0.1499939,0.11958313,9.888046
0.047668457,-0.17633057,0.12677002,9.897629
0.0501709,-0.19787598,0.11958313,9.866501
0.05267334,-0.16436768,0.12916565,9.878479
0.0552063,-0.15478516,0.11001587,9.866501
0.057739258,-0.16914368,0.10522461,9.837769
0.0602417,-0.13084412,0.1124115,9.914383
0.06274414,-0.138031,0.09324646,9.92157
0.06524658,-0.11647034,0.11958313,9.852142
0.06777954,-0.142807,0.1171875,9.892838
0.07028198,-0.14520264,0.12677002,9.923965
0.072784424,-0.15478516,0.12197876,9.876083
0.075286865,-0.11647034,0.11480713,9.818619
0.077819824,-0.114089966,0.1171875,9.852142
0.080322266,-0.142807,0.07649231,9.854538
0.08282471,-0.13084412,0.1171875,9.864105
0.08532715,-0.1499939,0.13635254,9.837769
0.08782959,-0.14759827,0.10282898,9.849747
0.09033203,-0.14759827,0.10762024,9.8090515
0.09286499,-0.19070435,0.15071106,9.878479
0.09536743,-0.13323975,0.07649231,9.849747
0.09786987,-0.18591309,0.11958313,9.928757
0.100372314,-0.16914368,0.1124115,9.832993
0.10290527,-0.16436768,0.12916565,9.82341
0.105407715,-0.15718079,0.12437439,9.878479
0.10791016,-0.18591309,0.12197876,9.888046
0.1104126,-0.1715393,0.08128357,9.840164
0.11294556,-0.12605286,0.13395691,9.871292
0.115448,-0.13563538,0.13874817,9.916779
0.11795044,-0.15478516,0.11480713,9.888046
0.12045288,-0.18591309,0.10762024,9.895233
0.12298584,-0.13563538,0.10282898,9.878479
0.12548828,-0.16436768,0.09324646,9.900024
0.12799072,-0.16197205,0.13156128,9.904816
0.13049316,-0.15478516,0.10043335,9.897629
0.13302612,-0.111694336,0.1124115,9.88327
0.13552856,-0.16914368,0.09564209,9.909607
0.138031,-0.142807,0.13156128,9.90242
0.14053345,-0.14520264,0.14352417,9.88327
0.1430664,-0.16197205,0.11958313,9.844955
