TIME,X,Y,Z
0.0,-0.11886597,-0.07913208,9.713272
0.002502441,-0.111694336,-0.01927185,9.818619
0.005004882,-0.109298706,-0.014480591,9.854538
0.007507324,-0.11886597,-0.06236267,9.888046
0.010009765,-0.07817078,-0.03604126,9.856934
0.012512207,-0.06619263,-0.03604126,9.777924
0.015045166,-0.080566406,-0.0647583,9.816223
0.017547607,-0.0925293,-0.02645874,9.832993
0.020019531,-0.085357666,-0.00730896,9.787491
0.022521973,-0.06858826,-0.05039978,9.801865
0.025054932,-0.09732056,-0.03842163,9.816223
0.027557371,-0.090148926,-0.02406311,9.770737
0.030029297,-0.080566406,-0.03604126,9.816223
0.03253174,-0.07817078,-0.01687622,9.787491
0.035064697,-0.085357666,-0.0025177002,9.801865
0.037567135,-0.080566406,0.0022735596,9.840164
0.04006958,-0.056625366,-0.01927185,9.780319
0.04257202,-0.090148926,-0.014480591,9.732437
0.045074463,-0.07817078,-0.04800415,9.80426
0.047576904,-0.080566406,-0.014480591,9.856934
0.050079346,-0.111694336,-0.04560852,9.837769
0.052581787,-0.0925293,-0.03842163,9.859329
0.05508423,-0.109298706,-0.012084961,9.789886
0.057586674,-0.06619263,0.009460449,9.768341
0.06008911,-0.049438477,-0.02406311,9.830597
0.06259155,-0.07098389,-0.05039978,9.852142
0.06512451,-0.07817078,-0.04800415,9.859329
0.06762695,-0.080566406,-0.05279541,9.82341
0.070129395,-0.07817078,-0.04081726,9.768341
0.07263184,-0.0925293,-0.05039978,9.792282
0.07513428,-0.09732056,-0.02645874,9.840164
0.07763672,-0.109298706,0.009460449,9.80426
0.08013916,-0.07337952,-0.02166748,9.801865
0.0826416,-0.042251587,-0.02406311,9.749191
0.08514404,-0.07337952,0.01663208,9.8090515
0.08764648,-0.11886597,-0.02885437,9.792282
0.090148926,-0.07337952,-0.04321289,9.844955
0.09265137,-0.080566406,-0.04800415,9.844955
0.095184326,-0.12605286,-0.02166748,9.82341
0.09768677,-0.111694336,-0.03364563,9.777924
0.10018921,-0.06619263,-0.012084961,9.828201
0.10269165,-0.080566406,-0.014480591,9.825806
0.105194084,-0.054229736,-0.03842163,9.840164
0.10769653,-0.080566406,-0.03842163,9.799469
0.110198975,-0.12365723,-0.03364563,9.746796
0.112701416,-0.09732056,-0.014480591,9.739609
0.11520386,-0.10450745,0.0070648193,9.835388
0.1177063,-0.042251587,-0.05039978,9.86171
0.12020873,-0.109298706,-0.03604126,9.82341
0.12271118,-0.09971619,-0.03364563,9.773132
0.12521362,-0.0925293,-0.02885437,9.7348175
0.12771606,-0.047042847,-0.01927185,9.832993
0.13024902,-0.056625366,0.02142334,9.770737
0.13275146,-0.10450745,0.014251709,9.80426
0.1352539,-0.085357666,-0.00730896,9.847351
0.13775635,-0.059020996,-1.2207031E-4,9.8138275
0.14025879,-0.07577515,-0.03604126,9.811432
0.14276123,-0.06619263,-0.04800415,9.832993
0.14526366,-0.07817078,-0.01927185,9.828201
