TIME,X,Y,Z
0.0,-0.085357666,-0.02166748,9.732437
0.002502442,-0.111694336,0.01663208,9.746796
0.005004883,-0.09971619,0.01902771,9.859329
0.007507325,-0.051834106,-0.04560852,9.916779
0.010009766,-0.087753296,-0.07673645,9.840164
0.012542725,-0.085357666,-0.02406311,9.852142
0.015045166,-0.080566406,-0.02645874,9.756378
0.017547607,-0.085357666,-0.04321289,9.770737
0.020050049,-0.090148926,-0.01927185,9.904816
0.022552492,-0.085357666,-0.07673645,9.871292
0.025054932,-0.051834106,-0.09109497,9.818619
0.027557371,-0.07577515,-0.06954956,9.792282
0.030059816,-0.111694336,-0.03364563,9.739609
0.032562256,-0.07577515,-0.00970459,9.816223
0.035064697,-0.106903076,-0.02406311,9.897629
0.03756714,-0.09971619,-0.01687622,9.818619
0.04006958,-0.090148926,0.009460449,9.837769
0.042572025,-0.12605286,0.0046691895,9.746796
0.045074463,-0.054229736,-0.04560852,9.777924
0.047576904,-0.106903076,-0.03125,9.871292
0.050079346,-0.07817078,-0.02166748,9.84256
0.052581787,-0.054229736,-0.04800415,9.835388
0.05511475,-0.07337952,-0.03125,9.8090515
0.057617188,-0.090148926,-0.03364563,9.761154
0.06011963,-0.056625366,-0.02885437,9.832993
0.06262207,-0.044647217,-0.03364563,9.830597
0.06512451,-0.035079956,-0.04560852,9.840164
0.06762695,-0.051834106,0.0022735596,9.856934
0.070129395,-0.11886597,-0.0025177002,9.797073
0.07263184,-0.09971619,-0.02885437,9.703705
0.075164795,-0.10450745,0.0022735596,9.835388
0.07766724,-0.080566406,-0.012084961,9.90242
0.08016968,-0.085357666,-0.01687622,9.816223
0.08267212,-0.11886597,-0.02166748,9.828201
0.08517456,-0.114089966,-0.04081726,9.787491
0.087677,-0.11886597,-0.07194519,9.787491
0.09017944,-0.027893066,-0.01687622,9.876083
0.092681885,-0.09732056,-0.02166748,9.849747
0.095184326,-0.12844849,-0.04081726,9.811432
0.09768677,-0.090148926,-0.04800415,9.773132
0.10018921,-0.09732056,-0.06715393,9.756378
0.10269165,-0.059020996,-0.03842163,9.840164
0.10522461,-0.07098389,-0.02885437,9.8090515
0.10772705,-0.1212616,-0.03125,9.82341
0.1102295,-0.11886597,-0.014480591,9.816223
0.11273193,-0.0925293,-0.0025177002,9.749191
0.115234375,-0.085357666,-0.04321289,9.828201
0.11773682,-0.09971619,-0.00491333,9.849747
0.12023926,-0.030288696,-0.05039978,9.878479
0.1227417,-0.056625366,0.0046691895,9.825806
0.12521362,-0.09971619,0.02381897,9.76355
0.12774658,-0.061416626,-0.04321289,9.806656
0.13024902,-0.023101807,-0.00491333,9.880875
0.13275146,-0.042251587,-0.0025177002,9.890442
0.1352539,-0.039855957,-0.01927185,9.801865
0.13775635,-0.09492493,-0.01687622,9.782715
0.14025879,-0.111694336,-0.0025177002,9.710876
