TIME,X,Y,Z
0.0,-0.106903076,-0.04800415,9.768341
0.002502442,-0.09732056,-0.00491333,9.854538
0.005004883,-0.09492493,-0.05519104,9.792282
0.007507324,-0.09732056,-0.03364563,9.76355
0.010009766,-0.10450745,-0.04560852,9.821014
0.012512207,-0.06858826,-0.06715393,9.8688965
0.015014649,-0.109298706,-0.014480591,9.888046
0.01751709,-0.13084412,-1.2207031E-4,9.818619
0.020019531,-0.10211182,-0.04321289,9.8090515
0.022521973,-0.1212616,-0.05039978,9.782715
0.025024414,-0.12844849,-0.03842163,9.777924
0.027526855,-0.07577515,-0.09828186,9.816223
0.030029297,-0.114089966,-0.06236267,9.880875
0.03253174,-0.10211182,-0.02885437,9.818619
0.03503418,-0.090148926,-0.04081726,9.7348175
0.03753662,-0.0925293,-0.02645874,9.844955
0.040039062,-0.11647034,-0.05519104,9.86171
0.042541504,-0.090148926,-0.03364563,9.880875
0.045074463,-0.044647217,-0.05519104,9.758774
0.047576904,-0.0925293,-0.05519104,9.787491
0.050079346,-0.109298706,0.0070648193,9.811432
0.052581787,-0.09732056,-0.014480591,9.844955
0.05508423,-0.13084412,-0.02885437,9.835388
0.057586674,-0.13563538,-0.04560852,9.854538
0.06008911,-0.061416626,-0.03604126,9.799469
0.06259155,-0.087753296,-0.08392334,9.76355
0.065093994,-0.11647034,-0.07673645,9.761154
0.067596436,-0.09492493,-0.04800415,9.825806
0.07009888,-0.07098389,-0.02885437,9.847351
0.07260132,-0.07577515,-0.04081726,9.787491
0.07510376,-0.13323975,-0.01927185,9.830597
0.0776062,-0.11886597,-0.02885437,9.8138275
0.08010864,-0.114089966,-0.04800415,9.8688965
0.08261109,-0.09971619,-0.0647583,9.892838
0.085113525,-0.09732056,-0.03842163,9.780319
0.08761597,-0.106903076,-0.00970459,9.816223
0.090148926,-0.11647034,-0.05758667,9.780319
0.09265137,-0.10211182,-0.08631897,9.80426
0.09515381,-0.061416626,-0.07913208,9.801865
0.09765625,-0.07817078,-0.04321289,9.876083
0.10015869,-0.106903076,-0.02885437,9.856934
0.10266113,-0.12365723,-0.04321289,9.792282
0.105163574,-0.06619263,-0.06715393,9.768341
0.107666016,-0.0925293,-0.0025177002,9.737213
0.11016846,-0.082962036,-0.06236267,9.84256
0.1126709,-0.051834106,-0.06715393,9.888046
0.11517335,-0.0925293,-0.012084961,9.801865
0.11767578,-0.09732056,-0.04321289,9.80426
0.12017822,-0.07577515,-0.05519104,9.847351
0.122680664,-0.087753296,-0.012084961,9.797073
0.1251831,-0.07337952,-0.05279541,9.828201
0.12768555,-0.111694336,-0.07913208,9.856934
0.13018799,-0.11647034,-0.05519104,9.794678
0.13269043,-0.14759827,0.02142334,9.816223
0.13519287,-0.09732056,-0.03842163,9.835388
0.13769531,-0.09732056,-0.04081726,9.82341
0.14019775,-0.1212616,-0.03364563,9.885666
0.1427002,-0.085357666,-0.04800415,9.837769
0.14520264,-0.13323975,-0.03604126,9.737213
0.14770508,-0.059020996,-0.08631897,9.756378
0.15020752,-0.054229736,-1.2207031E-4,9.835388
0.15270996,-0.080566406,-0.00491333,9.88327
0.1552429,-0.09732056,-0.06236267,9.844955
0.15774536,-0.10211182,-0.0599823,9.789886
0.1602478,-0.114089966,-0.03842163,9.787491
0.16275024,-0.0925293,-0.05758667,9.849747
0.16522218,-0.085357666,-0.04081726,9.806656
0.16775513,-0.06858826,-0.03125,9.828201
0.17025757,-0.087753296,-0.02645874,9.88327
0.17276001,-0.09492493,-0.02885437,9.856934
0.17526245,-0.10211182,-0.03604126,9.832993
0.1777649,-0.07817078,-0.06954956,9.859329
0.18026733,-0.10450745,-0.02166748,9.818619
0.18276978,-0.087753296,-0.014480591,9.775528
0.18530273,-0.061416626,-0.03604126,9.775528
0.18780519,-0.07577515,-0.04560852,9.780319
0.19030762,-0.07337952,-0.04321289,9.849747
0.19281006,-0.111694336,-0.05039978,9.837769
0.1953125,-0.063812256,-0.04321289,9.811432
0.19781494,-0.07817078,-0.03604126,9.782715
0.20031738,-0.09732056,-0.03364563,9.806656
0.20281982,-0.09492493,-0.03125,9.821014
0.20532227,-0.061416626,-0.05039978,9.737213
0.2078247,-0.09971619,-0.03842163,9.82341
0.21032715,-0.10211182,-0.03604126,9.859329
0.21282959,-0.07817078,-0.05758667,9.768341
0.21533203,-0.114089966,-0.00970459,9.799469
0.21783447,-0.0925293,-0.0025177002,9.82341
0.22033691,-0.09971619,-0.04321289,9.832993
0.22283936,-0.109298706,-0.0647583,9.847351
0.22537231,-0.07817078,-0.05039978,9.801865
0.22787476,-0.085357666,-0.05758667,9.773132
0.2303772,-0.12365723,-0.05519104,9.789886
0.23287964,-0.082962036,-0.01687622,9.847351
0.23538208,-0.054229736,-0.02406311,9.844955
0.23788452,-0.059020996,-0.03125,9.849747
0.24038696,-0.0925293,-0.04081726,9.756378
0.2428894,-0.07337952,-0.07673645,9.785095
0.24539185,-0.039855957,-0.04800415,9.837769
0.24789429,-0.051834106,0.0046691895,9.844955
0.25039673,-0.114089966,-0.02406311,9.888046
0.25289917,-0.09971619,-0.012084961,9.8138275
0.2554016,-0.090148926,-0.012084961,9.777924
0.25790405,-0.090148926,-0.0934906,9.849747
0.2604065,-0.111694336,-0.08631897,9.828201
0.26290894,-0.0925293,-0.01927185,9.82341
0.26538086,-0.07577515,-0.03125,9.80426
0.2678833,-0.09732056,-0.03364563,9.773132
0.27041626,-0.1212616,-0.04321289,9.773132
0.2729187,-0.10211182,-0.01927185,9.82341
0.27542114,-0.07337952,-0.012084961,9.856934
0.27792358,-0.047042847,-0.03604126,9.885666
0.28045654,-0.07577515,-0.014480591,9.794678
0.28295898,-0.090148926,-0.02166748,9.753983
0.28546143,-0.12365723,-0.04081726,9.806656
0.28796387,-0.049438477,-0.06715393,9.86171
0.2904663,-0.080566406,-0.05519104,9.873688
0.29296875,-0.109298706,-0.01687622,9.86171
0.29544067,-0.13563538,-0.04321289,9.773132
0.29794312,-0.082962036,-0.03125,9.799469
0.30047607,-0.037475586,-0.04800415,9.84256
0.30297852,-0.1212616,-0.05519104,9.797073
0.30548096,-0.10450745,-0.08869934,9.825806
0.3079834,-0.085357666,-0.03364563,9.811432
0.3104858,-0.13563538,-0.03364563,9.794678
0.31298828,-0.11647034,-0.05519104,9.799469
0.31549072,-0.080566406,-0.05758667,9.782715
0.31799316,-0.082962036,-0.07434082,9.866501
0.32052612,-0.10211182,-0.02166748,9.840164
0.32302856,-0.11647034,0.0022735596,9.777924
0.325531,-0.111694336,-0.01687622,9.811432
0.32803345,-0.10450745,-0.07673645,9.844955
0.33053592,-0.080566406,-0.06236267,9.816223
0.33303833,-0.09492493,-0.05758667,9.825806
0.33554077,-0.109298706,-0.05758667,9.785095
0.3380432,-0.11647034,-0.03364563,9.775528
0.34054565,-0.1212616,-0.02645874,9.856934
0.3430481,-0.090148926,-0.05279541,9.873688
0.34555054,-0.1212616,-0.05519104,9.840164
0.34805298,-0.10211182,-0.03842163,9.794678
0.35055542,-0.09971619,-0.05039978,9.82341
0.35305786,-0.07817078,-0.04560852,9.849747
0.3555603,-0.087753296,-0.03604126,9.866501
0.35806274,-0.06619263,-0.03125,9.830597
0.3605652,-0.106903076,-0.0025177002,9.818619
0.36306763,-0.106903076,-0.02885437,9.777924
0.36557007,-0.15238953,-0.0647583,9.787491
0.3680725,-0.106903076,-0.04321289,9.801865
0.37057495,-0.0925293,-0.05519104,9.871292
0.37307742,-0.07817078,-0.02166748,9.859329
0.37557983,-0.09492493,-0.02645874,9.780319
0.37808228,-0.09492493,-0.02166748,9.765945
0.38058472,-0.082962036,-0.03604126,9.835388
0.38308716,-0.090148926,-0.01687622,9.825806
0.38562012,-0.07577515,-0.05279541,9.840164
0.38812256,-0.13084412,-0.014480591,9.880875
0.390625,-0.07817078,-0.03125,9.773132
0.39312744,-0.07337952,-0.05039978,9.768341
0.39562988,-0.12365723,-0.03125,9.761154
0.3981018,-0.061416626,-0.03604126,9.840164
0.40060425,-0.080566406,-0.02885437,9.876083
0.4031067,-0.07098389,-0.00491333,9.856934
0.40563965,-0.056625366,-0.03125,9.773132
0.4081421,-0.09971619,-0.04081726,9.837769
0.41064453,-0.087753296,-0.02885437,9.818619
0.41314697,-0.080566406,-0.03364563,9.785095
0.4156494,-0.090148926,-0.0647583,9.866501
0.4181519,-0.09732056,-0.06715393,9.80426
0.4206543,-0.087753296,-0.05519104,9.780319
0.42315674,-0.11647034,-0.03364563,9.797073
0.42565918,-0.085357666,-0.02885437,9.799469
0.42819214,-0.0925293,-0.012084961,9.82341
0.43069458,-0.11886597,-0.08152771,9.8090515
0.4331665,-0.090148926,-0.07673645,9.806656
0.43566895,-0.15718079,-0.02885437,9.758774
0.4381714,-0.06619263,-0.0599823,9.835388
0.44067383,-0.087753296,-0.07913208,9.854538
0.44317627,-0.1499939,-0.04800415,9.8688965
0.4456787,-0.049438477,-0.04081726,9.758774
0.44818115,-0.087753296,-0.09109497,9.797073
0.4507141,-0.111694336,0.0022735596,9.84256
0.45321655,-0.035079956,-0.06236267,9.864105
0.455719,-0.082962036,-0.04081726,9.873688
0.45822144,-0.13323975,-0.02645874,9.818619
0.46072388,-0.09492493,-0.0647583,9.7444
0.46322632,-0.10211182,-0.05039978,9.792282
0.46572876,-0.082962036,-0.02406311,9.876083
0.4682312,-0.015914917,-0.05039978,9.837769
0.47073364,-0.10211182,-0.00970459,9.849747
0.47323608,-0.14042664,-0.04560852,9.816223
0.47573853,-0.032684326,-0.11026001,9.761154
0.47824097,-0.063812256,-0.02166748,9.806656
0.48074344,-0.13084412,-0.00970459,9.799469
0.48324585,-0.030288696,-0.04321289,9.821014
0.4857788,-0.06858826,-0.07194519,9.8138275
0.48828125,-0.16197205,-0.03364563,9.758774
0.4907837,-0.061416626,-0.03842163,9.799469
0.49328613,-0.13563538,-0.10067749,9.835388
0.49578857,-0.111694336,-0.04800415,9.797073
0.49829102,-0.035079956,-0.04560852,9.914383
0.50079346,-0.07577515,-0.05519104,9.8090515
0.5032959,-0.14042664,-0.02645874,9.732437
0.50579834,-0.109298706,-0.03364563,9.821014
0.5083008,-0.044647217,-0.06715393,9.866501
0.5108032,-0.106903076,-0.08869934,9.840164
0.51330566,-0.106903076,-0.03125,9.8138275
0.5158081,-0.085357666,-0.09109497,9.753983
0.51831055,-0.12844849,-0.04081726,9.828201
0.520813,-0.087753296,-0.02885437,9.8688965
0.5233154,-0.049438477,-0.05519104,9.856934
0.5258179,-0.1212616,-0.07434082,9.878479
0.5283203,-0.111694336,-0.06715393,9.775528
0.53082275,-0.06858826,-0.012084961,9.844955
0.5333252,-0.07577515,-0.05519104,9.876083
0.53582764,-0.087753296,-0.0599823,9.811432
0.53833,-0.10450745,-0.014480591,9.828201
0.5408325,-0.14759827,-0.0599823,9.847351
0.54333496,-0.114089966,-0.04560852,9.751587
0.5458679,-0.080566406,-0.02166748,9.835388
0.54837036,-0.06619263,-0.05758667,9.821014
0.5508728,-0.037475586,-0.02166748,9.825806
0.55337524,-0.06619263,-0.014480591,9.816223
0.5558777,-0.10450745,-0.04321289,9.80426
0.55838007,-0.106903076,-0.04560852,9.746796
0.56088257,-0.0925293,-0.02885437,9.8688965
0.563385,-0.10211182,-0.03604126,9.864105
0.56588745,-0.10450745,-0.00970459,9.854538
0.5683899,-0.09492493,-0.02406311,9.806656
0.57089233,-0.10450745,-0.04081726,9.787491
0.5733948,-0.0925293,-0.06954956,9.780319
0.5758972,-0.09971619,-0.02166748,9.80426
0.57839966,-0.07337952,-0.0647583,9.849747
0.5809021,-0.07577515,-0.0647583,9.818619
0.58340454,-0.09492493,-0.014480591,9.777924
0.585907,-0.1499939,-0.05519104,9.794678
0.5884094,-0.047042847,-0.06236267,9.806656
0.5909424,-0.054229736,-0.07434082,9.806656
0.5934448,-0.10211182,-0.03604126,9.871292
0.59594727,-0.061416626,-0.02885437,9.8138275
0.5984497,-0.07577515,-0.11026001,9.72525
0.60095215,-0.07098389,-0.02406311,9.84256
0.6034546,-0.090148926,-0.0025177002,9.828201
0.60595703,-0.087753296,-0.02645874,9.844955
0.60849,-0.114089966,-0.014480591,9.818619
0.61099243,-0.106903076,-0.03125,9.76355
0.61346436,-0.07577515,-0.05758667,9.758774
0.6159668,-0.109298706,-0.04321289,9.789886
0.61846924,-0.10450745,-0.03604126,9.80426
0.6209716,-0.07577515,-0.04321289,9.828201
0.6234741,-0.11647034,-0.05519104,9.787491
0.62597656,-0.1212616,-0.08631897,9.775528
0.6285095,-0.07098389,-0.02885437,9.909607
0.63101196,-0.082962036,-0.03364563,9.830597
0.6335144,-0.114089966,-0.03125,9.837769
0.63601685,-0.06858826,-0.02166748,9.852142
0.6385193,-0.11886597,-0.02166748,9.715668
0.6410218,-0.13563538,-0.02885437,9.880875
0.64352417,-0.080566406,-0.07913208,9.825806
0.6460266,-0.111694336,-0.08392334,9.830597
0.64852905,-0.0925293,-0.05039978,9.880875
0.6510315,-0.090148926,-0.07673645,9.794678
0.65353394,-0.047042847,-0.07434082,9.758774
0.6560364,-0.085357666,-0.05039978,9.830597
0.6585388,-0.09971619,0.0022735596,9.828201
0.66104126,-0.082962036,-0.0599823,9.844955
0.6635437,-0.13323975,-0.07434082,9.794678
0.66604614,-0.07098389,-0.0599823,9.7061
0.6685486,-0.07577515,-0.03842163,9.792282
0.671051,-0.109298706,-0.05519104,9.864105
0.673584,-0.10211182,-0.04560852,9.8688965
0.6760864,-0.106903076,-0.0647583,9.82341
0.67858887,-0.07337952,-0.07673645,9.787491
0.6810913,-0.106903076,-0.04321289,9.787491
0.68359375,-0.109298706,-0.012084961,9.806656
0.6860962,-0.11886597,-0.06954956,9.86171
0.68859863,-0.0925293,-0.01927185,9.849747
0.6911011,-0.082962036,-0.03125,9.797073
0.6936035,-0.051834106,-0.02645874,9.770737
0.69610596,-0.06858826,-0.06236267,9.840164
0.6986084,-0.059020996,-0.03842163,9.856934
0.70111084,-0.080566406,-0.06236267,9.792282
0.70361334,-0.06858826,-0.04081726,9.847351
0.7061157,-0.106903076,-0.04321289,9.765945
0.70861816,-0.085357666,-0.04560852,9.801865
0.7111206,-0.07337952,-0.05758667,9.816223
0.71362305,-0.06619263,-0.03604126,9.76355
0.7161255,-0.09732056,-0.08152771,9.837769
