TIME,X,Y,Z
0.0,-0.059020996,0.07649231,9.765945
0.002502441,-0.07577515,0.04776001,9.854538
0.005004883,-0.07337952,0.08607483,9.84256
0.007507324,-0.054229736,0.07888794,9.792282
0.010009766,-0.12844849,0.08847046,9.782715
0.012512207,-0.12844849,0.0549469,9.777924
0.015045166,-0.07577515,0.06690979,9.785095
0.017547607,-0.090148926,0.02861023,9.770737
0.020050049,-0.10450745,0.02381897,9.770737
0.02255249,-0.10450745,0.06930542,9.82341
0.025085447,-0.09492493,0.04776001,9.816223
0.027587892,-0.12605286,0.05255127,9.821014
0.030090332,-0.0925293,0.05973816,9.789886
0.032592773,-0.12844849,0.03819275,9.787491
0.035095215,-0.15957642,0.04536438,9.82341
0.037628178,-0.087753296,0.04536438,9.80426
0.040130615,-0.087753296,0.05973816,9.801865
0.042633057,-0.082962036,0.06452942,9.816223
0.045166016,-0.09492493,0.0549469,9.847351
0.047668457,-0.07817078,0.09564209,9.780319
0.050170895,-0.06858826,0.0549469,9.80426
0.05267334,-0.07337952,0.05255127,9.749191
0.0552063,-0.044647217,0.06690979,9.8090515
0.05770874,-0.020706177,0.10043335,9.797073
0.060211185,-0.025497437,0.06213379,9.837769
0.06271362,-0.013519287,0.04057312,9.8138275
0.06524658,-0.025497437,0.09324646,9.765945
0.06774902,-0.035079956,0.06930542,9.770737
0.070251465,-0.030288696,0.08128357,9.844955
0.072753906,-0.015914917,0.08847046,9.8090515
0.075286865,-0.039855957,0.11480713,9.80426
0.07778931,-0.025497437,0.07888794,9.787491
0.080322266,-0.015914917,0.07888794,9.8090515
0.08282471,-0.0063476562,0.04536438,9.768341
0.08529663,-0.047042847,0.0836792,9.785095
0.08779907,-0.047042847,0.09324646,9.797073
0.09030151,-0.049438477,0.08847046,9.818619
0.09283447,-0.018310547,0.08847046,9.832993
0.095336914,-0.049438477,0.05255127,9.8090515
0.097839355,-0.07337952,0.05255127,9.849747
0.100372314,-0.07098389,0.05255127,9.832993
0.10287475,-0.06858826,0.05015564,9.837769
0.105407715,-0.111694336,0.02861023,9.799469
0.10791016,-0.07098389,0.05734253,9.832993
0.1104126,-0.10450745,0.03819275,9.8138275
0.11291504,-0.07577515,0.04296875,9.821014
0.115448,-0.106903076,0.04057312,9.876083
0.11795044,-0.09732056,0.04057312,9.856934
0.12045288,-0.10211182,0.02381897,9.82341
0.12295532,-0.090148926,0.02381897,9.801865
0.12548828,-0.109298706,0.06930542,9.76355
0.12799072,-0.07817078,0.06213379,9.792282
0.13049316,-0.09492493,0.04057312,9.840164
0.1329956,-0.11647034,0.05255127,9.777924
0.13549805,-0.06619263,0.06930542,9.785095
0.13800047,-0.06619263,0.07170105,9.84256
0.14050293,-0.090148926,0.0836792,9.789886
0.14303589,-0.032684326,0.07649231,9.811432
0.14553833,-0.056625366,0.06452942,9.825806
0.14804077,-0.054229736,0.05734253,9.847351
0.15054321,-0.07817078,0.05255127,9.8090515
0.15304565,-0.025497437,0.05734253,9.797073
0.15557861,-0.051834106,0.02142334,9.775528
0.15808105,-0.090148926,0.07409668,9.785095
0.16058348,-0.044647217,0.10282898,9.799469
0.16308594,0.012802124,0.05255127,9.773132
0.1656189,-0.049438477,0.09086609,9.8138275
0.16812134,-0.035079956,0.10522461,9.821014
0.17062378,-0.049438477,0.06213379,9.777924
0.17312622,-0.025497437,0.09324646,9.806656
0.17565918,-0.056625366,0.09086609,9.835388
0.17816162,-0.0039520264,0.06213379,9.768341
0.18066406,-0.020706177,0.07649231,9.84256
0.18316649,-0.07817078,0.05015564,9.82341
0.18569946,-0.044647217,0.02381897,9.753983
0.1882019,-0.035079956,0.09086609,9.799469
0.19070435,-0.06619263,0.07170105,9.830597
0.19320679,-0.054229736,0.07409668,9.844955
0.19573975,-0.109298706,0.05973816,9.830597
0.19824219,-0.11647034,0.07409668,9.794678
0.20074463,-0.10450745,0.014251709,9.780319
0.20327759,-0.07337952,0.06213379,9.751587
0.20578003,-0.111694336,0.04296875,9.787491
0.20828247,-0.109298706,0.03340149,9.80426
0.21078491,-0.082962036,0.04536438,9.8090515
0.21331787,-0.10450745,0.03819275,9.806656
0.21582033,-0.11886597,0.05255127,9.801865
0.21832275,-0.114089966,0.02142334,9.80426
0.2208252,-0.085357666,0.03819275,9.799469
0.22335815,-0.090148926,0.04057312,9.811432
0.2258606,-0.063812256,0.0836792,9.76355
0.22836304,-0.080566406,0.02861023,9.737213
0.23086548,-0.063812256,0.05255127,9.8090515
0.23339844,-0.09492493,0.04296875,9.797073
0.23590088,-0.027893066,0.05255127,9.758774
0.23840334,-0.061416626,0.10762024,9.825806
0.24090576,-0.10450745,0.07170105,9.792282
0.24343872,-0.059020996,0.04296875,9.782715
0.24594116,-0.0015563965,0.05255127,9.82341
0.2484436,-0.059020996,0.0836792,9.873688
0.25094604,-0.039855957,0.05973816,9.80426
0.253479,-0.042251587,0.05015564,9.773132
0.25598145,-0.030288696,0.10282898,9.816223
0.2584839,-0.027893066,0.05973816,9.816223
0.26098633,-0.056625366,0.09803772,9.847351
0.26348877,-0.07337952,0.12197876,9.806656
0.2659912,-0.030288696,0.05973816,9.801865
0.26849365,-0.056625366,0.07170105,9.816223
