TIME,X,Y,Z
0.0,-0.07098389,-0.0647583,9.792282
0.002502441,-0.06619263,-0.05519104,9.895233
0.005004882,-0.0925293,-0.05519104,9.8688965
0.007507324,-0.111694336,-0.06236267,9.749191
0.010009765,-0.06619263,-0.05519104,9.794678
0.012512207,-0.090148926,-0.04321289,9.816223
0.015014648,-0.09492493,-0.05758667,9.844955
0.017517088,-0.09492493,-0.03125,9.816223
0.020019531,-0.12605286,-0.04321289,9.7444
0.022521973,-0.09732056,-0.07434082,9.76355
0.025024414,-0.142807,-0.05758667,9.801865
0.027526855,-0.06858826,-0.0599823,9.854538
0.030029297,-0.047042847,-0.03842163,9.8138275
0.03253174,-0.07098389,-0.0599823,9.871292
0.03503418,-0.09732056,-0.03604126,9.782715
0.03753662,-0.07817078,-0.04560852,9.761154
0.040039062,-0.087753296,-0.04560852,9.8138275
0.042541504,-0.10450745,-0.07673645,9.825806
0.045043945,-0.07337952,-0.0599823,9.773132
0.047546383,-0.07337952,-0.06715393,9.8138275
0.050048828,-0.0925293,-0.05758667,9.751587
0.05255127,-0.10450745,-0.04321289,9.785095
0.05505371,-0.06619263,-0.04081726,9.852142
0.057556152,-0.09971619,-0.07913208,9.832993
0.060058594,-0.082962036,-0.06954956,9.847351
0.062561035,-0.106903076,-0.05519104,9.8090515
0.06506348,-0.082962036,-0.03364563,9.789886
0.06756592,-0.063812256,-0.02406311,9.82341
0.07003784,-0.13323975,-0.08392334,9.80426
0.07254028,-0.10211182,-0.07434082,9.816223
0.07504272,-0.080566406,-0.06236267,9.837769
0.077545166,-0.11886597,-0.05758667,9.722855
0.080078125,-0.12844849,-0.04081726,9.797073
0.08258057,-0.111694336,-0.014480591,9.847351
0.08508301,-0.106903076,-0.08152771,9.835388
0.08758545,-0.09732056,-0.06954956,9.818619
0.09008789,-0.11886597,-0.06236267,9.68454
0.09259034,-0.082962036,-0.03125,9.742004
0.09509277,-0.06858826,-0.02885437,9.852142
0.097595215,-0.087753296,-0.05519104,9.749191
0.100097656,-0.114089966,-0.0647583,9.792282
0.1026001,-0.13323975,-0.06715393,9.782715
0.10510254,-0.109298706,-0.06715393,9.749191
0.10760497,-0.06858826,-0.06954956,9.876083
0.11010742,-0.11886597,-0.08392334,9.871292
0.11260986,-0.09732056,-0.07913208,9.777924
0.115112305,-0.12844849,-0.02406311,9.782715
0.117614746,-0.09971619,-0.02645874,9.761154
0.120147705,-0.07577515,-0.05279541,9.785095
0.12265015,-0.090148926,-0.08392334,9.854538
0.12512207,-0.09492493,-0.04800415,9.821014
0.12762451,-0.090148926,-0.0647583,9.8090515
0.13012695,-0.106903076,-0.05758667,9.830597
0.1326294,-0.080566406,-0.03604126,9.794678
0.13513184,-0.111694336,-0.05519104,9.785095
0.13763428,-0.10450745,-0.09588623,9.835388
0.14013672,-0.0925293,-0.04081726,9.811432
0.14263918,-0.085357666,-0.05519104,9.782715
0.1451416,-0.07098389,-0.08152771,9.777924
0.14764404,-0.106903076,-0.08631897,9.799469
0.150177,-0.085357666,-0.06715393,9.821014
0.15267944,-0.082962036,-0.01687622,9.844955
0.15518188,-0.082962036,-0.08392334,9.828201
0.15768433,-0.06858826,-0.10067749,9.768341
0.16018677,-0.12844849,-0.08869934,9.7444
0.16268921,-0.06619263,-0.06954956,9.818619
0.16516113,-0.056625366,-0.07673645,9.835388
0.16766357,-0.09492493,-0.03364563,9.825806
0.17019653,-0.051834106,-0.04081726,9.8688965
0.17269897,-0.114089966,-0.02166748,9.806656
0.1752014,-0.082962036,-0.06236267,9.770737
0.17770386,-0.087753296,-0.06236267,9.787491
0.1802063,-0.06858826,-0.05279541,9.758774
0.18270874,-0.09971619,-0.02885437,9.84256
0.18521118,-0.080566406,-0.05519104,9.811432
0.18771362,-0.09971619,-0.10786438,9.739609
0.19021606,-0.06858826,-0.11026001,9.82341
0.1927185,-0.056625366,-0.05519104,9.811432
0.19522095,-0.07337952,-0.05758667,9.840164
0.19772339,-0.07337952,-0.07434082,9.878479
0.20022583,-0.13323975,-0.06954956,9.775528
0.20272827,-0.085357666,-0.05758667,9.7444
0.20523071,-0.087753296,-0.04800415,9.785095
0.20773315,-0.085357666,-0.07673645,9.873688
0.2102356,-0.082962036,-0.09588623,9.844955
0.21273804,-0.09492493,-0.07194519,9.832993
0.21524048,-0.12844849,-0.0647583,9.737213
0.2177429,-0.085357666,-0.07673645,9.7348175
0.22024536,-0.13084412,-0.02645874,9.84256
0.2227478,-0.111694336,-0.02885437,9.888046
0.22525024,-0.07817078,-0.03364563,9.84256
0.22775269,-0.090148926,-0.08152771,9.8138275
0.23025513,-0.111694336,-0.07913208,9.708481
0.23275757,-0.0925293,-0.10067749,9.775528
0.23526001,-0.090148926,-0.1222229,9.832993
0.23776245,-0.07098389,-0.0647583,9.840164
0.2402649,-0.087753296,-0.04560852,9.832993
0.24276733,-0.07577515,-0.04800415,9.761154
0.24526978,-0.0925293,-0.05519104,9.782715
0.24777222,-0.039855957,-0.02885437,9.840164
0.25027466,-0.039855957,-0.04081726,9.847351
0.2527771,-0.087753296,-0.04800415,9.849747
0.25527954,-0.09732056,-0.02645874,9.806656
0.25778198,-0.056625366,-0.05279541,9.761154
0.26028442,-0.11886597,-0.04800415,9.835388
0.26278687,-0.07337952,-0.0599823,9.86171
0.2652893,-0.09971619,-0.03604126,9.806656
0.26782227,-0.09971619,-0.02406311,9.792282
0.2703247,-0.07337952,-0.0599823,9.782715
0.27282715,-0.09492493,-0.05758667,9.871292
0.2753296,-0.111694336,-0.06715393,9.8688965
0.27783203,-0.11886597,-0.06954956,9.782715
0.28033447,-0.07337952,-0.03604126,9.792282
0.2828369,-0.07577515,-0.0934906,9.787491
0.28533936,-0.087753296,-0.08152771,9.780319
0.2878418,-0.13563538,-0.06236267,9.847351
0.29034424,-0.109298706,-0.06715393,9.849747
0.29284668,-0.087753296,-0.02645874,9.844955
0.29534912,-0.13563538,-0.06715393,9.828201
0.29785156,-0.106903076,-0.04560852,9.708481
0.300354,-0.09971619,-0.0025177002,9.828201
0.30285645,-0.09971619,-0.01927185,9.885666
0.3053589,-0.09732056,-0.0647583,9.811432
0.3078613,-0.09492493,-0.08631897,9.821014
0.31036377,-0.090148926,-0.02406311,9.773132
0.3128662,-0.114089966,-0.04800415,9.765945
0.31536865,-0.12605286,-0.05758667,9.852142
0.3178711,-0.090148926,-0.04081726,9.849747
0.32037354,-0.114089966,-0.02885437,9.811432
0.32287598,-0.09971619,-0.03604126,9.775528
0.32537842,-0.082962036,-0.02406311,9.722855
0.32788086,-0.039855957,-0.05039978,9.806656
0.3303833,-0.037475586,-0.0647583,9.880875
0.33288574,-0.049438477,-0.06715393,9.840164
0.33538818,-0.082962036,-0.05519104,9.844955
0.33789062,-0.12365723,-0.05039978,9.758774
0.34039307,-0.114089966,-0.03842163,9.799469
0.3428955,-0.049438477,-0.01927185,9.821014
0.34539795,-0.07337952,-0.05279541,9.811432
0.3479004,-0.06858826,-0.06236267,9.821014
0.3504028,-0.07098389,-0.07913208,9.782715
0.35287476,-0.12605286,-0.08869934,9.746796
0.3554077,-0.061416626,-0.07673645,9.773132
0.35791016,-0.07817078,-0.02885437,9.859329
0.3604126,-0.07337952,-0.0647583,9.873688
0.36291504,-0.13323975,-0.06954956,9.801865
0.36541748,-0.111694336,-0.02885437,9.753983
0.36791992,-0.0925293,-0.05758667,9.76355
0.37042236,-0.09492493,-0.04321289,9.775528
0.3729248,-0.07577515,-0.03842163,9.830597
0.37542725,-0.06619263,-0.0599823,9.892838
0.3779297,-0.1212616,-0.01687622,9.785095
0.38043213,-0.10211182,-0.06236267,9.777924
0.38290405,-0.111694336,-0.02166748,9.797073
0.385437,-0.07577515,-0.03604126,9.80426
0.38793945,-0.051834106,-0.06236267,9.789886
0.3904419,-0.07817078,-0.02645874,9.828201
0.3929443,-0.12605286,-0.04800415,9.768341
0.39547727,-0.111694336,-0.014480591,9.713272
0.39794922,-0.10450745,-0.03364563,9.816223
0.40045166,-0.07337952,-0.06236267,9.900024
0.4029541,-0.106903076,-0.00970459,9.782715
0.40548706,-0.109298706,-0.05279541,9.787491
0.4079895,-0.13084412,-0.08869934,9.806656
0.41049194,-0.082962036,-0.04560852,9.8090515
0.41296387,-0.07337952,-0.05758667,9.849747
0.41549683,-0.106903076,-0.10307312,9.892838
0.41799927,-0.056625366,-0.0599823,9.878479
0.4205017,-0.10450745,-0.05758667,9.830597
0.42297363,-0.17393494,-0.03364563,9.761154
0.4255066,-0.10450745,-0.0934906,9.84256
0.42800903,-0.020706177,-0.08392334,9.840164
0.43051147,-0.07817078,-0.0647583,9.765945
0.43301392,-0.12365723,-0.02645874,9.811432
0.43551636,-0.12844849,-0.04560852,9.689331
0.4380188,-0.085357666,-0.05519104,9.761154
0.44052124,-0.027893066,-0.04800415,9.895233
0.44302368,-0.085357666,-0.0647583,9.787491
0.44552612,-0.12844849,-0.05758667,9.811432
0.44802856,-0.051834106,-0.0647583,9.756378
0.450531,-0.114089966,-0.06236267,9.801865
0.45303345,-0.030288696,-0.04560852,9.866501
0.45553586,-0.090148926,-0.06954956,9.871292
0.45803833,-0.07098389,-0.03364563,9.856934
0.46054077,-0.114089966,-0.01687622,9.797073
0.4630432,-0.12365723,-0.04560852,9.753983
0.46554565,-0.07577515,-0.03125,9.852142
0.4680481,-0.11886597,-0.012084961,9.830597
0.47055054,-0.11647034,-0.06715393,9.84256
0.47305298,-0.039855957,-0.05758667,9.761154
0.47555542,-0.15957642,-0.02645874,9.761154
0.47805786,-0.059020996,-0.04321289,9.777924
0.4805603,-0.059020996,-0.03364563,9.830597
0.48306274,-0.07098389,-0.06236267,9.880875
0.4855652,-0.082962036,-0.05279541,9.818619
0.48809814,-0.13563538,-0.0647583,9.789886
0.4906006,-0.07337952,-0.05519104,9.828201
0.4930725,-0.109298706,-0.00491333,9.780319
0.49557495,-0.13563538,-0.01687622,9.878479
0.49807736,-0.07098389,-0.04081726,9.856934
0.50057983,-0.13084412,-0.0599823,9.818619
0.5030823,-0.0925293,-0.0647583,9.768341
0.5055847,-0.07098389,-0.05279541,9.782715
0.50808716,-0.07817078,-0.08631897,9.837769
0.5105896,-0.080566406,-0.05758667,9.830597
0.51309204,-0.114089966,-0.07194519,9.837769
0.5155945,-0.07098389,-0.05758667,9.8688965
0.5180969,-0.082962036,-0.01687622,9.718063
0.52059937,-0.13323975,-0.014480591,9.789886
0.5231018,-0.06858826,-0.05039978,9.835388
0.52560425,-0.142807,-0.04560852,9.854538
0.5281372,-0.080566406,-0.06236267,9.799469
0.53063965,-0.07817078,-1.2207031E-4,9.751587
0.5331421,-0.111694336,-0.10307312,9.799469
0.53564453,-0.106903076,-0.0647583,9.797073
0.53811646,-0.061416626,-0.03604126,9.816223
0.5406494,-0.07098389,-0.05279541,9.86171
0.54312134,-0.047042847,-0.02406311,9.7061
0.5456543,-0.138031,-1.2207031E-4,9.708481
0.54815674,-0.06858826,-0.08392334,9.82341
0.5506592,-0.106903076,-0.01687622,9.885666
0.5531616,-0.14759827,-0.07434082,9.847351
0.55566406,-0.0925293,-0.07194519,9.849747
0.5581665,-0.061416626,-0.05279541,9.765945
0.56066895,-0.16914368,-0.01927185,9.658203
0.5631714,-0.0925293,-0.04321289,9.837769
0.5656738,-0.10211182,-0.08631897,9.835388
0.56817627,-0.1212616,-0.09828186,9.859329
0.5706787,-0.049438477,-0.07194519,9.789886
0.5731812,-0.09971619,-0.02166748,9.746796
0.5756836,-0.07577515,-0.09109497,9.785095
0.57821655,-0.085357666,-0.02885437,9.816223
0.580719,-0.090148926,-0.07434082,9.835388
0.5831909,-0.15238953,-0.07194519,9.895233
0.58569336,-0.082962036,-0.05279541,9.732437
0.5882263,-0.10211182,-0.0599823,9.718063
0.59072876,-0.09971619,-0.08631897,9.852142
0.59323126,-0.085357666,-0.07434082,9.8138275
0.59573364,-0.10450745,-0.0647583,9.844955
0.5982361,-0.11886597,-0.05758667,9.76355
0.6007385,-0.07098389,-0.04321289,9.768341
0.60324097,-0.106903076,-0.07194519,9.777924
0.6057434,-0.0925293,-0.01687622,9.866501
0.60824585,-0.12605286,-0.012084961,9.799469
0.6107483,-0.13563538,-0.05519104,9.794678
0.61325073,-0.11886597,-0.05519104,9.768341
0.6157532,-0.054229736,-0.10786438,9.785095
0.6182556,-0.10211182,-0.06954956,9.880875
0.62075806,-0.09732056,-0.04081726,9.825806
0.6232605,-0.09732056,-0.06715393,9.806656
0.62576294,-0.109298706,-0.08631897,9.835388
0.6282654,-0.1212616,-0.08152771,9.746796
0.6307678,-0.114089966,-0.09828186,9.837769
0.63327026,-0.090148926,-0.05758667,9.880875
