TIME,X,Y,Z
0.0,0.08,-0.467,9.737
0.003969386,0.08,-0.467,9.967
0.007939156,0.08,-0.467,9.967
0.011909002,0.042,-0.467,9.967
0.015878294,0.042,-0.467,9.928
0.019846832,0.08,-0.467,9.928
0.023815677,0.08,-0.467,9.928
0.02778507,0.042,-0.467,9.928
0.031754147,0.08,-0.467,10.005
0.03572384,0.08,-0.467,9.967
0.039693616,0.118,-0.467,9.928
0.043663077,0.08,-0.467,9.967
0.047632307,0.042,-0.505,9.967
0.05160155,0.042,-0.505,10.005
0.05557078,0.08,-0.467,9.967
0.05953917,0.08,-0.467,9.928
0.063508086,0.08,-0.467,9.967
0.067476854,0.118,-0.467,10.005
0.071446545,0.08,-0.467,9.967
0.07541617,0.08,-0.505,9.928
0.07938509,0.08,-0.505,10.005
0.08335379,0.08,-0.467,9.967
0.08732273,0.08,-0.467,9.967
0.091291115,0.08,-0.467,9.967
0.09526003,0.08,-0.505,9.967
0.09922902,0.042,-0.428,9.967
0.10319757,0.08,-0.467,9.967
0.10716642,0.08,-0.428,9.967
0.11113567,0.042,-0.467,9.967
0.11510437,0.08,-0.467,9.928
0.11907283,0.08,-0.505,9.967
0.12304153,0.08,-0.505,9.967
0.12701045,0.118,-0.467,9.967
0.13097954,0.118,-0.543,9.967
0.13494822,0.08,-0.505,9.967
0.13891701,0.08,-0.505,9.967
0.1428857,0.118,-0.467,9.967
0.14685439,0.08,-0.505,10.005
0.15082315,0.118,-0.467,10.005
0.15479277,0.08,-0.505,9.928
0.15876208,0.08,-0.467,9.928
0.1627314,0.08,-0.467,9.967
0.16670038,0.08,-0.467,9.967
0.1706694,0.042,-0.467,9.967
0.17463832,0.08,-0.505,9.967
0.17860802,0.08,-0.467,9.928
0.18257771,0.08,-0.505,9.928
0.18654741,0.08,-0.505,9.967
0.19051726,0.08,-0.505,9.967
0.19448657,0.08,-0.467,9.928
0.19845542,0.042,-0.505,9.967
0.20242427,0.08,-0.467,9.967
0.20639353,0.08,-0.467,9.967
0.21036343,0.08,-0.467,9.967
0.2143326,0.08,-0.505,9.967
0.21830182,0.08,-0.467,9.967
0.2222712,0.042,-0.467,10.005
0.22624059,0.08,-0.505,9.928
0.23020974,0.118,-0.467,9.967
0.23417868,0.042,-0.467,9.967
0.23814727,0.08,-0.428,9.967
0.2421159,0.08,-0.467,9.967
0.24608575,0.08,-0.467,9.967
0.25005528,0.08,-0.505,9.967
0.25402436,0.08,-0.543,9.967
0.25799298,0.118,-0.467,9.967
0.26196262,0.118,-0.505,9.928
0.26593214,0.08,-0.505,9.967
0.269902,0.118,-0.467,9.967
0.27387196,0.08,-0.505,9.967
0.2778415,0.118,-0.505,9.967
0.28181073,0.118,-0.505,9.967
0.28577986,0.042,-0.467,9.967
0.2897492,0.118,-0.505,9.928
0.29371777,0.08,-0.467,9.967
0.29768682,0.08,-0.505,9.967
0.3016554,0.08,-0.467,9.967
0.3056241,0.08,-0.467,9.967
0.3095934,0.08,-0.467,9.967
0.31356287,0.08,-0.467,9.928
0.31753263,0.118,-0.505,9.928
0.32150212,0.08,-0.467,9.967
0.3254714,0.042,-0.505,9.967
0.3294407,0.08,-0.505,9.967
0.33341062,0.08,-0.467,9.967
0.33738065,0.08,-0.505,9.967
0.34135082,0.08,-0.505,9.928
0.34532025,0.08,-0.505,9.967
0.34928995,0.08,-0.505,9.89
0.35325933,0.118,-0.428,10.043
0.35722917,0.118,-0.505,9.928
0.36119863,0.08,-0.543,9.89
0.36516795,0.08,-0.467,9.967
0.36913693,0.08,-0.467,9.852
0.37310657,0.118,-0.505,9.928
0.37707546,0.118,-0.505,10.043
0.38104516,0.08,-0.543,9.967
0.38501486,0.08,-0.467,9.967
0.3889847,0.08,-0.543,9.928
0.39295393,0.08,-0.505,9.928
0.39692312,0.08,-0.467,10.005
0.40089238,0.08,-0.505,10.005
0.40486175,0.08,-0.505,10.043
0.40883124,0.08,-0.505,9.928
0.41280025,0.08,-0.467,9.967
0.4167691,0.08,-0.505,9.89
0.42073795,0.118,-0.467,10.005
0.42470664,0.08,-0.505,10.043
0.42867586,0.118,-0.505,10.005
0.4326451,0.042,-0.543,9.928
0.43661413,0.08,-0.505,9.928
0.44058356,0.118,-0.467,9.928
0.44455346,0.08,-0.543,9.928
0.448523,0.08,-0.505,9.928
0.45249254,0.08,-0.467,9.967
0.45646143,0.08,-0.505,9.967
0.46043083,0.08,-0.505,9.967
0.4644002,0.08,-0.467,10.005
0.4683696,0.042,-0.505,9.967
0.47233897,0.042,-0.505,9.928
0.47630888,0.118,-0.505,9.967
0.48027885,0.08,-0.467,9.967
0.48424807,0.08,-0.467,9.928
0.48821753,0.08,-0.505,9.967
0.49218693,0.042,-0.505,9.967
0.49615654,0.118,-0.467,10.005
0.500126,0.08,-0.467,9.967
0.5040959,0.118,-0.505,9.928
0.50806516,0.08,-0.505,10.005
0.51203424,0.08,-0.505,9.928
0.5160034,0.118,-0.467,9.89
0.5199726,0.08,-0.505,9.967
0.52394205,0.08,-0.467,9.967
0.5279118,0.08,-0.467,9.928
0.5318806,0.08,-0.467,9.967
0.5358495,0.118,-0.505,9.967
0.5398187,0.08,-0.428,9.928
0.543788,0.08,-0.505,9.928
0.547757,0.042,-0.505,9.967
0.5517262,0.08,-0.467,10.005
0.55569524,0.08,-0.428,10.005
0.5596647,0.08,-0.505,9.967
0.5636348,0.08,-0.467,9.967
0.5676046,0.08,-0.505,10.043
0.57157385,0.08,-0.505,9.89
0.5755429,0.08,-0.505,9.928
0.57951206,0.118,-0.505,10.005
0.58348113,0.118,-0.505,9.967
0.5874503,0.118,-0.505,9.967
0.5914201,0.118,-0.467,9.967
0.59538954,0.118,-0.505,9.967
0.59935915,0.08,-0.467,9.967
0.60332805,0.08,-0.467,9.967
0.60729825,0.08,-0.505,9.967
0.61126834,0.08,-0.467,10.005
0.6152382,0.042,-0.467,9.967
0.6192082,0.08,-0.467,9.967
0.62317866,0.08,-0.467,9.967
0.6271489,0.08,-0.467,9.967
0.6311183,0.08,-0.505,9.967
0.635087,0.08,-0.505,9.967
0.63905615,0.08,-0.505,10.005
0.64302593,0.08,-0.505,9.967
0.64699554,0.08,-0.505,9.967
0.6509648,0.118,-0.467,9.967
0.6549348,0.08,-0.505,9.928
0.6589041,0.118,-0.467,10.005
0.6628733,0.042,-0.505,10.005
0.66684204,0.042,-0.505,9.928
0.67081016,0.08,-0.467,9.928
0.67477894,0.118,-0.467,10.005
0.6787481,0.08,-0.467,9.967
0.68271834,0.08,-0.505,9.967
0.6866878,0.08,-0.505,9.967
0.69065714,0.08,-0.467,10.005
0.6946268,0.08,-0.505,9.928
0.6985962,0.08,-0.505,9.967
0.7025659,0.08,-0.467,9.967
0.7065348,0.118,-0.467,9.967
0.7105037,0.118,-0.467,10.005
0.71447283,0.08,-0.467,9.967
0.71844167,0.08,-0.467,9.967
0.72241104,0.08,-0.505,9.928
0.72637945,0.08,-0.467,9.967
0.730348,0.08,-0.505,10.005
0.73431706,0.08,-0.467,9.967
0.7382862,0.08,-0.467,9.928
0.7422552,0.042,-0.505,9.928
0.7462245,0.08,-0.505,9.928
0.75019354,0.08,-0.467,9.967
0.75416243,0.08,-0.505,9.928
0.7581314,0.08,-0.467,9.967
0.76210064,0.118,-0.505,9.967
