TIME,X,Y,Z
0.0,-0.187,-0.084,9.316
0.003941384,-0.187,-0.16,9.928
0.007883203,-0.187,-0.16,9.928
0.011824972,-0.187,-0.16,9.89
0.015766818,-0.187,-0.16,9.852
0.019708352,-0.149,-0.16,9.89
0.023649812,-0.187,-0.16,9.89
0.027591199,-0.187,-0.199,9.89
0.03153189,-0.187,-0.16,9.852
0.035472505,-0.187,-0.16,9.89
0.039413583,-0.187,-0.199,9.928
0.04335435,-0.187,-0.16,9.89
0.047295045,-0.187,-0.199,9.852
0.0512362,-0.187,-0.16,9.89
0.055177137,-0.187,-0.16,9.89
0.05911852,-0.187,-0.16,9.89
0.06306005,-0.187,-0.16,9.928
0.06700177,-0.149,-0.16,9.89
0.07094323,-0.149,-0.16,9.89
0.074884765,-0.225,-0.122,9.928
0.07882602,-0.187,-0.16,9.814
0.08276724,-0.225,-0.16,9.89
0.08670832,-0.187,-0.16,9.89
0.09064963,-0.149,-0.16,9.852
0.094590396,-0.225,-0.199,9.852
0.09853124,-0.187,-0.16,9.928
0.10247214,-0.187,-0.122,9.89
0.10641307,-0.187,-0.16,9.928
0.11035291,-0.149,-0.199,9.89
0.11429428,-0.187,-0.16,9.89
0.1182342,-0.225,-0.122,9.967
0.122176126,-0.187,-0.16,9.814
0.12611692,-0.187,-0.16,9.928
0.13005714,-0.187,-0.199,9.775
0.13399814,-0.149,-0.122,9.928
0.13794005,-0.225,-0.16,9.852
0.14188081,-0.187,-0.16,9.928
0.14582159,-0.187,-0.199,9.89
0.14976197,-0.149,-0.16,9.89
0.15370353,-0.225,-0.199,9.967
0.15764312,-0.187,-0.199,9.852
0.16158451,-0.149,-0.199,9.928
0.16552605,-0.187,-0.16,9.814
0.16946658,-0.187,-0.199,9.89
0.1734079,-0.225,-0.16,9.89
0.17734873,-0.187,-0.16,9.814
0.18129097,-0.187,-0.199,9.89
0.18523191,-0.149,-0.122,9.967
0.18917213,-0.225,-0.122,9.814
0.19311391,-0.225,-0.199,9.852
0.19705492,-0.187,-0.199,9.89
0.20099531,-0.187,-0.122,10.005
0.20493662,-0.187,-0.16,9.89
0.20887701,-0.187,-0.16,9.852
0.212818,-0.187,-0.16,9.814
0.2167577,-0.187,-0.16,9.775
0.22069949,-0.187,-0.122,9.89
0.22463965,-0.187,-0.16,9.814
0.22858165,-0.225,-0.16,9.967
0.23252176,-0.149,-0.199,9.89
0.2364633,-0.187,-0.16,9.928
0.24040444,-0.187,-0.16,9.852
0.24434635,-0.149,-0.199,9.814
0.2482875,-0.187,-0.16,9.852
0.2522282,-0.187,-0.199,9.89
0.2561691,-0.187,-0.199,9.928
0.26011035,-0.187,-0.122,10.005
0.2640511,-0.187,-0.16,9.89
0.26799256,-0.187,-0.16,9.89
0.27193394,-0.225,-0.16,9.852
0.27587464,-0.187,-0.16,9.852
0.27981505,-0.149,-0.16,9.89
0.28375697,-0.225,-0.199,9.814
0.2876978,-0.187,-0.199,9.928
0.29163805,-0.149,-0.199,9.852
0.29558012,-0.187,-0.16,9.89
0.2995216,-0.225,-0.199,9.89
0.30346274,-0.187,-0.199,9.89
0.30740345,-0.187,-0.199,9.814
0.31134415,-0.187,-0.16,9.928
0.3152858,-0.187,-0.122,9.928
0.31922612,-0.187,-0.16,9.967
0.32316813,-0.187,-0.199,9.89
0.3271096,-0.187,-0.122,9.928
0.33105114,-0.187,-0.16,9.852
0.3349929,-0.149,-0.16,9.852
0.33893338,-0.187,-0.16,9.814
0.3428762,-0.187,-0.199,9.89
0.34681806,-0.225,-0.16,9.928
0.35075945,-0.187,-0.199,9.814
0.354702,-0.187,-0.16,9.89
0.358644,-0.187,-0.199,9.852
0.36258468,-0.187,-0.199,9.89
0.36652583,-0.149,-0.16,9.89
0.37046707,-0.187,-0.16,9.852
0.37440816,-0.187,-0.16,9.89
0.37834987,-0.149,-0.199,9.89
0.38229045,-0.187,-0.16,9.928
0.38623208,-0.187,-0.16,9.89
0.39017352,-0.187,-0.16,9.89
0.3941144,-0.187,-0.16,9.89
0.39805517,-0.187,-0.16,9.89
0.40199605,-0.187,-0.199,9.852
0.40593746,-0.149,-0.199,9.928
0.40987834,-0.225,-0.16,9.89
0.41381878,-0.187,-0.16,9.852
0.41776,-0.187,-0.16,9.814
0.42170122,-0.187,-0.16,9.89
0.42564237,-0.187,-0.16,9.852
0.42958346,-0.187,-0.16,9.852
0.43352458,-0.187,-0.199,9.928
0.4374654,-0.187,-0.199,9.852
0.44140667,-0.187,-0.122,9.928
0.4453485,-0.187,-0.16,9.89
0.44928902,-0.149,-0.199,9.852
0.45323032,-0.187,-0.199,9.89
0.45717174,-0.187,-0.16,9.852
0.46111375,-0.187,-0.199,9.89
0.46505475,-0.187,-0.16,9.89
0.46899623,-0.187,-0.16,9.89
0.47293723,-0.225,-0.16,9.852
0.47687876,-0.187,-0.16,9.852
0.48082024,-0.187,-0.199,9.928
0.4847619,-0.187,-0.16,9.928
0.48870376,-0.187,-0.16,9.928
0.4926453,-0.187,-0.16,9.852
0.49658674,-0.187,-0.16,9.852
0.5005285,-0.149,-0.16,9.852
0.5044706,-0.187,-0.199,9.928
0.5084121,-0.187,-0.199,9.89
0.51235396,-0.187,-0.199,9.89
0.5162958,-0.187,-0.16,9.852
0.52023757,-0.225,-0.16,9.89
0.5241801,-0.187,-0.16,9.928
0.52812225,-0.187,-0.16,9.89
0.53206396,-0.187,-0.16,9.89
0.53600556,-0.187,-0.122,9.928
0.53994733,-0.187,-0.16,9.89
0.54388946,-0.187,-0.16,9.89
0.54783064,-0.187,-0.16,9.89
0.55177176,-0.187,-0.16,9.852
0.55571336,-0.187,-0.16,9.89
0.5596536,-0.149,-0.199,9.852
0.56359506,-0.187,-0.16,9.852
0.5675364,-0.187,-0.16,9.89
0.57147807,-0.187,-0.16,9.89
0.57541966,-0.187,-0.122,9.852
0.5793613,-0.149,-0.16,9.89
0.5833026,-0.187,-0.199,9.89
0.5872446,-0.225,-0.199,9.89
0.5911868,-0.149,-0.16,9.928
0.5951288,-0.187,-0.199,9.89
0.5990712,-0.225,-0.16,9.928
0.6030129,-0.187,-0.16,9.89
0.6069536,-0.187,-0.199,9.852
0.6108951,-0.149,-0.16,9.89
0.6148364,-0.187,-0.16,9.89
0.61877835,-0.225,-0.199,9.928
