TIME,X,Y,Z
0.0,1.037,-2.075,9.277
0.003957987,1.114,-2.267,9.852
0.007916064,1.114,-2.228,9.699
0.011874064,1.076,-2.228,9.584
0.01583213,1.114,-2.228,9.507
0.019790052,1.114,-2.267,9.584
0.023747668,1.114,-2.19,9.814
0.027705291,1.076,-2.228,9.814
0.031662755,1.114,-2.267,9.699
0.03562037,1.114,-2.228,9.775
0.039578304,1.114,-2.19,9.928
0.04353607,1.114,-2.228,9.852
0.047493767,1.114,-2.228,9.775
0.051451158,1.114,-2.228,9.699
0.055408157,1.114,-2.228,9.66
0.059365157,1.076,-2.267,9.66
0.06332246,1.114,-2.19,9.66
0.067279615,1.076,-2.228,9.699
0.07123646,1.114,-2.19,9.737
0.075193554,1.114,-2.228,9.699
0.079151705,1.076,-2.228,9.852
0.083109856,1.114,-2.228,9.89
0.08706786,1.114,-2.228,9.814
0.09102616,1.114,-2.228,9.737
0.09498462,1.114,-2.228,9.737
0.09894186,1.114,-2.19,9.699
0.10290001,1.076,-2.267,9.66
0.10685794,1.114,-2.228,9.737
0.11081603,1.076,-2.19,9.737
0.11477349,1.076,-2.228,9.66
0.118731335,1.114,-2.228,9.699
0.122689426,1.114,-2.228,9.775
0.12664765,1.114,-2.19,9.852
0.1306058,1.076,-2.228,9.814
0.13456376,1.114,-2.19,9.775
0.13852182,1.114,-2.228,9.699
0.14247967,1.114,-2.19,9.699
0.14643785,1.114,-2.228,9.775
0.15039648,1.114,-2.228,9.737
0.15435462,1.114,-2.267,9.699
0.15831177,1.114,-2.267,9.775
0.16226923,1.114,-2.267,9.775
0.16622663,1.114,-2.19,9.737
0.17018339,1.114,-2.267,9.737
0.17414062,1.076,-2.228,9.814
0.17809792,1.114,-2.228,9.737
0.18205579,1.114,-2.228,9.737
0.18601316,1.114,-2.228,9.814
0.18997094,1.114,-2.228,9.775
0.1939282,1.114,-2.228,9.622
0.19788595,1.076,-2.228,9.699
0.20184365,1.114,-2.228,9.852
0.20580097,1.076,-2.228,9.699
0.20975836,1.114,-2.228,9.66
0.21371534,1.114,-2.228,9.775
0.21767189,1.114,-2.19,9.814
0.2216288,1.114,-2.267,9.699
0.22558619,1.114,-2.228,9.737
0.22954318,1.076,-2.267,9.852
0.23350033,1.076,-2.19,9.775
0.23745772,1.114,-2.267,9.66
0.24141502,1.114,-2.228,9.775
0.24537249,1.114,-2.228,9.775
0.24933042,1.114,-2.228,9.66
0.25328735,1.076,-2.228,9.775
0.25724465,1.076,-2.228,9.814
0.26120213,1.114,-2.228,9.699
0.26515967,1.114,-2.228,9.66
0.2691169,1.114,-2.228,9.775
0.2730742,1.114,-2.228,9.775
0.27703172,1.114,-2.228,9.622
0.28098968,1.076,-2.267,9.699
0.2849465,1.076,-2.19,9.852
0.28890377,1.114,-2.228,9.66
0.292861,1.114,-2.267,9.622
0.29681796,1.076,-2.228,9.852
0.30077493,1.076,-2.19,9.814
0.3047324,1.114,-2.267,9.584
0.30868936,1.114,-2.228,9.699
0.312646,1.076,-2.19,9.89
0.3166027,1.114,-2.19,9.737
0.32055995,1.114,-2.228,9.507
0.3245166,1.076,-2.267,9.814
0.32847401,1.076,-2.228,9.89
0.3324324,1.076,-2.267,9.622
0.3363908,1.114,-2.228,9.699
0.340349,1.076,-2.19,9.775
0.34430754,1.114,-2.19,9.737
0.34826586,1.114,-2.267,9.622
0.35222334,1.076,-2.228,9.967
0.35618103,1.114,-2.228,9.814
0.36013857,1.114,-2.228,9.507
0.3640967,1.152,-2.228,9.699
0.36805457,1.114,-2.228,9.928
0.37201124,1.114,-2.19,9.737
0.375968,1.114,-2.267,9.584
0.37992546,1.076,-2.228,9.814
0.383883,1.114,-2.19,9.852
0.3878406,1.152,-2.267,9.622
0.3917977,1.114,-2.267,9.622
0.39575616,1.114,-2.19,9.852
0.399714,1.076,-2.228,9.775
0.4036719,1.114,-2.267,9.66
0.40763068,1.076,-2.267,9.775
0.41158906,1.114,-2.19,9.814
0.41554675,1.152,-2.228,9.584
0.41950458,1.114,-2.267,9.737
0.4234626,1.114,-2.19,9.852
0.42742053,1.114,-2.228,9.699
0.43137857,1.114,-2.267,9.699
0.4353364,1.076,-2.19,9.814
0.43929395,1.076,-2.228,9.775
0.44325134,1.114,-2.267,9.66
0.44720894,1.114,-2.267,9.699
0.4511674,1.076,-2.228,9.928
0.45512548,1.114,-2.228,9.66
0.4590837,1.114,-2.267,9.814
0.4630413,1.114,-2.267,9.699
0.46699917,1.152,-2.228,9.545
0.47095692,1.114,-2.267,9.852
0.4749148,1.076,-2.228,10.005
0.47887272,1.037,-2.228,9.66
0.48283055,1.114,-2.267,9.469
0.48678815,1.114,-2.267,9.622
0.49074557,1.114,-2.19,9.737
0.49470294,1.114,-2.228,9.775
0.49866086,1.114,-2.228,9.584
0.50261927,1.114,-2.228,9.852
0.5065772,1.114,-2.19,9.852
0.5105351,1.114,-2.267,9.66
0.5144933,1.114,-2.267,9.622
0.5184509,1.114,-2.19,9.699
0.52240866,1.114,-2.228,9.928
0.52636683,1.114,-2.305,9.737
0.5303247,1.076,-2.228,9.737
0.5342824,1.076,-2.19,9.775
0.5382403,1.114,-2.228,9.584
0.54219866,1.114,-2.267,9.66
0.5461565,1.114,-2.19,9.775
0.55011463,1.076,-2.228,9.699
0.55407256,1.076,-2.267,9.737
0.5580305,1.114,-2.19,9.89
0.56198806,1.114,-2.152,9.89
0.5659453,1.114,-2.228,9.699
0.5699028,1.114,-2.267,9.699
0.57386154,1.076,-2.19,9.89
0.57782,1.114,-2.228,9.775
0.5817779,1.114,-2.267,9.622
0.58573586,1.114,-2.228,9.775
0.58969355,1.114,-2.19,9.699
0.59365094,1.114,-2.228,9.775
0.5976089,1.076,-2.267,9.814
0.6015666,1.114,-2.228,9.66
0.60552454,1.114,-2.267,9.737
0.60948265,1.114,-2.267,9.775
0.61344045,1.114,-2.228,9.852
0.6173986,1.114,-2.19,9.737
0.6213572,1.114,-2.267,9.507
0.62531567,1.076,-2.267,9.89
0.62927437,1.076,-2.19,9.852
0.63323265,1.114,-2.19,9.507
0.6371912,1.114,-2.267,9.66
0.6411491,1.076,-2.228,9.852
0.6451073,1.114,-2.19,9.775
0.6490647,1.114,-2.267,9.66
0.6530217,1.076,-2.267,9.814
0.656979,1.076,-2.19,9.814
0.6609362,1.114,-2.228,9.545
0.6648936,1.114,-2.228,9.66
0.66885114,1.076,-2.228,9.967
0.67280877,1.076,-2.19,9.737
0.6767664,1.114,-2.267,9.545
0.6807239,1.076,-2.228,9.852
0.68468153,1.114,-2.19,9.814
0.68863946,1.114,-2.228,9.584
0.69259745,1.114,-2.305,9.66
0.69655484,1.114,-2.152,9.928
0.70051175,1.076,-2.267,9.775
0.70447004,1.114,-2.19,9.584
0.70842826,1.114,-2.228,9.775
0.71238583,1.114,-2.19,9.852
0.7163431,1.114,-2.267,9.66
0.72030085,1.114,-2.228,9.66
0.72425926,1.076,-2.228,9.814
0.72821724,1.114,-2.228,9.775
0.7321753,1.114,-2.267,9.737
0.73613304,1.114,-2.19,9.699
0.74009,1.114,-2.228,9.737
0.7440474,1.076,-2.228,9.66
0.74800473,1.076,-2.19,9.775
0.75196177,1.114,-2.228,9.89
0.75591916,1.114,-2.228,9.66
0.7598764,1.114,-2.228,9.66
0.7638335,1.114,-2.228,9.775
0.76779056,1.114,-2.19,9.737
0.77174824,1.076,-2.228,9.699
0.7757061,1.076,-2.267,9.775
0.7796639,1.076,-2.19,9.814
0.78362197,1.114,-2.228,9.737
0.7875794,1.114,-2.228,9.699
0.7915368,1.114,-2.267,9.814
0.79549414,1.076,-2.19,9.737
0.79945236,1.114,-2.228,9.737
0.8034101,1.114,-2.228,9.737
0.80736774,1.114,-2.228,9.775
0.81132513,1.114,-2.19,9.699
0.81528205,1.114,-2.228,9.737
0.8192395,1.076,-2.228,9.814
0.8231969,1.114,-2.228,9.775
0.82715404,1.114,-2.228,9.66
0.83111095,1.114,-2.228,9.699
0.83506864,1.114,-2.228,9.775
0.8390266,1.114,-2.228,9.775
0.84298414,1.114,-2.228,9.737
0.8469413,1.076,-2.228,9.775
0.8508985,1.114,-2.19,9.814
0.85485554,1.076,-2.267,9.737
0.8588128,1.114,-2.228,9.737
0.8627698,1.114,-2.228,9.699
0.866727,1.114,-2.267,9.775
0.87068367,1.076,-2.228,9.775
0.87464166,1.076,-2.228,9.699
0.8786,1.114,-2.228,9.737
0.8825579,1.076,-2.228,9.737
0.88651615,1.114,-2.228,9.737
0.89047307,1.114,-2.228,9.737
0.8944311,1.076,-2.228,9.737
0.8983888,1.076,-2.267,9.699
