TIME,X,Y,Z
0.0,0.425,-0.85,10.388
0.003973613,0.386,-0.811,9.775
0.007946767,0.463,-0.811,10.197
0.011920074,0.463,-0.773,9.928
0.015893698,0.463,-0.811,9.814
0.019866545,0.386,-0.811,10.082
0.023840157,0.425,-0.811,10.082
0.027814144,0.425,-0.811,9.89
0.03178807,0.425,-0.773,9.852
0.035761222,0.425,-0.811,9.967
0.039734375,0.425,-0.811,10.005
0.043707766,0.425,-0.811,10.043
0.04768115,0.463,-0.773,9.967
0.05165474,0.463,-0.811,9.89
0.055628434,0.463,-0.811,10.005
0.059603512,0.463,-0.811,9.967
0.063578345,0.463,-0.811,10.005
0.06755212,0.501,-0.811,9.967
0.07152681,0.463,-0.811,9.928
0.075501055,0.463,-0.811,9.928
0.0794749,0.463,-0.811,10.043
0.08344852,0.425,-0.811,10.043
0.087423235,0.425,-0.85,9.967
0.091397695,0.425,-0.811,9.928
0.09537123,0.463,-0.811,10.043
0.09934478,0.425,-0.773,10.043
0.10331848,0.386,-0.811,9.967
0.10729209,0.425,-0.773,9.967
0.11126627,0.425,-0.811,9.967
0.11524034,0.425,-0.773,10.005
0.11921473,0.425,-0.773,10.005
0.123189315,0.463,-0.773,10.005
0.12716447,0.425,-0.773,9.928
0.13113877,0.463,-0.773,9.967
0.13511246,0.463,-0.773,9.967
0.13908662,0.501,-0.85,10.005
0.14306125,0.463,-0.811,9.967
0.14703539,0.425,-0.811,9.928
0.15100877,0.425,-0.811,9.967
0.15498285,0.425,-0.811,9.967
0.15895724,0.425,-0.811,10.005
0.16293187,0.463,-0.773,9.967
0.16690634,0.425,-0.811,9.967
0.17088087,0.425,-0.811,9.928
0.17485541,0.463,-0.811,10.005
0.17883025,0.463,-0.811,10.005
0.18280473,0.425,-0.773,9.967
0.18677935,0.463,-0.811,9.967
0.19075365,0.425,-0.811,10.005
0.1947273,0.463,-0.811,9.967
0.19870129,0.463,-0.773,10.005
0.20267592,0.463,-0.811,9.967
0.20665076,0.425,-0.811,9.928
0.21062529,0.463,-0.811,9.967
0.21459924,0.463,-0.811,9.967
0.21857285,0.425,-0.773,9.967
0.22254609,0.463,-0.773,9.967
0.22651969,0.425,-0.811,9.967
0.23049308,0.425,-0.811,9.967
0.23446617,0.425,-0.811,9.967
0.23843916,0.425,-0.811,9.928
0.2424122,0.386,-0.773,9.928
0.24638541,0.425,-0.773,9.967
0.25035864,0.425,-0.811,9.967
0.25433218,0.425,-0.811,9.967
0.25830558,0.463,-0.811,9.967
0.26227948,0.463,-0.811,9.967
0.26625288,0.425,-0.811,9.967
0.2702265,0.463,-0.773,9.928
0.27420047,0.463,-0.811,10.005
0.27817386,0.425,-0.811,10.005
0.2821471,0.463,-0.811,10.005
0.2861212,0.425,-0.85,9.928
0.29009473,0.425,-0.811,10.043
0.29406804,0.463,-0.811,9.967
0.2980415,0.425,-0.811,9.967
0.3020147,0.463,-0.773,9.967
0.30598834,0.425,-0.811,9.967
0.30996168,0.425,-0.811,9.967
0.3139352,0.463,-0.811,9.967
0.31790927,0.425,-0.773,9.967
0.3218836,0.425,-0.811,9.967
0.32585767,0.386,-0.811,10.005
0.32983112,0.425,-0.811,9.967
0.33380485,0.463,-0.773,10.005
0.33777836,0.463,-0.811,9.928
0.3417518,0.425,-0.773,9.967
0.3457256,0.463,-0.773,9.967
0.34969962,0.463,-0.811,9.967
0.35367355,0.425,-0.773,10.043
0.3576469,0.463,-0.773,9.89
0.36162075,0.425,-0.811,9.967
0.36559403,0.463,-0.811,9.852
0.36956778,0.463,-0.811,9.967
0.373542,0.463,-0.773,10.005
0.37751588,0.463,-0.85,9.928
0.38148984,0.463,-0.773,10.005
0.385464,0.501,-0.811,9.852
0.3894377,0.463,-0.811,9.928
0.39341173,0.463,-0.811,9.928
0.3973856,0.425,-0.811,10.043
0.40135875,0.425,-0.85,10.082
0.4053324,0.463,-0.811,10.082
0.40930623,0.425,-0.85,10.005
0.41327962,0.425,-0.811,9.967
0.41725332,0.425,-0.85,10.043
0.42122716,0.425,-0.811,10.043
0.42520133,0.425,-0.811,10.005
0.4291751,0.425,-0.811,10.043
0.43314886,0.463,-0.811,9.967
0.43712202,0.463,-0.773,9.928
0.44109556,0.463,-0.773,10.005
0.44506878,0.386,-0.773,9.928
0.4490424,0.463,-0.773,10.005
0.45301637,0.463,-0.773,9.928
0.45699033,0.463,-0.811,9.928
0.4609638,0.463,-0.811,9.928
0.46493703,0.463,-0.811,9.89
0.46890992,0.425,-0.811,9.89
0.4728834,0.425,-0.811,9.928
0.47685686,0.501,-0.811,9.852
0.48083013,0.425,-0.811,9.928
0.4848033,0.425,-0.811,9.967
0.48877692,0.425,-0.811,10.043
0.49275076,0.425,-0.85,9.967
0.4967252,0.425,-0.811,10.005
0.50069875,0.425,-0.773,10.043
0.5046722,0.463,-0.811,10.005
0.5086453,0.463,-0.773,9.967
0.51261806,0.425,-0.811,10.005
0.5165913,0.463,-0.811,10.005
0.5205646,0.425,-0.773,10.005
0.5245384,0.425,-0.85,9.967
0.5285122,0.501,-0.811,9.928
0.5324863,0.501,-0.811,10.005
0.53646046,0.463,-0.811,9.967
0.5404342,0.425,-0.811,9.967
0.5444081,0.425,-0.811,9.967
0.5483821,0.463,-0.811,10.005
0.5523557,0.463,-0.811,9.967
0.5563294,0.463,-0.773,10.005
0.56030405,0.425,-0.811,10.005
0.5642774,0.425,-0.811,10.005
0.5682513,0.463,-0.811,10.005
0.57222486,0.425,-0.773,10.005
0.5761986,0.425,-0.773,9.967
0.58017254,0.425,-0.811,9.967
0.5841464,0.425,-0.811,10.005
0.5881198,0.463,-0.811,9.89
0.5920936,0.463,-0.811,10.005
0.5960674,0.425,-0.811,9.967
0.6000413,0.425,-0.811,9.928
0.6040146,0.463,-0.811,10.005
0.60798806,0.463,-0.773,9.967
0.6119617,0.425,-0.811,9.967
0.6159352,0.463,-0.773,10.005
0.61990833,0.425,-0.811,10.005
0.6238814,0.425,-0.811,10.005
0.6278547,0.425,-0.811,10.005
0.63182825,0.463,-0.811,9.967
0.6358021,0.425,-0.811,10.005
0.6397756,0.425,-0.811,9.967
0.64374936,0.425,-0.811,9.967
0.6477237,0.463,-0.811,9.967
0.6516982,0.425,-0.773,10.005
0.6556723,0.425,-0.811,9.967
0.659646,0.463,-0.811,9.967
0.66361976,0.463,-0.811,9.928
0.66759336,0.463,-0.811,9.967
0.6715663,0.425,-0.811,9.967
0.6755396,0.425,-0.811,9.967
0.6795134,0.425,-0.773,10.005
