TIME,X,Y,Z
0.0,0.425,-0.811,9.967
0.003975077,0.425,-0.811,9.967
0.007950705,0.425,-0.85,10.005
0.011926244,0.425,-0.811,10.005
0.015901474,0.425,-0.85,9.967
0.019877229,0.425,-0.85,10.005
0.023852997,0.425,-0.811,9.967
0.027828382,0.425,-0.773,9.967
0.03180382,0.386,-0.773,10.005
0.0357789,0.425,-0.811,10.005
0.039754126,0.386,-0.811,9.967
0.043729845,0.386,-0.735,9.967
0.047705233,0.386,-0.773,9.967
0.051680844,0.463,-0.811,10.005
0.055656858,0.463,-0.811,9.967
0.059632473,0.463,-0.811,9.928
0.063607626,0.463,-0.811,9.967
0.067582935,0.463,-0.811,9.967
0.07155801,0.463,-0.85,9.967
0.07553302,0.425,-0.85,9.967
0.07950873,0.425,-0.85,9.967
0.08348488,0.386,-0.811,9.967
0.087461114,0.463,-0.85,9.928
0.091437295,0.425,-0.85,10.005
0.095413215,0.463,-0.811,10.005
0.09938929,0.463,-0.811,10.005
0.10336546,0.463,-0.811,9.967
0.10734076,0.463,-0.811,9.967
0.11131669,0.463,-0.811,10.005
0.11529269,0.425,-0.811,10.005
0.11926876,0.463,-0.811,10.005
0.12324407,0.425,-0.811,10.005
0.12722014,0.425,-0.811,9.967
0.13119622,0.425,-0.811,10.005
0.1351713,0.386,-0.811,9.967
0.13914639,0.425,-0.811,10.005
0.14312208,0.386,-0.773,10.005
0.14709792,0.463,-0.811,10.005
0.15107363,0.425,-0.811,10.005
0.15504892,0.463,-0.85,9.967
0.15902385,0.463,-0.85,10.005
0.16299911,0.463,-0.811,10.005
0.16697434,0.463,-0.85,10.005
0.1709491,0.463,-0.811,9.967
0.17492388,0.463,-0.85,9.967
0.17889896,0.463,-0.811,9.967
0.18287419,0.463,-0.811,9.967
0.18685004,0.463,-0.811,9.967
0.19082582,0.425,-0.773,9.967
0.19480166,0.463,-0.811,10.005
0.19877753,0.463,-0.811,9.967
0.20275305,0.425,-0.811,9.928
0.2067292,0.463,-0.811,9.967
0.21070538,0.463,-0.811,9.967
0.21468161,0.425,-0.811,9.967
0.21865755,0.425,-0.811,9.967
0.22263326,0.463,-0.85,10.005
0.2266088,0.425,-0.811,10.005
0.23058425,0.463,-0.85,9.967
0.23455963,0.425,-0.811,9.967
0.23853572,0.425,-0.811,9.967
0.24251102,0.386,-0.811,9.967
0.24648656,0.463,-0.773,9.967
0.25046217,0.463,-0.811,9.967
0.25443795,0.463,-0.85,9.928
0.2584134,0.425,-0.811,9.967
0.26238933,0.425,-0.811,9.928
0.26636517,0.463,-0.811,9.967
0.27034056,0.425,-0.85,9.967
0.27431643,0.425,-0.811,9.967
0.27829242,0.463,-0.811,9.967
0.28226826,0.463,-0.85,9.928
0.28624436,0.463,-0.811,9.967
0.29022047,0.425,-0.811,9.967
0.2941965,0.463,-0.85,9.967
0.29817274,0.463,-0.811,9.967
0.3021482,0.425,-0.811,10.005
0.3061231,0.501,-0.811,10.005
0.31009936,0.425,-0.811,9.967
0.3140751,0.425,-0.811,9.967
0.31805134,0.463,-0.85,9.967
0.32202733,0.463,-0.811,9.967
0.32600358,0.463,-0.811,9.967
0.3299796,0.425,-0.811,9.967
0.3339551,0.425,-0.811,10.005
0.3379305,0.425,-0.773,9.967
0.34190643,0.463,-0.773,9.967
0.34588206,0.501,-0.85,10.005
0.34985796,0.463,-0.85,10.005
0.35383368,0.501,-0.811,9.967
0.35780928,0.463,-0.85,10.005
0.36178473,0.425,-0.85,9.967
0.3657599,0.425,-0.811,9.928
0.36973512,0.425,-0.85,9.967
0.37371016,0.425,-0.811,9.967
0.3776853,0.425,-0.811,10.043
0.38166168,0.463,-0.811,10.005
0.38563824,0.425,-0.811,10.005
0.38961437,0.463,-0.85,10.005
0.39359015,0.425,-0.811,9.967
0.39756545,0.425,-0.811,9.967
0.4015409,0.425,-0.811,9.967
0.4055165,0.425,-0.811,9.928
0.40949258,0.425,-0.811,10.005
0.4134685,0.425,-0.811,9.967
0.4174443,0.425,-0.811,9.928
0.42141974,0.463,-0.811,9.967
0.42539567,0.463,-0.85,10.005
0.42937085,0.425,-0.811,9.967
0.43334597,0.463,-0.85,9.928
0.43732116,0.425,-0.811,10.005
