TIME,X,Y,Z
0.0,0.003,-0.505,9.928
0.003967923,0.003,-0.505,9.967
0.007935618,0.003,-0.467,9.967
0.011902849,0.003,-0.505,9.967
0.015870158,0.003,-0.467,9.928
0.019837877,0.003,-0.505,9.967
0.023805492,0.003,-0.505,9.967
0.027773108,0.003,-0.505,9.928
0.031740572,0.042,-0.505,9.928
0.0357078,0.042,-0.505,9.967
0.03967534,0.003,-0.505,9.967
0.043643214,-0.034,-0.505,9.967
0.047610905,0.003,-0.505,9.967
0.05157806,0.003,-0.505,9.967
0.055545688,0.042,-0.505,9.967
0.059512533,0.003,-0.467,9.967
0.063480765,0.003,-0.505,9.967
0.067448854,0.003,-0.505,9.928
0.07141617,0.003,-0.467,9.967
0.075383626,0.003,-0.467,9.967
0.07935163,0.003,-0.543,9.928
0.08331916,0.003,-0.505,9.967
0.087287314,0.003,-0.505,9.967
0.091254875,0.003,-0.505,9.967
0.09522234,0.042,-0.467,9.967
0.09919041,0.003,-0.505,10.005
0.10315819,0.003,-0.505,9.89
0.10712573,0.003,-0.505,10.005
0.11109396,0.003,-0.505,9.928
0.11506253,0.003,-0.467,9.967
0.119029835,0.042,-0.467,9.967
0.12299753,0.042,-0.505,9.928
0.12696554,0.042,-0.505,10.005
0.13093378,0.042,-0.543,9.928
0.1349017,0.003,-0.505,10.005
0.13886933,0.003,-0.467,9.967
0.14283687,0.003,-0.505,9.967
0.14680417,0.042,-0.505,9.89
0.15077233,0.003,-0.543,9.967
0.15474057,0.042,-0.505,9.928
0.15870826,0.003,-0.505,9.967
0.1626765,0.042,-0.505,9.967
0.1666448,0.003,-0.467,9.967
0.17061274,0.003,-0.505,9.967
0.17458121,-0.034,-0.505,9.928
0.1785499,0.042,-0.505,9.928
0.1825179,0.042,-0.505,10.005
0.18648647,0.042,-0.543,9.967
0.19045447,0.003,-0.543,9.928
0.19442225,-0.034,-0.467,10.005
0.19838987,0.042,-0.505,9.967
0.20235765,0.003,-0.505,9.928
0.20632541,0.042,-0.505,9.928
0.2102931,0.003,-0.505,9.928
0.21426064,0.042,-0.505,9.967
0.21822847,0.042,-0.505,9.928
0.22219649,0.003,-0.505,9.928
0.22616449,0.003,-0.505,9.928
0.23013265,0.003,-0.505,9.928
0.23410049,0.003,-0.505,9.967
0.2380682,0.003,-0.505,9.967
0.24203573,0.042,-0.505,9.928
0.24600391,0.042,-0.467,9.928
0.2499712,0.042,-0.467,9.967
0.25393873,0.003,-0.505,9.967
0.2579063,0.003,-0.505,9.967
0.2618735,0.042,-0.505,9.967
0.26584068,0.003,-0.505,9.967
0.26980782,0.042,-0.505,10.005
0.27377525,0.003,-0.505,9.967
0.27774245,0.003,-0.505,9.928
0.2817095,0.042,-0.543,9.967
0.28567722,0.003,-0.505,9.928
0.2896451,0.003,-0.505,9.967
0.293613,0.042,-0.467,9.928
0.2975803,0.042,-0.505,9.928
0.30154747,0.042,-0.505,9.89
0.30551404,0.042,-0.505,9.967
0.30948114,0.003,-0.505,9.928
0.31344828,0.042,-0.467,9.967
0.31741476,0.042,-0.505,9.928
0.32138145,0.003,-0.505,10.005
0.32534868,0.003,-0.467,9.928
0.3293156,0.003,-0.505,9.967
0.33328286,0.042,-0.505,9.928
0.3372502,0.003,-0.505,9.967
0.34121746,-0.034,-0.543,9.967
0.34518445,0.042,-0.505,9.928
0.3491518,0.003,-0.505,9.928
0.35311863,0.003,-0.505,9.967
0.35708538,0.003,-0.505,9.967
0.36105222,0.042,-0.467,9.967
0.36501923,0.003,-0.505,9.928
0.36898637,0.042,-0.505,9.928
0.3729534,0.003,-0.505,9.928
0.37692007,0.003,-0.505,9.967
0.38088706,0.003,-0.467,9.928
0.38485393,0.042,-0.505,9.928
0.38882062,0.003,-0.505,9.967
0.39278778,0.003,-0.505,9.967
0.39675513,0.003,-0.467,9.967
0.4007226,0.042,-0.467,9.928
0.40468955,0.003,-0.505,9.967
0.40865612,0.003,-0.505,9.928
0.41262302,0.003,-0.505,9.928
0.4165901,0.042,-0.505,9.928
0.420557,0.003,-0.505,9.967
0.42452374,0.042,-0.505,9.967
0.42849058,0.042,-0.505,10.005
0.4324576,0.003,-0.505,10.005
0.4364252,0.003,-0.505,9.928
0.44039306,0.042,-0.505,9.928
0.44436097,0.003,-0.467,9.928
0.44832796,0.003,-0.505,9.89
0.45229527,0.003,-0.505,9.89
0.4562625,0.003,-0.505,10.043
0.46022993,0.003,-0.467,9.967
0.4641969,0.003,-0.505,10.043
0.4681643,0.042,-0.543,10.043
0.47213146,0.042,-0.505,9.928
0.47609842,0.042,-0.467,9.928
0.48006544,0.003,-0.505,9.89
0.48403236,-0.034,-0.467,9.89
0.48799965,0.003,-0.543,9.852
0.49196622,0.003,-0.505,9.967
0.4959334,0.042,-0.505,9.967
0.4999007,0.003,-0.428,10.043
0.50386816,0.042,-0.467,9.967
0.5078355,0.042,-0.505,10.005
0.5118026,0.042,-0.543,9.928
0.5157701,-0.034,-0.505,9.928
0.51973766,0.003,-0.505,9.928
0.5237052,0.003,-0.505,9.928
0.5276727,0.042,-0.505,9.928
0.53163993,0.003,-0.467,9.967
0.5356074,0.003,-0.505,9.967
0.5395751,0.003,-0.505,9.967
0.5435424,0.003,-0.543,9.967
0.5475096,0.003,-0.505,9.928
0.55147755,0.003,-0.543,9.928
0.55544543,0.003,-0.505,10.005
0.55941284,0.042,-0.505,9.928
0.5633802,0.042,-0.505,9.967
0.5673477,0.003,-0.505,9.967
0.5713152,0.042,-0.543,9.928
0.5752826,0.003,-0.467,9.89
0.57925004,0.003,-0.543,9.967
0.5832178,0.042,-0.505,10.005
0.5871858,0.042,-0.505,10.005
0.5911533,0.042,-0.505,9.928
0.59512013,0.003,-0.467,9.928
0.5990871,0.003,-0.467,10.005
0.6030543,0.042,-0.505,9.967
0.6070213,0.003,-0.467,9.967
0.61098826,0.003,-0.505,9.89
0.61495537,0.003,-0.467,9.928
0.61892235,0.003,-0.467,9.967
0.6228894,0.003,-0.505,10.005
0.6268567,0.003,-0.543,9.928
0.630824,0.003,-0.505,9.967
0.6347914,0.042,-0.543,9.967
0.6387585,0.003,-0.505,9.928
0.642726,0.042,-0.505,9.967
0.64669317,0.003,-0.505,9.928
0.6506601,0.003,-0.505,9.928
