TIME,X,Y,Z
0.0,0.233,-0.543,9.775
0.003969077,0.195,-0.543,9.928
0.0079377,0.195,-0.543,9.967
0.011906777,0.195,-0.543,9.967
0.015875777,0.195,-0.505,10.005
0.019843863,0.157,-0.543,9.928
0.023812864,0.195,-0.543,9.928
0.027781015,0.195,-0.543,9.967
0.03175042,0.195,-0.543,9.928
0.035719343,0.233,-0.582,9.967
0.039688498,0.195,-0.543,9.928
0.043657824,0.233,-0.582,9.967
0.047627132,0.233,-0.543,9.967
0.051596515,0.195,-0.505,9.967
0.055565502,0.233,-0.505,9.967
0.05953397,0.271,-0.543,9.967
0.06350259,0.31,-0.543,9.967
0.067471385,0.233,-0.543,9.967
0.071439534,0.233,-0.543,10.005
0.075408235,0.233,-0.543,9.928
0.07937678,0.233,-0.505,10.005
0.08334516,0.233,-0.543,9.967
0.087313846,0.271,-0.543,9.967
0.09128324,0.233,-0.543,9.967
0.09525271,0.233,-0.543,9.967
0.09922139,0.233,-0.505,9.928
0.10318972,0.195,-0.543,9.967
0.1071581,0.195,-0.582,9.967
0.11112687,0.195,-0.543,9.967
0.11509544,0.195,-0.543,9.967
0.11906305,0.195,-0.543,9.967
0.12303089,0.195,-0.582,9.967
0.12699859,0.195,-0.582,9.967
0.13096651,0.195,-0.543,9.967
0.13493498,0.195,-0.543,10.005
0.13890274,0.233,-0.543,9.967
0.14287059,0.233,-0.582,9.967
0.14683881,0.271,-0.505,9.967
0.15080743,0.195,-0.543,10.005
0.15477596,0.233,-0.543,9.928
0.15874328,0.233,-0.505,9.967
0.162711,0.195,-0.505,9.967
0.16667907,0.157,-0.543,9.928
0.17064762,0.195,-0.543,9.928
0.17461525,0.195,-0.543,10.005
0.17858325,0.195,-0.505,9.967
0.1825514,0.233,-0.543,9.967
0.18651964,0.195,-0.543,9.967
0.19048749,0.233,-0.543,9.967
0.19445579,0.233,-0.543,9.928
0.19842397,0.195,-0.505,9.967
0.20239167,0.233,-0.543,9.967
0.2063599,0.233,-0.505,9.928
0.21032809,0.233,-0.543,9.967
0.21429655,0.233,-0.505,9.967
0.21826501,0.233,-0.543,9.928
0.22223386,0.195,-0.543,9.967
0.22620186,0.195,-0.543,9.928
0.23016964,0.233,-0.543,9.89
0.23413783,0.233,-0.582,9.967
0.23810638,0.195,-0.543,9.928
0.24207446,0.195,-0.543,9.967
0.24604285,0.233,-0.582,9.928
0.25001138,0.233,-0.543,9.967
0.25398055,0.195,-0.505,9.967
0.25794962,0.233,-0.543,9.967
0.2619183,0.195,-0.582,9.967
0.26588684,0.271,-0.543,9.967
0.26985493,0.195,-0.543,9.967
0.27382293,0.195,-0.582,9.928
0.27779132,0.233,-0.543,9.967
0.2817603,0.195,-0.543,9.967
0.28572863,0.195,-0.543,9.967
0.28969717,0.233,-0.543,9.967
0.29366574,0.233,-0.543,9.967
0.29763466,0.233,-0.582,9.967
0.30160356,0.195,-0.582,9.967
0.3055718,0.233,-0.543,9.967
0.30954024,0.233,-0.505,9.967
0.31350902,0.233,-0.543,9.967
0.31747818,0.233,-0.543,9.928
0.32144737,0.195,-0.505,9.967
0.32541636,0.233,-0.582,9.928
0.32938543,0.195,-0.543,9.928
0.33335492,0.233,-0.543,9.967
0.3373242,0.233,-0.543,9.928
0.34129292,0.195,-0.543,9.967
0.3452616,0.233,-0.543,9.967
0.3492306,0.195,-0.543,9.967
0.35319856,0.271,-0.543,9.967
0.35716695,0.233,-0.543,9.967
0.36113465,0.233,-0.543,9.967
0.36510217,0.233,-0.505,9.967
0.36907065,0.233,-0.543,9.967
0.37303856,0.195,-0.543,10.005
0.3770067,0.195,-0.582,9.967
0.38097563,0.195,-0.505,9.967
0.38494474,0.195,-0.543,9.967
0.3889128,0.233,-0.543,9.967
0.39288127,0.157,-0.582,9.967
0.3968505,0.233,-0.543,9.967
0.40081972,0.233,-0.543,10.005
0.40478826,0.233,-0.543,9.967
0.40875635,0.233,-0.543,9.967
0.41272473,0.233,-0.543,9.967
0.41669303,0.195,-0.543,9.928
0.42066118,0.233,-0.543,9.967
0.42462927,0.195,-0.543,9.967
0.42859745,0.195,-0.543,9.967
0.432566,0.233,-0.505,9.928
0.43653488,0.233,-0.543,9.967
0.4405036,0.233,-0.582,9.967
0.44447136,0.233,-0.543,9.928
0.4484398,0.233,-0.582,9.967
0.45240858,0.233,-0.543,9.967
0.45637712,0.233,-0.505,9.967
0.46034583,0.195,-0.543,9.928
0.46431398,0.233,-0.543,9.928
0.46828267,0.195,-0.543,9.928
0.47225127,0.195,-0.543,9.928
0.47621965,0.233,-0.505,10.005
0.48018825,0.233,-0.543,9.967
0.48415697,0.195,-0.582,10.005
0.48812556,0.233,-0.543,10.005
0.4920948,0.233,-0.543,9.928
0.49606326,0.233,-0.543,9.928
0.50003135,0.233,-0.543,9.967
0.50399953,0.233,-0.543,9.967
0.50796795,0.233,-0.505,9.89
0.51193607,0.233,-0.543,9.967
0.51590425,0.271,-0.582,9.967
0.51987183,0.195,-0.543,9.928
0.52384,0.195,-0.505,9.89
0.5278082,0.233,-0.543,10.005
0.53177696,0.233,-0.543,9.967
0.53574574,0.233,-0.543,9.928
0.539714,0.195,-0.543,9.967
0.54368246,0.233,-0.543,9.928
0.5476507,0.233,-0.543,10.005
0.5516191,0.233,-0.543,10.005
0.555588,0.233,-0.543,9.967
0.55955666,0.195,-0.543,9.967
0.5635244,0.233,-0.582,9.928
0.567493,0.233,-0.543,9.967
0.5714618,0.195,-0.582,9.928
0.5754304,0.233,-0.505,9.967
0.579399,0.233,-0.543,9.967
0.58336705,0.233,-0.543,9.928
0.58733594,0.195,-0.543,9.967
0.59130454,0.233,-0.543,9.967
0.59527296,0.233,-0.543,9.967
0.59924173,0.195,-0.543,9.967
0.6032101,0.233,-0.543,9.967
0.6071787,0.233,-0.543,9.967
0.61114675,0.233,-0.543,9.928
0.61511505,0.233,-0.543,9.967
0.6190829,0.195,-0.543,9.967
0.62305045,0.233,-0.582,9.928
0.62701875,0.233,-0.582,9.967
0.63098747,0.233,-0.582,9.928
0.6349563,0.233,-0.543,9.967
0.6389248,0.271,-0.543,9.967
0.6428931,0.195,-0.543,9.967
0.6468611,0.233,-0.543,9.928
0.65082955,0.233,-0.505,9.928
0.6547979,0.233,-0.505,9.967
0.6587663,0.233,-0.543,9.967
0.662735,0.233,-0.543,9.967
0.6667034,0.195,-0.505,9.928
0.6706721,0.233,-0.543,9.928
0.67464054,0.233,-0.543,9.967
0.67860913,0.233,-0.543,9.928
0.6825781,0.195,-0.543,9.928
0.6865472,0.233,-0.543,9.928
0.69051623,0.233,-0.582,9.967
0.6944854,0.233,-0.582,9.967
0.69845474,0.233,-0.582,9.928
0.7024232,0.233,-0.582,9.928
0.70639163,0.233,-0.582,10.005
0.71036005,0.233,-0.543,9.928
0.71432906,0.233,-0.543,9.967
0.7182974,0.195,-0.543,9.967
0.7222665,0.233,-0.543,10.005
0.72623515,0.233,-0.582,9.928
0.7302043,0.233,-0.543,9.967
0.73417324,0.195,-0.543,10.005
0.7381422,0.233,-0.505,10.005
0.7421115,0.233,-0.543,9.928
0.7460801,0.195,-0.582,9.967
0.75004935,0.195,-0.543,10.005
0.7540182,0.195,-0.505,9.967
0.757987,0.195,-0.543,10.005
0.7619551,0.195,-0.543,9.967
0.7659236,0.233,-0.543,9.89
0.7698922,0.233,-0.543,9.967
0.77386105,0.195,-0.543,9.967
0.777829,0.195,-0.543,9.967
0.78179747,0.195,-0.543,9.928
0.7857655,0.195,-0.543,9.967
0.78973407,0.195,-0.543,9.967
0.79370314,0.233,-0.505,9.967
0.7976724,0.195,-0.543,9.967
0.80164087,0.233,-0.505,9.967
0.80560935,0.195,-0.543,9.928
0.8095779,0.233,-0.543,9.967
0.81354636,0.233,-0.543,9.928
0.8175148,0.233,-0.582,9.928
0.82148343,0.233,-0.543,9.967
0.8254516,0.195,-0.582,9.967
0.82942027,0.233,-0.505,9.967
0.83338857,0.195,-0.543,9.967
0.8373572,0.195,-0.543,9.928
0.8413255,0.195,-0.543,9.967
0.8452939,0.195,-0.543,9.928
0.84926236,0.195,-0.582,9.928
0.8532305,0.233,-0.543,9.967
0.8571988,0.195,-0.543,9.967
0.86116725,0.233,-0.543,9.967
0.8651355,0.233,-0.543,10.005
0.869104,0.233,-0.543,9.967
0.8730727,0.233,-0.543,9.967
0.8770415,0.233,-0.505,9.928
0.8810098,0.195,-0.543,9.928
0.88497794,0.233,-0.505,9.928
0.8889462,0.233,-0.543,9.967
0.8929144,0.233,-0.505,9.928
0.8968829,0.233,-0.543,9.967
0.90085167,0.195,-0.582,9.967
0.9048198,0.233,-0.505,9.967
0.90878785,0.195,-0.543,9.967
