TIME,X,Y,Z
0.0,0.08,-0.39,9.967
0.003964,0.08,-0.428,9.967
0.007928362,0.042,-0.428,9.967
0.011891824,0.042,-0.428,9.967
0.015855439,0.08,-0.428,9.928
0.01981982,0.042,-0.428,9.967
0.023783898,0.042,-0.39,9.967
0.027747897,0.042,-0.428,9.967
0.03171135,0.042,-0.428,9.967
0.035674967,0.08,-0.428,9.967
0.039639045,0.08,-0.428,9.967
0.043603,0.08,-0.39,9.928
0.047566842,0.08,-0.428,9.967
0.05153092,0.042,-0.428,9.967
0.055495072,0.042,-0.39,9.928
0.05945907,0.08,-0.428,9.967
0.063422605,0.042,-0.467,9.967
0.067386545,0.042,-0.428,9.967
0.07135063,0.08,-0.428,10.005
0.07531416,0.042,-0.428,9.928
0.07927784,0.042,-0.428,9.967
0.08324092,0.08,-0.428,9.928
0.087203994,0.08,-0.428,9.967
0.09116729,0.042,-0.39,9.967
0.095131144,0.08,-0.428,9.967
0.09909446,0.08,-0.39,10.005
0.10305776,0.042,-0.39,9.967
0.10702107,0.042,-0.39,9.967
0.11098461,0.042,-0.428,9.928
0.11494832,0.08,-0.428,9.967
0.118912555,0.042,-0.428,9.967
0.12287663,0.042,-0.428,9.967
0.12684049,0.042,-0.428,9.967
0.13080409,0.08,-0.39,9.928
0.13476701,0.08,-0.39,9.967
0.1387302,0.08,-0.428,9.928
0.14269343,0.08,-0.428,9.967
0.14665718,0.08,-0.352,9.967
0.15062065,0.042,-0.428,10.005
0.1545842,0.08,-0.428,9.967
0.1585475,0.08,-0.428,10.005
0.16251075,0.08,-0.428,9.967
0.16647337,0.042,-0.39,9.967
0.1704367,0.042,-0.428,9.928
0.17440008,0.08,-0.428,9.967
0.17836346,0.118,-0.428,10.005
0.18232685,0.08,-0.428,9.967
0.18628973,0.042,-0.39,9.967
0.19025272,0.08,-0.467,9.967
0.19421595,0.08,-0.467,9.928
0.19817951,0.042,-0.428,9.967
0.20214282,0.042,-0.428,9.967
0.20610629,0.042,-0.428,9.967
0.21006967,0.042,-0.39,9.967
0.2140329,0.042,-0.467,9.928
0.21799566,0.042,-0.428,9.928
0.22195813,0.042,-0.428,9.967
0.22592112,0.042,-0.39,9.967
0.22988473,0.042,-0.428,9.967
0.23384863,0.08,-0.428,9.967
0.23781201,0.08,-0.428,9.928
0.2417754,0.08,-0.428,9.967
0.24573857,0.08,-0.39,9.967
0.2497018,0.042,-0.428,9.967
0.2536646,0.08,-0.39,9.967
0.25762793,0.08,-0.428,9.967
0.2615907,0.08,-0.428,9.967
0.26555416,0.08,-0.428,9.967
0.26951787,0.042,-0.428,9.967
0.2734814,0.08,-0.428,9.967
0.27744433,0.08,-0.39,9.928
0.281408,0.042,-0.467,9.928
0.2853717,0.08,-0.428,9.967
0.28933546,0.042,-0.428,9.967
0.29329875,0.042,-0.428,9.928
0.29726177,0.042,-0.428,9.967
0.3012251,0.042,-0.428,9.967
0.305188,0.042,-0.467,10.005
0.30915108,0.08,-0.428,9.967
0.313115,0.08,-0.428,9.928
0.317079,0.08,-0.428,9.928
0.32104236,0.08,-0.428,9.928
0.3250063,0.08,-0.428,10.005
0.32897002,0.08,-0.428,9.928
0.3329335,0.042,-0.428,9.928
0.3368964,0.042,-0.428,9.967
0.34085962,0.08,-0.428,9.967
0.34482285,0.08,-0.39,9.967
0.34878576,0.042,-0.428,9.967
0.35274845,0.042,-0.428,9.967
0.3567117,0.042,-0.428,9.967
0.36067545,0.08,-0.428,10.005
0.36463922,0.08,-0.39,9.967
0.36860237,0.042,-0.39,9.928
0.37256598,0.042,-0.428,9.967
0.37652993,0.08,-0.428,9.967
0.38049278,0.042,-0.39,10.005
0.38445655,0.042,-0.428,10.005
0.3884203,0.08,-0.428,9.89
0.39238423,0.042,-0.428,9.928
0.39634824,0.003,-0.428,9.967
0.40031183,0.042,-0.428,9.967
0.40427592,0.08,-0.428,10.043
0.40823907,0.042,-0.428,10.005
0.4122023,0.042,-0.428,9.967
0.41616562,0.042,-0.39,9.928
0.4201286,0.08,-0.39,9.928
0.42409188,0.042,-0.428,9.967
0.42805544,0.042,-0.428,10.005
0.4320191,0.042,-0.428,9.967
0.43598288,0.08,-0.428,9.967
0.4399465,0.08,-0.428,9.967
0.4439093,0.08,-0.428,9.928
0.44787246,0.042,-0.39,9.928
0.4518359,0.042,-0.39,9.928
0.45579907,0.042,-0.467,9.967
0.45976236,0.042,-0.467,9.967
0.46372536,0.042,-0.428,9.928
0.4676884,0.042,-0.428,9.928
0.47165176,0.042,-0.428,9.89
0.475615,0.042,-0.428,10.005
0.479578,0.08,-0.428,10.005
0.48354116,0.08,-0.467,9.928
0.48750484,0.08,-0.428,9.89
0.4914683,0.042,-0.428,10.005
0.49543113,0.042,-0.428,9.967
0.49939397,0.08,-0.39,10.005
0.5033571,0.08,-0.428,10.082
0.5073205,0.042,-0.428,10.005
0.5112838,0.042,-0.39,9.967
0.515247,0.08,-0.39,9.967
0.51921076,0.042,-0.428,9.967
0.5231743,0.08,-0.428,10.005
0.52713764,0.08,-0.428,10.005
0.5311006,0.08,-0.39,9.967
0.53506404,0.042,-0.352,9.928
0.53902775,0.042,-0.428,9.89
0.54299086,0.042,-0.428,10.005
