TIME,X,Y,Z
0.0,0.042,-0.505,9.814
0.003973119,0.042,-0.543,9.967
0.007946273,0.042,-0.505,9.967
0.011919119,0.042,-0.505,9.967
0.015892264,0.042,-0.543,9.967
0.01986588,0.08,-0.505,9.967
0.023839032,0.08,-0.543,9.967
0.02781258,0.042,-0.505,9.928
0.031785656,0.08,-0.505,10.005
0.03575912,0.08,-0.543,9.967
0.03973234,0.042,-0.543,10.005
0.043705415,0.08,-0.543,10.005
0.04767834,0.042,-0.543,9.967
0.0516518,0.08,-0.543,9.967
0.055625647,0.042,-0.543,9.967
0.059599414,0.08,-0.543,9.967
0.06357298,0.042,-0.543,9.967
0.06754705,0.08,-0.543,9.928
0.071520366,0.08,-0.543,10.005
0.07549359,0.042,-0.505,10.005
0.07946729,0.08,-0.543,9.967
0.08344091,0.08,-0.505,10.005
0.08741413,0.042,-0.505,10.005
0.0913879,0.003,-0.543,10.005
0.09536175,0.08,-0.543,9.928
0.09933461,0.042,-0.543,10.005
0.10330754,0.08,-0.505,9.967
0.10728077,0.08,-0.543,9.928
0.11125402,0.042,-0.543,9.967
0.11522803,0.042,-0.582,9.967
0.11920187,0.08,-0.543,9.967
0.1231758,0.042,-0.505,10.005
0.1271488,0.042,-0.505,10.005
0.13112234,0.042,-0.543,9.967
0.1350962,0.042,-0.505,9.967
0.13907021,0.08,-0.505,9.928
0.14304344,0.042,-0.505,10.005
0.14701661,0.042,-0.543,10.005
0.15098968,0.042,-0.505,10.005
0.15496269,0.08,-0.505,10.005
0.15893576,0.08,-0.543,9.967
0.16290891,0.042,-0.543,9.967
0.16688168,0.08,-0.505,10.005
0.17085467,0.042,-0.505,10.005
0.17482837,0.08,-0.543,9.928
0.17880175,0.08,-0.543,9.967
0.1827749,0.042,-0.543,9.967
0.18674813,0.042,-0.505,9.967
0.19072136,0.042,-0.505,9.967
0.1946944,0.08,-0.543,9.967
0.19866769,0.042,-0.543,9.928
0.20264117,0.08,-0.505,9.967
0.20661433,0.042,-0.505,10.005
0.21058719,0.042,-0.505,10.005
0.21455987,0.042,-0.505,9.928
0.21853296,0.08,-0.543,9.967
0.2225065,0.042,-0.543,10.043
0.22647949,0.042,-0.543,9.967
0.23045294,0.08,-0.543,10.005
0.23442672,0.08,-0.543,10.005
0.23840025,0.042,-0.543,9.967
0.24237387,0.042,-0.543,10.005
0.24634804,0.042,-0.543,9.967
0.25032187,0.08,-0.543,9.967
0.2542955,0.08,-0.543,10.005
0.25826856,0.042,-0.543,9.967
0.2622425,0.042,-0.543,9.967
0.26621667,0.08,-0.543,10.005
0.2701906,0.08,-0.543,9.967
0.2741642,0.042,-0.582,9.967
0.27813753,0.08,-0.505,10.005
0.2821113,0.042,-0.505,9.928
0.28608498,0.08,-0.505,9.967
0.29005846,0.042,-0.467,9.967
0.294032,0.042,-0.543,9.967
0.2980056,0.042,-0.543,9.967
0.3019793,0.042,-0.543,9.967
0.30595282,0.042,-0.505,9.967
0.3099261,0.042,-0.543,9.967
0.31389913,0.042,-0.505,9.967
0.3178723,0.042,-0.543,9.967
0.32184598,0.042,-0.505,9.967
0.32581937,0.08,-0.543,9.967
0.32979235,0.08,-0.543,9.967
0.33376583,0.08,-0.505,9.967
0.33773947,0.042,-0.543,9.967
0.34171316,0.042,-0.543,10.005
0.34568658,0.08,-0.505,9.967
0.34966016,0.042,-0.505,10.005
0.3536336,0.08,-0.582,9.928
0.35760716,0.042,-0.505,9.967
0.36158064,0.08,-0.543,9.967
0.36555433,0.042,-0.505,9.967
0.36952755,0.042,-0.505,9.967
0.37350088,0.08,-0.505,10.005
0.37747434,0.08,-0.543,10.005
0.38144836,0.08,-0.543,10.005
0.38542157,0.08,-0.543,9.928
0.3893945,0.042,-0.505,9.967
0.39336842,0.042,-0.505,9.967
0.39734232,0.08,-0.505,10.005
0.40131566,0.003,-0.505,9.967
0.40528896,0.042,-0.543,9.928
0.40926227,0.08,-0.543,9.967
0.41323563,0.042,-0.543,9.967
0.41720936,0.08,-0.582,10.005
0.42118305,0.042,-0.543,9.928
0.4251561,0.042,-0.543,9.967
0.42912978,0.042,-0.543,10.005
0.43310386,0.08,-0.543,10.005
0.4370774,0.08,-0.543,9.967
0.44105095,0.042,-0.543,10.005
0.44502494,0.08,-0.543,9.967
0.448998,0.08,-0.543,9.967
0.45297146,0.08,-0.582,9.928
0.4569447,0.042,-0.543,9.967
0.4609184,0.042,-0.543,9.967
0.4648924,0.08,-0.543,9.967
0.46886632,0.042,-0.543,9.967
0.47283986,0.042,-0.543,9.928
0.4768134,0.08,-0.467,9.967
0.48078755,0.042,-0.543,9.89
0.48476124,0.08,-0.543,9.89
0.48873517,0.08,-0.582,9.928
0.49270925,0.042,-0.505,10.043
0.4966834,0.042,-0.505,10.082
0.5006571,0.08,-0.505,9.967
0.5046309,0.042,-0.505,10.005
0.50860524,0.042,-0.543,9.967
0.51257885,0.08,-0.505,9.967
0.51655346,0.042,-0.543,9.89
0.52052724,0.042,-0.505,9.928
0.5245008,0.042,-0.543,9.89
0.52847433,0.042,-0.582,9.928
0.5324484,0.08,-0.543,9.967
0.5364226,0.08,-0.543,9.967
0.54039675,0.08,-0.582,10.005
0.5443709,0.042,-0.582,10.082
0.5483448,0.042,-0.505,10.043
0.5523181,0.08,-0.543,10.005
0.55629164,0.042,-0.543,10.043
0.5602658,0.08,-0.543,10.005
0.5642397,0.08,-0.505,9.967
0.56821364,0.042,-0.543,10.005
0.5721871,0.042,-0.543,9.967
0.57616067,0.08,-0.543,9.967
0.5801341,0.08,-0.543,9.967
0.5841079,0.08,-0.543,9.967
0.58808154,0.042,-0.582,9.928
0.59205544,0.08,-0.505,9.967
0.5960303,0.042,-0.505,9.928
0.60000473,0.042,-0.543,9.89
0.60397935,0.08,-0.543,9.89
0.607954,0.042,-0.582,9.967
0.6119287,0.08,-0.505,10.005
0.6159033,0.08,-0.505,10.005
0.61987776,0.042,-0.543,9.967
0.6238518,0.042,-0.543,9.967
0.6278257,0.042,-0.467,9.928
0.63179964,0.042,-0.505,9.89
0.6357739,0.042,-0.505,9.967
0.6397484,0.042,-0.543,9.928
0.6437222,0.042,-0.543,10.005
0.64769614,0.042,-0.543,9.928
0.6516704,0.042,-0.543,10.005
0.65564436,0.08,-0.543,9.967
0.6596178,0.003,-0.543,9.967
0.6635911,0.08,-0.582,9.967
0.66756475,0.08,-0.505,10.005
0.6715385,0.08,-0.543,9.928
0.6755119,0.08,-0.543,9.928
0.67948556,0.042,-0.505,9.928
0.6834595,0.042,-0.543,10.005
0.687433,0.042,-0.543,10.005
0.6914066,0.042,-0.543,9.928
0.6953805,0.08,-0.543,9.967
0.69935477,0.042,-0.505,9.967
0.7033291,0.042,-0.505,9.967
0.7073037,0.042,-0.543,10.005
0.7112778,0.042,-0.505,10.082
0.71525145,0.042,-0.505,10.005
0.7192256,0.08,-0.543,10.043
0.72319984,0.08,-0.505,10.005
0.72717404,0.042,-0.505,10.005
0.7311479,0.08,-0.543,9.967
0.73512167,0.08,-0.505,10.005
0.739096,0.003,-0.543,9.967
0.74306965,0.042,-0.543,10.005
0.747043,0.042,-0.543,9.928
0.7510164,0.08,-0.543,9.967
0.75499064,0.08,-0.543,9.928
0.75896466,0.042,-0.543,9.928
0.7629391,0.042,-0.543,9.967
0.76691324,0.042,-0.505,9.928
0.77088726,0.08,-0.582,9.967
0.774861,0.042,-0.505,9.928
0.7788345,0.042,-0.505,9.928
0.78280866,0.042,-0.543,9.967
0.7867827,0.08,-0.543,10.005
0.7907564,0.08,-0.543,9.928
0.79473054,0.08,-0.582,10.005
