TIME,X,Y,Z
0.0,0.042,-0.582,10.388
0.003975462,0.042,-0.505,9.775
0.007951248,0.042,-0.543,10.005
0.011927171,0.08,-0.543,9.967
0.015902402,0.08,-0.543,10.005
0.019877631,0.08,-0.505,9.967
0.023853865,0.08,-0.505,9.967
0.027829863,0.042,-0.543,9.967
0.03180573,0.08,-0.543,10.005
0.03578127,0.08,-0.543,10.005
0.039756116,0.042,-0.543,9.928
0.043730963,0.003,-0.543,10.005
0.04770604,0.003,-0.582,9.967
0.051680963,0.003,-0.543,9.967
0.055656128,0.003,-0.543,9.967
0.05963059,0.042,-0.543,9.967
0.063605286,0.042,-0.543,9.967
0.067580216,0.003,-0.543,10.005
0.071554914,0.042,-0.543,9.967
0.07552991,0.042,-0.543,9.967
0.07950447,0.003,-0.543,9.928
0.08347961,0.042,-0.543,9.967
0.08745469,0.08,-0.505,9.967
0.09142999,0.042,-0.582,9.967
0.09540477,0.08,-0.543,9.928
0.09937961,0.08,-0.543,9.967
0.10335415,0.08,-0.543,9.967
0.10732938,0.08,-0.505,9.967
0.11130446,0.08,-0.505,9.967
0.11527946,0.08,-0.543,9.967
0.119254686,0.08,-0.543,9.967
0.123230614,0.08,-0.582,10.005
0.12720601,0.08,-0.543,9.967
0.13118172,0.003,-0.505,10.005
0.13515702,0.042,-0.543,9.967
0.13913235,0.042,-0.543,9.928
0.14310743,0.042,-0.543,9.967
0.14708288,0.042,-0.543,9.928
0.15105826,0.08,-0.543,9.967
0.15503348,0.08,-0.543,9.967
0.15900886,0.08,-0.543,10.005
0.16298479,0.08,-0.543,9.928
0.16696087,0.08,-0.543,10.005
0.17093687,0.08,-0.505,9.967
0.17491211,0.08,-0.543,10.005
0.17888688,0.08,-0.543,9.967
0.18286195,0.042,-0.543,9.967
0.18683693,0.08,-0.543,9.967
0.19081178,0.08,-0.543,9.928
0.19478717,0.042,-0.543,10.005
0.19876285,0.042,-0.505,9.967
0.2027383,0.042,-0.505,9.967
0.20671345,0.08,-0.543,9.967
0.21068849,0.042,-0.505,9.967
0.21466371,0.042,-0.505,9.967
0.21863887,0.042,-0.505,9.967
0.22261411,0.042,-0.505,10.005
0.2265891,0.08,-0.505,10.005
0.23056357,0.08,-0.543,10.005
0.23453888,0.042,-0.543,9.928
0.23851466,0.042,-0.505,9.967
0.24249072,0.042,-0.543,10.005
0.24646658,0.042,-0.543,9.967
0.25044203,0.042,-0.543,9.967
0.2544178,0.042,-0.582,9.967
0.2583931,0.08,-0.543,9.967
0.2623686,0.042,-0.582,9.928
0.2663442,0.042,-0.543,10.005
0.2703196,0.08,-0.543,10.005
0.27429518,0.042,-0.543,10.005
0.27827102,0.042,-0.582,9.967
0.2822467,0.08,-0.505,9.967
0.286222,0.042,-0.505,9.967
0.29019773,0.042,-0.543,9.967
0.29417297,0.08,-0.543,10.005
0.29814848,0.042,-0.543,9.967
0.3021238,0.08,-0.505,9.967
0.3060994,0.042,-0.543,9.967
0.31007564,0.08,-0.543,9.967
0.31405133,0.08,-0.505,10.005
0.31802666,0.08,-0.505,9.967
0.32200217,0.08,-0.543,9.967
0.3259778,0.08,-0.582,10.005
0.3299534,0.042,-0.543,10.005
0.33392885,0.08,-0.543,9.967
0.33790424,0.08,-0.543,9.928
0.3418795,0.08,-0.543,9.967
0.34585556,0.042,-0.543,10.005
0.34983164,0.042,-0.543,9.967
0.35380778,0.042,-0.543,9.928
0.35778376,0.042,-0.543,9.967
0.3617593,0.042,-0.543,9.967
0.3657347,0.08,-0.505,9.89
0.36971,0.042,-0.543,9.967
0.37368545,0.042,-0.543,9.967
0.3776608,0.042,-0.543,10.005
0.38163602,0.042,-0.543,9.928
0.3856118,0.042,-0.543,9.967
0.38958752,0.08,-0.543,9.967
0.39356312,0.08,-0.582,10.005
0.3975387,0.042,-0.582,9.967
0.40151376,0.042,-0.543,9.967
0.40548906,0.042,-0.543,9.967
0.4094642,0.042,-0.582,9.967
0.41343936,0.08,-0.505,10.005
0.4174148,0.08,-0.543,9.967
0.42139068,0.042,-0.543,9.967
0.42536572,0.08,-0.505,9.967
0.42934105,0.08,-0.543,10.005
0.43331614,0.042,-0.505,10.043
0.43729132,0.042,-0.543,9.852
0.44126657,0.08,-0.543,9.814
0.44524172,0.08,-0.505,10.005
0.4492168,0.042,-0.543,9.967
0.45319155,0.08,-0.582,9.928
0.4571664,0.08,-0.467,10.043
0.46114278,0.08,-0.582,9.967
0.4651181,0.08,-0.582,9.89
0.4690938,0.08,-0.543,10.082
