TIME,X,Y,Z
0.0,0.08,-0.39,9.392
0.003965692,0.08,-0.428,10.005
0.007930848,0.118,-0.428,9.928
0.011895694,0.08,-0.467,9.967
0.01586054,0.118,-0.428,9.967
0.019825155,0.118,-0.467,9.928
0.023789845,0.118,-0.467,9.928
0.027754923,0.08,-0.467,10.005
0.031719446,0.118,-0.428,9.967
0.03568399,0.118,-0.428,9.928
0.039648373,0.08,-0.428,10.005
0.043612447,0.118,-0.428,9.967
0.047576755,0.118,-0.428,9.928
0.051540907,0.08,-0.467,9.967
0.05550583,0.118,-0.467,10.005
0.059470367,0.08,-0.467,9.967
0.06343491,0.118,-0.428,9.928
0.06739924,0.118,-0.467,9.967
0.07136378,0.118,-0.467,9.967
0.07532755,0.08,-0.467,9.967
0.0792912,0.118,-0.428,9.928
0.08325558,0.118,-0.428,9.967
0.08721958,0.08,-0.467,9.967
0.09118391,0.118,-0.428,9.928
0.09514768,0.08,-0.428,9.967
0.09911145,0.157,-0.428,9.967
0.10307539,0.118,-0.467,9.928
0.1070397,0.118,-0.428,9.967
0.11100385,0.118,-0.428,9.967
0.11496802,0.157,-0.428,9.928
0.118932165,0.118,-0.428,10.005
0.1228961,0.118,-0.428,9.928
0.12686089,0.118,-0.428,9.967
0.13082504,0.118,-0.428,9.967
0.13478896,0.118,-0.428,9.967
0.13875239,0.118,-0.428,9.967
0.14271578,0.08,-0.428,9.967
0.14668046,0.118,-0.428,9.89
0.15064484,0.08,-0.428,9.928
0.15460946,0.08,-0.428,9.967
0.15857337,0.118,-0.428,9.928
0.16253728,0.08,-0.428,9.928
0.16650136,0.118,-0.467,9.967
0.17046514,0.118,-0.428,9.967
0.1744289,0.118,-0.467,9.967
0.1783936,0.118,-0.428,9.967
0.18235804,0.118,-0.467,10.005
0.18632224,0.118,-0.467,9.967
0.1902857,0.118,-0.467,10.005
0.19425046,0.118,-0.428,9.967
0.1982147,0.118,-0.428,9.967
0.20217898,0.08,-0.428,10.043
0.20614277,0.08,-0.467,9.967
0.21010679,0.118,-0.467,9.928
0.21407133,0.118,-0.428,9.967
0.21803555,0.118,-0.467,9.967
0.2219994,0.118,-0.467,10.005
0.2259641,0.118,-0.428,10.005
0.22992826,0.08,-0.39,9.967
0.23389201,0.118,-0.428,9.967
0.23785572,0.118,-0.428,9.967
0.24181971,0.118,-0.428,9.928
0.24578333,0.118,-0.428,9.967
0.24974732,0.118,-0.428,9.967
0.25371125,0.118,-0.428,9.928
0.25767562,0.08,-0.428,9.967
0.26163924,0.08,-0.428,10.005
0.26560286,0.118,-0.428,9.967
0.26956692,0.118,-0.428,9.967
0.27353054,0.118,-0.467,9.967
0.27749446,0.118,-0.467,9.967
0.2814592,0.118,-0.428,9.967
0.28542376,0.118,-0.467,9.967
0.28938767,0.157,-0.428,10.005
0.2933515,0.118,-0.428,10.005
0.29731536,0.118,-0.428,10.005
0.30127943,0.118,-0.428,9.967
0.30524358,0.118,-0.428,10.005
0.30920765,0.08,-0.428,10.005
0.31317142,0.118,-0.428,9.928
0.31713504,0.118,-0.467,9.967
0.32109925,0.118,-0.428,9.967
0.32506257,0.118,-0.467,9.967
0.32902625,0.118,-0.428,9.967
0.33299002,0.118,-0.428,9.967
0.3369541,0.08,-0.428,9.928
0.34091863,0.118,-0.467,10.005
0.344883,0.118,-0.428,9.967
0.34884694,0.118,-0.428,9.967
0.3528109,0.118,-0.428,9.967
0.35677427,0.118,-0.428,9.928
0.3607378,0.118,-0.39,10.005
0.3647019,0.118,-0.467,10.005
0.3686652,0.118,-0.428,9.967
0.37262833,0.118,-0.428,9.928
0.37659216,0.118,-0.428,9.967
0.38055563,0.08,-0.467,9.928
0.3845194,0.118,-0.428,9.967
0.3884829,0.08,-0.428,9.967
0.39244708,0.118,-0.428,9.967
0.39641163,0.118,-0.467,9.928
0.400376,0.118,-0.428,9.967
0.40434006,0.118,-0.467,9.928
0.40830377,0.118,-0.428,9.967
0.4122675,0.08,-0.428,10.005
0.41623124,0.118,-0.428,10.005
0.42019507,0.118,-0.467,9.967
0.4241593,0.08,-0.467,9.967
0.42812324,0.08,-0.467,9.967
0.4320869,0.118,-0.467,9.928
0.436051,0.118,-0.428,9.967
0.4400147,0.118,-0.467,10.005
0.44397864,0.157,-0.428,9.967
0.44794208,0.118,-0.428,9.852
0.4519063,0.118,-0.428,9.928
0.45587116,0.157,-0.39,10.005
0.45983565,0.118,-0.467,10.005
0.46379977,0.118,-0.467,9.89
0.46776426,0.08,-0.505,9.852
0.47172925,0.08,-0.428,10.082
0.47569457,0.118,-0.467,10.082
0.47965956,0.118,-0.467,9.967
0.48362434,0.118,-0.428,9.89
0.4875884,0.118,-0.428,9.814
0.49155203,0.118,-0.467,9.852
0.49551636,0.118,-0.467,9.967
0.49948058,0.118,-0.505,9.967
0.5034444,0.118,-0.467,10.043
0.50740814,0.118,-0.467,9.967
0.51137227,0.118,-0.428,9.89
0.5153362,0.08,-0.467,9.928
0.51930046,0.118,-0.467,9.967
0.5232643,0.118,-0.428,9.928
0.5272291,0.08,-0.467,9.967
0.53119373,0.118,-0.39,10.043
0.5351582,0.118,-0.428,9.967
0.5391223,0.118,-0.467,9.928
0.5430866,0.118,-0.428,9.89
0.54705167,0.118,-0.467,9.928
0.55101556,0.08,-0.428,10.043
0.5549794,0.118,-0.467,10.082
0.5589438,0.118,-0.467,10.005
0.5629076,0.118,-0.428,10.005
0.5668717,0.08,-0.467,9.967
0.57083553,0.08,-0.467,9.89
0.5747999,0.08,-0.428,9.928
0.57876414,0.08,-0.467,10.005
0.58272827,0.08,-0.467,9.928
0.5866921,0.118,-0.428,9.89
0.5906567,0.118,-0.467,9.928
0.5946209,0.08,-0.428,9.89
0.5985852,0.118,-0.467,9.967
0.6025497,0.118,-0.428,9.928
0.6065142,0.157,-0.467,9.89
0.61047894,0.118,-0.428,9.928
0.61444324,0.157,-0.428,9.928
0.61840737,0.157,-0.467,9.928
0.6223712,0.118,-0.428,10.005
0.6263356,0.118,-0.428,10.005
0.63029945,0.118,-0.467,10.005
0.63426334,0.157,-0.467,9.928
0.63822746,0.118,-0.39,9.967
0.6421918,0.118,-0.467,9.89
0.64615625,0.08,-0.428,10.005
0.65012,0.08,-0.428,10.005
0.65408427,0.118,-0.467,9.967
0.65804875,0.08,-0.428,9.967
0.66201246,0.118,-0.428,10.043
0.6659767,0.118,-0.467,9.928
0.6699409,0.08,-0.467,9.89
0.67390525,0.118,-0.467,9.967
