TIME,X,Y,Z
0.0,0.157,-0.467,9.354
0.003972229,0.195,-0.543,10.043
0.007944614,0.195,-0.505,9.967
0.011916691,0.157,-0.543,9.967
0.015889155,0.195,-0.505,9.928
0.019861232,0.157,-0.505,9.967
0.023832848,0.195,-0.505,10.005
0.02780512,0.157,-0.505,10.005
0.03177789,0.157,-0.543,9.967
0.035750426,0.157,-0.505,9.967
0.039722674,0.157,-0.543,9.928
0.04369529,0.195,-0.543,9.967
0.04766744,0.195,-0.543,9.928
0.05163952,0.195,-0.543,9.967
0.055610985,0.195,-0.543,9.928
0.059582982,0.157,-0.543,9.967
0.06355524,0.233,-0.543,9.967
0.06752801,0.233,-0.543,9.967
0.07149977,0.195,-0.543,9.928
0.07547227,0.195,-0.505,10.005
0.07944496,0.195,-0.543,9.967
0.08341804,0.195,-0.543,9.967
0.087390736,0.157,-0.543,9.967
0.091363505,0.195,-0.543,9.967
0.095336735,0.157,-0.543,9.928
0.09930937,0.157,-0.582,9.967
0.10328244,0.157,-0.543,10.005
0.10725437,0.195,-0.543,9.967
0.11122654,0.195,-0.543,9.967
0.11519892,0.195,-0.543,9.967
0.119171076,0.157,-0.543,9.928
0.12314293,0.195,-0.505,9.928
0.12711509,0.195,-0.505,9.967
0.13108693,0.157,-0.543,9.967
0.1350593,0.157,-0.543,10.005
0.139031,0.157,-0.582,9.928
0.14300291,0.195,-0.505,9.967
0.14697483,0.157,-0.543,10.005
0.15094768,0.157,-0.543,9.967
0.15492067,0.157,-0.543,9.967
0.15889332,0.195,-0.543,10.005
0.16286592,0.195,-0.543,10.005
0.16683832,0.157,-0.543,9.967
0.17081016,0.195,-0.543,10.005
0.17478216,0.195,-0.543,9.967
0.17875454,0.233,-0.505,9.928
0.18272665,0.195,-0.505,9.967
0.18669872,0.195,-0.505,9.967
0.19067156,0.233,-0.543,9.928
0.19464459,0.233,-0.505,9.928
0.19861758,0.233,-0.543,9.928
0.20259036,0.195,-0.543,10.005
0.2065629,0.195,-0.543,9.967
0.21053483,0.195,-0.505,9.967
0.21450706,0.195,-0.505,9.89
0.21847935,0.195,-0.543,9.967
0.22245151,0.195,-0.543,9.928
0.2264245,0.195,-0.543,9.967
0.23039743,0.157,-0.505,9.967
0.23436952,0.195,-0.543,9.967
0.23834129,0.157,-0.505,10.005
0.24231352,0.157,-0.543,9.928
0.24628597,0.157,-0.543,9.967
0.25025845,0.157,-0.543,9.967
0.2542306,0.195,-0.543,10.005
0.2582025,0.157,-0.543,9.967
