TIME,X,Y,Z
0.0,0.08,-0.39,9.928
0.003957385,0.042,-0.428,9.928
0.007915301,0.08,-0.39,9.967
0.011873378,0.042,-0.39,9.928
0.015830917,0.042,-0.39,9.928
0.019789375,0.08,-0.39,10.005
0.023747299,0.042,-0.39,9.89
0.027705684,0.08,-0.428,9.967
0.03166362,0.08,-0.39,9.928
0.035621848,0.042,-0.39,9.967
0.03957977,0.042,-0.39,9.928
0.043537907,0.042,-0.428,9.967
0.04749591,0.042,-0.428,9.967
0.05145368,0.08,-0.428,9.967
0.055411626,0.042,-0.39,9.967
0.059369467,0.042,-0.428,9.928
0.06332754,0.08,-0.39,9.928
0.06728591,0.042,-0.428,9.928
0.07124376,0.042,-0.39,9.928
0.07520176,0.08,-0.428,9.967
0.07915992,0.042,-0.39,9.928
0.08311776,0.042,-0.39,9.928
0.08707631,0.08,-0.39,9.967
0.0910343,0.08,-0.39,9.928
0.0949923,0.08,-0.39,9.928
0.09895046,0.08,-0.39,9.967
0.10290801,0.08,-0.352,9.928
0.10686601,0.042,-0.39,9.928
0.11082416,0.042,-0.39,9.967
0.11478223,0.08,-0.39,9.928
0.11874031,0.042,-0.428,9.967
0.122698545,0.08,-0.39,9.967
0.12665647,0.042,-0.39,9.967
0.13061479,0.08,-0.39,9.928
0.13457263,0.08,-0.39,9.928
0.13853088,0.08,-0.39,9.928
0.14248928,0.042,-0.39,9.928
0.14644735,0.08,-0.39,9.967
0.15040576,0.08,-0.39,9.928
0.15436338,0.042,-0.39,9.928
0.15832138,0.042,-0.428,9.967
0.16227949,0.042,-0.39,9.967
0.16623779,0.08,-0.39,9.928
0.1701961,0.08,-0.39,9.967
0.1741539,0.08,-0.39,9.928
0.17811151,0.08,-0.428,10.005
0.18206926,0.042,-0.39,9.928
0.18602721,0.08,-0.428,9.928
0.18998483,0.042,-0.467,9.967
0.19394244,0.042,-0.428,9.967
0.19790068,0.08,-0.39,9.928
0.20185877,0.003,-0.428,9.89
0.20581654,0.042,-0.39,9.967
0.20977402,0.08,-0.39,9.928
0.213732,0.08,-0.428,9.967
0.21768986,0.042,-0.428,9.928
0.22164755,0.08,-0.39,9.967
0.22560547,0.08,-0.39,9.967
0.22956355,0.08,-0.428,9.967
0.23352233,0.08,-0.39,9.967
0.23748079,0.042,-0.39,9.928
