TIME,X,Y,Z
0.0,0.157,-0.467,9.814
0.003969692,0.157,-0.543,9.928
0.007939463,0.195,-0.505,9.967
0.011909463,0.118,-0.505,9.928
0.015879616,0.157,-0.505,9.967
0.019850284,0.118,-0.543,9.967
0.023819745,0.157,-0.467,9.967
0.027789744,0.195,-0.505,10.005
0.03175934,0.157,-0.505,9.928
0.03572973,0.157,-0.467,9.928
0.03969973,0.118,-0.505,9.967
0.04366984,0.157,-0.467,10.005
0.047638915,0.157,-0.505,9.967
0.051608376,0.157,-0.505,9.967
0.055578154,0.157,-0.505,10.005
0.059547763,0.157,-0.505,9.967
0.06351723,0.157,-0.467,9.967
0.067487165,0.118,-0.505,9.967
0.07145701,0.157,-0.505,9.967
0.07542663,0.157,-0.505,9.928
0.079396926,0.157,-0.505,10.005
0.08336685,0.195,-0.505,9.928
0.087336466,0.157,-0.505,10.005
0.09130617,0.157,-0.505,10.005
0.09527641,0.195,-0.467,9.967
0.09924656,0.195,-0.467,9.967
0.10321718,0.157,-0.505,9.967
0.107187256,0.157,-0.543,9.928
0.11115741,0.157,-0.505,9.967
0.11512817,0.157,-0.467,10.005
0.1190984,0.195,-0.505,9.967
0.123068854,0.195,-0.505,9.928
0.12703922,0.157,-0.505,9.967
0.13100968,0.195,-0.505,9.967
0.13498,0.195,-0.505,9.967
0.1389504,0.195,-0.505,9.967
0.1429207,0.157,-0.428,9.967
0.14689131,0.195,-0.505,9.928
0.15086132,0.195,-0.505,9.967
0.15483148,0.157,-0.467,10.005
0.15880148,0.195,-0.467,9.967
0.16277117,0.157,-0.505,9.967
0.16674131,0.157,-0.505,9.928
0.17071131,0.157,-0.505,9.967
0.17468162,0.118,-0.467,9.967
0.17865178,0.118,-0.467,10.043
0.18262216,0.195,-0.467,9.928
0.18659216,0.118,-0.467,10.005
0.19056216,0.157,-0.467,10.005
0.19453177,0.157,-0.505,9.928
0.1985017,0.157,-0.505,9.928
0.20247157,0.157,-0.467,9.967
0.2064414,0.157,-0.505,9.967
0.21041127,0.157,-0.505,9.967
0.2143815,0.157,-0.505,9.967
0.2183512,0.157,-0.505,9.928
0.22232097,0.195,-0.467,9.967
0.22629143,0.157,-0.505,9.967
0.23026136,0.195,-0.505,10.005
0.23423143,0.195,-0.467,9.928
0.23820142,0.118,-0.505,10.005
0.24217103,0.195,-0.543,10.005
0.24614106,0.157,-0.505,9.967
0.2501108,0.157,-0.505,9.928
0.25408012,0.195,-0.467,9.967
0.25804958,0.195,-0.505,9.928
0.26201934,0.157,-0.543,9.967
0.2659888,0.157,-0.467,9.928
0.26995835,0.157,-0.543,9.928
0.27392796,0.195,-0.505,9.967
0.27789745,0.195,-0.505,9.967
0.28186727,0.195,-0.543,9.967
0.28583726,0.118,-0.505,9.967
0.2898075,0.157,-0.505,9.928
0.2937774,0.157,-0.467,9.967
0.2977471,0.157,-0.505,9.928
0.30171663,0.157,-0.505,9.967
0.3056863,0.157,-0.467,9.967
0.30965644,0.118,-0.505,9.967
0.313626,0.157,-0.467,9.967
0.31759626,0.157,-0.505,9.967
0.32156563,0.157,-0.505,9.928
0.32553518,0.195,-0.505,10.005
0.32950497,0.195,-0.505,9.967
0.33347532,0.157,-0.505,9.928
0.33744496,0.157,-0.467,9.967
0.3414144,0.157,-0.467,9.967
0.34538418,0.157,-0.467,9.967
0.34935364,0.157,-0.505,10.005
0.3533235,0.157,-0.543,9.967
0.35729343,0.195,-0.467,9.967
0.3612632,0.157,-0.505,9.928
0.36523297,0.157,-0.543,9.928
0.36920288,0.157,-0.505,9.928
0.37317312,0.157,-0.543,9.967
0.37714335,0.157,-0.543,9.967
0.38111272,0.157,-0.505,9.928
0.38508272,0.157,-0.505,10.005
0.38905305,0.118,-0.505,9.967
0.39302343,0.157,-0.505,9.967
0.39699388,0.157,-0.505,9.928
0.40096405,0.157,-0.505,9.928
0.4049342,0.157,-0.505,9.967
0.40890428,0.195,-0.467,9.967
0.41287413,0.157,-0.505,9.928
0.416844,0.118,-0.543,9.967
0.4208146,0.157,-0.505,9.967
0.42478508,0.157,-0.505,9.967
0.42875522,0.157,-0.505,9.967
0.4327253,0.195,-0.505,9.928
0.43669498,0.157,-0.505,9.928
0.44066495,0.157,-0.505,10.005
0.44463503,0.157,-0.505,9.967
0.44860515,0.195,-0.543,9.928
0.45257497,0.195,-0.467,9.967
0.456545,0.195,-0.467,10.005
0.46051475,0.118,-0.505,10.005
0.46448484,0.157,-0.505,9.967
0.4684556,0.195,-0.467,10.005
0.47242653,0.157,-0.505,9.967
