TIME,X,Y,Z
0.0,1.037,-2.228,9.66
0.003958,1.076,-2.267,9.775
0.007916525,1.076,-2.305,9.699
0.011874294,1.076,-2.305,9.737
0.015831755,1.076,-2.305,9.66
0.019789912,1.037,-2.305,9.66
0.023748066,1.076,-2.305,9.699
0.027706604,1.076,-2.267,9.775
0.03166476,1.076,-2.343,9.814
0.03562299,1.076,-2.305,9.814
0.03958145,1.076,-2.305,9.737
0.0435397,1.076,-2.305,9.737
0.047497544,1.076,-2.305,9.775
0.051455542,1.076,-2.305,9.737
0.05541459,1.076,-2.305,9.66
0.059373207,1.076,-2.305,9.699
0.063331746,1.076,-2.267,9.775
0.06728984,1.076,-2.343,9.699
0.071247995,1.037,-2.305,9.737
0.075206295,1.076,-2.267,9.775
0.07916498,1.076,-2.267,9.775
0.08312344,1.076,-2.305,9.737
0.08708198,1.076,-2.305,9.775
0.09104075,1.076,-2.267,9.852
0.09499983,1.076,-2.305,9.775
0.098958366,1.076,-2.305,9.699
0.10291667,1.037,-2.267,9.737
0.106875055,1.076,-2.267,9.775
0.110834055,1.076,-2.267,9.737
0.114793584,1.076,-2.305,9.737
0.118752666,1.076,-2.305,9.737
0.122711435,1.076,-2.267,9.775
0.1266701,1.076,-2.305,9.775
0.13062896,1.037,-2.305,9.737
0.13458748,1.037,-2.267,9.699
0.13854603,1.076,-2.305,9.737
0.1425048,1.037,-2.305,9.775
0.14646326,1.076,-2.305,9.814
0.15042174,1.037,-2.267,9.737
0.15438013,1.037,-2.305,9.699
0.15833843,1.076,-2.267,9.775
0.16229697,1.037,-2.305,9.814
0.16625535,1.076,-2.267,9.737
0.1702138,1.076,-2.343,9.737
0.17417277,1.076,-2.305,9.737
0.1781313,1.076,-2.305,9.775
0.18208984,1.076,-2.305,9.737
0.1860491,1.076,-2.305,9.737
0.19000742,1.076,-2.305,9.699
0.19396587,1.076,-2.305,9.737
0.19792442,1.076,-2.305,9.814
0.20188381,1.037,-2.267,9.775
0.20584233,1.076,-2.305,9.699
0.20980102,1.037,-2.305,9.775
0.21376011,1.076,-2.343,9.775
0.21771973,1.076,-2.305,9.775
0.22167918,1.037,-2.305,9.699
0.22563826,1.076,-2.305,9.699
0.2295974,1.076,-2.305,9.775
0.23355635,1.037,-2.305,9.737
0.23751496,1.076,-2.305,9.737
0.2414741,1.037,-2.267,9.737
0.24543323,1.076,-2.305,9.699
0.24939223,1.076,-2.305,9.737
0.25335068,1.037,-2.267,9.775
0.25730938,1.037,-2.267,9.775
0.26126784,1.037,-2.305,9.699
0.26522616,1.076,-2.305,9.699
0.2691858,1.037,-2.305,9.775
0.27314478,1.076,-2.267,9.737
0.2771036,1.037,-2.305,9.737
0.28106216,1.076,-2.305,9.699
0.28502125,1.076,-2.305,9.737
0.2889807,1.076,-2.305,9.775
0.29293972,1.076,-2.305,9.775
0.29689845,1.037,-2.305,9.737
0.30085725,1.037,-2.305,9.737
0.30481657,1.076,-2.305,9.699
0.30877504,1.037,-2.305,9.814
0.31273305,1.076,-2.305,9.775
0.31669158,1.076,-2.267,9.737
0.3206505,1.076,-2.305,9.737
0.3246092,1.076,-2.305,9.737
0.3285686,1.076,-2.305,9.775
0.33252805,1.076,-2.305,9.814
