TIME,X,Y,Z
0.0,0.118,-0.428,9.967
0.003966154,0.157,-0.467,9.967
0.007933069,0.08,-0.467,9.967
0.011899223,0.08,-0.467,9.967
0.015865607,0.118,-0.467,9.967
0.019831924,0.08,-0.505,9.967
0.023798307,0.118,-0.467,9.928
0.027765077,0.118,-0.505,9.967
0.031732008,0.157,-0.428,9.928
0.035698622,0.118,-0.467,9.967
0.03966516,0.118,-0.428,10.005
0.043631,0.118,-0.428,9.967
0.047596846,0.08,-0.467,9.967
0.051563,0.08,-0.467,9.928
0.055529155,0.118,-0.428,9.967
0.059496,0.157,-0.467,9.967
0.06346292,0.118,-0.467,9.967
0.067429416,0.118,-0.428,9.967
0.07139534,0.118,-0.428,9.967
0.0753611,0.08,-0.467,9.967
0.07932696,0.118,-0.467,9.967
0.083292805,0.118,-0.467,9.967
0.08725919,0.118,-0.428,9.967
0.09122683,0.118,-0.467,9.967
0.09519421,0.118,-0.505,9.967
0.09916168,0.157,-0.467,9.967
0.103128694,0.118,-0.467,9.967
0.107095696,0.118,-0.467,9.967
0.11106285,0.118,-0.428,9.967
0.11503002,0.118,-0.467,10.005
0.11899687,0.118,-0.467,9.967
0.122963026,0.118,-0.467,9.967
0.12692949,0.118,-0.428,10.005
0.13089633,0.08,-0.467,9.967
0.13486357,0.118,-0.428,9.928
0.1388301,0.118,-0.467,9.967
0.14279626,0.118,-0.467,9.967
0.14676264,0.118,-0.428,10.005
0.150729,0.118,-0.428,9.967
0.1546958,0.118,-0.467,9.967
0.15866295,0.118,-0.428,9.928
0.16263026,0.118,-0.505,9.967
0.16659687,0.118,-0.428,9.967
0.17056349,0.118,-0.505,9.967
0.17452972,0.118,-0.467,10.005
0.1784957,0.157,-0.428,9.967
0.18246226,0.08,-0.467,10.005
0.18642865,0.118,-0.467,9.967
0.19039495,0.118,-0.428,9.967
0.19436105,0.118,-0.467,9.967
0.19832766,0.118,-0.467,9.967
0.20229413,0.118,-0.467,10.005
0.20626019,0.118,-0.467,9.967
0.21022575,0.118,-0.467,10.005
0.21419153,0.118,-0.428,9.967
0.21815744,0.08,-0.467,10.005
0.2221232,0.118,-0.467,9.967
0.22608912,0.118,-0.505,9.967
0.23005612,0.118,-0.467,9.967
0.23402251,0.118,-0.467,9.967
0.23798843,0.118,-0.467,9.967
0.2419545,0.118,-0.428,10.005
0.24592128,0.118,-0.467,9.967
0.24988797,0.08,-0.428,9.967
0.25385505,0.118,-0.467,10.005
0.2578213,0.118,-0.467,9.967
0.26178774,0.118,-0.467,9.967
0.26575428,0.118,-0.428,9.967
0.26972106,0.118,-0.467,10.005
0.27368796,0.118,-0.428,9.928
0.27765465,0.118,-0.428,9.967
0.2816208,0.08,-0.428,9.967
0.28558716,0.08,-0.428,9.967
0.28955308,0.08,-0.467,9.967
0.29351962,0.118,-0.467,9.967
0.29748592,0.08,-0.428,9.967
0.3014523,0.118,-0.428,9.967
0.30541816,0.118,-0.428,9.928
0.30938432,0.08,-0.428,9.967
0.31335086,0.118,-0.467,9.967
0.3173168,0.118,-0.467,9.967
0.32128295,0.08,-0.467,9.967
0.32524824,0.08,-0.505,9.967
0.32921404,0.08,-0.467,9.928
0.33317974,0.08,-0.467,9.928
0.33714595,0.118,-0.505,9.967
0.34111252,0.118,-0.467,9.928
0.3450786,0.118,-0.467,9.967
0.34904495,0.118,-0.467,9.967
0.3530113,0.118,-0.467,9.967
0.35697767,0.118,-0.467,9.967
0.36094466,0.08,-0.505,9.928
0.364911,0.118,-0.467,9.967
0.36887676,0.118,-0.467,9.967
0.37284222,0.118,-0.467,9.928
0.37680784,0.118,-0.428,9.967
0.3807735,0.118,-0.467,9.928
0.3847392,0.118,-0.428,9.967
0.38870504,0.157,-0.505,9.967
0.39267084,0.118,-0.467,10.005
0.3966372,0.08,-0.467,9.967
0.40060288,0.08,-0.467,9.967
0.40456972,0.08,-0.467,9.967
0.40853634,0.08,-0.428,9.967
0.4125032,0.118,-0.467,10.005
0.41646957,0.118,-0.467,9.928
0.42043564,0.118,-0.467,9.967
0.4244016,0.118,-0.467,9.967
0.42836785,0.118,-0.467,9.967
0.43233383,0.08,-0.428,10.005
0.43629998,0.157,-0.467,9.928
0.44026572,0.08,-0.467,9.928
0.44423229,0.118,-0.467,10.005
0.44819865,0.118,-0.505,9.89
0.4521645,0.157,-0.467,10.043
0.45613045,0.118,-0.467,9.967
0.46009666,0.118,-0.467,9.852
0.46406236,0.118,-0.467,9.928
0.46802804,0.118,-0.428,9.928
0.4719939,0.118,-0.467,10.043
0.4759598,0.118,-0.505,9.928
0.4799256,0.118,-0.467,10.043
0.48389137,0.118,-0.505,9.928
0.48785743,0.08,-0.505,9.928
0.4918229,0.118,-0.467,9.967
0.49578837,0.118,-0.428,10.005
0.4997541,0.08,-0.467,9.852
0.50371975,0.118,-0.505,9.928
0.5076858,0.157,-0.467,10.005
0.511652,0.118,-0.467,10.043
0.515618,0.157,-0.428,10.043
0.51958406,0.118,-0.505,9.852
0.5235505,0.08,-0.428,9.928
0.52751637,0.118,-0.467,9.928
0.53148293,0.08,-0.467,10.082
0.5354497,0.118,-0.428,10.005
0.5394165,0.118,-0.428,10.043
0.5433835,0.118,-0.505,9.89
0.5473502,0.118,-0.505,9.89
0.551317,0.118,-0.428,10.005
0.5552834,0.118,-0.428,10.043
0.5592492,0.118,-0.467,9.928
0.56321573,0.118,-0.467,10.005
0.56718177,0.118,-0.428,10.043
0.571147,0.118,-0.428,10.043
0.5751129,0.08,-0.428,9.89
0.5790794,0.118,-0.467,9.852
0.58304626,0.157,-0.505,10.005
0.5870127,0.118,-0.467,9.928
0.5909793,0.118,-0.467,9.928
0.59494555,0.118,-0.428,9.89
0.598912,0.118,-0.428,10.005
0.6028776,0.118,-0.428,9.928
0.6068434,0.08,-0.467,9.967
0.61080986,0.118,-0.467,9.967
0.6147769,0.118,-0.467,9.967
0.6187437,0.08,-0.467,9.967
0.6227097,0.118,-0.428,9.967
0.62667567,0.08,-0.467,9.928
0.6306417,0.118,-0.467,9.928
0.6346075,0.08,-0.428,10.005
0.6385736,0.118,-0.467,10.005
0.6425394,0.08,-0.467,10.005
0.64650583,0.157,-0.467,9.928
0.65047175,0.118,-0.467,9.967
0.6544379,0.157,-0.467,10.005
0.65840375,0.157,-0.428,10.043
0.66237026,0.08,-0.467,9.967
0.66633695,0.08,-0.428,9.967
0.6703034,0.118,-0.467,10.005
0.6742694,0.118,-0.467,9.967
0.6782352,0.08,-0.467,9.967
0.6822011,0.08,-0.467,9.967
0.68616706,0.08,-0.467,10.005
0.6901329,0.118,-0.467,10.005
0.6940983,0.118,-0.428,9.967
0.6980638,0.118,-0.467,9.928
0.7020291,0.08,-0.428,10.005
0.7059946,0.08,-0.428,9.967
0.70996016,0.08,-0.467,9.967
0.71392596,0.08,-0.467,9.967
0.717892,0.118,-0.467,9.928
0.7218574,0.118,-0.505,9.967
0.7258234,0.118,-0.467,10.005
0.7297895,0.118,-0.428,9.967
0.7337553,0.118,-0.428,9.967
0.73772126,0.118,-0.428,9.967
0.7416871,0.118,-0.467,9.967
0.74565256,0.08,-0.505,9.967
0.7496184,0.118,-0.467,10.005
