TIME,X,Y,Z
0.0,0.042,-0.467,9.775
0.003969683,0.042,-0.467,9.967
0.00793876,0.042,-0.467,9.967
0.011908453,0.042,-0.467,10.005
0.015877465,0.042,-0.505,10.005
0.019846616,0.042,-0.467,10.005
0.023815615,0.08,-0.505,10.005
0.027784713,0.042,-0.505,10.005
0.03175371,0.042,-0.505,9.967
0.035722636,0.042,-0.505,9.967
0.03969118,0.042,-0.467,10.005
0.043659948,0.08,-0.467,9.967
0.047628716,0.042,-0.467,9.967
0.0515972,0.003,-0.505,9.967
0.05556566,0.042,-0.467,9.967
0.0595352,0.042,-0.505,9.967
0.063504755,0.042,-0.505,9.928
0.06747414,0.042,-0.467,10.005
0.071442984,0.08,-0.505,10.005
0.075412385,0.08,-0.505,9.967
0.079383075,0.042,-0.505,9.967
0.083352454,0.042,-0.505,9.928
0.08732138,0.042,-0.505,9.967
0.09129038,0.042,-0.505,9.967
0.09526007,0.042,-0.543,9.967
0.09922887,0.042,-0.505,9.967
0.103198096,0.08,-0.467,10.005
0.10716725,0.08,-0.467,9.967
0.1111361,0.042,-0.467,9.928
0.11510556,0.003,-0.467,9.967
0.11907417,0.042,-0.467,10.005
0.12304302,0.042,-0.505,9.928
0.12701234,0.003,-0.467,9.967
0.13098125,0.042,-0.467,9.967
0.13495073,0.08,-0.467,9.967
0.13892095,0.042,-0.467,9.967
0.14289148,0.042,-0.467,9.967
0.14686161,0.08,-0.505,9.928
0.15083115,0.08,-0.505,10.005
0.15480046,0.08,-0.505,9.967
0.15876968,0.08,-0.505,9.967
0.16273916,0.042,-0.505,10.043
0.16670845,0.042,-0.467,9.967
0.1706779,0.08,-0.467,9.928
0.17464805,0.042,-0.467,9.967
0.17861767,0.08,-0.467,10.005
0.18258761,0.042,-0.505,9.967
0.186557,0.042,-0.467,9.928
0.19052576,0.08,-0.467,10.005
0.19449504,0.08,-0.467,9.967
0.19846426,0.042,-0.505,9.967
0.20243365,0.08,-0.505,10.005
0.20640267,0.042,-0.505,9.967
0.21037152,0.042,-0.543,9.967
0.21434097,0.042,-0.505,9.967
0.21830967,0.042,-0.505,10.005
0.22227882,0.042,-0.505,9.967
0.22624767,0.042,-0.467,9.967
0.23021667,0.042,-0.467,9.967
0.23418637,0.042,-0.505,9.967
0.23815566,0.042,-0.505,9.967
0.24212512,0.042,-0.467,9.967
0.24609411,0.08,-0.467,10.005
0.2500632,0.042,-0.505,9.967
0.25403258,0.003,-0.505,9.967
0.25800136,0.042,-0.505,9.967
0.2619699,0.042,-0.505,9.967
0.26593867,0.042,-0.505,9.967
0.26990786,0.042,-0.467,9.967
0.27387735,0.042,-0.505,9.967
0.27784657,0.042,-0.505,9.967
0.2818159,0.08,-0.505,9.967
0.28578565,0.08,-0.505,9.967
0.2897551,0.042,-0.505,9.967
0.29372403,0.08,-0.505,9.967
0.2976928,0.042,-0.467,9.967
0.30166134,0.08,-0.505,9.967
0.3056309,0.042,-0.505,9.967
0.30960074,0.08,-0.467,9.967
0.31356996,0.042,-0.505,9.967
0.3175388,0.042,-0.505,10.005
0.32150802,0.042,-0.505,9.967
0.32547766,0.042,-0.467,10.005
0.32944748,0.042,-0.505,9.928
0.3334168,0.042,-0.505,9.967
0.33738667,0.08,-0.505,9.967
0.34135613,0.042,-0.505,9.967
0.34532616,0.003,-0.505,9.967
0.34929523,0.042,-0.505,9.967
0.3532642,0.042,-0.467,9.967
0.35723376,0.08,-0.505,9.967
0.361203,0.042,-0.467,9.928
0.36517194,0.042,-0.505,9.967
0.36914098,0.08,-0.467,10.005
0.3731104,0.042,-0.505,10.005
0.37708047,0.042,-0.467,9.967
0.38104972,0.042,-0.467,9.967
0.38501957,0.08,-0.505,9.967
0.38898927,0.08,-0.505,10.005
0.3929589,0.042,-0.467,9.967
0.3969292,0.042,-0.505,9.967
0.4008993,0.08,-0.505,9.967
0.4048689,0.042,-0.543,9.928
0.4088384,0.08,-0.505,9.967
0.4128082,0.042,-0.467,10.005
0.416778,0.042,-0.467,9.967
0.42074785,0.08,-0.505,9.967
0.42471725,0.08,-0.505,9.967
0.42868716,0.042,-0.467,9.967
0.43265775,0.042,-0.505,9.967
0.43662757,0.042,-0.505,9.967
0.44059786,0.042,-0.467,9.967
0.44456768,0.042,-0.467,9.967
0.44853786,0.08,-0.467,9.967
0.45250794,0.042,-0.505,9.967
0.45647797,0.042,-0.467,10.005
0.46044838,0.08,-0.505,9.928
0.46441808,0.08,-0.505,9.967
0.46838757,0.08,-0.505,9.967
0.4723572,0.042,-0.505,10.005
0.4763273,0.042,-0.467,9.967
0.48029783,0.08,-0.467,9.928
0.48426828,0.042,-0.467,10.005
0.48823798,0.042,-0.505,9.967
0.49220774,0.042,-0.505,9.967
0.49617696,0.042,-0.467,9.967
0.5001465,0.042,-0.505,10.005
0.50411594,0.042,-0.505,9.967
0.5080859,0.08,-0.467,10.005
0.51205564,0.042,-0.467,10.005
0.51602465,0.042,-0.467,9.928
0.519994,0.08,-0.467,9.967
0.52396333,0.042,-0.505,10.005
0.5279329,0.042,-0.505,9.967
0.53190213,0.042,-0.467,10.005
0.5358714,0.042,-0.467,9.967
0.5398418,0.042,-0.505,9.967
0.54381144,0.08,-0.505,10.005
0.54778105,0.042,-0.505,9.928
0.5517509,0.042,-0.543,9.967
0.55572057,0.08,-0.467,9.928
0.5596902,0.08,-0.467,9.928
0.5636592,0.08,-0.505,10.005
0.567629,0.042,-0.505,9.967
0.57159865,0.08,-0.505,9.967
0.5755679,0.042,-0.505,9.967
0.5795374,0.042,-0.467,9.967
0.58350706,0.08,-0.505,9.967
0.58747745,0.042,-0.505,9.967
0.5914473,0.042,-0.505,10.005
0.5954169,0.042,-0.467,9.928
0.5993861,0.042,-0.467,9.967
0.6033558,0.042,-0.467,9.967
0.607326,0.042,-0.467,9.967
0.61129594,0.08,-0.467,10.005
0.6152662,0.042,-0.467,9.967
0.6192357,0.042,-0.467,9.967
0.62320596,0.08,-0.505,10.005
0.6271761,0.042,-0.505,10.005
0.6311463,0.042,-0.467,10.005
0.6351161,0.042,-0.467,10.005
0.63908595,0.08,-0.467,9.967
0.64305526,0.042,-0.505,10.005
0.6470242,0.042,-0.467,10.005
0.65099347,0.042,-0.505,10.005
0.654963,0.042,-0.467,9.967
0.65893316,0.08,-0.505,9.967
0.6629026,0.08,-0.505,9.967
0.6668715,0.042,-0.467,9.928
0.6708407,0.08,-0.467,10.005
0.6748099,0.042,-0.505,9.967
0.6787792,0.042,-0.505,10.005
0.6827483,0.042,-0.505,9.967
0.6867178,0.08,-0.505,9.967
0.69068706,0.08,-0.505,9.928
0.69465595,0.042,-0.467,10.005
0.69862485,0.042,-0.505,9.967
0.70259434,0.042,-0.467,9.967
0.7065637,0.042,-0.505,9.928
0.71053284,0.042,-0.467,9.967
0.714502,0.08,-0.505,10.005
0.7184715,0.08,-0.505,9.928
0.7224408,0.003,-0.505,9.967
0.7264103,0.08,-0.505,10.043
0.73037976,0.042,-0.505,9.967
0.7343488,0.042,-0.467,9.967
0.73831874,0.042,-0.505,9.967
0.7422886,0.042,-0.467,9.967
0.7462582,0.08,-0.505,9.967
0.7502281,0.042,-0.467,9.967
0.75419796,0.042,-0.467,9.928
0.7581677,0.08,-0.505,9.928
0.76213723,0.042,-0.505,9.967
0.7661071,0.042,-0.467,9.967
0.7700766,0.042,-0.505,10.005
0.774046,0.042,-0.505,9.967
0.7780155,0.08,-0.467,9.967
0.78198516,0.042,-0.467,9.967
0.7859549,0.042,-0.505,9.928
0.7899247,0.08,-0.505,9.967
0.7938945,0.08,-0.505,10.005
0.7978647,0.042,-0.505,9.967
0.80183417,0.042,-0.505,10.005
0.80580413,0.042,-0.505,9.967
0.80977356,0.042,-0.505,9.967
0.8137431,0.003,-0.505,9.967
0.81771296,0.042,-0.467,9.967
0.821683,0.042,-0.505,9.967
0.82565325,0.042,-0.467,9.967
0.82962346,0.042,-0.505,9.967
0.83359385,0.08,-0.505,10.005
0.8375635,0.042,-0.467,9.967
0.84153306,0.042,-0.467,9.967
0.8455023,0.08,-0.505,9.967
0.84947187,0.08,-0.505,9.967
0.8534421,0.08,-0.467,10.005
0.8574117,0.042,-0.467,9.967
0.8613813,0.08,-0.467,9.928
0.8653514,0.042,-0.505,9.967
0.86932087,0.08,-0.467,10.005
0.8732905,0.042,-0.467,9.967
