TIME,X,Y,Z
0.0,0.042,-0.352,9.316
0.003962076,0.08,-0.352,10.005
0.007923999,0.042,-0.428,9.928
0.011885691,0.042,-0.39,9.928
0.015847402,0.08,-0.39,9.967
0.019809324,0.042,-0.39,9.928
0.023771556,0.042,-0.39,9.928
0.027733702,0.042,-0.39,9.89
0.03169578,0.003,-0.39,9.928
0.03565778,0.042,-0.39,9.928
0.039620087,0.003,-0.39,9.928
0.04358224,0.042,-0.428,9.928
0.04754501,0.042,-0.428,9.967
0.051507384,0.042,-0.39,9.928
0.05546885,0.042,-0.428,9.928
0.059430696,0.003,-0.39,9.89
0.06339284,0.003,-0.39,9.928
0.067354605,0.042,-0.39,9.928
0.07131684,0.042,-0.39,9.967
0.0752789,0.042,-0.39,9.967
0.07924106,0.042,-0.39,9.928
0.08320297,0.042,-0.39,9.89
0.08716475,0.042,-0.39,9.928
0.09112667,0.042,-0.39,9.89
0.09508929,0.003,-0.39,9.967
0.09905152,0.042,-0.39,9.967
0.10301352,0.042,-0.428,9.89
0.10697521,0.042,-0.39,9.928
0.110937454,0.042,-0.39,9.89
0.11490014,0.08,-0.39,9.928
0.11886223,0.08,-0.39,9.967
0.12282478,0.042,-0.352,9.928
0.126787,0.042,-0.39,9.928
0.13074885,0.042,-0.39,9.928
0.13471092,0.042,-0.39,9.967
0.13867323,0.042,-0.39,9.928
0.14263554,0.042,-0.428,9.928
0.14659761,0.042,-0.39,9.928
0.1505597,0.042,-0.428,9.89
0.15452193,0.042,-0.39,9.928
0.15848409,0.042,-0.39,9.928
0.1624463,0.042,-0.39,9.928
0.1664083,0.042,-0.428,9.89
0.17037079,0.042,-0.352,9.928
0.17433286,0.003,-0.39,9.967
0.1782954,0.003,-0.39,9.928
0.18225741,0.042,-0.39,9.928
0.18621933,0.042,-0.39,9.928
0.19018194,0.042,-0.428,9.89
0.19414432,0.042,-0.39,9.928
0.19810633,0.042,-0.39,9.928
0.2020674,0.042,-0.39,9.928
0.20602964,0.003,-0.39,9.89
0.20999186,0.003,-0.39,9.928
0.21395372,0.042,-0.39,9.928
0.21791594,0.042,-0.39,9.928
0.22187786,0.003,-0.428,9.967
0.22584009,0.042,-0.352,9.89
0.22980188,0.042,-0.39,9.928
0.23376395,0.042,-0.39,9.928
0.23772626,0.042,-0.428,9.928
0.24168843,0.042,-0.39,9.928
0.2456502,0.042,-0.39,9.928
0.24961235,0.042,-0.39,9.967
0.2535747,0.042,-0.39,9.928
0.25753698,0.042,-0.352,9.928
