TIME,X,Y,Z
0.0,0.003,-0.467,9.775
0.003969548,0.042,-0.505,9.967
0.007939394,0.042,-0.505,10.005
0.011908394,0.003,-0.543,9.967
0.015878001,0.003,-0.505,9.967
0.019846924,0.042,-0.505,9.967
0.023816386,0.003,-0.505,9.967
0.02778554,0.003,-0.467,10.005
0.03175477,0.003,-0.505,9.967
0.035724383,0.042,-0.467,9.967
0.039693393,0.042,-0.467,10.005
0.043663085,0.003,-0.467,9.928
0.047632467,0.042,-0.467,9.967
0.051601775,0.042,-0.428,9.967
0.055571236,0.042,-0.467,10.005
0.059540235,0.042,-0.467,10.005
0.06350891,0.042,-0.467,9.967
0.06747791,0.042,-0.467,10.005
0.07144699,0.042,-0.467,10.005
0.075416826,0.042,-0.505,9.928
0.079386905,0.042,-0.467,9.967
0.08335621,0.042,-0.505,9.928
0.087325595,0.003,-0.505,9.967
0.09129528,0.042,-0.505,9.967
0.09526459,0.003,-0.505,9.967
0.0992333,0.042,-0.543,9.967
0.10320245,0.042,-0.505,10.005
0.10717153,0.042,-0.467,10.005
0.11114009,0.042,-0.467,9.928
0.11510893,0.042,-0.467,9.967
0.11907801,0.042,-0.505,9.967
0.123046845,0.042,-0.467,9.967
0.12701562,0.042,-0.467,9.967
0.13098508,0.042,-0.428,9.967
0.13495368,0.042,-0.505,9.967
0.13892308,0.003,-0.467,9.967
0.14289223,0.08,-0.467,10.005
0.14686106,0.042,-0.505,9.89
0.15082997,0.042,-0.467,10.005
0.15479952,0.042,-0.505,9.967
0.1587685,0.08,-0.505,9.967
0.16273752,0.08,-0.505,9.967
0.16670643,0.042,-0.505,9.967
0.17067534,0.042,-0.467,10.005
0.17464513,0.042,-0.428,9.967
0.17861526,0.042,-0.467,9.928
0.18258497,0.042,-0.467,10.005
0.1865546,0.08,-0.467,9.967
0.19052413,0.042,-0.467,9.967
0.19449344,0.042,-0.505,9.928
0.19846298,0.042,-0.467,9.967
0.20243229,0.003,-0.467,9.967
0.20640175,0.003,-0.543,10.005
0.21037143,0.042,-0.467,9.928
0.21434037,0.003,-0.505,9.928
0.21830958,0.003,-0.505,9.967
0.22227944,0.003,-0.505,9.928
0.22624852,0.003,-0.467,9.928
