TIME,X,Y,Z
0.0,1.037,-2.343,9.66
0.003960461,0.999,-2.343,9.775
0.00792207,1.076,-2.305,9.737
0.011882685,1.114,-2.305,9.775
0.015843917,1.076,-2.343,9.775
0.019805375,1.076,-2.305,9.775
0.023766221,1.037,-2.343,9.814
0.027726453,0.999,-2.343,9.814
0.03168708,1.037,-2.305,9.699
0.03564762,1.076,-2.305,9.737
0.03960862,1.076,-2.343,9.699
0.043569714,1.076,-2.305,9.699
0.04753133,1.076,-2.305,9.775
0.051491942,1.037,-2.343,9.775
0.05545295,1.076,-2.305,9.737
0.05941395,1.076,-2.305,9.775
0.06337472,1.076,-2.305,9.814
0.0673359,1.076,-2.305,9.775
0.07129644,1.037,-2.305,9.699
0.075257204,1.037,-2.343,9.775
0.07921814,1.037,-2.343,9.775
0.08317907,1.037,-2.343,9.737
0.087140374,1.076,-2.343,9.699
0.09110153,1.076,-2.305,9.699
0.09506245,1.076,-2.305,9.775
0.09902361,1.037,-2.305,9.814
0.10298515,1.037,-2.267,9.775
0.10694645,1.076,-2.305,9.737
0.11090792,1.076,-2.343,9.775
0.11486952,1.076,-2.305,9.699
0.11883022,1.076,-2.305,9.699
0.122790754,1.037,-2.305,9.775
0.12675177,1.037,-2.305,9.699
0.13071206,1.037,-2.343,9.775
0.13467284,1.037,-2.305,9.775
0.1386336,1.076,-2.305,9.699
0.14259522,1.076,-2.382,9.66
0.14655669,1.037,-2.305,9.814
0.15051799,1.037,-2.305,9.814
0.15447992,1.037,-2.343,9.737
0.15844116,1.076,-2.305,9.699
0.16240232,1.076,-2.305,9.737
0.16636324,1.076,-2.305,9.737
0.17032416,1.037,-2.343,9.814
0.17428593,1.037,-2.305,9.737
0.17824747,1.076,-2.343,9.814
0.18220854,1.076,-2.305,9.775
0.18616931,1.076,-2.343,9.699
0.19013,1.076,-2.305,9.775
0.19409071,1.076,-2.305,9.775
0.19805148,1.037,-2.305,9.775
0.20201187,1.037,-2.305,9.775
0.20597287,1.076,-2.343,9.775
0.20993342,1.076,-2.343,9.775
0.21389401,1.076,-2.343,9.737
0.21785426,1.037,-2.305,9.737
0.22181462,1.076,-2.343,9.814
