TIME,X,Y,Z
0.0,1.037,-2.382,9.507
0.003964,1.037,-2.42,9.699
0.007927382,0.999,-2.382,9.775
0.011890997,1.037,-2.42,9.66
0.015854152,0.961,-2.458,9.66
0.01981724,1.037,-2.42,9.775
0.023780473,1.037,-2.42,9.737
0.02774424,1.037,-2.42,9.775
0.031708255,1.037,-2.42,9.737
0.03567218,1.037,-2.458,9.699
0.03963464,1.037,-2.458,9.737
0.043597568,0.999,-2.42,9.775
0.047560334,1.037,-2.42,9.737
0.051523414,1.037,-2.42,9.699
0.055486575,1.037,-2.458,9.699
0.059449345,1.037,-2.42,9.814
0.063412346,1.037,-2.42,9.814
0.067375034,1.037,-2.42,9.737
0.071338035,1.037,-2.42,9.699
0.07530103,1.037,-2.458,9.737
0.0792643,0.999,-2.42,9.775
0.08322807,1.037,-2.458,9.66
0.08719145,1.076,-2.458,9.66
0.09115468,0.999,-2.458,9.775
0.09511745,1.037,-2.42,9.737
0.09908021,1.037,-2.42,9.699
0.1030436,1.037,-2.458,9.699
0.10700683,1.037,-2.458,9.814
0.1109693,1.037,-2.382,9.814
0.11493209,1.037,-2.42,9.699
0.11889509,1.037,-2.42,9.699
0.12285816,1.037,-2.458,9.775
0.12682141,1.037,-2.42,9.775
0.1307854,1.037,-2.42,9.699
0.13474917,1.037,-2.458,9.66
0.13871302,1.037,-2.42,9.737
0.14267658,1.037,-2.42,9.775
0.1466388,0.999,-2.42,9.737
0.15060145,1.037,-2.42,9.699
0.1545649,1.037,-2.42,9.737
0.15852804,1.037,-2.458,9.775
0.16249089,1.037,-2.382,9.775
0.16645421,1.037,-2.458,9.699
0.17041713,1.037,-2.458,9.66
0.1743799,1.037,-2.458,9.814
0.17834237,0.999,-2.42,9.814
0.1823059,1.037,-2.42,9.699
0.18626961,1.037,-2.458,9.699
0.19023307,1.037,-2.42,9.814
0.19419685,1.037,-2.42,9.814
0.1981602,1.037,-2.382,9.737
0.20212382,1.037,-2.458,9.699
0.20608744,1.037,-2.42,9.737
0.21005037,1.037,-2.458,9.775
0.2140136,1.037,-2.382,9.775
0.21797653,1.037,-2.497,9.699
0.22194004,1.037,-2.42,9.66
0.2259032,1.037,-2.42,9.775
0.22986604,1.037,-2.42,9.814
0.23382898,1.037,-2.42,9.699
0.23779182,0.999,-2.458,9.622
0.24175481,1.037,-2.42,9.737
0.24571815,1.037,-2.42,9.852
0.24968176,1.037,-2.458,9.775
0.2536454,1.037,-2.42,9.699
0.25760862,1.037,-2.42,9.699
0.26157147,1.037,-2.42,9.814
0.2655344,1.037,-2.42,9.737
0.2694978,1.037,-2.42,9.66
0.27346155,1.037,-2.458,9.66
0.27742532,1.037,-2.42,9.775
0.28138876,0.999,-2.42,9.775
0.28535306,1.076,-2.42,9.699
0.28931704,1.037,-2.42,9.737
0.29328075,1.037,-2.458,9.737
0.29724413,0.999,-2.458,9.775
0.3012078,1.037,-2.42,9.775
0.30517158,1.037,-2.382,9.699
0.3091349,0.999,-2.42,9.737
