TIME,X,Y,Z
0.0,0.999,-2.343,9.507
0.003963771,0.999,-2.42,9.699
0.007927233,0.999,-2.42,9.699
0.011891002,1.037,-2.458,9.737
0.015854528,1.037,-2.42,9.737
0.019818682,0.999,-2.42,9.737
0.02378276,1.037,-2.42,9.775
0.027746296,1.076,-2.458,9.775
0.031709526,0.999,-2.382,9.775
0.035673216,1.037,-2.42,9.737
0.039636675,1.037,-2.42,9.737
0.0435996,1.037,-2.458,9.699
0.04756352,1.037,-2.42,9.737
0.05152761,0.999,-2.42,9.737
0.055491608,1.037,-2.42,9.699
0.059455607,1.037,-2.42,9.775
0.06341922,1.037,-2.42,9.737
0.06738261,1.076,-2.42,9.775
0.07134637,1.037,-2.458,9.737
0.075309366,1.037,-2.42,9.737
0.07927282,0.999,-2.458,9.737
0.08323659,1.037,-2.42,9.737
0.08719998,1.037,-2.458,9.737
0.09116375,1.037,-2.458,9.737
0.09512759,1.037,-2.458,9.699
0.099090755,1.037,-2.42,9.775
0.103054136,1.037,-2.42,9.814
0.10701767,1.037,-2.458,9.737
0.11098052,0.999,-2.458,9.737
0.11494374,1.037,-2.458,9.699
0.118907824,1.076,-2.458,9.699
0.1228708,1.037,-2.42,9.699
0.12683389,1.037,-2.458,9.737
0.13079695,1.037,-2.42,9.699
0.13476011,1.037,-2.42,9.737
0.13872412,1.037,-2.458,9.775
0.14268781,1.037,-2.42,9.737
0.14665127,1.037,-2.42,9.737
0.15061504,1.037,-2.458,9.737
0.1545781,0.999,-2.42,9.814
0.15854205,0.999,-2.42,9.775
0.16250551,1.037,-2.382,9.66
0.16646913,1.037,-2.458,9.737
0.17043296,1.037,-2.42,9.737
0.17439689,1.037,-2.42,9.737
0.1783602,1.037,-2.42,9.699
0.18232398,1.037,-2.458,9.737
0.18628775,1.037,-2.42,9.814
0.1902519,0.999,-2.458,9.814
0.19421606,1.037,-2.42,9.66
0.19818006,1.037,-2.458,9.737
0.20214444,1.037,-2.42,9.775
0.20610878,0.999,-2.42,9.699
0.21007286,1.037,-2.458,9.699
0.21403663,1.037,-2.42,9.737
0.21800019,1.037,-2.42,9.775
0.22196443,0.999,-2.42,9.699
0.22592926,1.037,-2.42,9.737
0.22989406,1.037,-2.458,9.775
0.23385869,1.076,-2.42,9.737
0.2378226,1.037,-2.42,9.699
0.2417867,1.037,-2.42,9.699
0.24575055,0.999,-2.42,9.737
0.24971369,0.999,-2.42,9.775
0.25367716,1.037,-2.42,9.66
0.25764108,1.037,-2.42,9.699
0.26160464,1.037,-2.458,9.737
0.26556864,0.999,-2.42,9.699
0.2695328,1.037,-2.42,9.699
0.2734969,1.076,-2.42,9.699
0.2774605,1.037,-2.42,9.775
0.2814242,1.037,-2.458,9.737
0.28538826,1.037,-2.42,9.66
0.28935197,1.037,-2.42,9.775
0.29331565,1.037,-2.42,9.775
0.29727995,1.037,-2.382,9.699
0.30124468,1.037,-2.42,9.66
0.30520907,1.037,-2.42,9.775
0.30917335,1.037,-2.42,9.775
0.31313688,1.037,-2.458,9.699
0.3171,1.076,-2.458,9.699
0.32106322,1.076,-2.42,9.737
0.32502663,1.037,-2.458,9.775
0.32899007,1.037,-2.458,9.775
0.33295354,1.037,-2.42,9.699
0.33691686,1.037,-2.42,9.737
0.3408797,1.037,-2.42,9.814
0.34484333,1.037,-2.42,9.737
0.3488066,1.037,-2.458,9.699
0.35277027,1.037,-2.42,9.775
0.3567335,1.037,-2.42,9.775
0.36069718,1.037,-2.42,9.699
0.36466113,1.076,-2.42,9.699
0.3686248,1.037,-2.42,9.775
0.37258857,1.037,-2.42,9.775
0.37655213,1.037,-2.42,9.737
0.38051572,1.037,-2.42,9.699
0.38447866,1.037,-2.42,9.775
0.3884419,1.037,-2.458,9.737
0.39240512,1.037,-2.42,9.737
0.39636806,1.037,-2.42,9.737
0.40033162,1.076,-2.458,9.737
0.40429538,1.037,-2.42,9.775
0.4082592,1.037,-2.42,9.737
0.41222298,1.037,-2.42,9.737
0.4161862,1.037,-2.42,9.775
0.4201497,0.999,-2.458,9.814
0.4241139,0.999,-2.42,9.775
0.42807773,1.037,-2.42,9.737
0.43204126,1.037,-2.458,9.66
0.4360045,0.999,-2.458,9.622
0.43996802,1.037,-2.458,9.622
0.44393238,1.037,-2.458,9.584
0.44789577,1.037,-2.42,9.66
0.45185944,0.999,-2.382,9.699
0.45582286,1.037,-2.42,9.699
0.4597861,0.999,-2.42,9.699
0.4637497,1.037,-2.42,9.699
0.46771318,1.037,-2.458,9.737
0.4716768,1.037,-2.42,9.737
0.4756397,0.999,-2.382,9.775
0.4796032,0.999,-2.458,9.775
0.48356688,1.037,-2.458,9.775
0.48753098,1.037,-2.42,9.699
0.49149472,1.076,-2.42,9.737
0.49545866,1.037,-2.42,9.699
0.4994225,1.037,-2.42,9.775
0.503386,1.037,-2.458,9.775
0.5073494,1.037,-2.42,9.737
0.5113133,1.037,-2.42,9.814
0.5152778,1.037,-2.458,9.737
0.51924235,1.037,-2.42,9.775
0.52320516,0.999,-2.42,9.89
0.5271688,1.037,-2.382,9.699
0.53113204,0.999,-2.42,9.622
0.5350951,0.999,-2.382,9.737
0.53905874,1.037,-2.458,9.737
0.5430229,0.999,-2.42,9.775
0.5469867,0.999,-2.42,9.775
0.550951,0.999,-2.42,9.852
0.5549152,1.037,-2.42,9.66
0.5588793,0.999,-2.42,9.622
