TIME,X,Y,Z
0.0,-0.034,-0.39,9.354
0.003961578,-0.034,-0.428,10.005
0.007923501,0.003,-0.428,9.928
0.011885501,-0.034,-0.428,9.967
0.015847571,0.003,-0.352,9.928
0.01980911,0.003,-0.428,9.928
0.023770189,0.003,-0.39,9.89
0.02773114,0.003,-0.428,9.928
0.03169214,0.003,-0.428,9.928
0.035653755,-0.034,-0.428,9.928
0.0396153,0.003,-0.428,9.967
0.04357661,0.003,-0.467,9.89
0.04753753,0.003,-0.39,9.928
0.051498536,0.003,-0.428,9.89
0.055460077,-0.034,-0.428,9.967
0.059421692,0.003,-0.428,9.928
0.06338294,0.003,-0.428,9.928
0.06734401,0.003,-0.428,9.967
0.07130571,0.003,-0.428,9.928
0.07526691,0.003,-0.428,9.928
0.0792283,-0.034,-0.39,9.928
0.083189376,0.003,-0.39,9.928
0.0871506,0.003,-0.39,9.928
0.09111191,-0.034,-0.428,9.967
0.095072754,-0.034,-0.428,9.928
0.09903366,-0.034,-0.39,9.928
0.10299475,-0.034,-0.428,9.967
0.10695566,-0.034,-0.428,9.928
0.11091644,-0.034,-0.428,9.967
0.11487705,0.003,-0.428,9.928
0.118837744,-0.034,-0.428,9.967
0.12279905,-0.034,-0.39,9.928
0.1267605,0.003,-0.428,9.89
0.13072166,0.003,-0.428,9.967
0.13468236,-0.034,-0.428,9.928
0.1386425,0.003,-0.428,9.89
0.14260267,0.003,-0.39,9.928
0.14656325,0.003,-0.428,9.967
0.15052465,0.003,-0.428,9.89
0.15448587,0.003,-0.428,9.928
0.15844728,0.003,-0.428,9.928
0.1624078,-0.034,-0.428,9.928
0.16636881,0.003,-0.39,9.967
0.17032923,0.003,-0.428,9.967
0.17428993,-0.034,-0.428,9.928
0.1782503,-0.034,-0.428,9.967
0.1822107,-0.034,-0.39,9.928
0.1861714,0.003,-0.428,9.967
0.19013232,0.003,-0.428,9.928
0.19409312,-0.034,-0.428,9.967
0.19805388,0.003,-0.428,9.928
0.20201473,-0.034,-0.428,9.928
0.20597583,-0.034,-0.428,9.89
0.20993635,0.003,-0.39,9.928
0.21389681,0.003,-0.428,9.928
0.21785766,0.003,-0.428,9.89
0.22181797,0.003,-0.428,9.967
0.22577873,-0.034,-0.428,9.928
0.22973949,0.003,-0.428,9.928
0.23369943,0.003,-0.428,9.928
0.23766026,0.003,-0.428,9.928
0.2416208,0.003,-0.467,9.967
0.24558134,0.003,-0.39,9.928
0.24954212,0.003,-0.428,9.928
0.25350296,0.003,-0.428,9.928
0.2574638,0.003,-0.428,9.967
0.2614238,-0.034,-0.428,9.928
0.26538396,0.003,-0.428,9.928
0.26934436,-0.034,-0.428,9.967
0.2733052,0.003,-0.428,9.928
0.27726555,0.003,-0.428,9.967
0.28122646,0.042,-0.39,9.967
0.28518724,-0.034,-0.428,9.928
0.2891482,0.003,-0.428,9.967
0.29310876,-0.034,-0.428,9.967
0.29706937,-0.034,-0.39,9.967
0.3010309,-0.034,-0.428,9.967
0.30499282,0.003,-0.428,9.928
0.3089547,-0.034,-0.39,9.928
0.3129157,0.003,-0.39,9.928
0.31687665,-0.034,-0.428,9.928
0.32083765,0.003,-0.428,9.928
0.3247991,0.003,-0.428,9.928
0.32876042,0.003,-0.428,9.967
0.33272117,0.042,-0.39,9.928
0.33668196,0.003,-0.428,9.928
0.340643,-0.034,-0.428,9.928
0.3446044,0.003,-0.428,9.928
0.34856573,0.003,-0.467,9.928
0.35252672,0.003,-0.428,9.928
0.35648766,-0.034,-0.428,9.89
0.3604484,-0.034,-0.428,9.928
0.36440924,0.003,-0.467,9.967
0.36837062,0.003,-0.428,9.928
0.37233162,0.003,-0.467,9.89
0.37629256,-0.034,-0.39,9.928
0.3802537,0.042,-0.39,9.967
0.38421482,0.003,-0.39,9.928
0.38817576,-0.034,-0.428,9.967
0.39213684,-0.034,-0.428,9.967
0.396098,-0.034,-0.428,9.967
0.40005913,0.003,-0.428,9.928
0.4040202,-0.034,-0.428,9.928
0.40798113,0.003,-0.428,9.967
0.41194233,0.003,-0.428,9.928
0.41590336,0.003,-0.467,9.89
0.41986436,0.003,-0.39,9.928
0.42382511,0.003,-0.428,9.928
0.4277858,0.003,-0.39,9.928
0.43174675,0.003,-0.428,9.967
0.4357075,-0.034,-0.428,9.967
0.4396685,-0.034,-0.39,9.928
0.44362992,0.003,-0.39,9.967
0.44759125,-0.034,-0.428,9.928
0.45155272,0.003,-0.428,9.928
0.45551395,0.003,-0.39,9.928
0.45947516,0.003,-0.428,9.928
0.46343595,-0.034,-0.428,9.967
0.46739638,-0.034,-0.39,9.928
0.47135687,0.003,-0.428,9.967
0.47531742,0.003,-0.428,9.928
0.47927758,0.003,-0.467,9.928
0.48323825,0.003,-0.428,9.89
0.48719987,0.003,-0.39,9.89
0.4911608,0.003,-0.428,9.928
0.49512148,-0.034,-0.352,10.005
0.49908224,0.003,-0.467,9.967
0.5030432,0.003,-0.39,10.005
0.5070038,0.042,-0.467,9.967
0.5109651,0.003,-0.352,9.852
0.51492614,0.042,-0.428,9.852
0.5188877,0.003,-0.39,9.928
0.52284896,0.003,-0.467,9.928
0.5268098,-0.034,-0.428,9.967
0.53077066,-0.034,-0.428,9.967
0.53473186,0.003,-0.467,9.928
0.538693,0.003,-0.467,10.005
0.54265374,-0.034,-0.39,9.928
0.54661477,0.003,-0.428,10.005
0.55057573,0.003,-0.428,9.928
0.5545369,-0.034,-0.428,9.852
0.5584979,0.003,-0.428,9.89
0.56245893,-0.034,-0.467,9.928
0.5664196,-0.034,-0.39,10.005
0.5703808,-0.034,-0.39,9.967
0.5743421,0.003,-0.428,9.928
0.5783029,0.003,-0.39,9.967
0.5822632,0.003,-0.428,9.967
0.58622444,0.003,-0.467,9.967
0.59018594,0.003,-0.428,9.89
0.5941466,0.003,-0.39,9.967
0.59810823,0.003,-0.467,9.852
0.60206974,-0.034,-0.428,10.043
0.60603124,0.003,-0.467,9.928
0.609993,0.042,-0.39,9.928
0.613954,0.003,-0.428,9.852
0.6179151,0.003,-0.467,9.967
0.6218766,0.003,-0.428,10.005
0.6258376,0.003,-0.428,9.89
0.6297988,0.003,-0.39,9.928
0.63376004,-0.034,-0.39,9.928
0.6377212,0.003,-0.467,9.928
0.6416827,-0.034,-0.39,9.928
0.64564455,0.003,-0.428,9.967
0.649606,-0.034,-0.428,10.005
0.6535684,-0.034,-0.467,9.967
0.6575301,-0.034,-0.428,9.89
0.66149175,-0.034,-0.428,9.89
0.6654531,-0.034,-0.39,9.967
0.66941494,0.003,-0.39,9.928
0.67337596,0.003,-0.505,9.967
0.6773372,0.003,-0.39,9.967
0.68129927,0.042,-0.428,9.967
0.6852612,0.003,-0.39,9.928
0.68922263,0.042,-0.428,9.89
0.6931839,0.003,-0.428,9.928
0.6971446,0.003,-0.428,9.928
0.7011057,0.003,-0.39,10.043
0.7050669,0.003,-0.428,9.928
0.7090281,0.003,-0.428,9.967
0.71298885,0.003,-0.467,9.928
0.71694976,0.003,-0.428,9.89
0.72091055,0.003,-0.428,9.89
0.7248713,0.003,-0.467,9.928
0.72883195,-0.034,-0.39,10.005
0.7327925,-0.034,-0.428,10.005
0.73675364,0.003,-0.428,9.967
0.7407146,0.003,-0.428,9.967
0.7446754,0.003,-0.428,9.928
0.74863666,0.003,-0.428,9.967
0.7525977,-0.034,-0.39,9.928
0.75655925,0.003,-0.428,9.852
0.76052046,0.003,-0.428,9.89
0.7644822,0.003,-0.428,9.928
0.76844335,0.003,-0.428,9.928
0.77240443,0.003,-0.428,10.005
0.77636534,0.003,-0.39,9.89
0.78032666,0.003,-0.467,9.928
0.78428787,0.003,-0.428,9.967
0.7882494,0.003,-0.428,9.967
0.79221046,-0.034,-0.428,9.967
0.79617167,0.003,-0.428,9.928
0.80013275,0.003,-0.39,9.928
