TIME,X,Y,Z
0.0,0.157,-0.237,9.775
0.003963925,0.157,-0.237,9.967
0.007928156,0.157,-0.237,9.967
0.011891387,0.157,-0.237,9.928
0.015855322,0.157,-0.199,9.928
0.019818936,0.195,-0.237,9.967
0.02378209,0.157,-0.237,9.928
0.027745789,0.157,-0.237,10.005
0.03171017,0.195,-0.199,9.928
0.035674404,0.157,-0.237,9.928
0.039638106,0.157,-0.237,9.928
0.043602105,0.157,-0.237,9.967
0.04756579,0.195,-0.237,9.967
0.05152957,0.157,-0.237,9.928
0.055493183,0.157,-0.199,9.928
0.05945711,0.195,-0.237,10.005
0.06342088,0.157,-0.199,9.967
0.06738458,0.157,-0.199,9.928
0.071348265,0.157,-0.199,9.967
0.07531234,0.157,-0.199,9.967
0.07927634,0.157,-0.199,9.928
0.0832398,0.195,-0.199,9.967
0.08720365,0.157,-0.199,9.967
0.091167346,0.157,-0.199,9.967
0.09513096,0.157,-0.199,9.928
0.09909436,0.157,-0.199,9.967
0.10305805,0.157,-0.199,9.928
0.10702144,0.118,-0.199,9.928
0.110985465,0.157,-0.199,9.928
0.114948764,0.157,-0.199,10.005
0.118912466,0.157,-0.199,9.967
0.122876085,0.157,-0.199,9.967
0.12683986,0.195,-0.199,9.967
0.13080385,0.157,-0.199,9.967
0.13476814,0.157,-0.199,9.967
0.13873261,0.157,-0.275,9.967
0.14269653,0.157,-0.199,9.928
0.14666077,0.157,-0.237,9.967
0.15062506,0.157,-0.237,9.967
0.15458868,0.157,-0.237,9.967
0.15855236,0.157,-0.199,9.928
0.16251567,0.157,-0.237,9.967
0.16647944,0.195,-0.237,9.967
0.17044252,0.195,-0.199,9.967
0.1744057,0.157,-0.237,9.967
0.17836946,0.157,-0.199,9.967
0.18233347,0.195,-0.237,9.967
0.18629794,0.157,-0.199,10.005
0.19026187,0.195,-0.199,10.005
0.1942261,0.195,-0.199,9.928
0.19818993,0.195,-0.16,10.005
0.20215379,0.157,-0.237,9.967
0.20611733,0.195,-0.199,9.928
0.21008064,0.157,-0.199,10.005
0.21404403,0.157,-0.237,10.005
0.21800753,0.157,-0.199,9.928
0.22197123,0.157,-0.199,9.967
0.22593501,0.195,-0.199,10.005
0.22989869,0.195,-0.199,9.928
0.23386206,0.157,-0.199,9.928
0.23782653,0.157,-0.199,9.967
0.24179043,0.157,-0.199,9.967
0.24575405,0.157,-0.199,9.928
0.24971752,0.195,-0.199,9.928
0.25368115,0.157,-0.199,9.928
0.25764468,0.157,-0.199,9.928
0.2616082,0.157,-0.199,9.967
0.2655722,0.195,-0.16,9.967
0.26953617,0.157,-0.237,9.928
0.27350003,0.157,-0.199,9.928
0.2774634,0.157,-0.199,9.967
0.28142688,0.195,-0.199,9.928
0.28539035,0.157,-0.199,9.928
0.28935376,0.157,-0.199,9.967
0.29331753,0.157,-0.275,9.967
0.29728115,0.195,-0.199,9.928
0.30124444,0.157,-0.199,9.967
0.30520838,0.157,-0.199,9.967
0.30917215,0.157,-0.199,9.967
0.31313562,0.157,-0.199,9.967
0.31709912,0.157,-0.199,9.967
0.32106292,0.195,-0.199,9.928
0.32502672,0.195,-0.199,9.967
0.32899034,0.118,-0.199,9.928
0.33295378,0.157,-0.237,9.967
0.33691704,0.118,-0.199,9.967
