TIME,X,Y,Z
0.0,0.08,-0.428,9.814
0.003965923,0.08,-0.467,9.967
0.007932072,0.08,-0.428,9.928
0.01189738,0.08,-0.428,9.967
0.015863148,0.08,-0.467,9.967
0.019828944,0.118,-0.467,9.928
0.023794176,0.118,-0.428,9.928
0.027759792,0.08,-0.428,9.967
0.03172605,0.08,-0.467,9.967
0.03569236,0.08,-0.428,9.967
0.03965859,0.08,-0.467,10.005
0.043624543,0.08,-0.467,9.928
0.047590468,0.08,-0.428,9.967
0.051556543,0.08,-0.428,9.967
0.055522416,0.08,-0.428,9.967
0.059489265,0.08,-0.467,9.928
0.06345603,0.08,-0.467,9.967
0.06742273,0.08,-0.428,9.967
0.07138866,0.08,-0.428,9.928
0.0753552,0.042,-0.428,9.967
0.079321295,0.08,-0.428,9.967
0.08328714,0.08,-0.467,9.967
0.08725284,0.08,-0.467,9.967
0.0912187,0.118,-0.428,9.967
0.0951844,0.08,-0.428,9.967
0.09915002,0.08,-0.428,9.967
0.10311534,0.08,-0.467,10.005
0.10708119,0.08,-0.428,9.967
0.1110475,0.08,-0.428,9.967
0.11501344,0.118,-0.428,9.967
0.11897967,0.042,-0.428,9.967
0.12294514,0.08,-0.467,10.005
0.126911,0.08,-0.428,9.967
0.13087691,0.08,-0.467,9.967
0.13484323,0.118,-0.467,9.967
0.13880916,0.08,-0.428,9.967
0.14277522,0.118,-0.39,9.928
0.14674138,0.08,-0.428,9.967
0.15070745,0.08,-0.428,9.967
0.1546729,0.042,-0.428,9.967
0.15863869,0.042,-0.467,10.005
0.16260388,0.118,-0.467,10.005
0.16656944,0.08,-0.428,10.005
0.17053528,0.08,-0.428,9.967
0.17450105,0.08,-0.467,9.967
0.17846711,0.08,-0.428,9.967
0.1824328,0.08,-0.428,9.928
0.18639828,0.118,-0.428,9.928
0.19036436,0.042,-0.428,10.005
0.1943302,0.08,-0.467,9.967
0.19829613,0.08,-0.428,9.967
0.20226167,0.08,-0.428,9.967
0.20622736,0.08,-0.467,10.005
0.21019328,0.08,-0.467,9.928
0.21415882,0.08,-0.467,9.967
0.21812443,0.08,-0.428,9.967
0.22208951,0.08,-0.428,9.967
0.22605574,0.08,-0.467,10.005
0.2300209,0.08,-0.467,10.005
0.23398612,0.08,-0.428,9.967
0.23795135,0.08,-0.467,9.967
0.24191697,0.08,-0.467,9.967
0.24588236,0.08,-0.467,9.967
0.24984829,0.08,-0.467,9.967
0.2538139,0.08,-0.467,9.967
0.25777975,0.08,-0.428,9.967
0.2617456,0.08,-0.428,9.928
0.26571128,0.08,-0.428,9.967
0.26967734,0.08,-0.428,9.928
0.27364364,0.118,-0.428,9.928
0.27760988,0.08,-0.467,9.928
0.28157663,0.08,-0.428,9.928
0.28554255,0.042,-0.467,10.005
0.2895085,0.118,-0.428,9.967
0.2934743,0.118,-0.428,9.967
0.29744002,0.118,-0.467,10.005
0.30140606,0.08,-0.428,9.967
0.30537197,0.08,-0.428,9.967
0.30933794,0.08,-0.428,9.89
0.31330398,0.118,-0.428,9.967
0.31726977,0.08,-0.428,9.967
0.3212355,0.08,-0.428,9.967
0.3252015,0.08,-0.428,9.928
0.32916725,0.042,-0.467,10.005
0.33313283,0.08,-0.428,10.005
0.3370987,0.08,-0.428,9.967
0.34106407,0.08,-0.428,9.967
0.3450296,0.08,-0.428,9.967
0.3489955,0.08,-0.467,10.005
0.35296178,0.08,-0.467,9.967
0.35692817,0.08,-0.467,9.928
0.36089447,0.08,-0.428,9.967
0.36486003,0.08,-0.428,9.967
0.3688254,0.08,-0.428,9.967
0.37279034,0.042,-0.428,9.928
0.37675536,0.042,-0.467,9.967
0.38072073,0.08,-0.467,9.967
0.3846867,0.042,-0.467,9.967
0.3886525,0.08,-0.428,10.005
0.39261797,0.118,-0.428,10.005
0.39658353,0.118,-0.467,9.967
0.4005486,0.08,-0.467,9.967
0.40451407,0.118,-0.467,9.967
0.40847954,0.042,-0.467,9.967
0.41244483,0.08,-0.467,9.928
0.41641074,0.08,-0.467,9.967
0.42037654,0.08,-0.467,9.967
0.42434236,0.08,-0.467,9.967
0.4283083,0.08,-0.467,9.967
0.43227413,0.08,-0.428,9.967
0.43624014,0.08,-0.428,9.967
0.44020566,0.08,-0.467,9.967
0.44417158,0.08,-0.428,10.005
0.44813728,0.118,-0.467,10.005
0.4521029,0.08,-0.428,9.967
0.4560693,0.042,-0.428,10.043
0.46003577,0.08,-0.428,9.967
0.46400213,0.08,-0.428,9.928
0.4679677,0.08,-0.467,9.928
0.47193393,0.08,-0.467,9.967
0.47590062,0.118,-0.467,9.928
0.47986746,0.08,-0.428,9.928
0.48383343,0.08,-0.428,9.967
0.48779908,0.08,-0.428,10.005
0.49176532,0.118,-0.428,10.043
0.49573126,0.08,-0.428,10.005
0.49969736,0.08,-0.428,10.005
0.50366306,0.118,-0.467,9.928
0.5076287,0.08,-0.428,9.967
0.511595,0.08,-0.428,9.89
0.51556087,0.08,-0.428,9.89
0.5195268,0.08,-0.428,9.89
0.52349275,0.08,-0.467,9.89
0.5274588,0.118,-0.467,9.928
0.53142476,0.042,-0.428,9.967
0.53539014,0.08,-0.467,9.928
0.5393558,0.08,-0.428,10.082
0.54332197,0.08,-0.428,10.005
0.5472878,0.042,-0.428,10.043
0.5512542,0.08,-0.467,9.967
0.555221,0.042,-0.428,10.005
0.5591875,0.08,-0.428,10.043
0.56315386,0.08,-0.467,9.928
0.56712,0.08,-0.428,9.928
0.5710865,0.08,-0.467,9.89
0.5750533,0.08,-0.467,9.967
0.5790193,0.118,-0.467,9.852
0.5829857,0.08,-0.467,9.928
0.5869521,0.08,-0.467,10.043
0.5909189,0.08,-0.467,9.967
0.5948851,0.042,-0.467,10.043
0.5988513,0.08,-0.467,10.043
0.60281694,0.08,-0.428,9.967
0.60678214,0.08,-0.428,9.967
0.610748,0.042,-0.467,9.852
0.6147142,0.08,-0.467,9.89
0.6186806,0.08,-0.467,9.928
0.6226471,0.042,-0.467,9.967
0.62661254,0.08,-0.467,10.005
0.6305787,0.08,-0.467,9.967
0.6345448,0.08,-0.467,10.005
0.6385112,0.118,-0.428,9.928
0.6424768,0.08,-0.467,10.005
0.6464423,0.08,-0.467,10.005
0.650408,0.08,-0.428,10.005
0.654374,0.08,-0.467,9.967
0.6583403,0.08,-0.467,9.89
0.66230655,0.042,-0.467,9.928
0.6662729,0.08,-0.428,9.928
