TIME,X,Y,Z
0.0,0.042,-0.505,10.465
0.003969679,0.08,-0.467,9.814
0.007940372,0.042,-0.505,10.043
0.011910987,0.08,-0.467,9.928
0.01588174,0.08,-0.505,9.928
0.019851817,0.042,-0.467,9.967
0.023822356,0.042,-0.467,9.967
0.0277929,0.08,-0.467,9.967
0.03176367,0.042,-0.505,9.967
0.035733823,0.042,-0.505,9.967
0.03970399,0.042,-0.505,9.928
0.04367361,0.042,-0.505,9.928
0.047643375,0.042,-0.467,9.967
0.051613856,0.042,-0.467,9.967
0.05558432,0.08,-0.543,9.967
0.05955401,0.042,-0.505,9.967
0.06352338,0.003,-0.467,9.967
0.067493685,0.042,-0.467,10.005
0.07146407,0.08,-0.467,9.967
0.07543384,0.08,-0.467,9.967
0.079403386,0.042,-0.467,9.967
0.08337284,0.042,-0.467,9.928
0.087342456,0.08,-0.428,9.928
0.091312535,0.08,-0.467,10.005
0.09528215,0.003,-0.467,9.967
0.099252,0.042,-0.505,9.928
0.10322223,0.042,-0.467,10.005
0.10719223,0.042,-0.505,9.967
0.11116193,0.08,-0.505,10.005
0.11513194,0.042,-0.505,10.005
0.11910209,0.08,-0.505,9.967
0.12307224,0.08,-0.505,9.967
0.1270424,0.08,-0.505,9.928
0.13101225,0.08,-0.505,10.005
0.13498162,0.042,-0.505,10.005
0.13895047,0.08,-0.505,9.928
0.14292054,0.08,-0.505,10.043
0.14688993,0.042,-0.505,9.967
0.1508597,0.08,-0.505,9.967
0.15482977,0.08,-0.505,9.967
0.15879983,0.118,-0.543,9.928
0.16276975,0.08,-0.543,9.967
0.16673943,0.08,-0.543,10.005
0.1707095,0.08,-0.467,9.967
0.17467928,0.08,-0.543,9.928
0.17864935,0.042,-0.505,9.928
0.18261924,0.042,-0.505,9.967
0.18658963,0.08,-0.505,9.967
0.1905601,0.08,-0.467,10.005
0.19452995,0.08,-0.505,9.928
0.19849971,0.042,-0.467,9.928
0.20246948,0.08,-0.467,10.005
0.20643842,0.042,-0.467,10.005
0.21040764,0.042,-0.467,9.967
0.2143774,0.08,-0.467,9.967
0.2183468,0.042,-0.467,10.005
0.22231595,0.042,-0.505,10.005
0.22628556,0.042,-0.505,10.005
0.23025508,0.042,-0.467,9.928
0.23422462,0.042,-0.467,9.967
0.23819378,0.042,-0.467,9.928
0.24216338,0.003,-0.505,9.967
0.24613291,0.08,-0.467,9.928
0.2501027,0.042,-0.467,9.967
0.25407183,0.042,-0.505,10.005
0.2580412,0.042,-0.467,10.005
0.26201046,0.042,-0.467,9.967
0.2659802,0.042,-0.505,9.928
0.26994982,0.042,-0.467,9.967
0.27391958,0.08,-0.467,9.967
0.2778885,0.042,-0.505,9.967
0.2818582,0.042,-0.467,9.967
0.28582782,0.042,-0.467,9.967
0.28979766,0.042,-0.467,9.928
0.29376787,0.042,-0.467,10.005
0.29773834,0.042,-0.467,10.005
0.30170858,0.042,-0.505,9.967
0.30567878,0.042,-0.467,9.967
0.30964887,0.08,-0.505,9.967
0.31361905,0.042,-0.505,9.967
0.31758934,0.08,-0.467,9.967
0.32155877,0.08,-0.505,10.005
0.3255284,0.042,-0.505,9.928
0.3294987,0.08,-0.467,9.967
0.33346912,0.08,-0.505,10.005
0.33743945,0.08,-0.467,9.967
0.34140942,0.042,-0.428,9.928
0.34537908,0.042,-0.467,9.967
0.34934926,0.08,-0.505,10.005
0.35331932,0.08,-0.505,10.005
0.35728925,0.118,-0.505,9.967
0.3612584,0.08,-0.505,9.928
0.3652278,0.08,-0.505,9.967
0.369197,0.08,-0.505,9.928
0.37316677,0.08,-0.543,9.967
0.37713638,0.08,-0.505,9.967
0.38110536,0.118,-0.505,9.967
0.38507447,0.08,-0.467,9.967
0.38904354,0.08,-0.505,9.967
0.39301315,0.042,-0.505,9.967
0.3969823,0.08,-0.467,9.967
0.40095183,0.08,-0.467,9.967
0.40492123,0.042,-0.543,9.967
0.40889052,0.08,-0.505,9.967
0.4128602,0.08,-0.505,9.967
0.4168299,0.042,-0.467,9.967
0.4207994,0.08,-0.505,9.967
0.42476842,0.042,-0.505,10.005
0.4287377,0.08,-0.467,9.928
0.4327075,0.08,-0.505,10.005
0.43667686,0.042,-0.467,10.005
0.44064596,0.042,-0.467,9.967
0.44461527,0.042,-0.505,9.928
0.44858533,0.08,-0.505,9.967
0.45255488,0.042,-0.505,9.967
0.45652404,0.042,-0.467,9.967
0.4604928,0.042,-0.467,9.967
0.46446195,0.042,-0.505,9.967
0.4684316,0.042,-0.505,9.967
0.4724013,0.042,-0.467,9.967
0.4763713,0.042,-0.467,9.967
0.48034143,0.08,-0.467,9.967
0.48431143,0.042,-0.467,9.928
0.48828104,0.08,-0.467,9.928
0.4922506,0.042,-0.505,9.967
0.4962203,0.042,-0.505,9.928
0.50018996,0.08,-0.505,9.967
0.5041595,0.08,-0.505,9.967
0.5081289,0.042,-0.505,9.967
0.51209843,0.042,-0.467,10.005
0.5160682,0.042,-0.467,9.967
0.5200377,0.08,-0.467,10.005
0.52400815,0.042,-0.467,10.005
0.5279785,0.08,-0.505,10.005
0.5319486,0.118,-0.467,9.928
0.53591883,0.08,-0.467,9.967
0.53988945,0.08,-0.467,9.967
0.5438597,0.08,-0.467,9.928
0.5478295,0.042,-0.505,9.967
0.55179924,0.08,-0.467,9.967
0.55576897,0.042,-0.467,9.967
0.5597387,0.08,-0.505,10.005
0.56370914,0.08,-0.467,10.005
0.56767887,0.042,-0.505,9.967
0.571649,0.042,-0.505,9.928
0.5756188,0.08,-0.505,10.005
0.5795886,0.042,-0.505,10.082
0.5835582,0.08,-0.505,10.005
0.58752704,0.042,-0.505,9.852
0.5914962,0.08,-0.543,9.928
0.595465,0.042,-0.467,10.005
0.5994338,0.042,-0.505,10.043
0.6034033,0.08,-0.505,10.12
0.6073733,0.08,-0.505,9.967
0.6113427,0.042,-0.505,10.005
0.61531276,0.08,-0.467,10.005
0.61928266,0.08,-0.505,9.89
0.62325263,0.08,-0.505,10.043
0.6272225,0.118,-0.505,10.043
0.63119245,0.08,-0.543,9.89
0.6351613,0.08,-0.505,9.89
0.63913035,0.118,-0.505,10.082
0.64309967,0.042,-0.543,10.005
0.64706904,0.08,-0.505,9.928
0.65103775,0.08,-0.505,9.967
0.6550069,0.042,-0.543,9.89
0.6589758,0.08,-0.467,9.967
0.6629451,0.08,-0.505,10.005
0.66691464,0.08,-0.505,10.005
0.6708838,0.08,-0.467,10.005
0.67485255,0.042,-0.505,10.005
0.67882216,0.042,-0.467,10.005
0.6827913,0.042,-0.505,9.928
0.6867612,0.08,-0.467,10.005
0.690731,0.08,-0.505,9.928
0.6947004,0.042,-0.505,9.967
0.6986701,0.042,-0.467,10.043
0.70263976,0.042,-0.467,10.005
0.7066087,0.08,-0.467,9.967
0.7105783,0.042,-0.428,10.005
0.71454775,0.08,-0.505,10.043
0.71851724,0.08,-0.543,9.967
0.72248673,0.042,-0.505,9.928
0.7264564,0.042,-0.467,10.043
0.73042625,0.08,-0.505,9.967
0.73439646,0.08,-0.505,10.005
0.73836654,0.118,-0.505,9.928
0.7423371,0.08,-0.505,9.967
0.7463075,0.08,-0.505,9.967
0.7502778,0.042,-0.505,9.967
0.7542483,0.042,-0.505,9.928
0.7582175,0.042,-0.505,9.967
0.76218706,0.08,-0.505,9.928
0.7661565,0.08,-0.505,9.928
0.7701256,0.08,-0.505,10.005
0.77409524,0.042,-0.505,9.89
0.7780647,0.118,-0.505,10.005
0.78203404,0.08,-0.467,10.005
0.7860038,0.042,-0.505,10.043
0.7899734,0.042,-0.467,9.928
0.79394215,0.042,-0.543,10.005
0.7979114,0.08,-0.505,9.967
0.80188113,0.08,-0.505,10.005
0.8058507,0.08,-0.505,10.005
0.8098203,0.08,-0.505,9.928
0.8137902,0.08,-0.543,9.967
0.81775993,0.08,-0.505,10.005
0.8217295,0.08,-0.505,9.967
0.82569945,0.042,-0.467,9.928
0.8296696,0.042,-0.543,10.005
0.8336393,0.042,-0.543,10.043
0.83760947,0.08,-0.543,9.928
0.8415789,0.08,-0.505,9.967
0.84554845,0.042,-0.467,9.928
0.849518,0.08,-0.505,9.967
0.8534873,0.042,-0.505,9.967
0.857457,0.08,-0.467,9.967
0.86142665,0.042,-0.467,9.967
0.8653958,0.08,-0.505,9.967
0.869365,0.08,-0.467,9.967
0.8733345,0.042,-0.505,10.005
0.87730414,0.042,-0.505,9.967
0.8812737,0.08,-0.467,9.967
0.885243,0.042,-0.505,9.967
0.8892126,0.08,-0.505,9.928
0.8931826,0.042,-0.505,10.005
0.8971522,0.042,-0.467,9.928
0.90112174,0.042,-0.467,10.005
0.9050911,0.08,-0.467,9.967
0.90906066,0.08,-0.467,9.967
0.91303056,0.042,-0.467,9.89
0.91700053,0.08,-0.467,10.005
0.92096996,0.003,-0.467,10.043
0.92493916,0.042,-0.467,9.89
0.92890877,0.042,-0.467,9.928
0.932878,0.042,-0.428,9.928
0.93684775,0.08,-0.467,9.928
0.94081724,0.042,-0.505,10.082
0.9447871,0.08,-0.505,9.928
0.94875664,0.042,-0.467,9.89
0.952726,0.042,-0.467,10.005
0.9566959,0.042,-0.505,10.005
0.9606656,0.08,-0.505,9.967
