TIME,X,Y,Z
0.0,0.08,-0.505,10.465
0.003968846,0.08,-0.467,9.775
0.007937,0.08,-0.428,9.967
0.011905602,0.08,-0.467,9.967
0.015874064,0.08,-0.467,9.967
0.019842757,0.08,-0.505,9.967
0.023811577,0.08,-0.467,10.005
0.027780114,0.08,-0.467,9.967
0.0317485,0.08,-0.428,10.005
0.035717186,0.08,-0.428,9.967
0.039686102,0.08,-0.467,9.928
0.04365472,0.08,-0.467,10.005
0.047623105,0.08,-0.467,9.928
0.051591255,0.042,-0.467,9.967
0.05555964,0.118,-0.428,9.967
0.059527814,0.08,-0.428,9.967
0.06349666,0.08,-0.467,10.005
0.06746481,0.08,-0.428,9.967
0.07143352,0.118,-0.467,9.967
0.07540213,0.08,-0.428,9.967
0.0793706,0.08,-0.505,9.928
0.08333868,0.08,-0.467,9.967
0.08730684,0.08,-0.467,10.005
0.0912753,0.08,-0.467,9.928
0.09524422,0.08,-0.428,9.928
0.0992133,0.042,-0.467,9.928
0.1031823,0.08,-0.467,9.967
0.10715102,0.08,-0.428,10.005
0.111119635,0.042,-0.428,9.967
0.11508794,0.08,-0.467,9.967
0.11905674,0.08,-0.467,9.967
0.12302504,0.042,-0.505,10.005
0.12699296,0.08,-0.467,9.967
0.13096075,0.08,-0.467,9.967
0.13492921,0.08,-0.428,9.967
0.13889743,0.08,-0.467,9.928
0.14286496,0.08,-0.467,10.005
0.14683281,0.08,-0.428,9.967
0.1508009,0.118,-0.428,9.967
0.1547692,0.08,-0.505,9.967
0.1587369,0.08,-0.467,9.967
0.1627049,0.08,-0.467,10.005
0.16667345,0.08,-0.467,9.967
0.17064223,0.08,-0.428,9.967
0.17461069,0.042,-0.428,9.928
0.17857896,0.08,-0.428,9.967
0.18254696,0.08,-0.467,10.005
0.18651518,0.042,-0.467,10.005
0.19048357,0.08,-0.467,9.967
0.19445181,0.08,-0.505,9.967
0.19841996,0.118,-0.428,9.967
0.20238811,0.118,-0.428,9.967
0.20635657,0.08,-0.467,9.967
0.21032488,0.118,-0.467,9.928
0.21429336,0.118,-0.428,9.967
0.21826167,0.042,-0.467,10.005
0.2222299,0.08,-0.467,9.928
0.22619784,0.08,-0.467,9.928
0.23016576,0.08,-0.467,9.928
0.2341336,0.08,-0.467,9.967
0.23810212,0.08,-0.467,10.005
0.24207029,0.08,-0.467,9.928
0.24603821,0.08,-0.428,9.967
0.2500062,0.118,-0.428,9.967
0.25397477,0.08,-0.467,10.005
0.257943,0.08,-0.467,10.005
0.2619112,0.08,-0.428,9.967
0.26587877,0.118,-0.428,9.928
0.26984724,0.118,-0.428,9.967
0.2738156,0.08,-0.467,9.967
0.27778405,0.08,-0.467,10.005
0.28175184,0.08,-0.428,9.967
0.28572038,0.118,-0.467,9.967
0.28968883,0.08,-0.428,9.967
0.29365727,0.08,-0.428,10.005
0.2976256,0.08,-0.467,9.967
0.30159405,0.08,-0.467,10.005
0.30556175,0.118,-0.467,9.967
0.30953014,0.118,-0.467,9.928
0.31349906,0.08,-0.505,9.928
0.31746778,0.118,-0.467,9.928
0.3214357,0.08,-0.505,9.967
0.325404,0.118,-0.428,9.928
0.32937184,0.08,-0.467,9.967
0.33333993,0.08,-0.428,9.928
0.3373074,0.08,-0.467,10.005
0.34127495,0.08,-0.428,10.043
0.34524247,0.08,-0.428,9.967
0.34920976,0.08,-0.467,9.967
0.35317722,0.042,-0.467,9.967
0.3571447,0.08,-0.467,9.967
0.3611126,0.08,-0.467,9.967
0.36508054,0.042,-0.467,10.005
0.36904815,0.08,-0.428,9.967
0.37301606,0.042,-0.467,9.967
0.37698376,0.08,-0.467,9.967
0.38095197,0.08,-0.467,9.928
0.38492042,0.042,-0.467,9.967
0.38888836,0.08,-0.467,9.967
0.39285657,0.118,-0.428,9.967
0.39682463,0.08,-0.428,9.967
0.4007925,0.08,-0.505,9.967
0.40475997,0.118,-0.467,9.967
0.40872797,0.08,-0.467,9.967
0.41269636,0.08,-0.428,9.967
0.41666484,0.08,-0.467,9.928
0.42063335,0.118,-0.428,10.005
0.42460066,0.08,-0.428,9.967
0.42856893,0.08,-0.428,10.005
0.4325376,0.08,-0.428,10.005
0.4365061,0.08,-0.467,10.005
0.4404746,0.08,-0.467,9.967
0.44444254,0.08,-0.428,9.967
0.44841054,0.118,-0.467,9.967
0.45237836,0.08,-0.467,9.928
0.45634636,0.08,-0.428,9.967
0.4603149,0.08,-0.428,9.928
0.4642828,0.08,-0.467,9.967
0.46825165,0.042,-0.428,9.928
0.47222003,0.08,-0.467,9.967
0.4761885,0.118,-0.428,9.967
0.48015705,0.08,-0.467,9.967
0.48412535,0.08,-0.467,9.967
0.48809335,0.08,-0.428,9.967
0.49206066,0.08,-0.467,10.005
0.49602818,0.042,-0.428,9.967
0.49999604,0.08,-0.428,9.967
0.5039637,0.08,-0.467,9.967
0.50793135,0.08,-0.467,9.967
0.51189834,0.08,-0.467,10.005
0.5158653,0.08,-0.467,10.005
0.51983213,0.042,-0.467,10.005
0.5237995,0.08,-0.467,9.967
0.52776694,0.08,-0.467,9.928
0.5317344,0.08,-0.467,9.928
0.53570193,0.118,-0.428,9.967
0.53966945,0.08,-0.467,10.005
0.54363686,0.08,-0.467,10.005
0.54760396,0.042,-0.467,9.928
0.5515712,0.08,-0.467,9.967
0.555539,0.08,-0.467,9.928
0.55950654,0.08,-0.428,9.928
0.56347394,0.118,-0.428,9.89
0.56744164,0.08,-0.467,9.89
0.5714097,0.08,-0.505,9.928
0.5753774,0.08,-0.467,9.967
0.5793447,0.08,-0.467,9.928
0.58331215,0.08,-0.505,9.967
0.5872797,0.08,-0.467,9.967
0.59124726,0.08,-0.428,9.967
0.59521455,0.08,-0.428,9.967
0.59918296,0.08,-0.467,9.967
0.603151,0.08,-0.428,9.928
0.6071191,0.042,-0.467,10.005
0.6110869,0.08,-0.467,10.005
0.61505455,0.08,-0.428,9.967
0.61902225,0.08,-0.428,9.928
0.6229904,0.042,-0.428,9.928
0.6269581,0.042,-0.467,9.928
0.6309266,0.08,-0.467,10.005
0.63489485,0.08,-0.467,10.005
0.63886344,0.08,-0.467,9.928
0.6428319,0.08,-0.428,9.928
0.6467994,0.08,-0.467,9.928
0.6507671,0.08,-0.428,9.967
0.654735,0.08,-0.467,9.967
0.65870315,0.042,-0.428,10.005
0.6626715,0.08,-0.428,10.005
0.66663945,0.08,-0.428,9.967
0.67060715,0.08,-0.467,10.005
0.674575,0.118,-0.428,9.967
0.67854244,0.08,-0.467,10.005
0.6825101,0.042,-0.467,10.005
0.686478,0.08,-0.505,10.043
0.6904461,0.08,-0.467,9.928
0.6944134,0.08,-0.428,9.89
0.6983808,0.08,-0.467,10.005
0.7023492,0.118,-0.467,10.005
0.706317,0.08,-0.467,9.967
0.7102848,0.08,-0.467,9.967
0.71425235,0.118,-0.467,10.005
0.71822006,0.08,-0.428,9.967
0.722188,0.08,-0.467,10.005
0.7261565,0.08,-0.467,9.967
0.7301244,0.08,-0.467,9.967
0.7340921,0.08,-0.428,9.967
0.7380598,0.08,-0.467,9.928
0.7420275,0.08,-0.467,9.928
0.7459958,0.08,-0.428,9.928
0.74996305,0.118,-0.428,9.928
0.7539304,0.08,-0.467,9.928
0.757898,0.08,-0.505,9.928
0.7618655,0.042,-0.428,9.928
0.76583326,0.08,-0.467,9.967
0.7698009,0.118,-0.428,9.967
0.77376914,0.08,-0.428,9.967
0.7777369,0.08,-0.467,9.928
0.7817046,0.08,-0.467,9.928
0.7856723,0.08,-0.467,9.928
0.78964,0.08,-0.467,9.928
0.79360723,0.08,-0.428,9.967
0.7975747,0.08,-0.467,9.967
0.80154216,0.042,-0.467,9.967
0.8055096,0.08,-0.467,9.967
0.80947757,0.08,-0.467,9.967
0.81344527,0.08,-0.467,9.967
0.8174128,0.08,-0.467,9.967
0.8213799,0.08,-0.467,9.928
0.82534677,0.08,-0.467,9.928
0.82931376,0.08,-0.505,9.967
0.8332812,0.118,-0.467,9.928
0.8372484,0.08,-0.428,9.967
0.8412165,0.042,-0.467,9.928
0.84518445,0.08,-0.467,9.967
0.8491521,0.08,-0.467,9.967
0.8531192,0.08,-0.467,9.967
0.85708594,0.118,-0.467,9.967
0.86105335,0.08,-0.467,9.967
0.86502075,0.042,-0.467,9.967
0.8689883,0.08,-0.467,9.967
0.8729562,0.08,-0.467,9.928
0.87692475,0.08,-0.467,9.928
0.88089275,0.08,-0.467,9.967
0.88486075,0.118,-0.428,9.928
0.88882846,0.08,-0.467,10.005
0.89279675,0.08,-0.428,10.005
0.89676505,0.08,-0.467,9.967
0.9007327,0.08,-0.428,9.967
0.90470016,0.118,-0.467,9.967
0.9086685,0.118,-0.467,9.967
0.9126365,0.08,-0.428,9.967
0.9166044,0.08,-0.467,9.967
0.92057234,0.042,-0.467,9.967
0.9245404,0.08,-0.467,9.967
0.9285082,0.08,-0.428,9.967
0.9324758,0.118,-0.467,9.928
0.9364434,0.08,-0.428,9.967
0.940411,0.08,-0.467,9.967
0.94437885,0.08,-0.467,9.967
0.9483466,0.08,-0.467,9.967
0.95231426,0.08,-0.428,9.967
0.956282,0.08,-0.428,9.967
0.96024966,0.08,-0.428,9.967
0.9642173,0.08,-0.505,10.005
0.96818495,0.08,-0.428,9.967
0.9721527,0.08,-0.467,9.967
0.9761196,0.08,-0.428,9.967
0.9800867,0.08,-0.467,9.967
0.98405415,0.08,-0.428,10.005
0.98802143,0.118,-0.428,9.928
0.991989,0.08,-0.467,9.967
0.9959564,0.118,-0.467,9.967
0.9999236,0.08,-0.428,9.967
1.0038909,0.042,-0.428,9.967
1.007858,0.08,-0.467,9.967
1.0118252,0.08,-0.428,9.967
1.0157925,0.08,-0.467,9.967
1.01976,0.08,-0.428,9.967
1.0237279,0.08,-0.428,9.967
1.0276958,0.08,-0.467,9.967
1.0316635,0.08,-0.467,9.967
1.0356313,0.08,-0.467,9.928
1.0395992,0.08,-0.428,9.928
1.0435672,0.08,-0.467,9.967
1.0475347,0.08,-0.428,9.967
1.051502,0.08,-0.428,10.005
1.0554695,0.08,-0.467,9.967
1.0594368,0.118,-0.467,9.967
1.0634037,0.08,-0.467,10.005
1.0673709,0.08,-0.467,9.967
1.0713382,0.042,-0.467,10.005
1.075306,0.08,-0.428,9.928
1.079274,0.042,-0.467,9.967
1.083242,0.08,-0.428,9.967
1.0872099,0.08,-0.467,9.967
1.0911775,0.042,-0.428,9.967
1.0951457,0.08,-0.467,9.967
1.0991137,0.08,-0.467,9.928
1.1030817,0.08,-0.39,9.967
1.1070498,0.08,-0.467,9.928
1.1110175,0.042,-0.467,9.928
1.1149849,0.042,-0.467,9.967
1.1189518,0.118,-0.467,9.967
1.1229193,0.08,-0.428,9.928
1.1268871,0.08,-0.428,9.928
1.1308545,0.08,-0.467,10.005
