TIME,X,Y,Z
0.0,0.08,-0.505,9.967
0.003967847,0.08,-0.467,9.967
0.007935531,0.042,-0.467,10.005
0.0119033,0.042,-0.467,9.967
0.015870761,0.042,-0.467,9.967
0.01983821,0.042,-0.467,10.005
0.02380598,0.042,-0.505,9.928
0.027773902,0.042,-0.467,9.928
0.03174244,0.042,-0.467,9.967
0.03571036,0.08,-0.467,9.928
0.03967836,0.042,-0.467,9.967
0.043646984,0.08,-0.467,9.967
0.047614984,0.08,-0.467,9.967
0.051583752,0.08,-0.467,9.967
0.055552267,0.08,-0.467,9.967
0.05952119,0.08,-0.505,9.928
0.06349027,0.08,-0.467,9.967
0.067458645,0.08,-0.505,9.967
0.07142696,0.08,-0.505,9.967
0.07539558,0.08,-0.467,9.967
0.07936348,0.042,-0.467,9.928
0.083331406,0.08,-0.467,9.928
0.08729971,0.08,-0.467,9.967
0.09126794,0.003,-0.505,9.967
0.095235795,0.042,-0.505,9.928
0.09920341,0.08,-0.467,10.005
0.103171416,0.08,-0.428,9.967
0.107140034,0.08,-0.467,9.928
0.11110858,0.08,-0.428,9.967
0.115076795,0.08,-0.428,10.005
0.11904486,0.08,-0.467,9.967
0.123013094,0.08,-0.467,9.967
0.12698093,0.118,-0.467,9.967
0.13094887,0.08,-0.467,9.928
0.134917,0.08,-0.505,9.967
0.13888519,0.08,-0.467,9.967
0.14285341,0.042,-0.467,9.967
0.14682087,0.042,-0.467,9.967
0.15078843,0.042,-0.467,9.967
0.15475643,0.042,-0.467,10.005
0.1587245,0.042,-0.505,9.967
0.16269286,0.042,-0.467,9.967
0.16666125,0.042,-0.467,9.967
0.17062987,0.08,-0.467,9.967
0.17459849,0.08,-0.428,9.967
0.17856725,0.118,-0.467,9.967
0.18253604,0.118,-0.467,9.967
0.18650435,0.08,-0.467,9.967
0.1904729,0.08,-0.467,9.967
0.1944412,0.08,-0.467,9.967
0.1984095,0.08,-0.467,9.967
0.20237766,0.118,-0.467,9.967
0.20634566,0.08,-0.505,9.967
0.21031412,0.08,-0.467,9.967
0.21428235,0.042,-0.467,9.967
