TIME,X,Y,Z
0.0,0.08,-0.314,9.699
0.003953769,0.08,-0.352,9.928
0.007907154,0.042,-0.352,9.89
0.011860989,0.042,-0.352,9.928
0.015814835,0.042,-0.314,9.928
0.019768836,0.042,-0.352,9.89
0.023722908,0.042,-0.352,9.928
0.027677676,0.003,-0.352,9.928
0.03163206,0.003,-0.352,9.967
0.035586275,0.042,-0.352,9.89
0.039540276,0.042,-0.352,9.967
0.043494504,0.042,-0.314,9.928
0.047449213,0.08,-0.314,9.967
0.051404443,0.042,-0.352,9.967
0.055358984,0.042,-0.314,9.928
0.059313305,0.042,-0.352,9.928
0.06326723,0.042,-0.352,9.89
0.06722077,0.042,-0.352,9.967
0.07117506,0.042,-0.352,9.928
0.07512945,0.042,-0.314,9.928
0.07908352,0.042,-0.352,9.928
0.08303776,0.042,-0.352,9.967
0.08699192,0.08,-0.352,9.89
0.09094561,0.08,-0.352,9.928
0.094899476,0.08,-0.314,9.928
0.09885355,0.08,-0.352,9.928
0.10280832,0.042,-0.314,9.928
0.10676296,0.042,-0.352,9.928
0.110717505,0.042,-0.314,9.928
0.11467181,0.042,-0.314,9.928
0.11862628,0.042,-0.352,9.928
0.122580595,0.042,-0.352,9.89
0.12653467,0.042,-0.314,9.928
0.13048959,0.042,-0.314,9.89
0.13444328,0.003,-0.352,9.89
0.13839783,0.042,-0.314,9.928
0.14235166,0.08,-0.352,9.928
0.14630574,0.042,-0.39,9.928
0.15025958,0.042,-0.352,9.928
0.1542133,0.042,-0.314,9.928
0.15816738,0.042,-0.352,9.928
0.16212192,0.042,-0.314,9.89
0.16607648,0.042,-0.314,9.967
0.17003118,0.08,-0.314,9.928
0.17398524,0.08,-0.352,9.928
0.17793909,0.08,-0.352,9.89
0.18189317,0.08,-0.352,9.89
0.18584733,0.042,-0.314,9.928
0.18980135,0.08,-0.352,9.928
0.19375542,0.042,-0.314,9.928
0.19770943,0.042,-0.352,9.89
0.20166376,0.042,-0.352,9.928
0.2056179,0.042,-0.352,9.928
0.20957184,0.08,-0.352,9.928
0.21352568,0.08,-0.314,9.928
0.21747977,0.042,-0.314,9.928
0.22143461,0.042,-0.352,9.89
0.22538863,0.042,-0.352,9.89
0.22934309,0.042,-0.352,9.928
0.23329747,0.042,-0.314,9.89
0.23725232,0.042,-0.352,9.89
0.2412067,0.042,-0.314,9.928
0.2451614,0.08,-0.352,9.928
