TIME,X,Y,Z
0.0,0.118,-0.467,9.967
0.003970154,0.08,-0.428,9.928
0.007940308,0.042,-0.428,9.967
0.011910468,0.118,-0.467,9.928
0.015880467,0.08,-0.505,9.967
0.019850006,0.08,-0.428,9.928
0.0238197,0.042,-0.428,10.005
0.027789855,0.042,-0.505,9.967
0.031759623,0.08,-0.467,9.967
0.03572978,0.08,-0.428,9.967
0.03969978,0.08,-0.467,9.967
0.043669473,0.08,-0.505,10.005
0.04763932,0.118,-0.467,9.967
0.05160924,0.118,-0.505,9.967
0.055579398,0.118,-0.428,9.967
0.059550025,0.118,-0.467,9.967
0.06352018,0.08,-0.428,9.967
0.06749064,0.08,-0.467,10.005
0.07146133,0.08,-0.467,9.967
0.07543164,0.08,-0.467,9.928
0.07940233,0.042,-0.467,10.005
0.083372794,0.08,-0.467,10.005
0.08734271,0.08,-0.467,10.005
0.09131341,0.08,-0.467,9.967
0.09528392,0.042,-0.428,9.928
0.09925384,0.08,-0.467,10.005
0.10322392,0.08,-0.428,9.967
0.10719499,0.08,-0.467,10.005
0.11116515,0.042,-0.467,9.967
0.11513584,0.08,-0.467,9.967
0.11910693,0.042,-0.467,9.967
0.12307701,0.042,-0.467,10.005
0.12704632,0.08,-0.467,9.967
0.1310158,0.042,-0.428,9.967
0.13498557,0.042,-0.428,9.967
0.13895541,0.042,-0.467,10.005
0.1429251,0.08,-0.467,9.967
0.14689496,0.08,-0.467,10.005
0.15086387,0.042,-0.428,9.967
0.15483335,0.08,-0.467,10.005
0.1588028,0.08,-0.467,9.967
0.16277288,0.118,-0.467,9.928
0.1667429,0.08,-0.428,9.967
0.1707127,0.08,-0.467,9.967
0.1746823,0.08,-0.428,9.967
0.17865184,0.118,-0.467,9.967
0.1826217,0.118,-0.467,9.967
0.18659107,0.118,-0.467,10.005
0.19056047,0.08,-0.467,9.967
0.19452956,0.08,-0.467,9.967
0.19849987,0.042,-0.467,10.005
0.20246917,0.08,-0.467,9.967
0.20643817,0.042,-0.467,10.005
0.21040772,0.08,-0.428,9.967
0.21437716,0.042,-0.467,9.928
0.21834679,0.042,-0.428,9.967
0.2223161,0.042,-0.428,9.928
0.22628532,0.08,-0.467,10.005
0.23025464,0.08,-0.428,9.967
0.23422387,0.042,-0.428,9.967
0.23819356,0.08,-0.428,10.005
0.24216287,0.08,-0.467,9.967
0.24613202,0.08,-0.467,9.928
0.25010172,0.118,-0.467,9.967
0.2540721,0.118,-0.467,10.005
0.2580421,0.08,-0.467,9.967
0.26201257,0.118,-0.467,9.928
0.2659833,0.118,-0.467,9.928
0.26995325,0.08,-0.467,10.005
0.27392265,0.08,-0.505,9.967
0.27789164,0.08,-0.505,9.928
0.2818618,0.042,-0.428,9.928
0.28583202,0.08,-0.467,9.967
0.28980166,0.08,-0.505,10.005
0.2937712,0.08,-0.467,10.005
0.297741,0.08,-0.467,9.928
0.3017112,0.118,-0.467,9.967
0.3056811,0.08,-0.467,9.967
0.30965105,0.118,-0.467,9.967
0.31362057,0.118,-0.467,9.967
0.3175905,0.08,-0.467,10.005
