TIME,X,Y,Z
0.0,0.08,-0.39,9.775
0.00396877,0.118,-0.428,9.928
0.007937,0.08,-0.467,10.005
0.011905545,0.118,-0.428,9.967
0.015874082,0.118,-0.467,9.967
0.019842776,0.118,-0.428,10.005
0.023811009,0.08,-0.39,9.928
0.0277797,0.118,-0.467,9.967
0.0317477,0.08,-0.467,9.967
0.03571514,0.08,-0.428,9.928
0.03968291,0.08,-0.428,9.967
0.043650985,0.042,-0.428,9.928
0.04761953,0.08,-0.428,9.928
0.051587604,0.08,-0.428,9.967
0.055555373,0.118,-0.467,9.967
0.059524,0.118,-0.428,9.967
0.063491695,0.08,-0.428,9.928
0.06745969,0.118,-0.428,9.967
0.07142757,0.08,-0.428,10.005
0.075395726,0.08,-0.428,9.967
0.07936418,0.08,-0.467,9.967
0.08333321,0.08,-0.428,9.967
0.08730159,0.08,-0.428,9.928
0.09126959,0.08,-0.428,9.967
0.095237546,0.042,-0.39,10.043
0.09920601,0.042,-0.428,9.967
0.103174925,0.042,-0.428,10.043
0.10714372,0.08,-0.467,9.928
0.11111241,0.118,-0.428,9.967
0.1150811,0.08,-0.428,10.005
0.119049504,0.08,-0.428,9.928
0.123017885,0.08,-0.428,9.928
0.12698612,0.08,-0.467,9.967
0.130955,0.08,-0.428,9.967
0.13492353,0.08,-0.428,9.967
0.13889223,0.118,-0.467,9.967
0.14286025,0.118,-0.428,9.967
0.14682779,0.08,-0.428,9.967
0.15079601,0.118,-0.428,9.967
0.15476437,0.08,-0.467,9.967
0.15873276,0.08,-0.467,9.967
0.16270167,0.08,-0.428,10.005
0.16667092,0.042,-0.428,10.005
0.17063968,0.08,-0.428,9.967
0.17460847,0.08,-0.428,9.967
0.17857699,0.08,-0.467,10.005
0.18254545,0.08,-0.467,9.967
0.18651392,0.08,-0.428,9.928
0.19048215,0.08,-0.428,9.967
0.19445062,0.08,-0.467,9.967
0.19841884,0.08,-0.428,9.928
0.20238669,0.08,-0.467,9.967
0.20635515,0.08,-0.467,9.967
0.2103234,0.08,-0.428,9.928
0.21429184,0.08,-0.467,9.967
0.21826054,0.08,-0.467,9.89
0.22222877,0.08,-0.428,9.928
0.22619724,0.08,-0.428,9.928
0.23016569,0.042,-0.428,9.967
0.23413385,0.118,-0.428,10.043
0.23810218,0.08,-0.467,10.12
0.24207063,0.042,-0.505,10.043
0.24603878,0.08,-0.467,9.967
0.25000724,0.08,-0.467,9.967
0.25397554,0.118,-0.467,10.005
0.25794354,0.08,-0.467,9.928
0.26191175,0.042,-0.467,9.967
0.26588,0.08,-0.467,9.967
0.26984838,0.08,-0.467,9.967
0.27381715,0.042,-0.428,9.928
0.27778554,0.118,-0.428,9.89
0.28175354,0.08,-0.428,9.928
0.2857215,0.08,-0.428,9.928
0.28968927,0.08,-0.467,9.928
0.2936576,0.042,-0.467,9.967
0.2976259,0.118,-0.428,10.005
0.30159503,0.08,-0.428,10.043
0.30556414,0.042,-0.467,9.928
0.3095334,0.08,-0.428,9.967
0.31350303,0.118,-0.428,10.043
0.31747213,0.08,-0.467,9.967
0.32144105,0.08,-0.39,9.967
0.32540998,0.08,-0.39,9.967
0.32937896,0.08,-0.428,9.967
0.33334813,0.08,-0.428,9.928
0.33731705,0.042,-0.428,9.967
0.34128594,0.08,-0.467,9.928
0.345255,0.08,-0.467,9.928
0.34922364,0.08,-0.467,9.928
0.3531929,0.08,-0.467,9.967
0.35716265,0.08,-0.467,9.967
0.36113143,0.08,-0.428,9.89
0.36509997,0.08,-0.467,9.967
0.36906862,0.08,-0.467,10.005
0.37303737,0.08,-0.467,9.967
0.3770063,0.08,-0.428,9.967
0.38097513,0.118,-0.428,9.967
0.38494337,0.08,-0.428,9.967
0.38891137,0.08,-0.467,9.967
0.39287913,0.118,-0.467,9.967
0.39684674,0.08,-0.467,9.928
0.400815,0.08,-0.467,9.967
0.40478393,0.042,-0.467,9.967
0.40875265,0.08,-0.428,9.928
0.4127207,0.08,-0.428,9.967
0.41668874,0.08,-0.428,9.967
0.42065728,0.042,-0.467,9.967
0.42462543,0.08,-0.428,9.967
0.42859405,0.08,-0.428,9.967
0.43256214,0.08,-0.428,10.043
0.4365302,0.08,-0.39,9.967
0.44049883,0.118,-0.428,10.005
0.44446692,0.08,-0.505,9.928
0.4484346,0.118,-0.428,9.928
0.45240352,0.118,-0.39,9.89
0.45637262,0.08,-0.428,10.005
0.46034187,0.042,-0.428,9.928
0.46431085,0.08,-0.428,10.005
0.46827924,0.08,-0.428,9.967
0.47224736,0.08,-0.467,9.967
0.47621572,0.08,-0.467,9.967
0.48018456,0.118,-0.467,9.928
0.48415348,0.08,-0.428,9.967
0.48812157,0.118,-0.467,9.928
0.49208963,0.08,-0.505,9.928
0.49605834,0.118,-0.428,9.928
0.50002664,0.08,-0.467,9.967
0.5039953,0.08,-0.428,9.967
0.5079644,0.08,-0.428,10.005
0.51193315,0.118,-0.428,10.005
0.5159017,0.08,-0.467,9.967
0.51987034,0.08,-0.428,10.005
0.5238393,0.08,-0.467,9.928
0.5278078,0.08,-0.428,9.928
0.53177625,0.042,-0.467,9.928
0.5357449,0.08,-0.428,10.005
0.5397133,0.08,-0.467,10.005
0.5436819,0.118,-0.428,10.005
0.54765016,0.08,-0.467,10.005
0.55161804,0.08,-0.467,9.967
0.5555863,0.08,-0.467,9.967
0.55955434,0.08,-0.428,9.967
0.5635226,0.042,-0.428,9.928
0.5674908,0.08,-0.543,9.967
0.5714591,0.08,-0.428,9.967
0.5754277,0.08,-0.467,9.967
0.5793971,0.118,-0.428,9.967
0.5833661,0.118,-0.428,10.005
0.5873348,0.08,-0.428,9.967
0.59130406,0.08,-0.428,9.967
0.59527266,0.08,-0.428,10.005
0.5992415,0.08,-0.428,9.967
0.6032102,0.118,-0.428,9.967
0.6071785,0.08,-0.467,10.005
0.61114717,0.08,-0.428,10.005
0.6151162,0.08,-0.428,10.005
0.61908513,0.08,-0.428,9.928
0.6230544,0.08,-0.428,9.967
0.6270229,0.042,-0.467,9.928
0.6309914,0.08,-0.467,9.967
0.6349597,0.08,-0.467,10.005
0.6389274,0.08,-0.467,9.928
0.6428951,0.08,-0.467,9.967
0.64686286,0.118,-0.428,9.967
0.6508313,0.08,-0.467,9.928
0.6548002,0.118,-0.428,10.005
0.6587692,0.08,-0.467,9.967
0.6627385,0.08,-0.39,9.967
0.6667071,0.042,-0.428,9.967
0.67067564,0.042,-0.428,10.005
0.67464375,0.08,-0.428,9.967
0.6786122,0.042,-0.428,9.967
0.6825806,0.08,-0.467,9.928
0.6865491,0.08,-0.428,9.967
0.69051754,0.08,-0.467,9.928
0.6944857,0.08,-0.428,9.967
0.6984541,0.08,-0.428,9.967
0.7024229,0.08,-0.467,9.967
0.706392,0.08,-0.39,9.967
0.7103607,0.08,-0.428,9.928
0.7143291,0.08,-0.428,10.005
0.71829754,0.118,-0.428,9.967
0.7222662,0.118,-0.428,9.967
0.7262351,0.118,-0.467,9.967
0.73020375,0.08,-0.428,9.967
0.7341725,0.08,-0.39,10.005
0.7381408,0.08,-0.428,9.967
0.74210936,0.08,-0.467,10.005
