TIME,X,Y,Z
0.0,0.003,-0.505,9.354
0.003972846,0.003,-0.543,10.043
0.007945548,0.042,-0.505,9.928
0.011918317,0.042,-0.582,9.967
0.01589178,0.003,-0.582,9.967
0.019864654,0.003,-0.543,9.967
0.023837885,0.003,-0.543,9.928
0.027810732,0.003,-0.582,9.928
0.03178266,0.003,-0.543,9.928
0.03575535,0.003,-0.582,9.967
0.039728194,0.003,-0.543,9.928
0.043700736,0.042,-0.543,9.967
0.047673196,0.042,-0.543,9.967
0.05164558,0.08,-0.582,9.928
0.055617716,0.003,-0.582,9.967
0.059591025,0.042,-0.543,9.967
0.06356341,0.042,-0.543,9.967
0.06753587,0.042,-0.543,10.005
0.07150841,0.042,-0.543,9.967
0.07548049,0.042,-0.543,9.928
0.07945388,0.003,-0.543,10.005
0.08342673,0.003,-0.582,9.967
0.08739842,0.003,-0.543,9.967
0.09137066,0.003,-0.582,9.967
0.095342726,0.003,-0.543,9.928
0.099315114,0.003,-0.543,9.967
0.10328709,0.042,-0.543,9.967
0.107258715,0.003,-0.543,9.967
0.11123048,0.003,-0.543,9.967
0.11520243,0.003,-0.543,9.967
0.11917427,0.003,-0.543,9.928
0.12314642,0.042,-0.543,9.967
0.12711905,0.042,-0.543,9.967
0.13109182,0.003,-0.582,9.967
0.1350652,0.003,-0.543,9.967
0.13903837,0.042,-0.543,9.967
0.1430112,0.042,-0.543,9.967
0.1469839,0.003,-0.582,9.967
0.15095684,0.003,-0.543,9.967
0.15492907,0.003,-0.543,9.928
0.15890099,0.003,-0.543,9.928
0.16287377,0.003,-0.582,9.967
0.16684654,0.042,-0.582,9.967
0.1708197,0.003,-0.543,9.967
0.17479311,0.003,-0.543,9.967
0.17876588,0.042,-0.543,10.005
0.18273917,0.003,-0.505,10.005
0.18671212,0.042,-0.543,9.967
0.19068526,0.042,-0.505,9.967
0.19465819,0.003,-0.543,9.967
0.19863118,0.042,-0.543,9.928
0.20260434,0.042,-0.582,10.005
0.2065771,0.003,-0.543,10.005
0.21054949,0.042,-0.543,9.928
0.21452148,0.003,-0.582,9.967
0.21849388,0.003,-0.543,9.967
0.22246666,0.042,-0.543,9.967
0.22643895,0.003,-0.543,10.005
0.23041159,0.042,-0.543,9.967
0.23438382,0.003,-0.543,9.967
0.23835605,0.003,-0.543,10.005
0.24232851,0.042,-0.543,10.005
0.24630162,0.042,-0.582,9.967
0.2502742,0.042,-0.543,9.967
0.25424686,0.003,-0.543,9.967
0.25821954,0.042,-0.543,10.005
0.26219276,0.042,-0.543,9.967
0.26616538,0.042,-0.582,9.967
0.27013823,0.042,-0.582,9.967
0.27411145,0.042,-0.543,9.967
0.27808422,0.042,-0.543,9.967
0.28205737,0.042,-0.543,9.928
0.28602993,0.042,-0.582,9.967
0.29000318,0.003,-0.543,9.928
0.2939761,0.042,-0.582,10.005
0.2979492,0.042,-0.543,9.967
0.3019224,0.042,-0.543,9.928
0.30589548,0.003,-0.543,9.967
0.30986825,0.042,-0.543,9.967
0.31384087,0.003,-0.543,9.928
0.31781286,0.003,-0.543,9.967
0.32178447,0.003,-0.543,9.967
0.32575694,0.003,-0.582,9.967
0.32972935,0.042,-0.543,9.928
0.33370125,0.042,-0.543,9.967
0.33767396,0.003,-0.582,9.967
0.34164646,0.042,-0.543,9.967
0.34561932,0.003,-0.582,9.967
0.34959233,0.042,-0.582,9.928
0.35356548,0.042,-0.582,9.89
0.35753807,0.042,-0.582,9.928
0.36151057,0.042,-0.543,9.967
0.36548313,0.003,-0.582,9.967
0.36945623,0.003,-0.543,9.967
0.37342894,0.003,-0.505,9.967
0.37740138,0.003,-0.543,10.005
0.3813739,0.042,-0.543,9.967
0.38534656,0.042,-0.582,9.967
0.3893194,0.042,-0.543,9.967
0.3932923,0.042,-0.582,9.928
0.3972648,0.042,-0.543,9.967
0.40123758,0.042,-0.505,9.928
0.40521017,0.042,-0.543,9.967
0.40918225,0.042,-0.543,9.967
0.4131544,0.042,-0.582,9.967
0.41712707,0.042,-0.543,10.005
0.42110047,0.042,-0.543,9.928
0.42507392,0.003,-0.582,9.928
0.42904696,0.042,-0.543,9.967
0.43301946,0.003,-0.582,9.928
0.43699193,0.003,-0.582,9.967
0.44096476,0.003,-0.505,9.928
0.444938,0.042,-0.505,9.967
0.4489111,0.003,-0.543,9.967
0.45288348,0.08,-0.582,9.928
0.45685664,0.042,-0.582,9.967
0.46082902,0.042,-0.543,9.967
0.46480185,0.003,-0.543,9.967
0.4687744,0.042,-0.543,9.928
0.47274777,0.042,-0.582,9.967
0.47672033,0.08,-0.582,9.967
0.4806928,0.003,-0.543,9.967
0.4846654,0.042,-0.543,10.005
