TIME,X,Y,Z
0.0,0.08,-0.467,9.967
0.003963692,0.118,-0.428,9.967
0.007927014,0.118,-0.428,10.005
0.011890552,0.08,-0.428,10.005
0.015853476,0.08,-0.428,9.967
0.01981631,0.08,-0.428,9.967
0.023779389,0.118,-0.428,9.967
0.02774254,0.08,-0.428,9.967
0.03170571,0.118,-0.428,9.967
0.03566902,0.157,-0.428,10.005
0.039631862,0.118,-0.428,10.005
0.043595415,0.118,-0.39,9.967
0.047559265,0.08,-0.428,9.967
0.051523343,0.118,-0.39,9.967
0.055487737,0.118,-0.428,9.967
0.05945127,0.08,-0.428,9.967
0.0634152,0.08,-0.428,9.967
0.06737928,0.08,-0.428,9.967
0.07134328,0.08,-0.428,9.967
0.07530689,0.157,-0.428,9.928
0.07927036,0.08,-0.428,10.005
0.08323366,0.118,-0.467,9.967
0.08719766,0.118,-0.467,9.967
0.09116129,0.118,-0.428,9.928
0.09512444,0.118,-0.428,9.967
0.09908798,0.118,-0.428,10.005
0.10305193,0.118,-0.39,9.928
0.10701608,0.118,-0.428,9.967
0.11098031,0.118,-0.467,9.967
0.114943944,0.118,-0.39,9.928
0.11890763,0.118,-0.428,9.967
0.12287102,0.08,-0.428,9.967
0.12683442,0.118,-0.467,9.967
0.13079797,0.118,-0.39,9.967
0.13476074,0.08,-0.428,9.928
0.13872427,0.157,-0.39,9.967
0.14268759,0.118,-0.428,9.928
0.1466512,0.118,-0.428,9.967
0.15061474,0.08,-0.428,9.967
0.15457805,0.08,-0.39,9.967
0.15854159,0.08,-0.428,9.928
0.16250451,0.08,-0.467,9.967
0.1664676,0.08,-0.428,10.005
0.17043084,0.08,-0.428,9.928
0.17439507,0.118,-0.428,9.928
0.17835847,0.118,-0.428,9.967
0.18232231,0.118,-0.428,9.967
0.18628554,0.118,-0.467,9.967
0.19024877,0.118,-0.467,9.928
0.19421223,0.118,-0.428,9.967
0.19817522,0.08,-0.428,9.967
0.20213869,0.08,-0.467,9.967
0.20610198,0.08,-0.428,9.928
0.21006493,0.08,-0.428,9.928
0.21402885,0.08,-0.428,9.967
0.21799247,0.08,-0.428,10.005
0.22195539,0.118,-0.428,9.967
0.22591846,0.157,-0.467,9.967
0.22988139,0.118,-0.428,9.967
0.23384416,0.08,-0.428,9.967
0.23780745,0.118,-0.428,9.928
0.24177063,0.118,-0.428,9.928
0.24573393,0.118,-0.467,9.928
0.24969731,0.118,-0.467,9.967
0.2536608,0.118,-0.428,9.967
0.25762454,0.08,-0.428,9.967
0.2615884,0.118,-0.428,9.967
0.26555192,0.08,-0.428,9.967
0.26951554,0.118,-0.467,9.967
0.2734787,0.118,-0.428,9.967
0.2774416,0.08,-0.39,9.967
0.28140438,0.118,-0.39,9.967
0.28536817,0.118,-0.39,9.967
0.28933206,0.118,-0.428,9.967
0.29329553,0.08,-0.39,9.967
0.29725924,0.118,-0.428,9.967
0.30122268,0.08,-0.428,9.967
0.30518615,0.08,-0.428,9.967
0.30914953,0.08,-0.428,9.928
0.31311244,0.08,-0.467,10.005
0.31707552,0.08,-0.467,9.928
0.32103875,0.118,-0.428,9.967
0.3250022,0.08,-0.467,10.005
0.32896584,0.118,-0.428,10.005
0.33292907,0.08,-0.428,9.967
0.3368923,0.118,-0.467,10.005
0.34085563,0.118,-0.428,9.967
0.34481847,0.118,-0.428,9.967
0.34878126,0.118,-0.428,9.928
0.3527447,0.118,-0.39,9.967
0.3567087,0.118,-0.428,9.967
0.36067238,0.118,-0.428,9.967
0.36463615,0.118,-0.428,9.967
0.3686,0.118,-0.39,9.967
0.37256315,0.118,-0.428,9.967
0.376527,0.118,-0.428,10.005
0.38049015,0.08,-0.428,9.967
0.38445324,0.118,-0.428,10.005
0.3884171,0.157,-0.39,9.928
0.39238033,0.118,-0.428,9.967
0.39634377,0.157,-0.39,9.967
0.4003074,0.118,-0.428,9.967
0.4042714,0.08,-0.428,9.928
0.4082347,0.118,-0.428,10.005
0.41219798,0.118,-0.39,9.967
0.4161612,0.118,-0.428,9.967
0.42012432,0.08,-0.428,9.928
0.42408812,0.118,-0.428,9.967
0.4280513,0.08,-0.467,9.967
0.43201444,0.118,-0.428,9.967
0.435978,0.118,-0.428,9.967
0.43994144,0.118,-0.467,9.967
0.44390565,0.118,-0.428,9.928
0.44786996,0.118,-0.428,9.967
0.45183387,0.118,-0.428,9.967
0.45579794,0.08,-0.428,9.928
0.45976204,0.118,-0.428,10.005
0.46372628,0.118,-0.428,9.928
0.4676896,0.08,-0.467,9.967
