TIME,X,Y,Z
0.0,1.114,-2.458,10.12
0.003964141,1.037,-2.267,9.545
0.007928372,1.076,-2.382,9.852
0.011892757,1.076,-2.382,9.699
0.01585675,1.037,-2.305,9.775
0.019820211,1.076,-2.343,9.814
0.023784442,1.076,-2.343,9.775
0.02774906,1.037,-2.305,9.775
0.031713907,1.037,-2.343,9.737
0.035677675,1.037,-2.343,9.737
0.03964152,1.037,-2.343,9.699
0.043605287,1.076,-2.382,9.775
0.04756844,1.076,-2.305,9.775
0.051532924,1.076,-2.382,9.737
0.055496693,1.076,-2.343,9.775
0.05946031,1.076,-2.343,9.814
0.06342416,1.037,-2.382,9.814
0.06738831,1.037,-2.343,9.737
0.071351774,1.037,-2.382,9.775
0.075315624,1.037,-2.343,9.775
0.079279624,1.076,-2.343,9.699
0.083244085,1.076,-2.343,9.775
0.08720819,1.037,-2.343,9.814
0.09117166,1.076,-2.343,9.775
0.09513542,1.076,-2.343,9.699
0.09909919,1.076,-2.382,9.775
0.10306266,1.076,-2.343,9.814
0.10702658,1.037,-2.343,9.737
0.11099066,1.076,-2.305,9.737
0.11495435,1.037,-2.305,9.737
0.118917964,1.037,-2.305,9.775
0.1228815,1.076,-2.343,9.737
0.12684512,1.076,-2.305,9.737
0.13080858,1.037,-2.343,9.775
0.13477229,1.037,-2.305,9.737
0.13873598,1.076,-2.382,9.775
0.14269952,1.076,-2.343,9.737
0.14666344,1.037,-2.343,9.737
0.1506276,1.076,-2.343,9.737
0.15459152,1.037,-2.343,9.737
0.15855543,1.076,-2.343,9.775
0.1625196,1.076,-2.305,9.775
0.1664836,1.076,-2.382,9.66
0.17044745,1.076,-2.343,9.775
0.17441085,1.037,-2.343,9.775
0.178374,1.076,-2.343,9.814
0.18233733,1.037,-2.382,9.775
0.18630064,1.076,-2.305,9.737
0.19026409,1.037,-2.382,9.775
0.19422778,1.037,-2.343,9.814
0.19819078,1.037,-2.382,9.737
0.20215495,1.037,-2.343,9.699
0.20611872,1.037,-2.343,9.775
0.21008217,1.076,-2.343,9.814
0.21404564,1.076,-2.343,9.775
0.21800908,1.037,-2.382,9.775
0.22197254,1.037,-2.382,9.775
0.22593586,1.076,-2.305,9.775
0.22990017,1.037,-2.343,9.814
0.2338637,1.076,-2.305,9.775
0.23782717,1.037,-2.343,9.699
0.24179085,1.076,-2.343,9.775
0.245754,1.037,-2.343,9.775
0.24971731,1.076,-2.382,9.775
0.25368068,1.037,-2.343,9.699
0.25764453,1.076,-2.343,9.814
0.26160878,1.076,-2.343,9.775
0.26557246,1.037,-2.343,9.737
0.26953644,1.037,-2.343,9.737
0.27350006,1.037,-2.305,9.775
0.27746373,1.037,-2.382,9.814
0.28142676,1.076,-2.343,9.737
0.28539032,1.076,-2.343,9.737
0.28935337,1.037,-2.305,9.775
0.29331645,1.037,-2.343,9.775
0.29727983,1.076,-2.267,9.775
0.3012435,1.037,-2.382,9.775
0.30520752,1.037,-2.343,9.775
0.3091718,1.076,-2.382,9.775
0.3131358,1.037,-2.343,9.775
0.31709936,1.037,-2.343,9.737
0.32106298,1.037,-2.305,9.66
0.32502636,1.037,-2.382,9.814
0.3289903,1.037,-2.343,9.775
0.332954,1.076,-2.343,9.775
0.33691785,1.037,-2.343,9.775
0.34088132,0.999,-2.343,9.814
0.344845,1.037,-2.305,9.737
0.34880948,1.076,-2.305,9.775
0.3527734,1.076,-2.305,9.775
0.35673663,1.076,-2.343,9.737
0.3607003,1.076,-2.343,9.737
0.36466387,1.037,-2.343,9.852
0.36862734,1.037,-2.343,9.775
0.37259078,1.037,-2.343,9.737
0.37655425,1.076,-2.343,9.699
0.3805181,1.037,-2.343,9.775
0.38448173,1.037,-2.343,9.814
0.3884458,1.037,-2.343,9.814
0.39240962,1.037,-2.382,9.737
0.39637387,1.037,-2.343,9.737
0.40033785,1.037,-2.305,9.852
0.4043014,1.037,-2.343,9.775
0.40826473,1.037,-2.382,9.737
0.41222835,0.999,-2.305,9.814
0.41619188,1.037,-2.382,9.814
0.4201557,1.037,-2.343,9.66
0.42411965,1.076,-2.343,9.737
0.4280831,1.037,-2.343,9.89
0.4320467,1.037,-2.382,9.775
0.4360105,1.037,-2.343,9.699
0.43997505,1.037,-2.343,9.699
0.44393873,1.037,-2.382,9.775
0.44790217,1.037,-2.343,9.814
0.45186585,1.076,-2.305,9.737
0.4558294,1.037,-2.382,9.737
0.4597928,1.037,-2.343,9.775
0.46375617,1.037,-2.343,9.737
0.4677197,1.037,-2.343,9.699
0.4716835,1.037,-2.382,9.737
0.47564733,1.076,-2.305,9.852
0.4796113,1.037,-2.382,9.699
0.4835756,1.037,-2.343,9.775
0.48753917,1.037,-2.382,9.737
0.4915032,1.037,-2.305,9.775
0.49546713,1.037,-2.343,9.737
0.49943152,1.037,-2.343,9.814
0.5033957,1.037,-2.343,9.775
0.5073586,1.037,-2.343,9.775
0.5113221,1.037,-2.343,9.814
0.5152861,1.037,-2.343,9.852
0.5192504,1.037,-2.343,9.66
0.5232149,0.999,-2.343,9.699
0.5271794,1.037,-2.343,9.699
0.53114325,1.037,-2.382,9.737
0.53510714,1.037,-2.343,9.852
0.53907114,1.037,-2.382,9.852
0.5430356,1.037,-2.343,9.66
0.54700005,1.037,-2.343,9.622
0.55096424,0.999,-2.343,9.89
0.55492824,1.037,-2.343,9.89
0.5588924,1.037,-2.382,9.775
0.56285685,1.037,-2.343,9.852
0.56682175,0.999,-2.382,9.89
0.57078654,1.037,-2.343,9.814
0.5747507,1.037,-2.382,9.66
0.5787147,1.037,-2.343,9.66
0.582679,1.037,-2.343,9.775
0.5866432,1.037,-2.343,9.775
0.5906068,1.037,-2.305,9.66
0.5945703,1.037,-2.382,9.737
0.598534,1.037,-2.305,9.814
0.60249734,1.037,-2.343,9.66
0.60646045,1.037,-2.343,9.737
0.6104247,1.037,-2.343,9.814
0.61438835,1.037,-2.343,9.699
0.61835223,1.037,-2.343,9.775
0.62231624,1.037,-2.343,9.814
0.62628025,1.076,-2.343,9.699
0.6302442,1.037,-2.343,9.737
0.6342078,1.037,-2.343,9.737
0.63817143,1.037,-2.343,9.814
0.6421354,1.037,-2.305,9.775
0.6460991,1.037,-2.343,9.737
0.650063,1.076,-2.305,9.775
0.65402704,1.076,-2.343,9.737
0.65799093,1.037,-2.343,9.737
0.6619549,1.037,-2.343,9.737
0.66591895,1.037,-2.305,9.814
0.6698834,1.037,-2.343,9.814
