TIME,X,Y,Z
0.0,0.042,-0.543,10.005
0.003974692,0.042,-0.505,9.928
0.007948227,0.08,-0.467,9.967
0.011921689,0.08,-0.543,10.005
0.015895074,0.042,-0.505,9.928
0.019868553,0.042,-0.505,9.928
0.023842167,0.042,-0.505,9.967
0.027815936,0.042,-0.505,9.928
0.031789932,0.042,-0.505,9.967
0.035764314,0.08,-0.505,9.928
0.039738625,0.042,-0.505,9.967
0.043712337,0.08,-0.505,10.005
0.047686417,0.08,-0.543,9.967
0.051660184,0.042,-0.505,9.967
0.05563426,0.042,-0.505,9.967
0.05960772,0.08,-0.543,9.928
0.06358157,0.08,-0.505,9.967
0.06755512,0.042,-0.505,9.967
0.07152896,0.08,-0.505,9.928
0.075502574,0.042,-0.505,9.89
0.07947648,0.042,-0.467,9.967
0.08345056,0.042,-0.467,9.928
0.087424256,0.042,-0.467,9.928
0.09139863,0.003,-0.467,9.967
0.09537309,0.003,-0.505,9.928
0.09934662,0.042,-0.505,9.89
0.1033204,0.042,-0.467,9.967
0.10729356,0.042,-0.505,9.967
0.11126718,0.042,-0.505,9.967
0.115240775,0.042,-0.505,9.967
0.11921485,0.042,-0.505,9.967
0.12318916,0.042,-0.505,9.967
0.12716271,0.08,-0.543,9.928
0.13113679,0.042,-0.505,9.967
0.13511117,0.08,-0.505,9.967
0.13908488,0.08,-0.505,9.967
0.14305843,0.042,-0.505,9.967
0.14703181,0.08,-0.543,9.967
0.15100512,0.08,-0.505,9.967
0.1549785,0.08,-0.467,9.967
0.15895197,0.003,-0.467,10.005
0.16292544,0.042,-0.467,9.928
0.16689913,0.042,-0.467,9.967
0.17087366,0.08,-0.505,9.967
0.17484768,0.042,-0.505,10.005
0.1788216,0.042,-0.505,9.967
0.18279545,0.042,-0.505,9.967
0.18676852,0.08,-0.505,9.967
0.19074182,0.042,-0.505,9.967
0.19471544,0.08,-0.505,9.967
0.19868906,0.08,-0.467,9.967
0.20266251,0.08,-0.505,9.967
0.20663574,0.08,-0.505,9.967
0.21060914,0.08,-0.505,9.967
0.21458267,0.042,-0.505,9.967
0.21855637,0.08,-0.467,9.967
0.2225299,0.042,-0.505,9.967
0.22650322,0.042,-0.467,9.967
0.23047714,0.08,-0.505,9.967
0.23445052,0.042,-0.467,10.043
0.23842473,0.042,-0.467,9.967
0.24239881,0.042,-0.505,9.967
0.24637273,0.042,-0.505,9.967
0.25034705,0.042,-0.467,9.967
0.25432128,0.08,-0.505,9.967
0.25829488,0.08,-0.505,9.967
0.26226857,0.042,-0.467,9.967
0.26624212,0.042,-0.543,9.967
0.2702161,0.042,-0.582,10.005
0.2741901,0.042,-0.467,9.967
0.27816427,0.08,-0.505,9.928
0.2821379,0.042,-0.505,9.967
0.28611204,0.042,-0.543,9.928
0.29008567,0.042,-0.505,9.967
0.29405975,0.042,-0.505,9.967
0.2980339,0.003,-0.467,9.967
0.30200773,0.042,-0.505,10.005
0.30598187,0.042,-0.467,10.005
0.30995503,0.042,-0.505,9.967
0.3139285,0.003,-0.543,9.967
0.31790224,0.003,-0.505,9.967
0.32187638,0.042,-0.543,9.967
0.32585064,0.003,-0.543,9.967
0.3298247,0.003,-0.505,9.928
0.33379844,0.042,-0.505,9.928
0.33777252,0.042,-0.505,9.967
0.34174597,0.042,-0.505,9.967
0.34572005,0.08,-0.505,9.967
0.34969452,0.042,-0.543,9.967
0.35366917,0.042,-0.467,9.967
0.35764372,0.042,-0.505,9.967
0.36161786,0.042,-0.467,9.967
0.36559176,0.08,-0.505,9.967
0.36956555,0.08,-0.505,9.967
0.37353963,0.042,-0.505,9.928
0.37751308,0.042,-0.467,9.967
0.3814863,0.042,-0.505,9.967
0.385459,0.042,-0.505,9.967
0.38943204,0.042,-0.505,9.967
0.3934053,0.003,-0.505,9.928
0.39737856,0.08,-0.505,9.967
0.40135142,0.042,-0.467,10.005
0.40532452,0.042,-0.467,9.967
0.40929782,0.042,-0.467,9.928
0.41327196,0.042,-0.505,9.967
0.4172456,0.042,-0.505,9.967
0.4212196,0.08,-0.505,9.928
0.42519352,0.042,-0.505,9.967
0.42916664,0.042,-0.505,10.005
0.43314025,0.042,-0.505,9.967
0.43711427,0.042,-0.505,9.967
0.44108757,0.042,-0.467,9.967
0.44506136,0.08,-0.505,9.967
0.449035,0.08,-0.505,9.967
0.45300874,0.042,-0.505,9.967
0.456982,0.042,-0.467,9.928
0.46095508,0.042,-0.543,9.928
0.46492907,0.042,-0.505,9.928
0.46890253,0.003,-0.505,9.928
0.4728761,0.003,-0.505,9.928
0.47684932,0.042,-0.505,9.967
0.4808221,0.042,-0.505,9.967
0.4847954,0.042,-0.543,9.928
0.48876894,0.08,-0.505,9.967
0.49274215,0.042,-0.505,9.928
0.4967156,0.042,-0.467,9.967
0.5006888,0.08,-0.505,9.967
0.50466216,0.003,-0.505,9.967
0.5086363,0.08,-0.543,9.928
0.5126104,0.08,-0.543,9.89
0.5165844,0.08,-0.505,9.928
0.5205582,0.042,-0.505,9.967
0.5245318,0.042,-0.467,9.928
0.52850527,0.042,-0.505,10.005
0.53247863,0.042,-0.505,10.005
0.5364518,0.042,-0.543,10.005
0.5404252,0.042,-0.505,9.967
0.5443987,0.042,-0.505,9.928
0.5483722,0.042,-0.467,9.967
0.552346,0.042,-0.543,9.967
0.5563199,0.042,-0.467,9.928
0.56029356,0.042,-0.505,9.928
0.5642666,0.042,-0.505,9.967
0.5682404,0.042,-0.505,9.967
0.5722142,0.042,-0.505,9.928
0.5761875,0.042,-0.505,9.967
0.58016086,0.003,-0.505,9.928
0.5841342,0.042,-0.467,9.928
0.58810693,0.08,-0.505,9.967
0.59208,0.042,-0.467,9.967
0.5960535,0.08,-0.505,9.967
0.6000267,0.042,-0.505,10.005
0.6040001,0.042,-0.467,9.967
0.6079731,0.042,-0.505,9.928
0.61194634,0.042,-0.505,9.928
0.61591935,0.042,-0.505,9.928
0.61989224,0.042,-0.505,9.967
0.62386584,0.042,-0.505,9.967
0.62783974,0.042,-0.505,9.928
0.6318136,0.042,-0.505,9.967
0.63578695,0.08,-0.467,9.967
0.6397605,0.08,-0.505,10.005
0.64373434,0.042,-0.543,9.967
0.6477082,0.08,-0.505,9.967
0.6516817,0.042,-0.505,9.967
0.65565544,0.08,-0.505,9.967
0.65962875,0.08,-0.505,9.928
0.6636019,0.08,-0.505,9.928
0.6675756,0.08,-0.467,9.928
0.67154914,0.042,-0.505,9.967
0.6755234,0.042,-0.505,10.005
0.67949724,0.042,-0.505,10.005
0.6834706,0.042,-0.505,10.005
0.6874442,0.042,-0.505,9.967
0.69141716,0.042,-0.543,10.005
0.69539064,0.042,-0.467,9.967
0.69936436,0.042,-0.505,9.967
0.70333767,0.08,-0.467,9.967
0.70731044,0.08,-0.505,9.967
0.7112837,0.042,-0.543,9.967
0.715257,0.042,-0.505,10.005
0.7192304,0.042,-0.543,9.967
0.72320354,0.042,-0.505,10.005
0.7271767,0.042,-0.505,9.967
0.73115,0.042,-0.505,9.928
0.7351235,0.08,-0.505,9.967
0.73909706,0.003,-0.505,9.928
0.7430705,0.042,-0.505,9.928
0.7470438,0.042,-0.505,9.967
0.7510167,0.042,-0.505,9.928
0.75498974,0.003,-0.505,9.967
0.7589629,0.042,-0.505,9.928
0.76293665,0.042,-0.505,10.005
0.7669103,0.08,-0.505,9.967
0.7708839,0.042,-0.505,9.967
0.77485734,0.08,-0.543,9.928
0.77883065,0.003,-0.467,9.967
0.78280413,0.042,-0.505,9.967
0.78677803,0.042,-0.505,9.967
0.79075164,0.042,-0.505,9.967
0.79472524,0.042,-0.505,9.928
0.798699,0.042,-0.505,9.967
0.8026724,0.08,-0.505,9.967
0.80664617,0.042,-0.505,9.967
0.81061995,0.08,-0.505,9.967
0.8145928,0.08,-0.543,9.967
