TIME,X,Y,Z
0.0,0.08,-0.467,9.354
0.00397423,0.08,-0.543,10.005
0.007948897,0.08,-0.505,9.928
0.01192282,0.08,-0.467,9.967
0.015897589,0.08,-0.505,9.928
0.019872384,0.08,-0.543,9.967
0.023846768,0.118,-0.505,9.928
0.027820924,0.08,-0.467,9.928
0.031794835,0.08,-0.543,9.967
0.035769064,0.08,-0.505,9.967
0.039743144,0.118,-0.505,9.928
0.043717086,0.08,-0.543,9.967
0.047691394,0.042,-0.467,9.928
0.051665932,0.08,-0.467,10.005
0.05564064,0.08,-0.505,9.967
0.059614796,0.042,-0.505,9.967
0.06358864,0.08,-0.505,9.967
0.067562245,0.042,-0.505,9.928
0.07153586,0.042,-0.505,9.967
0.07550948,0.042,-0.505,9.928
0.07948389,0.08,-0.505,9.967
0.083458275,0.08,-0.505,9.967
0.08743204,0.042,-0.543,9.967
0.09140621,0.08,-0.543,9.967
0.09538067,0.042,-0.505,9.967
0.09935559,0.08,-0.467,9.928
0.103330664,0.08,-0.505,9.967
0.107305504,0.042,-0.543,9.967
0.11127967,0.042,-0.505,9.967
0.11525414,0.08,-0.505,9.967
0.11922822,0.08,-0.505,9.967
0.12320246,0.08,-0.505,9.928
0.1271767,0.08,-0.543,9.967
0.1311507,0.08,-0.505,9.967
0.13512515,0.118,-0.505,9.967
0.13909948,0.08,-0.505,9.967
0.14307278,0.08,-0.505,9.967
0.14704686,0.08,-0.505,10.005
0.15102078,0.118,-0.505,9.967
0.15499479,0.08,-0.543,9.967
0.15896854,0.08,-0.467,9.967
0.16294289,0.08,-0.543,9.967
0.16691703,0.042,-0.505,10.005
0.17089102,0.08,-0.467,9.928
0.17486481,0.08,-0.505,9.928
0.17883836,0.08,-0.467,9.928
0.18281211,0.08,-0.505,9.967
0.18678653,0.042,-0.505,9.928
0.19076091,0.08,-0.505,9.928
0.19473459,0.08,-0.505,9.928
0.19870846,0.042,-0.505,9.928
0.20268254,0.042,-0.505,9.967
0.20665678,0.08,-0.505,10.005
0.21063077,0.118,-0.505,9.967
0.21460523,0.042,-0.505,9.967
0.21857953,0.08,-0.505,9.967
0.2225544,0.08,-0.467,9.967
0.22652887,0.08,-0.467,10.005
0.2305033,0.08,-0.505,9.967
0.23447739,0.08,-0.505,9.967
0.23845185,0.08,-0.505,9.967
0.24242647,0.08,-0.505,9.967
0.24640083,0.118,-0.505,9.967
0.25037467,0.042,-0.505,9.928
0.25434783,0.08,-0.467,9.967
0.25832176,0.08,-0.467,9.928
0.2622957,0.08,-0.505,9.967
0.26627007,0.08,-0.505,9.967
0.27024472,0.08,-0.505,9.967
0.27421868,0.08,-0.505,9.967
0.27819288,0.08,-0.467,9.967
0.2821666,0.08,-0.505,9.928
0.28614068,0.08,-0.543,9.967
0.29011413,0.08,-0.505,9.967
0.29408792,0.042,-0.467,9.967
0.29806182,0.042,-0.505,9.928
0.30203557,0.042,-0.505,9.967
0.30600965,0.08,-0.505,9.967
0.30998352,0.08,-0.505,10.005
0.31395745,0.08,-0.505,10.005
0.31793097,0.08,-0.505,9.928
0.32190496,0.118,-0.505,9.967
0.32587883,0.08,-0.505,9.967
0.32985228,0.08,-0.505,9.928
0.33382583,0.042,-0.467,9.928
0.33779958,0.08,-0.543,10.005
0.34177327,0.08,-0.505,9.967
0.34574798,0.042,-0.505,9.967
0.34972173,0.08,-0.543,9.967
0.35369542,0.042,-0.505,9.967
0.35767022,0.08,-0.505,9.967
0.3616445,0.08,-0.467,9.967
0.3656192,0.08,-0.505,9.967
0.3695935,0.08,-0.467,9.89
0.37356737,0.08,-0.505,9.928
0.37754112,0.08,-0.543,9.967
0.3815152,0.08,-0.505,9.967
0.38548884,0.08,-0.505,9.928
0.38946313,0.042,-0.505,9.967
0.3934369,0.08,-0.505,9.928
0.39741087,0.08,-0.543,9.967
0.4013844,0.08,-0.505,9.967
0.40535843,0.042,-0.505,9.928
0.40933242,0.08,-0.505,9.967
0.4133066,0.08,-0.505,9.967
0.41728082,0.08,-0.505,9.928
0.42125496,0.08,-0.505,9.967
0.42522883,0.08,-0.543,10.005
0.42920297,0.08,-0.505,9.928
0.4331771,0.118,-0.505,9.928
0.43715107,0.08,-0.505,9.967
0.4411252,0.08,-0.543,9.967
0.44509968,0.08,-0.467,9.928
0.4490736,0.08,-0.543,10.005
0.45304698,0.08,-0.505,9.967
0.45702076,0.042,-0.505,9.967
0.46099484,0.08,-0.505,9.928
0.46496892,0.08,-0.505,9.928
0.468943,0.08,-0.543,9.967
0.472917,0.08,-0.505,9.89
0.47689062,0.08,-0.505,9.967
0.48086408,0.08,-0.505,9.967
0.48483807,0.08,-0.505,9.967
0.48881194,0.042,-0.505,10.005
0.49278656,0.08,-0.505,9.967
0.49676132,0.08,-0.505,9.928
0.5007358,0.08,-0.543,9.928
0.5047099,0.08,-0.505,9.967
0.5086847,0.042,-0.505,9.967
0.51265955,0.08,-0.505,9.928
0.51663333,0.08,-0.505,9.967
0.520608,0.08,-0.467,10.005
0.52458227,0.08,-0.505,9.967
0.52855664,0.118,-0.505,10.005
0.53253156,0.08,-0.505,10.005
0.536506,0.042,-0.543,9.928
0.540481,0.042,-0.505,9.928
0.54445547,0.08,-0.505,9.928
0.54843026,0.08,-0.505,9.928
0.55240506,0.08,-0.505,9.928
0.5563792,0.042,-0.543,9.967
0.56035334,0.08,-0.505,9.967
0.56432784,0.042,-0.505,10.005
0.5683018,0.08,-0.505,9.928
0.57227576,0.08,-0.505,9.967
0.57625026,0.08,-0.543,9.967
0.580224,0.08,-0.467,9.928
0.5841976,0.042,-0.467,9.967
0.58817196,0.08,-0.505,9.928
0.5921467,0.08,-0.543,9.928
0.5961206,0.08,-0.505,9.967
0.6000939,0.118,-0.505,9.967
0.60406756,0.08,-0.467,10.005
0.6080412,0.042,-0.505,10.005
0.6120157,0.08,-0.505,9.928
0.6159903,0.08,-0.505,9.928
0.6199654,0.08,-0.543,9.967
0.6239392,0.08,-0.505,9.967
0.6279133,0.08,-0.505,9.928
0.6318878,0.042,-0.505,9.928
0.6358619,0.08,-0.467,9.967
0.6398363,0.08,-0.505,9.967
0.6438106,0.042,-0.505,10.005
0.6477848,0.08,-0.505,9.967
0.65175885,0.042,-0.505,9.928
0.65573263,0.08,-0.505,9.967
