TIME,X,Y,Z
0.0,1.037,-2.42,9.737
0.003963136,1.076,-2.42,9.814
0.007925751,1.076,-2.382,9.814
0.011888136,1.076,-2.42,9.852
0.015850287,1.076,-2.42,9.852
0.019812364,0.999,-2.458,9.775
0.023774516,1.037,-2.42,9.622
0.027736822,0.999,-2.458,9.622
0.031699207,0.999,-2.458,9.66
0.035661437,1.037,-2.458,9.699
0.039623808,1.037,-2.382,9.737
0.043586116,1.037,-2.42,9.775
0.047548734,1.037,-2.382,9.814
0.05151158,1.037,-2.42,9.814
0.055474352,1.076,-2.42,9.814
0.059437737,1.037,-2.42,9.737
0.06340104,1.037,-2.42,9.699
0.06736411,1.037,-2.42,9.66
0.07132696,0.999,-2.382,9.699
0.07528989,0.999,-2.382,9.66
0.079252966,1.037,-2.42,9.737
0.08321597,1.076,-2.42,9.775
0.0871792,1.037,-2.42,9.775
0.09114235,1.037,-2.42,9.699
0.09510543,1.037,-2.42,9.737
0.09906844,0.999,-2.42,9.814
0.10303122,1.037,-2.42,9.699
0.10699444,1.037,-2.42,9.699
0.110956594,0.999,-2.42,9.699
0.114919126,1.037,-2.458,9.699
0.11888213,1.037,-2.42,9.737
0.12284521,1.037,-2.42,9.775
0.12680814,1.037,-2.42,9.737
0.13077076,1.037,-2.42,9.814
0.1347335,1.037,-2.42,9.737
0.13869588,1.037,-2.42,9.737
0.1426578,1.037,-2.42,9.699
0.1466205,1.037,-2.42,9.699
0.15058334,1.076,-2.42,9.699
0.1545465,1.037,-2.458,9.699
0.15850928,1.037,-2.42,9.737
0.16247167,1.037,-2.42,9.814
0.16643451,1.037,-2.42,9.737
0.1703977,1.076,-2.42,9.737
0.1743606,1.037,-2.42,9.814
0.17832276,1.037,-2.42,9.737
0.18228471,1.037,-2.42,9.737
0.18624686,1.037,-2.42,9.737
0.19020903,1.037,-2.42,9.737
0.19417143,1.037,-2.42,9.737
0.1981335,1.037,-2.42,9.737
0.20209558,0.999,-2.42,9.737
0.20605767,1.076,-2.42,9.775
0.21001981,1.037,-2.42,9.66
0.21398158,1.037,-2.382,9.737
0.21794367,1.037,-2.42,9.775
0.2219059,0.999,-2.382,9.814
0.22586821,1.037,-2.42,9.66
0.2298306,1.037,-2.382,9.622
0.23379259,1.037,-2.42,9.775
0.23775475,1.037,-2.42,9.775
0.24171698,1.037,-2.42,9.737
0.24567905,1.037,-2.382,9.737
0.24964166,1.037,-2.42,9.737
0.2536042,1.037,-2.382,9.775
0.25756675,1.037,-2.458,9.775
0.26152915,1.037,-2.382,9.699
0.26549074,1.037,-2.382,9.775
0.2694529,1.037,-2.382,9.775
0.27341527,1.037,-2.42,9.737
0.2773772,1.037,-2.42,9.775
0.28133905,1.037,-2.42,9.737
0.28530183,1.037,-2.382,9.775
0.2892644,1.076,-2.42,9.737
0.29322705,0.999,-2.42,9.775
0.29718918,1.037,-2.42,9.775
0.30115104,1.037,-2.42,9.66
0.3051129,0.999,-2.42,9.775
0.30907458,1.037,-2.42,9.737
0.31303647,1.037,-2.42,9.737
0.31699932,1.037,-2.42,9.737
0.3209617,1.037,-2.42,9.699
0.32492334,1.037,-2.42,9.737
0.3288854,1.037,-2.458,9.814
0.33284748,1.037,-2.42,9.66
0.3368094,1.037,-2.42,9.66
0.34077087,1.037,-2.42,9.775
0.3447328,1.037,-2.42,9.814
0.3486951,1.037,-2.42,9.737
0.35265788,1.037,-2.42,9.699
0.35661992,1.037,-2.42,9.775
0.36058164,1.037,-2.42,9.737
0.36454394,1.037,-2.382,9.699
0.36850673,0.999,-2.42,9.737
0.3724693,1.037,-2.42,9.737
0.3764316,1.037,-2.382,9.699
0.38039348,1.037,-2.42,9.737
0.384355,1.037,-2.42,9.699
0.3883166,0.999,-2.42,9.737
0.392279,1.037,-2.42,9.699
0.39624125,1.037,-2.42,9.775
0.40020323,1.037,-2.42,9.814
0.404165,1.037,-2.42,9.775
0.40812668,1.037,-2.42,9.775
0.41208845,1.037,-2.42,9.737
0.41605014,1.037,-2.42,9.737
0.4200122,0.999,-2.382,9.699
0.4239753,1.037,-2.382,9.699
0.42793837,0.999,-2.42,9.775
0.4319005,0.999,-2.458,9.66
0.4358629,1.037,-2.382,9.66
0.43982506,0.999,-2.458,9.775
0.44378704,1.037,-2.42,9.66
0.44774944,1.037,-2.458,9.584
0.45171142,0.999,-2.382,9.89
0.4556733,1.037,-2.458,9.737
0.4596357,1.037,-2.42,9.699
0.46359786,1.037,-2.458,9.775
0.4675596,0.999,-2.382,9.814
0.47152165,1.037,-2.42,9.775
0.47548363,1.037,-2.42,9.622
0.47944576,0.999,-2.458,9.66
0.4834084,1.037,-2.382,9.852
0.48737085,1.037,-2.42,9.89
0.49133292,1.037,-2.458,9.775
0.49529517,1.037,-2.382,9.775
0.49925748,0.999,-2.42,9.699
0.5032197,1.037,-2.382,9.584
0.5071816,1.037,-2.458,9.66
0.5111435,1.037,-2.382,9.814
0.5151052,1.037,-2.382,9.852
0.5190674,0.999,-2.42,9.814
0.5230295,0.999,-2.42,9.775
0.52699155,1.037,-2.42,9.699
0.5309539,1.037,-2.382,9.775
0.53491616,1.037,-2.458,9.66
0.5388788,1.037,-2.382,9.775
0.542841,0.999,-2.42,9.775
0.54680365,1.037,-2.42,9.737
0.550766,0.999,-2.42,9.814
0.5547278,1.037,-2.42,9.737
0.55868953,1.076,-2.42,9.622
0.5626515,1.037,-2.42,9.737
0.5666141,1.037,-2.382,9.814
0.57057697,1.037,-2.42,9.775
0.57453936,1.037,-2.42,9.814
0.578502,1.037,-2.458,9.699
0.582464,1.037,-2.42,9.775
0.58642614,1.037,-2.42,9.737
0.5903882,0.999,-2.458,9.66
0.59435046,1.037,-2.458,9.66
0.59831333,1.037,-2.42,9.699
0.602276,1.037,-2.42,9.775
0.606238,1.037,-2.458,9.699
0.6102007,1.037,-2.42,9.737
0.6141626,1.037,-2.458,9.622
0.61812526,1.037,-2.42,9.814
0.6220875,1.037,-2.42,9.814
0.6260494,1.076,-2.42,9.66
0.630012,1.037,-2.458,9.66
0.63397455,1.037,-2.42,9.699
0.63793766,1.037,-2.42,9.814
0.64190036,0.999,-2.42,9.737
0.64586335,1.037,-2.42,9.699
0.6498257,0.999,-2.42,9.775
0.6537878,1.037,-2.42,9.737
0.6577499,1.037,-2.382,9.775
0.66171217,0.961,-2.42,9.775
0.6656744,1.037,-2.42,9.699
0.6696364,1.037,-2.382,9.737
0.67359877,1.037,-2.42,9.775
0.67756164,1.076,-2.42,9.737
0.68152434,1.037,-2.382,9.737
0.6854867,1.037,-2.458,9.737
0.68944854,1.037,-2.42,9.775
0.69341046,0.999,-2.42,9.737
0.6973721,1.076,-2.382,9.699
0.70133364,1.037,-2.458,9.737
0.7052952,1.037,-2.458,9.699
0.7092569,1.037,-2.42,9.699
0.7132187,0.999,-2.42,9.775
0.7171806,1.037,-2.382,9.737
0.7211423,0.999,-2.458,9.737
0.7251047,1.076,-2.382,9.699
0.7290673,1.037,-2.458,9.737
0.73303,0.999,-2.42,9.737
0.7369926,1.037,-2.42,9.737
0.7409551,0.999,-2.382,9.699
0.74491745,1.037,-2.458,9.737
0.74888015,1.037,-2.382,9.737
0.75284207,1.037,-2.42,9.66
0.7568036,1.037,-2.382,9.009
0.760765,0.961,-2.382,9.277
0.76472676,0.961,-2.42,9.928
0.7686886,1.037,-2.458,9.814
0.77265126,1.037,-2.42,9.775
0.7766134,1.037,-2.42,10.082
0.7805758,1.076,-2.382,10.082
0.784538,1.076,-2.42,10.082
0.78849983,1.076,-2.458,10.082
0.79246247,1.076,-2.382,10.12
0.7964244,1.076,-2.458,9.89
0.80038744,1.076,-2.42,9.699
0.80435,1.037,-2.42,9.737
0.80831194,1.037,-2.382,9.699
