TIME,X,Y,Z
0.0,0.003,-0.428,9.928
0.003964353,0.08,-0.428,9.967
0.007928814,0.042,-0.39,9.928
0.011892814,0.042,-0.39,9.89
0.015856965,0.003,-0.428,9.967
0.019821042,0.042,-0.428,9.967
0.023785273,0.042,-0.39,9.928
0.027749617,0.042,-0.39,9.928
0.031713925,0.003,-0.39,9.928
0.035678383,0.042,-0.39,9.89
0.039642315,0.042,-0.428,9.967
0.04360601,0.042,-0.428,10.005
0.047569927,0.042,-0.39,9.928
0.051533077,0.042,-0.39,9.967
0.055496845,0.042,-0.352,9.967
0.059461385,0.042,-0.39,9.89
0.0634253,0.042,-0.428,9.967
0.06738923,0.042,-0.39,9.928
0.07135315,0.042,-0.39,9.928
0.07531698,0.042,-0.39,9.967
0.0792806,0.042,-0.428,10.005
0.08324429,0.003,-0.39,9.967
0.0872083,0.08,-0.39,9.928
0.091172144,0.042,-0.428,9.928
0.095136374,0.08,-0.428,9.928
0.09910031,0.042,-0.428,9.928
0.10306454,0.08,-0.428,9.967
0.107028306,0.042,-0.39,9.967
0.110992074,0.042,-0.428,9.928
0.11495584,0.042,-0.39,9.928
0.11892022,0.042,-0.39,9.928
0.122884,0.003,-0.428,9.928
0.12684761,0.042,-0.428,9.967
0.1308114,0.042,-0.428,9.928
0.13477533,0.003,-0.428,9.928
0.13873965,0.042,-0.428,9.928
0.14270349,0.042,-0.39,9.928
0.1466682,0.003,-0.428,9.967
0.15063258,0.003,-0.428,9.89
0.15459734,0.042,-0.428,9.928
0.15856169,0.042,-0.428,9.928
0.1625257,0.042,-0.428,9.928
0.16648993,0.042,-0.428,9.928
0.17045417,0.042,-0.39,9.967
0.17441842,0.042,-0.39,9.928
0.17838357,0.042,-0.39,9.928
0.18234836,0.042,-0.428,9.928
0.18631235,0.042,-0.428,9.967
0.19027652,0.003,-0.428,9.967
0.19424069,0.042,-0.428,9.967
0.19820468,0.042,-0.428,9.928
0.20216899,0.003,-0.39,9.928
0.20613307,0.042,-0.428,9.967
0.21009639,0.003,-0.428,9.928
0.21406093,0.003,-0.39,9.967
0.21802574,0.042,-0.428,9.928
0.22199021,0.003,-0.428,9.928
0.22595453,0.042,-0.428,9.928
0.22991869,0.003,-0.39,9.928
0.23388277,0.003,-0.39,9.928
0.23784676,0.042,-0.428,9.928
0.24181014,0.042,-0.428,9.928
0.24577415,0.042,-0.428,9.928
0.24973792,0.003,-0.428,9.928
0.25370163,0.042,-0.428,9.928
0.2576653,0.042,-0.428,9.928
0.26162902,0.042,-0.428,9.967
0.26559284,0.042,-0.39,9.967
0.2695572,0.003,-0.428,9.928
0.27352175,0.042,-0.428,9.967
0.2774857,0.042,-0.39,9.928
0.28144965,0.042,-0.39,9.967
0.2854134,0.042,-0.428,9.967
0.28937778,0.042,-0.39,9.967
0.29334164,0.042,-0.39,9.928
0.2973061,0.042,-0.428,9.967
0.30127063,0.042,-0.428,9.928
0.30523473,0.042,-0.428,9.928
0.3091991,0.042,-0.428,9.967
0.31316394,0.003,-0.39,9.89
0.31712833,0.003,-0.39,9.967
0.32109293,0.003,-0.39,9.89
0.32505697,0.042,-0.39,9.928
0.32902092,0.042,-0.39,9.928
0.33298495,0.042,-0.428,9.967
0.3369494,0.003,-0.39,9.967
0.34091404,0.042,-0.428,9.89
0.3448791,0.003,-0.39,9.89
0.34884444,0.08,-0.428,9.928
0.35280868,0.042,-0.428,9.967
0.35677305,0.042,-0.428,9.928
0.36073732,0.042,-0.428,9.967
0.36470175,0.042,-0.39,9.967
0.36866575,0.042,-0.428,9.928
0.3726301,0.042,-0.39,9.928
0.37659407,0.042,-0.428,9.967
0.38055837,0.042,-0.467,9.967
0.3845224,0.08,-0.467,9.967
0.38848716,0.042,-0.39,9.967
0.3924517,0.003,-0.428,9.89
0.396416,0.003,-0.39,9.928
0.4003805,0.042,-0.467,9.89
0.40434563,0.042,-0.39,9.928
0.40831012,0.042,-0.428,9.928
0.41227433,0.042,-0.39,9.928
0.416238,0.003,-0.428,9.967
0.42020208,0.042,-0.428,10.043
0.42416584,0.042,-0.428,9.967
0.4281304,0.042,-0.39,9.967
0.43209434,0.003,-0.428,9.967
0.43605828,0.042,-0.467,9.928
0.44002196,0.042,-0.39,9.967
0.44398594,0.042,-0.467,9.852
0.4479495,0.042,-0.352,9.967
0.45191303,0.003,-0.428,9.967
0.45587707,0.042,-0.428,10.005
0.45984206,0.042,-0.428,10.005
0.46380636,0.003,-0.428,9.928
0.46777105,0.042,-0.39,9.928
0.47173503,0.042,-0.39,9.89
0.4756991,0.042,-0.505,9.852
0.47966272,0.042,-0.428,10.005
0.4836271,0.042,-0.39,9.967
0.48759133,0.042,-0.428,9.928
0.4915559,0.042,-0.39,9.967
0.49551982,0.042,-0.39,9.928
0.49948412,0.042,-0.428,9.967
0.5034486,0.042,-0.467,10.005
0.5074135,0.042,-0.39,10.005
0.51137775,0.042,-0.467,9.967
