TIME,X,Y,Z
0.0,0.042,-0.505,9.775
0.00397,0.042,-0.505,9.928
0.007939636,0.042,-0.505,9.967
0.011909021,0.08,-0.467,9.967
0.015877943,0.08,-0.505,9.967
0.019846994,0.042,-0.505,10.005
0.023815917,0.042,-0.505,9.967
0.02778484,0.042,-0.505,10.005
0.031753764,0.042,-0.505,9.967
0.035722762,0.042,-0.505,10.005
0.039691765,0.042,-0.467,9.967
0.04366101,0.042,-0.505,9.967
0.047630776,0.042,-0.505,9.967
0.051600393,0.08,-0.505,9.967
0.055570167,0.042,-0.543,10.005
0.05953917,0.042,-0.505,9.928
0.06350778,0.08,-0.505,9.967
0.06747723,0.08,-0.505,9.967
0.071446694,0.042,-0.505,9.967
0.07541608,0.08,-0.543,9.967
0.07938539,0.08,-0.543,10.005
0.08335555,0.08,-0.505,10.005
0.08732517,0.118,-0.505,9.967
0.091294706,0.08,-0.505,10.005
0.095264085,0.08,-0.505,9.967
0.09923378,0.08,-0.505,9.967
0.103203915,0.042,-0.505,9.967
0.107173294,0.042,-0.467,10.005
0.11114291,0.08,-0.505,9.967
0.115112126,0.08,-0.505,9.967
0.11908082,0.08,-0.543,10.005
0.123049974,0.08,-0.505,9.967
0.12701988,0.042,-0.467,9.967
0.1309899,0.042,-0.505,10.005
0.13495927,0.08,-0.543,10.005
0.13892819,0.042,-0.505,9.928
0.14289789,0.042,-0.543,9.967
0.14686759,0.042,-0.543,9.967
0.15083738,0.042,-0.505,9.967
0.15480737,0.08,-0.505,10.005
0.15877713,0.08,-0.505,9.967
0.16274771,0.042,-0.505,9.967
0.16671695,0.08,-0.505,9.967
0.17068602,0.118,-0.505,10.005
0.17465504,0.08,-0.505,9.967
0.17862411,0.08,-0.543,9.967
0.1825932,0.08,-0.505,9.928
0.18656215,0.08,-0.505,9.967
0.19053124,0.08,-0.505,9.967
0.19450039,0.042,-0.505,9.967
0.19847026,0.042,-0.505,10.005
0.20244028,0.08,-0.505,9.967
0.20640996,0.08,-0.505,9.967
0.21037991,0.08,-0.505,9.967
0.21434945,0.042,-0.505,10.005
0.21831852,0.042,-0.505,9.967
0.22228736,0.08,-0.505,9.967
0.22625636,0.042,-0.543,10.005
0.2302255,0.08,-0.505,10.005
0.23419504,0.08,-0.505,10.005
0.23816442,0.08,-0.505,9.967
0.24213381,0.042,-0.505,9.967
0.24610403,0.042,-0.505,9.967
0.25007373,0.08,-0.505,9.967
0.25404274,0.042,-0.505,9.967
0.25801164,0.042,-0.505,9.967
0.2619805,0.042,-0.543,9.967
0.26594952,0.08,-0.543,9.967
0.2699185,0.042,-0.505,9.967
0.27388802,0.08,-0.505,9.928
0.27785724,0.08,-0.543,9.967
0.28182694,0.042,-0.505,9.967
0.28579596,0.042,-0.505,9.967
0.2897659,0.08,-0.505,9.967
0.29373547,0.08,-0.505,9.967
0.29770458,0.08,-0.543,9.967
0.3016742,0.08,-0.505,9.967
0.30564436,0.08,-0.505,9.967
0.30961487,0.042,-0.505,9.967
0.313585,0.042,-0.505,9.967
0.31755432,0.08,-0.505,10.005
0.32152402,0.08,-0.505,9.928
0.3254945,0.08,-0.505,9.928
0.32946497,0.08,-0.505,10.005
0.33343533,0.08,-0.467,9.967
0.33740535,0.08,-0.505,10.005
0.34137478,0.118,-0.467,9.928
0.34534457,0.08,-0.467,9.967
0.34931394,0.118,-0.467,10.043
0.3532837,0.08,-0.505,10.005
0.3572534,0.08,-0.467,10.005
0.36122295,0.08,-0.505,9.967
0.36519247,0.157,-0.467,9.967
0.36916184,0.157,-0.505,9.967
0.37313133,0.118,-0.543,10.005
0.37710133,0.118,-0.543,9.967
0.38107097,0.08,-0.543,9.967
0.38504028,0.003,-0.505,9.967
0.3890095,-0.034,-0.582,9.967
0.39297897,-0.072,-0.543,9.967
0.3969478,-0.072,-0.505,10.005
0.4009174,-0.034,-0.543,10.005
0.40488735,0.003,-0.505,10.005
0.40885735,0.042,-0.62,9.928
0.41282752,0.042,-0.543,9.928
0.41679743,0.118,-0.505,9.967
0.42076728,0.118,-0.505,10.005
0.42473695,0.118,-0.467,10.043
0.4287067,0.08,-0.505,10.005
0.43267664,0.042,-0.543,9.928
0.43664616,0.042,-0.543,10.005
0.4406157,0.042,-0.543,9.967
0.44458535,0.003,-0.505,10.005
0.4485552,0.003,-0.505,10.005
0.45252442,0.042,-0.505,10.005
0.45649368,0.003,-0.505,10.043
0.46046337,0.08,-0.543,9.967
0.46443298,0.08,-0.467,9.967
0.4684026,0.118,-0.543,9.928
0.4723721,0.118,-0.505,10.005
0.4763422,0.08,-0.505,10.005
0.48031157,0.157,-0.543,9.967
0.48428118,0.118,-0.505,9.967
0.48825088,0.08,-0.467,10.005
0.49222103,0.08,-0.505,9.967
0.49619105,0.08,-0.505,10.005
0.50016063,0.042,-0.543,10.005
0.50413024,0.08,-0.467,10.005
0.5080999,0.042,-0.505,10.005
0.5120693,0.08,-0.543,9.928
0.516039,0.042,-0.543,9.967
0.520008,0.08,-0.543,9.967
0.5239776,0.08,-0.505,9.967
0.52794695,0.042,-0.543,9.967
0.5319165,0.118,-0.505,10.005
0.5358858,0.08,-0.505,9.967
0.5398553,0.08,-0.505,9.967
0.5438246,0.118,-0.505,9.928
0.5477945,0.08,-0.543,9.967
0.55176455,0.042,-0.505,9.967
0.5557342,0.042,-0.505,10.005
0.55970436,0.08,-0.505,9.967
0.5636738,0.08,-0.582,9.928
0.5676437,0.042,-0.505,10.005
0.5716135,0.042,-0.467,9.928
0.57558274,0.042,-0.505,10.043
0.5795519,0.08,-0.505,9.967
0.58352107,0.042,-0.505,9.967
0.58749056,0.08,-0.505,10.005
0.5914597,0.118,-0.505,9.967
0.5954291,0.042,-0.505,9.967
0.59939873,0.042,-0.505,9.967
0.6033685,0.08,-0.543,10.005
0.60733855,0.042,-0.543,9.967
0.61130875,0.042,-0.505,9.928
0.61527854,0.042,-0.505,9.967
0.61924845,0.003,-0.543,9.967
0.6232187,0.08,-0.543,9.967
0.6271885,0.042,-0.543,9.967
0.6311584,0.08,-0.505,10.005
0.6351283,0.003,-0.505,10.005
0.63909805,0.042,-0.505,10.005
0.6430681,0.042,-0.467,9.967
0.6470383,0.08,-0.543,9.967
0.65100825,0.08,-0.505,9.967
0.6549783,0.042,-0.505,10.005
0.6589488,0.08,-0.505,9.967
0.66291887,0.08,-0.505,10.005
0.66688865,0.08,-0.505,10.005
0.6708586,0.08,-0.505,9.967
0.6748284,0.08,-0.505,10.005
0.6787983,0.08,-0.505,9.967
0.6827679,0.08,-0.505,9.928
0.68673843,0.08,-0.543,9.967
0.690709,0.042,-0.505,10.043
0.6946794,0.08,-0.505,10.005
0.6986502,0.042,-0.505,9.967
0.7026206,0.042,-0.505,9.967
0.7065912,0.08,-0.467,9.967
0.7105618,0.08,-0.543,10.005
0.7145317,0.08,-0.505,9.967
0.71850127,0.118,-0.505,10.005
0.72247094,0.08,-0.543,10.005
0.7264414,0.042,-0.543,9.967
0.7304121,0.08,-0.505,9.967
0.7343826,0.042,-0.543,9.967
0.73835355,0.042,-0.543,9.967
0.7423243,0.042,-0.505,10.005
0.7462947,0.042,-0.505,10.005
0.75026494,0.042,-0.467,9.967
0.7542352,0.042,-0.505,9.967
0.75820553,0.042,-0.505,9.967
0.7621762,0.042,-0.543,9.928
0.76614714,0.042,-0.505,9.967
0.77011764,0.08,-0.505,10.005
