TIME,X,Y,Z
0.0,1.037,-2.305,9.545
0.003964372,1.037,-2.382,9.699
0.007928987,1.037,-2.343,9.622
0.011893834,1.037,-2.343,9.622
0.015857846,1.037,-2.343,9.737
0.01982246,1.076,-2.343,9.775
0.023787538,1.076,-2.343,9.814
0.02775254,1.076,-2.343,9.852
0.031717617,1.076,-2.343,9.814
0.03568231,1.076,-2.305,9.814
0.039647687,1.076,-2.343,9.775
0.043612763,1.076,-2.305,9.737
0.047576994,1.037,-2.343,9.699
0.051541302,1.037,-2.343,9.775
0.055505455,0.961,-2.343,9.699
0.059470303,1.076,-2.343,9.775
0.063434936,1.076,-2.382,9.775
0.06739947,1.076,-2.343,9.775
0.07136432,1.037,-2.305,9.852
0.07532816,0.999,-2.343,9.852
0.0792917,1.037,-2.382,9.737
0.0832557,1.076,-2.305,9.699
0.08722009,1.076,-2.343,9.699
0.09118494,1.076,-2.305,9.699
0.09514939,1.037,-2.343,9.737
0.0991134,1.037,-2.343,9.775
0.10307733,0.999,-2.382,9.814
0.10704125,1.076,-2.305,9.775
0.11100548,1.076,-2.343,9.775
0.11496941,1.076,-2.382,9.814
0.11893379,1.037,-2.382,9.814
0.122898325,0.999,-2.305,9.775
0.1268624,1.037,-2.382,9.699
0.13082679,1.076,-2.343,9.699
0.1347915,1.076,-2.343,9.737
0.13875604,1.037,-2.382,9.737
0.14272025,1.076,-2.343,9.737
0.14668502,1.076,-2.343,9.775
0.15065041,1.076,-2.343,9.775
0.15461588,1.037,-2.382,9.814
0.15858097,1.076,-2.343,9.737
0.16254628,1.076,-2.343,9.737
0.16651143,1.076,-2.343,9.737
0.17047599,1.037,-2.343,9.737
0.17444052,1.037,-2.343,9.775
0.1784053,1.037,-2.343,9.814
0.18236975,1.076,-2.305,9.775
0.18633439,1.037,-2.343,9.737
0.19029908,1.076,-2.343,9.737
0.194264,1.037,-2.305,9.814
0.19822854,1.037,-2.343,9.775
0.20219247,1.076,-2.343,9.775
0.20615602,1.037,-2.343,9.737
0.21011987,1.076,-2.343,9.737
0.21408387,1.076,-2.343,9.737
0.21804781,1.037,-2.343,9.737
0.22201174,1.076,-2.382,9.775
0.22597566,1.037,-2.382,9.775
0.22994041,1.037,-2.343,9.737
0.23390488,1.076,-2.343,9.775
0.23786858,1.076,-2.382,9.737
0.24183255,1.076,-2.343,9.775
0.24579664,1.037,-2.343,9.775
0.2497611,1.076,-2.343,9.775
0.2537257,1.076,-2.343,9.775
0.25769055,1.037,-2.343,9.737
0.26165503,1.076,-2.343,9.775
0.2656194,1.076,-2.343,9.775
0.26958388,1.037,-2.343,9.814
0.2735482,1.076,-2.343,9.775
0.2775127,1.037,-2.343,9.775
0.2814771,1.076,-2.382,9.737
0.2854414,1.076,-2.343,9.775
0.2894064,1.037,-2.343,9.737
0.29337102,1.037,-2.343,9.775
0.29733616,1.037,-2.343,9.737
0.30130085,1.037,-2.343,9.737
0.3052653,1.037,-2.343,9.737
0.3092301,1.037,-2.343,9.737
0.31319472,1.076,-2.343,9.737
0.31715956,1.076,-2.305,9.775
0.32112387,1.037,-2.382,9.814
0.3250888,1.076,-2.343,9.775
0.32905325,1.037,-2.343,9.699
0.33301747,1.037,-2.343,9.775
0.33698168,1.076,-2.382,9.814
0.34094587,1.076,-2.343,9.737
0.34491086,1.037,-2.382,9.852
0.3488757,1.037,-2.343,9.89
0.3528398,1.037,-2.343,9.89
0.3568038,1.076,-2.343,9.775
0.36076847,1.076,-2.305,9.699
0.3647328,1.037,-2.343,9.699
0.36869696,1.037,-2.343,9.737
0.37266135,1.037,-2.343,9.775
0.37662533,1.037,-2.343,9.775
0.38059002,1.037,-2.343,9.775
0.38455445,1.076,-2.343,9.737
0.38851848,1.037,-2.382,9.66
0.3924832,1.076,-2.343,9.699
0.39644718,1.037,-2.343,9.775
0.4004114,1.037,-2.343,9.814
0.40437555,1.037,-2.382,9.775
0.40833995,1.037,-2.343,9.737
0.41230476,1.037,-2.382,9.775
0.41627002,1.076,-2.343,9.775
0.42023456,1.037,-2.343,9.737
0.42419884,1.037,-2.343,9.737
0.42816323,1.076,-2.382,9.814
0.43212777,1.037,-2.382,9.775
0.43609232,1.037,-2.343,9.775
0.44005686,1.037,-2.343,9.737
0.44402215,1.037,-2.382,9.737
0.44798723,1.037,-2.343,9.737
0.45195162,1.076,-2.343,9.699
0.45591623,1.037,-2.305,9.699
0.45988098,1.076,-2.343,9.775
0.4638459,1.037,-2.343,9.737
0.46781123,1.037,-2.382,9.699
0.47177622,1.076,-2.343,9.737
0.47574094,1.037,-2.343,9.737
0.4797057,1.076,-2.343,9.814
0.4836703,1.037,-2.305,9.775
0.48763576,1.076,-2.343,9.737
0.49160084,1.037,-2.343,9.737
0.49556652,1.076,-2.305,9.775
0.49953184,1.037,-2.305,9.775
0.50349706,1.076,-2.343,9.699
0.507462,1.037,-2.343,9.66
0.5114268,1.037,-2.343,9.737
0.51539147,1.076,-2.382,9.775
0.5193559,1.037,-2.343,9.737
0.5233206,1.037,-2.343,9.737
0.5272852,1.037,-2.343,9.737
0.5312497,1.076,-2.343,9.775
0.53521526,1.037,-2.343,9.814
0.53918123,1.037,-2.343,9.737
0.5431462,1.076,-2.382,9.737
0.54711145,1.037,-2.343,9.775
0.5510763,1.037,-2.343,9.775
0.5550404,1.037,-2.382,9.737
0.55900466,1.076,-2.343,9.699
0.56296873,1.037,-2.343,9.737
0.5669328,1.037,-2.343,9.775
0.57089746,1.037,-2.382,9.775
0.57486176,1.037,-2.343,9.737
0.57882607,1.037,-2.382,9.737
0.5827907,1.076,-2.343,9.737
0.58675617,1.037,-2.343,9.737
0.590721,1.037,-2.305,9.737
0.59468544,1.076,-2.343,9.775
0.5986504,1.076,-2.343,9.775
0.60261476,1.037,-2.382,9.775
0.60657924,1.037,-2.343,9.737
0.6105433,1.037,-2.382,9.737
0.61450714,1.037,-2.305,9.775
0.61847156,1.076,-2.343,9.775
0.6224366,1.076,-2.343,9.699
0.6264011,1.076,-2.343,9.775
0.630365,1.037,-2.343,9.775
0.634329,1.037,-2.305,9.814
0.63829297,1.037,-2.343,9.737
0.6422571,1.076,-2.343,9.737
0.6462208,1.037,-2.382,9.814
0.6501853,1.037,-2.343,9.775
0.65414965,1.076,-2.343,9.775
0.6581141,1.037,-2.382,9.699
0.6620787,1.076,-2.382,9.775
0.6660433,1.037,-2.343,9.737
0.67000794,1.037,-2.305,9.775
0.6739725,1.076,-2.382,9.699
0.6779368,1.037,-2.343,9.775
0.68190175,1.076,-2.382,9.775
0.6858658,1.076,-2.343,9.737
0.68983,1.076,-2.382,9.737
0.6937948,1.037,-2.343,9.737
0.6977591,1.037,-2.382,9.775
0.7017233,1.076,-2.343,9.737
0.70568717,1.037,-2.382,9.775
0.7096515,1.037,-2.343,9.775
0.7136155,1.037,-2.343,9.775
0.71757936,1.037,-2.343,9.775
0.72154355,1.037,-2.305,9.775
