TIME,X,Y,Z
0.0,0.08,-0.428,9.392
0.003971385,0.08,-0.467,10.043
0.007942535,0.08,-0.467,9.967
0.011913765,0.08,-0.505,9.967
0.015885536,0.118,-0.467,9.967
0.019857071,0.08,-0.467,10.005
0.023828149,0.042,-0.505,9.967
0.027799534,0.08,-0.543,9.967
0.03177062,0.042,-0.543,9.967
0.03574162,0.003,-0.505,10.005
0.039712775,0.042,-0.505,9.967
0.043684334,0.042,-0.505,10.005
0.047655717,0.042,-0.505,9.967
0.051627256,0.042,-0.543,10.005
0.055598415,0.003,-0.505,10.005
0.059570573,0.042,-0.467,10.005
0.063542955,0.042,-0.505,10.043
0.0675148,0.042,-0.467,10.005
0.07148672,0.08,-0.467,10.005
0.07545795,0.042,-0.505,9.967
0.07942965,0.042,-0.467,9.967
0.08340142,0.042,-0.505,9.967
0.087372646,0.042,-0.543,9.967
0.09134428,0.042,-0.505,9.967
0.095316045,0.042,-0.543,9.967
0.09928735,0.042,-0.543,9.967
0.10325883,0.042,-0.543,9.967
0.10723007,0.08,-0.505,9.967
0.1112016,0.08,-0.505,10.043
0.115173295,0.08,-0.505,10.005
0.11914499,0.08,-0.505,9.967
0.12311683,0.08,-0.505,10.005
0.12708846,0.08,-0.467,9.967
0.13105986,0.08,-0.505,10.005
0.13503222,0.08,-0.467,9.967
0.13900432,0.08,-0.467,9.967
0.14297609,0.08,-0.505,9.967
0.14694786,0.042,-0.505,9.928
0.15091895,0.042,-0.505,9.928
0.15489054,0.08,-0.543,9.967
0.15886271,0.08,-0.467,10.005
0.1628341,0.042,-0.505,9.967
0.16680601,0.08,-0.543,9.967
0.1707778,0.042,-0.505,9.967
0.17475016,0.08,-0.543,9.967
0.17872286,0.042,-0.505,10.005
0.18269493,0.08,-0.505,9.967
0.18666719,0.08,-0.467,10.005
0.19063865,0.08,-0.505,10.005
0.19461049,0.08,-0.467,10.005
0.19858243,0.042,-0.467,10.005
0.2025541,0.08,-0.505,9.967
0.20652658,0.08,-0.467,9.928
0.2104989,0.08,-0.467,9.967
0.21447095,0.08,-0.543,9.967
0.21844335,0.08,-0.505,9.967
0.22241595,0.08,-0.505,10.005
0.22638804,0.042,-0.543,9.967
0.23036072,0.042,-0.543,9.967
0.23433258,0.003,-0.505,10.005
0.2383042,0.042,-0.505,9.967
