TIME,X,Y,Z
0.0,0.386,-0.314,9.699
0.003945521,0.425,-0.314,9.967
0.007890982,0.425,-0.314,9.928
0.011836521,0.425,-0.275,9.928
0.015781537,0.425,-0.275,9.928
0.01972692,0.386,-0.275,9.928
0.023671614,0.425,-0.275,9.928
0.0276172,0.425,-0.275,9.89
0.0315632,0.386,-0.275,9.89
0.035509124,0.425,-0.314,9.928
0.039454672,0.425,-0.314,9.89
0.043400675,0.425,-0.275,9.89
0.047346905,0.386,-0.275,9.89
0.05129292,0.386,-0.314,9.89
0.055239078,0.425,-0.275,9.928
0.059184846,0.425,-0.352,9.928
0.06313039,0.425,-0.275,9.89
0.067075774,0.386,-0.314,9.928
0.07102109,0.425,-0.352,9.89
0.07496631,0.425,-0.314,9.89
0.07891131,0.386,-0.275,9.89
0.08285669,0.425,-0.314,9.928
0.08680198,0.425,-0.314,9.928
0.09074753,0.425,-0.314,9.928
0.09469268,0.425,-0.275,9.928
0.09863799,0.386,-0.314,9.89
0.102583155,0.425,-0.275,9.89
0.10652877,0.425,-0.275,9.928
0.110474624,0.425,-0.314,9.89
0.11442024,0.425,-0.275,9.928
0.1183657,0.425,-0.275,9.89
0.12231109,0.425,-0.275,9.89
0.1262568,0.386,-0.314,9.928
0.13020203,0.425,-0.275,9.89
0.13414717,0.425,-0.275,9.928
0.1380927,0.386,-0.314,9.928
0.14203787,0.386,-0.314,9.928
0.1459837,0.386,-0.314,9.928
0.14992893,0.425,-0.314,9.928
0.15387478,0.425,-0.275,9.967
0.15782024,0.425,-0.314,9.89
0.16176547,0.386,-0.314,9.928
0.16571085,0.425,-0.275,9.928
0.16965654,0.425,-0.275,9.89
0.17360201,0.425,-0.275,9.928
0.17754701,0.386,-0.314,9.852
0.18149233,0.386,-0.314,9.89
0.18543741,0.425,-0.275,9.928
0.18938242,0.425,-0.275,9.928
0.19332734,0.425,-0.352,9.928
0.19727312,0.386,-0.314,9.928
0.2012185,0.425,-0.314,9.89
0.20516434,0.425,-0.237,9.89
0.20911004,0.425,-0.314,9.928
0.21305625,0.425,-0.314,9.928
0.21700267,0.425,-0.275,9.928
0.22094837,0.386,-0.314,9.928
0.22489445,0.425,-0.314,9.852
0.22884013,0.425,-0.314,9.928
0.23278627,0.386,-0.314,9.928
0.23673128,0.425,-0.275,9.89
0.24067672,0.425,-0.314,9.928
0.24462256,0.386,-0.275,9.928
0.2485681,0.425,-0.314,9.928
0.25251332,0.425,-0.275,9.928
0.2564588,0.425,-0.275,9.928
0.26040456,0.386,-0.275,9.89
0.2643504,0.425,-0.314,9.89
0.26829618,0.425,-0.275,9.89
0.2722425,0.425,-0.275,9.89
0.27618873,0.425,-0.314,9.89
0.28013512,0.386,-0.275,9.928
0.28408113,0.386,-0.314,9.928
0.28802627,0.425,-0.314,9.928
0.29197168,0.425,-0.314,9.928
0.29591712,0.425,-0.275,9.89
0.29986295,0.425,-0.314,9.928
0.30380842,0.425,-0.275,9.89
0.30775428,0.386,-0.275,9.928
0.31170043,0.425,-0.275,9.89
0.3156462,0.425,-0.275,9.967
0.31959152,0.386,-0.275,9.89
0.3235373,0.425,-0.314,9.89
0.32748315,0.348,-0.275,9.89
0.33142868,0.425,-0.314,9.928
0.33537507,0.386,-0.275,9.89
0.339321,0.425,-0.275,9.89
0.3432668,0.425,-0.314,9.89
0.34721217,0.463,-0.275,9.852
0.35115778,0.425,-0.314,9.928
0.3551037,0.425,-0.275,9.967
0.35904887,0.425,-0.314,9.967
0.36299387,0.386,-0.275,9.967
0.36693946,0.425,-0.314,9.928
0.37088507,0.425,-0.275,9.89
0.3748304,0.425,-0.275,9.928
0.37877586,0.386,-0.314,9.89
0.38272217,0.425,-0.314,9.852
0.38666865,0.386,-0.275,9.928
0.39061496,0.386,-0.275,9.89
0.39456105,0.386,-0.275,9.89
0.3985075,0.425,-0.275,9.89
0.40245357,0.386,-0.314,9.928
0.40639958,0.425,-0.275,9.928
0.41034588,0.425,-0.275,9.928
0.41429153,0.425,-0.275,9.928
0.41823766,0.425,-0.237,9.928
0.42218396,0.425,-0.314,9.928
0.4261299,0.425,-0.314,9.89
0.43007606,0.425,-0.314,9.852
0.43402162,0.386,-0.314,9.928
0.43796718,0.386,-0.275,9.928
0.44191253,0.386,-0.275,9.967
0.44585884,0.425,-0.275,9.928
0.44980416,0.425,-0.275,9.89
0.45375025,0.425,-0.275,9.89
0.45769656,0.425,-0.314,9.852
0.46164253,0.386,-0.275,9.928
0.4655881,0.425,-0.275,9.928
0.46953353,0.386,-0.314,9.928
0.4734794,0.386,-0.314,9.89
0.47742525,0.425,-0.314,9.928
0.48137122,0.463,-0.275,9.928
0.48531792,0.425,-0.314,9.89
0.48926365,0.386,-0.275,9.928
0.49320948,0.425,-0.275,9.89
0.4971551,0.425,-0.314,9.928
0.5011005,0.425,-0.275,9.928
0.5050464,0.425,-0.275,9.928
0.50899285,0.425,-0.314,9.928
0.5129389,0.425,-0.275,9.89
0.51688474,0.386,-0.314,9.89
0.52083075,0.386,-0.314,9.928
0.5247764,0.425,-0.275,9.89
0.5287216,0.425,-0.275,9.928
0.53266704,0.425,-0.314,9.89
0.5366127,0.386,-0.314,9.928
0.54055876,0.425,-0.275,9.928
0.5445055,0.425,-0.275,9.928
0.548452,0.425,-0.275,9.89
0.5523983,0.425,-0.275,9.89
0.5563445,0.425,-0.314,9.89
0.5602909,0.425,-0.314,9.89
0.5642365,0.425,-0.314,9.928
0.5681829,0.425,-0.314,9.928
0.57212913,0.425,-0.314,9.89
0.5760749,0.425,-0.314,9.89
0.5800205,0.425,-0.275,9.89
0.5839664,0.425,-0.314,9.928
0.58791244,0.425,-0.275,9.852
0.5918588,0.425,-0.314,9.928
0.5958051,0.425,-0.275,9.852
0.59975076,0.386,-0.275,9.545
0.60369694,0.348,-0.352,9.699
0.6076429,0.425,-0.275,10.005
0.6115886,0.425,-0.275,9.852
0.6155347,0.425,-0.275,10.12
0.6194811,0.463,-0.275,10.12
0.6234272,0.463,-0.314,10.005
0.6273735,0.463,-0.314,10.043
0.6313198,0.425,-0.314,10.005
0.6352658,0.463,-0.275,9.967
0.63921165,0.425,-0.275,9.967
0.6431573,0.425,-0.275,9.928
0.6471032,0.425,-0.314,9.89
0.65104866,0.463,-0.275,9.928
0.65499437,0.425,-0.275,9.89
0.65893984,0.425,-0.314,9.928
0.66288537,0.386,-0.314,9.89
0.66683084,0.425,-0.275,9.928
0.6707761,0.425,-0.275,9.928
0.6747222,0.425,-0.275,9.928
0.678668,0.425,-0.314,9.928
0.68261415,0.425,-0.314,9.928
0.6865598,0.425,-0.314,9.89
0.6905057,0.425,-0.314,9.89
0.6944515,0.425,-0.275,9.928
0.6983976,0.425,-0.275,9.928
