TIME,X,Y,Z
0.0,0.348,-0.314,9.737
0.003953239,0.348,-0.275,9.967
0.007906393,0.386,-0.314,9.928
0.011859316,0.386,-0.314,9.928
0.015812866,0.348,-0.352,9.928
0.019766252,0.31,-0.314,9.928
0.023719251,0.348,-0.314,9.967
0.027672254,0.386,-0.352,9.928
0.031626407,0.31,-0.314,9.89
0.035579793,0.348,-0.314,9.928
0.039532892,0.348,-0.352,9.89
0.043485664,0.348,-0.314,9.928
0.047438048,0.348,-0.314,9.89
0.05139083,0.348,-0.314,10.005
0.055344217,0.348,-0.314,9.967
0.05929768,0.348,-0.314,9.928
0.06325115,0.348,-0.314,9.928
0.06720485,0.386,-0.314,9.89
0.07115785,0.348,-0.275,9.89
0.07511064,0.386,-0.314,9.967
0.07906348,0.348,-0.314,9.928
0.08301679,0.386,-0.352,9.967
0.08696957,0.348,-0.314,9.967
0.0909225,0.348,-0.314,9.967
0.09487573,0.348,-0.314,9.89
0.09882869,0.386,-0.352,9.967
0.10278146,0.348,-0.314,9.928
0.106734075,0.386,-0.314,9.928
0.11068747,0.386,-0.314,9.89
0.114640705,0.386,-0.314,9.928
0.1185944,0.348,-0.352,9.928
0.122547954,0.386,-0.314,9.928
0.12650163,0.386,-0.352,9.967
0.1304555,0.348,-0.314,9.967
0.13440919,0.386,-0.314,9.89
0.13836265,0.348,-0.314,9.89
0.14231586,0.386,-0.314,9.928
0.14626886,0.386,-0.314,9.928
0.15022163,0.348,-0.352,9.928
0.15417434,0.348,-0.314,9.928
0.15812741,0.386,-0.275,9.928
0.16208102,0.386,-0.314,9.928
0.16603403,0.386,-0.314,9.89
0.1699871,0.386,-0.314,9.928
0.17394018,0.386,-0.314,9.967
0.17789371,0.348,-0.314,9.928
0.18184702,0.348,-0.314,9.928
0.18580033,0.348,-0.314,9.89
0.18975326,0.386,-0.314,9.89
0.19370666,0.348,-0.275,9.928
0.19766042,0.386,-0.314,9.928
0.20161481,0.348,-0.314,9.89
0.20556895,0.386,-0.352,9.967
0.2095228,0.348,-0.314,9.928
0.21347664,0.348,-0.314,9.928
0.21743087,0.386,-0.314,9.928
0.22138457,0.386,-0.314,9.928
0.22533795,0.386,-0.314,9.89
0.22929204,0.386,-0.314,9.928
0.23324595,0.348,-0.314,9.928
0.23720033,0.348,-0.314,9.89
0.2411542,0.386,-0.314,9.928
0.24510773,0.386,-0.275,9.928
0.24906057,0.386,-0.314,9.967
0.2530138,0.348,-0.314,9.928
0.25696772,0.348,-0.314,9.928
0.26092166,0.386,-0.314,9.967
0.26487556,0.386,-0.314,9.928
0.26882902,0.348,-0.352,9.928
0.27278304,0.348,-0.314,9.928
0.2767369,0.31,-0.314,9.967
0.28069055,0.348,-0.352,9.928
0.2846438,0.386,-0.314,9.89
0.28859696,0.386,-0.314,9.928
0.29255018,0.348,-0.314,9.928
0.29650348,0.386,-0.352,9.928
0.3004567,0.386,-0.352,9.928
0.30440986,0.386,-0.314,9.928
0.30836278,0.348,-0.314,9.928
0.31231576,0.386,-0.314,9.928
0.31626937,0.348,-0.314,9.967
0.320223,0.386,-0.352,9.928
0.3241768,0.348,-0.314,9.928
0.32812926,0.386,-0.314,9.928
0.33208263,0.348,-0.314,9.928
0.33603588,0.386,-0.314,9.928
0.33998957,0.386,-0.314,9.967
0.34394294,0.348,-0.314,9.928
0.3478958,0.386,-0.275,9.928
0.35184935,0.386,-0.352,9.852
0.3558027,0.31,-0.314,9.89
0.3597563,0.348,-0.314,9.852
0.36371037,0.348,-0.352,9.852
0.36766398,0.386,-0.352,9.89
0.37161714,0.348,-0.314,9.89
0.37557107,0.386,-0.314,9.89
0.37952536,0.348,-0.314,9.967
0.38347858,0.348,-0.314,10.005
0.38743237,0.386,-0.314,10.005
0.39138636,0.386,-0.314,10.005
0.3953405,0.386,-0.314,9.967
0.39929405,0.386,-0.314,10.005
0.4032476,0.348,-0.314,9.928
0.40720087,0.348,-0.314,9.928
0.4111538,0.386,-0.314,9.967
0.4151071,0.386,-0.314,9.928
0.41906065,0.386,-0.314,9.967
0.42301416,0.386,-0.352,9.89
0.42696804,0.348,-0.352,9.928
0.4309218,0.386,-0.314,9.852
0.43487504,0.348,-0.352,9.89
0.4388282,0.386,-0.352,9.928
0.4427815,0.386,-0.314,9.967
0.44673526,0.386,-0.314,9.967
0.45068955,0.386,-0.314,9.89
0.4546439,0.386,-0.314,9.928
0.45859784,0.348,-0.314,9.967
0.46255067,0.386,-0.314,9.967
0.46650407,0.386,-0.352,9.928
0.4704582,0.386,-0.314,9.928
