TIME,X,Y,Z
0.0,0.042,-0.428,9.967
0.003959526,0.08,-0.39,9.928
0.007919141,0.08,-0.39,9.967
0.01187991,0.08,-0.39,9.928
0.015839448,0.08,-0.39,9.928
0.019798832,0.08,-0.39,9.89
0.023757832,0.042,-0.39,9.967
0.027717227,0.042,-0.39,9.89
0.03167646,0.042,-0.428,9.928
0.03563546,0.08,-0.428,9.967
0.039594647,0.08,-0.39,9.928
0.04355357,0.042,-0.39,9.967
0.047512725,0.08,-0.428,10.005
0.05147173,0.042,-0.428,9.967
0.055431034,0.08,-0.39,9.928
0.059389804,0.042,-0.39,9.928
0.063349426,0.042,-0.39,9.928
0.06730874,0.08,-0.39,9.967
0.07126812,0.08,-0.39,9.928
0.075228065,0.08,-0.39,9.928
0.079187915,0.042,-0.39,9.928
0.08314668,0.042,-0.39,9.967
0.08710592,0.042,-0.428,9.967
0.09106515,0.08,-0.39,9.89
0.0950243,0.08,-0.39,9.967
0.09898331,0.08,-0.39,9.967
0.10294193,0.042,-0.428,9.967
0.10690093,0.08,-0.39,9.967
0.11086003,0.08,-0.39,9.928
0.11481926,0.08,-0.428,9.928
0.11877818,0.042,-0.39,9.928
0.12273742,0.08,-0.39,9.928
0.12669681,0.08,-0.39,9.967
0.13065681,0.042,-0.39,9.967
0.13461684,0.08,-0.428,9.928
0.13857628,0.042,-0.39,9.928
0.14253606,0.042,-0.39,9.928
0.14649616,0.042,-0.39,9.967
0.15045623,0.08,-0.39,9.928
0.15441655,0.08,-0.39,9.928
0.15837708,0.042,-0.39,9.967
0.16233741,0.08,-0.39,9.967
0.16629763,0.08,-0.39,9.928
0.17025748,0.08,-0.39,9.967
0.17421763,0.042,-0.428,9.928
0.17817762,0.08,-0.428,9.928
0.18213764,0.042,-0.39,9.89
0.18609788,0.08,-0.39,9.928
0.1900584,0.08,-0.39,9.928
0.19401896,0.042,-0.39,9.967
0.19797881,0.08,-0.39,9.928
0.20193857,0.08,-0.39,9.967
0.20589828,0.042,-0.39,9.928
0.20985843,0.08,-0.39,9.967
0.21381836,0.042,-0.39,9.967
0.2177782,0.042,-0.39,9.967
0.22173768,0.08,-0.39,9.928
0.22569752,0.08,-0.39,9.89
0.22965759,0.042,-0.428,9.89
0.23361744,0.08,-0.39,9.967
0.23757759,0.08,-0.39,10.005
0.24153782,0.08,-0.39,9.967
0.24549744,0.042,-0.39,9.967
0.2494576,0.042,-0.39,9.967
0.25341728,0.08,-0.428,9.928
0.25737706,0.042,-0.39,9.967
0.26133698,0.042,-0.39,9.967
0.26529703,0.08,-0.428,9.967
0.2692578,0.042,-0.428,9.928
0.27321783,0.08,-0.39,9.928
0.27717763,0.042,-0.352,9.967
0.2811374,0.042,-0.39,9.967
0.28509697,0.08,-0.39,9.928
0.28905663,0.042,-0.39,9.89
0.2930164,0.042,-0.39,9.928
0.29697597,0.08,-0.39,9.967
0.30093595,0.08,-0.467,9.928
0.304897,0.08,-0.39,9.928
0.3088571,0.042,-0.428,9.928
0.31281757,0.042,-0.39,9.967
0.31677735,0.08,-0.39,9.928
0.32073703,0.042,-0.39,9.967
0.3246968,0.08,-0.39,9.967
0.32865614,0.08,-0.39,9.928
0.3326155,0.042,-0.39,9.928
0.33657497,0.042,-0.39,9.89
0.34053427,0.042,-0.39,9.928
0.34449357,0.08,-0.39,9.967
0.34845296,0.042,-0.428,9.928
0.35241267,0.08,-0.428,9.89
0.35637203,0.08,-0.39,9.89
0.36033148,0.08,-0.428,9.928
0.36429134,0.042,-0.39,9.89
0.36825067,0.042,-0.39,9.928
0.37221,0.042,-0.39,9.928
0.37616974,0.042,-0.428,9.928
0.3801289,0.042,-0.39,10.005
0.38408807,0.08,-0.352,10.005
0.38804767,0.08,-0.39,10.005
0.39200813,0.08,-0.39,9.928
0.39596796,0.08,-0.467,9.89
0.39992797,0.042,-0.39,9.928
0.40388873,0.08,-0.428,10.005
0.407849,0.042,-0.39,9.967
0.41180903,0.042,-0.39,9.928
0.4157698,0.042,-0.39,9.89
0.41973078,0.042,-0.428,9.852
0.42369142,0.042,-0.428,9.967
0.4276511,0.042,-0.428,9.89
0.43161002,0.08,-0.39,9.967
0.4355697,0.042,-0.428,9.928
0.43952942,0.08,-0.39,9.967
0.44348934,0.08,-0.428,9.967
0.44744912,0.08,-0.39,9.928
0.45140928,0.042,-0.39,9.928
0.45536909,0.08,-0.39,10.005
0.45932847,0.08,-0.39,9.967
0.46328843,0.08,-0.428,9.967
0.46724832,0.08,-0.428,9.967
0.47120842,0.08,-0.428,9.928
0.47516924,0.08,-0.39,9.967
0.47913006,0.042,-0.428,9.928
0.48309094,0.08,-0.39,9.928
0.4870512,0.042,-0.428,9.967
0.49101186,0.08,-0.428,10.043
0.49497196,0.042,-0.428,9.928
0.4989315,0.042,-0.39,9.967
0.50289124,0.042,-0.467,9.967
0.5068509,0.042,-0.39,9.928
0.51081073,0.042,-0.428,9.928
0.5147709,0.042,-0.428,9.928
0.5187308,0.042,-0.428,9.89
0.52269113,0.08,-0.39,9.967
0.52665097,0.042,-0.352,9.967
0.5306106,0.042,-0.428,9.967
0.53457093,0.042,-0.428,10.005
0.53853077,0.08,-0.428,9.928
0.5424908,0.042,-0.39,9.928
0.54645056,0.042,-0.39,9.967
0.5504107,0.042,-0.428,9.928
0.5543707,0.08,-0.428,9.967
0.5583305,0.08,-0.428,9.928
0.5622902,0.042,-0.39,9.89
0.5662497,0.08,-0.39,9.928
0.57020974,0.042,-0.428,9.967
0.5741695,0.042,-0.39,9.928
0.5781292,0.042,-0.39,9.928
0.58208877,0.08,-0.428,9.967
0.5860484,0.08,-0.39,9.967
0.5900082,0.042,-0.39,10.005
0.59396756,0.003,-0.39,9.928
0.59792644,0.042,-0.428,9.967
0.6018856,0.08,-0.39,9.928
0.6058449,0.042,-0.428,9.928
0.6098046,0.08,-0.39,9.928
0.61376387,0.08,-0.39,9.928
0.61772364,0.08,-0.39,9.967
0.6216832,0.042,-0.39,9.967
0.62564296,0.08,-0.428,9.928
0.62960297,0.08,-0.428,9.928
0.6335625,0.042,-0.39,9.967
0.6375221,0.08,-0.39,10.005
0.6414819,0.08,-0.428,9.928
0.64544123,0.08,-0.39,9.928
