TIME,X,Y,Z
0.0,0.157,-0.428,9.967
0.003959385,0.157,-0.428,10.005
0.007918397,0.157,-0.428,9.928
0.011877628,0.157,-0.39,9.967
0.015836628,0.118,-0.428,9.967
0.019796329,0.118,-0.39,9.967
0.023755865,0.157,-0.39,9.928
0.02771548,0.157,-0.428,9.928
0.031674556,0.118,-0.39,9.967
0.035633866,0.118,-0.39,9.967
0.039592788,0.157,-0.39,9.928
0.043551903,0.118,-0.428,9.967
0.047510672,0.118,-0.428,9.967
0.051470213,0.118,-0.428,9.928
0.05542944,0.118,-0.428,9.967
0.05938867,0.118,-0.428,10.005
0.06334798,0.118,-0.428,9.928
0.06730737,0.118,-0.39,9.928
0.071266755,0.08,-0.39,9.928
0.07522621,0.157,-0.39,9.967
0.07918576,0.118,-0.428,9.967
0.08314507,0.118,-0.39,9.967
0.08710461,0.118,-0.39,9.928
0.09106354,0.118,-0.39,9.967
0.095022224,0.118,-0.39,9.928
0.098980606,0.118,-0.428,9.928
0.10293978,0.118,-0.428,10.005
0.10689847,0.118,-0.39,9.89
0.11085762,0.118,-0.428,9.967
0.11481678,0.118,-0.428,9.967
0.118775696,0.118,-0.428,9.967
0.12273424,0.118,-0.39,9.967
0.12669323,0.118,-0.39,9.967
0.13065177,0.118,-0.428,9.967
0.13461117,0.118,-0.428,9.928
0.13857017,0.118,-0.428,9.967
0.14252941,0.118,-0.428,9.967
0.14648926,0.118,-0.428,9.967
0.1504488,0.118,-0.428,9.967
0.15440802,0.118,-0.39,9.928
0.15836757,0.157,-0.428,9.967
0.16232695,0.118,-0.39,9.928
0.16628587,0.118,-0.39,9.967
0.17024472,0.118,-0.467,9.967
0.17420349,0.118,-0.39,9.967
0.17816234,0.118,-0.428,9.928
0.18212102,0.08,-0.428,9.928
0.18608004,0.118,-0.428,9.928
0.19003834,0.118,-0.39,9.928
0.19399749,0.118,-0.428,9.967
0.19795674,0.118,-0.39,9.928
0.20191628,0.118,-0.428,9.928
0.20587589,0.118,-0.428,9.928
0.20983559,0.118,-0.39,9.967
0.2137952,0.118,-0.428,9.967
0.21775474,0.157,-0.428,9.967
0.22171417,0.157,-0.39,9.967
0.22567311,0.118,-0.39,9.967
0.22963202,0.118,-0.39,9.967
0.23359047,0.157,-0.39,9.928
0.23754923,0.157,-0.39,9.967
0.24150825,0.118,-0.428,10.005
0.24546733,0.118,-0.39,9.928
0.24942648,0.118,-0.39,10.005
0.25338534,0.118,-0.39,9.967
0.2573442,0.118,-0.39,9.967
0.2613042,0.118,-0.428,9.967
0.26526403,0.157,-0.39,9.928
0.2692228,0.118,-0.39,9.967
0.2731814,0.157,-0.428,9.928
0.2771404,0.157,-0.428,9.928
0.28109917,0.118,-0.428,10.005
0.28505802,0.157,-0.39,10.005
0.28901708,0.118,-0.39,9.967
0.29297632,0.118,-0.39,9.928
0.29693556,0.157,-0.428,9.928
0.30089533,0.118,-0.428,9.928
0.3048548,0.118,-0.428,9.967
0.30881473,0.118,-0.39,9.928
0.31277442,0.118,-0.428,9.967
0.31673405,0.118,-0.39,9.928
0.32069328,0.118,-0.428,9.967
0.3246522,0.118,-0.428,9.967
0.32861108,0.118,-0.39,9.967
0.33257,0.118,-0.39,9.928
0.33652884,0.157,-0.39,9.967
0.34048784,0.157,-0.428,9.967
0.34444684,0.157,-0.39,9.967
0.34840623,0.118,-0.39,9.967
0.35236564,0.118,-0.428,9.967
0.3563252,0.118,-0.39,9.928
0.3602842,0.118,-0.39,9.967
0.36424327,0.118,-0.39,9.928
0.3682025,0.118,-0.428,9.967
0.3721621,0.157,-0.39,9.967
0.37612173,0.118,-0.39,9.967
0.38008103,0.08,-0.39,9.967
0.3840402,0.118,-0.39,9.928
0.38799918,0.118,-0.39,9.967
0.39195862,0.118,-0.39,9.928
0.395918,0.157,-0.428,9.928
0.39987686,0.118,-0.39,9.967
0.40383586,0.118,-0.39,9.967
0.40779495,0.118,-0.428,9.967
0.41175413,0.118,-0.39,9.967
0.41571328,0.118,-0.428,9.967
0.41967234,0.118,-0.428,9.967
0.42363137,0.118,-0.428,9.928
0.42758998,0.157,-0.428,9.967
0.4315489,0.118,-0.428,9.967
0.43550813,0.118,-0.428,9.967
0.43946806,0.118,-0.39,9.967
0.4434276,0.08,-0.39,9.967
0.44738695,0.118,-0.39,9.928
0.4513458,0.118,-0.428,9.967
0.45530456,0.157,-0.39,9.928
0.45926353,0.118,-0.39,9.967
0.46322298,0.157,-0.39,9.967
0.46718282,0.118,-0.39,9.967
0.4711425,0.118,-0.39,9.928
0.47510204,0.118,-0.428,9.967
0.47906172,0.118,-0.428,9.967
0.48302117,0.157,-0.39,9.967
0.4869804,0.118,-0.428,9.967
0.49093935,0.118,-0.428,9.967
0.49489796,0.118,-0.428,9.967
0.49885672,0.118,-0.428,9.928
0.502816,0.118,-0.428,9.928
0.506775,0.118,-0.39,9.928
0.51073354,0.118,-0.352,10.005
0.5146925,0.118,-0.428,9.928
0.51865125,0.157,-0.428,10.005
0.52260983,0.118,-0.39,9.852
0.5265685,0.118,-0.428,10.043
0.530527,0.157,-0.39,9.89
0.5344855,0.157,-0.428,10.005
0.5384444,0.157,-0.428,9.967
0.5424025,0.118,-0.428,9.89
0.5463611,0.157,-0.428,10.005
0.5503199,0.118,-0.39,9.967
0.5542789,0.118,-0.467,9.89
0.5582381,0.08,-0.428,9.967
0.56219697,0.118,-0.467,9.967
0.566156,0.118,-0.352,9.928
0.5701146,0.08,-0.39,10.005
0.57407385,0.118,-0.467,9.928
0.57803327,0.157,-0.39,10.043
0.5819923,0.118,-0.39,9.89
0.58595103,0.118,-0.39,10.005
0.5899102,0.118,-0.428,9.89
0.5938689,0.157,-0.428,9.89
0.5978274,0.118,-0.39,9.967
0.6017864,0.118,-0.428,9.928
0.605745,0.157,-0.39,10.005
0.609704,0.118,-0.428,9.967
0.61366254,0.118,-0.428,9.967
0.61762136,0.118,-0.428,9.852
0.6215803,0.157,-0.39,10.005
0.625539,0.118,-0.39,9.928
0.62949795,0.118,-0.428,9.928
0.6334566,0.118,-0.428,9.928
0.637416,0.118,-0.428,9.928
0.6413756,0.118,-0.428,9.967
0.6453353,0.118,-0.467,9.928
0.6492953,0.118,-0.39,10.005
0.65325445,0.157,-0.467,9.928
0.65721345,0.118,-0.428,9.967
0.6611727,0.157,-0.39,9.928
0.6651319,0.157,-0.39,10.005
0.669091,0.157,-0.39,9.928
0.6730498,0.157,-0.467,9.967
0.6770096,0.118,-0.39,10.005
0.68096876,0.118,-0.428,9.928
0.68492824,0.118,-0.428,9.89
0.6888877,0.157,-0.467,9.89
0.6928474,0.157,-0.39,9.928
0.69680655,0.157,-0.428,10.005
0.70076555,0.118,-0.428,10.005
0.7047253,0.118,-0.39,9.967
0.7086846,0.157,-0.428,9.928
0.71264404,0.157,-0.39,10.005
0.7166038,0.118,-0.39,9.928
0.72056293,0.157,-0.428,9.928
0.72452277,0.118,-0.428,9.967
0.72848237,0.157,-0.39,9.928
0.73244226,0.157,-0.39,9.967
0.7364024,0.157,-0.428,9.967
0.740362,0.157,-0.39,9.928
0.7443221,0.118,-0.39,9.967
0.74828166,0.118,-0.428,9.967
0.75224125,0.118,-0.39,9.967
0.75620085,0.118,-0.39,9.928
0.7601603,0.118,-0.39,9.928
0.76412034,0.118,-0.428,9.928
0.76807976,0.118,-0.428,9.928
0.77203894,0.118,-0.428,9.967
0.7759981,0.08,-0.39,9.928
0.779957,0.118,-0.39,9.928
0.7839169,0.118,-0.428,9.928
0.7878768,0.118,-0.428,9.967
0.79183686,0.118,-0.428,9.967
0.79579633,0.118,-0.428,10.005
0.7997564,0.157,-0.39,9.928
0.8037163,0.118,-0.428,9.928
0.80767566,0.157,-0.39,9.928
0.81163526,0.118,-0.428,9.928
0.81559527,0.157,-0.39,9.928
0.819555,0.118,-0.428,9.967
0.82351524,0.157,-0.39,9.928
0.82747567,0.08,-0.428,9.928
0.8314352,0.118,-0.39,9.928
0.8353952,0.157,-0.39,9.967
0.8393545,0.157,-0.428,10.005
0.8433138,0.118,-0.428,9.967
0.8472736,0.118,-0.39,9.967
0.85123307,0.118,-0.39,9.967
0.8551926,0.08,-0.428,10.005
0.859152,0.118,-0.39,9.967
0.8631115,0.118,-0.39,9.967
0.86707115,0.118,-0.39,10.005
0.87103146,0.118,-0.39,9.967
0.8749921,0.08,-0.39,9.928
0.878952,0.118,-0.428,9.967
0.88291156,0.157,-0.39,9.928
0.88687176,0.118,-0.39,9.967
0.89083177,0.118,-0.428,9.928
0.8947913,0.157,-0.39,9.967
0.89875066,0.157,-0.428,9.967
0.90271074,0.08,-0.428,9.967
0.90667063,0.118,-0.39,9.967
0.9106296,0.118,-0.428,9.967
0.9145887,0.118,-0.428,9.967
0.9185475,0.118,-0.428,10.005
0.92250675,0.08,-0.428,9.928
0.9264658,0.118,-0.428,9.967
0.9304248,0.118,-0.39,9.967
0.93438387,0.118,-0.428,10.005
0.9383428,0.157,-0.39,9.928
0.94230187,0.118,-0.428,9.928
0.94626135,0.118,-0.428,9.967
0.950221,0.118,-0.428,9.928
0.9541799,0.08,-0.39,9.967
0.95813906,0.157,-0.39,9.967
0.96209824,0.118,-0.39,9.967
0.9660568,0.118,-0.428,9.967
0.97001547,0.118,-0.428,9.967
0.973974,0.157,-0.39,9.967
0.97793335,0.08,-0.428,9.967
0.98189336,0.118,-0.428,9.928
0.98585314,0.118,-0.39,9.967
0.9898122,0.157,-0.428,9.967
0.99377084,0.118,-0.39,9.967
0.9977299,0.118,-0.39,9.928
1.0016894,0.118,-0.39,9.967
1.0056494,0.118,-0.39,9.967
1.0096092,0.157,-0.428,9.928
1.0135685,0.08,-0.428,9.967
1.0175278,0.118,-0.39,9.967
1.0214871,0.118,-0.39,9.928
1.0254468,0.118,-0.428,9.928
1.0294063,0.118,-0.428,9.967
1.0333655,0.118,-0.428,9.928
1.0373247,0.118,-0.428,9.928
1.0412849,0.118,-0.428,9.967
1.0452443,0.118,-0.428,9.967
1.0492034,0.118,-0.428,9.928
