TIME,X,Y,Z
0.0,0.08,-0.467,9.814
0.003971769,0.08,-0.505,9.928
0.007944127,0.08,-0.505,9.967
0.011916588,0.08,-0.505,10.005
0.015888741,0.08,-0.467,10.005
0.019861214,0.08,-0.467,9.928
0.02383306,0.118,-0.505,10.005
0.027804598,0.118,-0.467,9.967
0.031776305,0.08,-0.505,9.967
0.035748225,0.08,-0.467,9.967
0.03971915,0.118,-0.467,9.967
0.043690097,0.118,-0.428,9.967
0.047661096,0.118,-0.505,10.005
0.051632714,0.118,-0.505,9.928
0.055604648,0.08,-0.505,9.967
0.059577033,0.118,-0.467,9.967
0.06354911,0.08,-0.467,9.967
0.067521654,0.08,-0.505,10.005
0.07149419,0.08,-0.505,10.005
0.075465806,0.08,-0.505,10.005
0.07943753,0.08,-0.505,9.928
0.08340906,0.08,-0.505,9.967
0.08738091,0.042,-0.505,9.967
0.09135262,0.08,-0.467,9.967
0.09532446,0.08,-0.543,10.005
0.09929592,0.042,-0.505,9.967
0.10326756,0.08,-0.505,9.967
0.107239485,0.08,-0.467,9.928
0.11121141,0.042,-0.505,10.005
0.11518243,0.118,-0.505,9.928
0.11915397,0.08,-0.505,9.967
0.12312627,0.08,-0.467,9.967
0.12709758,0.08,-0.505,9.928
0.13106896,0.118,-0.505,9.928
0.13504066,0.118,-0.467,9.928
0.13901235,0.08,-0.428,9.967
0.1429842,0.118,-0.467,9.967
0.14695674,0.08,-0.505,9.967
0.15092874,0.08,-0.467,9.967
0.15490042,0.08,-0.467,9.967
0.15887159,0.08,-0.505,9.967
0.16284297,0.118,-0.543,9.928
0.16681413,0.08,-0.505,9.967
0.1707852,0.08,-0.467,9.967
0.17475714,0.08,-0.467,10.005
0.17872913,0.08,-0.467,9.928
0.18270092,0.118,-0.505,9.967
0.18667303,0.118,-0.505,9.967
0.19064508,0.08,-0.505,9.967
0.19461648,0.08,-0.467,10.005
0.19858813,0.118,-0.505,9.967
0.20255966,0.118,-0.505,10.005
0.20653136,0.042,-0.505,9.967
0.21050249,0.08,-0.467,9.967
0.21447504,0.08,-0.505,10.043
0.21844734,0.08,-0.505,9.967
0.22241881,0.08,-0.505,9.928
0.22639027,0.08,-0.467,10.005
0.23036219,0.08,-0.467,9.967
0.23433457,0.08,-0.505,9.967
0.23830704,0.118,-0.467,9.967
0.24227943,0.118,-0.505,9.967
0.2462514,0.118,-0.505,9.967
0.2502234,0.08,-0.505,10.005
0.2541948,0.118,-0.467,9.928
0.25816616,0.118,-0.467,10.005
0.26213795,0.118,-0.467,9.928
0.26611012,0.08,-0.505,9.967
0.27008203,0.08,-0.467,9.967
0.27405363,0.08,-0.505,9.967
0.27802524,0.08,-0.505,9.967
0.28199658,0.118,-0.505,9.967
0.2859678,0.08,-0.505,9.967
0.28993878,0.08,-0.467,10.005
0.29391003,0.08,-0.467,10.005
0.29788125,0.08,-0.505,9.967
0.30185232,0.08,-0.505,10.005
0.30582333,0.08,-0.543,9.967
0.30979434,0.08,-0.505,9.967
0.3137654,0.08,-0.467,9.967
0.3177368,0.08,-0.467,10.005
0.32170847,0.08,-0.505,9.967
0.3256811,0.08,-0.467,9.967
0.32965317,0.118,-0.467,10.005
0.33362463,0.08,-0.505,10.005
0.33759597,0.118,-0.505,9.967
0.34156695,0.08,-0.505,9.967
0.34553835,0.118,-0.505,10.005
0.34950963,0.042,-0.505,9.928
0.35348135,0.08,-0.505,10.005
0.3574534,0.08,-0.505,10.005
0.3614254,0.118,-0.505,9.928
0.36539704,0.08,-0.505,9.967
0.36936885,0.08,-0.505,9.967
0.37334087,0.08,-0.505,9.967
0.37731266,0.08,-0.505,9.967
0.3812845,0.08,-0.505,9.967
0.38525635,0.08,-0.467,9.967
0.38922858,0.118,-0.467,9.967
0.39320067,0.08,-0.505,9.967
0.39717335,0.042,-0.505,10.005
0.40114543,0.08,-0.505,9.967
0.40511754,0.08,-0.505,9.967
0.40908945,0.08,-0.505,10.005
0.41306105,0.08,-0.505,9.967
0.41703284,0.118,-0.505,9.928
0.42100453,0.08,-0.467,9.967
0.42497647,0.08,-0.505,10.005
0.428948,0.08,-0.505,9.928
0.4329207,0.08,-0.467,9.967
0.4368924,0.118,-0.467,9.967
0.44086394,0.118,-0.505,9.967
0.44483554,0.08,-0.467,9.967
0.44880718,0.08,-0.543,10.005
0.4527784,0.118,-0.505,9.967
0.45674977,0.08,-0.467,9.967
0.46072122,0.08,-0.505,9.967
0.46469298,0.08,-0.505,9.967
0.46866488,0.08,-0.505,10.005
0.47263667,0.118,-0.467,10.005
0.47660804,0.118,-0.505,9.967
0.48057973,0.118,-0.505,9.967
0.48455125,0.08,-0.505,9.967
0.48852283,0.042,-0.505,9.967
0.49249434,0.08,-0.505,9.967
0.49646565,0.08,-0.467,9.928
0.50043774,0.118,-0.505,9.967
0.5044097,0.08,-0.505,9.967
0.50838137,0.08,-0.505,9.967
0.5123535,0.08,-0.543,9.967
0.51632524,0.08,-0.467,9.967
0.52029675,0.08,-0.467,10.005
0.5242686,0.08,-0.467,9.967
0.52824026,0.08,-0.505,9.967
0.5322122,0.08,-0.467,9.928
0.5361843,0.08,-0.505,9.967
0.54015684,0.08,-0.505,10.043
0.5441289,0.08,-0.467,10.005
0.5481007,0.08,-0.505,9.967
0.5520726,0.08,-0.467,9.928
0.5560443,0.08,-0.467,10.005
0.56001645,0.08,-0.505,10.005
0.5639887,0.08,-0.505,10.005
0.56796074,0.118,-0.505,9.967
0.5719327,0.08,-0.467,9.928
0.5759047,0.08,-0.505,9.967
0.5798763,0.08,-0.505,9.967
0.583848,0.08,-0.505,10.005
0.58781934,0.118,-0.505,9.967
0.59179103,0.08,-0.467,9.967
0.59576267,0.08,-0.505,9.928
0.59973496,0.118,-0.467,9.967
0.6037065,0.118,-0.467,9.967
0.60767776,0.042,-0.467,10.005
0.6116492,0.118,-0.505,9.967
0.6156213,0.118,-0.467,9.967
0.61959267,0.042,-0.505,9.967
0.6235635,0.118,-0.543,9.967
0.62753445,0.08,-0.505,10.005
0.63150597,0.08,-0.467,9.89
0.6354772,0.118,-0.467,9.967
0.63944864,0.118,-0.505,9.967
0.6434203,0.08,-0.505,9.928
0.64739144,0.08,-0.467,10.005
