TIME,X,Y,Z
0.0,0.042,-0.39,9.967
0.003962923,0.042,-0.467,9.967
0.007926076,0.042,-0.428,9.967
0.011889614,0.042,-0.428,9.89
0.015853154,0.042,-0.428,9.928
0.019816436,0.042,-0.39,9.967
0.023780128,0.042,-0.428,9.928
0.027743127,0.042,-0.428,9.928
0.031706154,0.003,-0.428,9.967
0.035669234,0.042,-0.428,9.967
0.03963231,0.042,-0.39,10.005
0.043595266,0.042,-0.39,9.928
0.047558647,0.003,-0.39,9.928
0.0515218,0.003,-0.39,9.967
0.05548466,0.042,-0.428,9.928
0.059448123,0.042,-0.428,9.928
0.06341105,0.003,-0.39,9.967
0.06737443,0.042,-0.39,9.928
0.07133705,0.042,-0.428,9.967
0.07530021,0.042,-0.428,9.967
0.0792632,0.042,-0.428,9.967
0.08322605,0.042,-0.428,9.928
0.08718904,0.042,-0.428,9.928
0.0911516,0.042,-0.428,10.005
0.095113985,0.042,-0.428,9.928
0.09907629,0.08,-0.428,9.967
0.10303907,0.042,-0.428,9.967
0.10700184,0.042,-0.428,9.967
0.110964306,0.042,-0.39,9.967
0.114927165,0.042,-0.428,9.967
0.11889032,0.042,-0.428,9.967
0.12285302,0.042,-0.428,9.967
0.12681572,0.042,-0.39,10.005
0.13077827,0.003,-0.39,9.967
0.13474102,0.003,-0.39,9.967
0.13870418,0.003,-0.39,9.928
0.14266695,0.042,-0.428,9.928
0.14663002,0.003,-0.39,9.928
0.15059327,0.003,-0.39,9.967
0.15455611,0.042,-0.39,9.967
0.15851918,0.003,-0.39,10.005
0.16248226,0.042,-0.428,9.928
0.16644634,0.042,-0.428,9.928
0.17041011,0.042,-0.39,9.967
0.17437403,0.003,-0.428,9.967
0.17833787,0.042,-0.428,9.928
0.18230157,0.042,-0.467,9.967
0.18626589,0.003,-0.428,9.967
0.19022982,0.042,-0.428,9.928
0.19419366,0.003,-0.428,9.967
0.198157,0.003,-0.428,9.967
0.20212093,0.042,-0.428,9.89
0.20608461,0.042,-0.428,9.967
0.21004827,0.042,-0.428,9.967
0.21401158,0.003,-0.428,9.89
0.21797435,0.042,-0.428,9.967
0.2219371,0.003,-0.39,9.967
0.22589949,0.042,-0.39,9.928
0.22986257,0.042,-0.39,9.967
0.23382525,0.003,-0.39,9.928
0.23778848,0.042,-0.428,9.928
0.24175118,0.042,-0.428,9.928
0.24571382,0.042,-0.428,9.967
0.24967742,0.042,-0.428,9.967
0.2536405,0.042,-0.428,9.967
0.25760335,0.042,-0.428,9.967
0.26156682,0.042,-0.428,9.967
0.26552957,0.042,-0.428,9.967
0.26949203,0.042,-0.428,9.967
0.27345565,0.042,-0.428,9.967
0.27741888,0.042,-0.39,9.928
0.28138205,0.042,-0.428,10.005
0.28534457,0.003,-0.428,10.005
0.2893072,0.003,-0.428,9.928
0.29326978,0.003,-0.428,9.967
0.29723328,0.003,-0.428,9.967
0.30119637,0.042,-0.428,10.005
0.30515933,0.042,-0.39,9.967
0.30912212,0.003,-0.428,9.928
0.31308487,0.003,-0.428,9.967
0.31704766,0.042,-0.467,9.967
0.3210107,0.042,-0.428,9.967
0.32497388,0.08,-0.39,9.928
0.32893798,0.042,-0.428,9.967
0.33290204,0.003,-0.428,9.967
0.33686605,0.003,-0.428,10.005
0.34082946,0.042,-0.428,9.967
0.34479338,0.042,-0.428,9.928
0.34875715,0.042,-0.39,9.928
0.35272077,0.042,-0.428,9.967
0.35668522,0.042,-0.428,9.928
0.36064938,0.042,-0.428,9.928
0.36461315,0.042,-0.428,10.005
0.36857662,0.042,-0.39,9.967
0.37253907,0.003,-0.428,9.967
0.37650177,0.042,-0.428,9.967
0.380464,0.003,-0.428,9.967
0.38442653,0.003,-0.428,9.928
0.38838997,0.003,-0.39,9.967
0.39235315,0.042,-0.428,9.967
0.3963163,0.042,-0.428,9.928
0.40028042,0.042,-0.39,9.928
0.40424392,0.042,-0.428,10.005
0.40820703,0.08,-0.428,9.928
0.4121696,0.042,-0.39,9.928
